key	nodeType
AFF4	TF
AHR	TF
ATF1	TF
ATF7IP	TF
BCAT1	TF
BCLAF1	TF
BCOR	TF
BRD7	TF
C17orf49	TF
CAMTA2	TF
CBX4	TF
CD59	TF
CEBPG	TF
CHD4	TF
CREB3	TF
CSNK2A1	TF
DAXX	TF
DDIT3	TF
DOT1L	TF
ERG	TF
FUS	TF
GAPDH	TF
GLYR1	TF
GTF2I	TF
HBP1	TF
HCFC1	TF
HECTD1	TF
HEXIM1	TF
HIF1A	TF
HINFP	TF
HOXA6	TF
HOXA7	TF
HOXB6	TF
KLF10	TF
KLF15	TF
LARP7	TF
LDB1	TF
MLLT1	TF
MNT	TF
MSX1	TF
MXD3	TF
MYBL1	TF
MZF1	TF
NCAPG2	TF
NFIC	TF
NFYC	TF
PCGF6	TF
PHF20	TF
PHF6	TF
PITX1	TF
POLR2B	TF
POLR3A	TF
POLR3GL	TF
PPARA	TF
PRDM4	TF
RBL2	TF
RFX7	TF
RORA	TF
SMC3	TF
SND1	TF
TAF1	TF
TAF3	TF
TAF7	TF
TBX3	TF
TCFL5	TF
TEAD2	TF
TFAM	TF
TFCP2	TF
TFE3	TF
TOP1	TF
UBE2I	TF
XRN2	TF
ZBTB33	TF
MAN1A2	Glycogene
STT3B	Glycogene
NEU3	Glycogene
MAN2A1	Glycogene
SLC35A5	Glycogene
COG6	Glycogene
LAMP2	Glycogene
HAS2	Glycogene
FUT8	Glycogene
SLC35A5	Glycogene
STT3B	Glycogene
SLC35A3	Glycogene
PIGO	Glycogene
ALG10	Glycogene
ALG10B	Glycogene
MAN1B1	Glycogene
GANAB	Glycogene
MGAT2	Glycogene
ST3GAL2	Glycogene
UGGT2	Glycogene
C1GALT1C1	Glycogene
B3GAT3	Glycogene
TSTA3	Glycogene
HYAL2	Glycogene
ALG2	Glycogene
FUT2	Glycogene
LAMP2	Glycogene
SLC35B4	Glycogene
NEU3	Glycogene
PIGO	Glycogene
ALG2	Glycogene
SLC35E3	Glycogene
COG7	Glycogene
DAD1	Glycogene
HYAL3	Glycogene
GM2A	Glycogene
POMT2	Glycogene
CHST15	Glycogene
GCNT2	Glycogene
SLC35E1	Glycogene
GPI	Glycogene
COG7	Glycogene
ALG1	Glycogene
COG5	Glycogene
PIGK	Glycogene
COG5	Glycogene
SLC35A3	Glycogene
COG6	Glycogene
SLC35B4	Glycogene
PIGO	Glycogene
MAN1A2	Glycogene
SLC35A5	Glycogene
UGCG	Glycogene
COG1	Glycogene
PIGW	Glycogene
MAN2A1	Glycogene
MOGS	Glycogene
POMT1	Glycogene
MAN1B1	Glycogene
LAMP2	Glycogene
POMT2	Glycogene
MAN1B1	Glycogene
GALNT9	Glycogene
ACER2	Glycogene
MAN2A2	Glycogene
ST6GALNAC5	Glycogene
MAN2A1	Glycogene
SLC35E1	Glycogene
CSGALNACT2	Glycogene
FUT8	Glycogene
ST3GAL2	Glycogene
SULF2	Glycogene
POFUT2	Glycogene
DPM2	Glycogene
FUT2	Glycogene
XYLT1	Glycogene
B3GNT9	Glycogene
SLC35E1	Glycogene
CHSY1	Glycogene
MGAT5	Glycogene
STT3B	Glycogene
GNPNAT1	Glycogene
GANAB	Glycogene
PIGW	Glycogene
HS3ST5	Glycogene
POFUT1	Glycogene
PIGX	Glycogene
B4GALT7	Glycogene
AGA	Glycogene
SLC35A4	Glycogene
HYAL3	Glycogene
DAD1	Glycogene
STT3B	Glycogene
FKTN	Glycogene
COG2	Glycogene
MGAT5	Glycogene
MAN2A1	Glycogene
UGCG	Glycogene
ACER2	Glycogene
COG5	Glycogene
FUT11	Glycogene
GALNT10	Glycogene
B3GALT4	Glycogene
KHK	Glycogene
STT3B	Glycogene
ALG11	Glycogene
HS6ST1	Glycogene
GFPT1	Glycogene
SLC35E3	Glycogene
SLC35A2	Glycogene
FPGT	Glycogene
COG7	Glycogene
GALNT4	Glycogene
MGAT2	Glycogene
ST3GAL5	Glycogene
HYAL1	Glycogene
STT3B	Glycogene
SLC35A2	Glycogene
SLC35E1	Glycogene
OGT	Glycogene
IDS	Glycogene
C1GALT1C1	Glycogene
COG7	Glycogene
FUT11	Glycogene
PIGO	Glycogene
SLC35A4	Glycogene
SLC35A2	Glycogene
SULF2	Glycogene
FUT2	Glycogene
UGCG	Glycogene
HYAL1	Glycogene
SLC35E1	Glycogene
MGAT2	Glycogene
HYAL3	Glycogene
PIGG	Glycogene
FUT1	Glycogene
PIGO	Glycogene
ACER2	Glycogene
CTSA	Glycogene
PAPSS1	Glycogene
COG7	Glycogene
LAMP2	Glycogene
CHST12	Glycogene
PIGO	Glycogene
DPM1	Glycogene
C1GALT1C1	Glycogene
