TF	gene	ctype	RP	cor	clst	BP
ARID2	RTF1	BLCA	0.965859681142305	0.509044077000256	2	0.491665149898846
ATF1	SLC35A5	BLCA	0.862626154176508	0.448764062594942	1	0.387115617448901
ATF1	STT3B	BLCA	0.622289027270775	0.648220602859425	1	0.403380568410267
ATF1	SLC35A3	BLCA	0.604573759931286	0.516191157923441	1	0.312075629189059
ATF1	FUT11	BLCA	0.870624865793429	0.432993800676101	1	0.376975169603017
ATF1	HS2ST1	BLCA	0.519647841958342	0.463914836732365	1	0.24107234376043
ATF1	SLC35F5	BLCA	0.813130770882542	0.431576240716946	1	0.35092792130876
ATF1	MAN2A1	BLCA	0.649130341421516	0.449103447049356	1	0.291526673916728
ATF1	GLCE	BLCA	0.722353446424737	0.404440304645714	1	0.292148847933902
ATF1	LAMP2	BLCA	0.84383723427099	0.474931493247138	1	0.400764877729856
ATF1	GANAB	BLCA	0.970259823920979	0.468595081741264	1	0.454658981500516
ATF1	DPM1	BLCA	0.937459738028774	0.401814891715611	1	0.376685283123777
ATF1	CHSY1	BLCA	0.867726003865149	0.437109392946435	1	0.379291186793331
ATF1	RPN2	BLCA	0.932574618853339	0.432712215320911	1	0.403536429276083
ATRX	MGAT2	BLCA	0.996564496215578	0.442654401401406	2	0.4411336605302
BACH1	CSGALNACT2	BLCA	0.823759931286236	0.537364153591473	2	0.442659058238198
BACH1	UGCG	BLCA	0.585355378999356	0.553971761434959	2	0.324270350369701
BACH1	MAN1A2	BLCA	0.938801803736311	0.543001047793927	2	0.509770363099645
BACH1	FUT11	BLCA	0.897734593085677	0.505041118871999	2	0.453392883342089
BACH1	MAN1A1	BLCA	0.855593729869014	0.538153333600098	2	0.460440617936352
BACH1	NEU3	BLCA	0.758267124758428	0.459798503447938	2	0.348650089177696
BACH1	CHSY1	BLCA	0.689070216877818	0.51808741298642	2	0.35699860602822
BACH1	COG5	BLCA	0.639252737814043	0.588792013646515	2	0.376386906726578
BACH1	B3GNT2	BLCA	0.632273996134851	0.411126474803298	2	0.259944579140715
BACH1	B4GALT5	BLCA	0.716340992054971	0.490496494262328	2	0.351362745299361
BACH1	GFPT1	BLCA	0.690304917328752	0.46679664053851	2	0.322232016356275
BCAT1	ST3GAL2	BLCA	0.995168822803156	0.407467347214009	4	0.40549880025769
BMI1	MAN1A2	BLCA	0.784893708395963	0.463126397737832	3	0.363504995776511
BMI1	STT3B	BLCA	0.894137856989478	0.401732639151331	3	0.359204361053498
BMI1	GALNT4	BLCA	0.826283014816405	0.412410652225784	3	0.340767917063521
BMI1	NEU3	BLCA	0.892420012883831	0.509147818973221	3	0.454373703167856
BRCA1	PIGW	BLCA	0.988995061198196	0.537421952690696	1	0.531507656990589
BRCA1	ALG10	BLCA	0.674898003006227	0.439086418545508	1	0.29633854702352
BRCA1	UGGT1	BLCA	0.73657934292463	0.43674110894241	1	0.321694479052975
BRCA1	GANAB	BLCA	0.994417006656646	0.510868453696252	1	0.508016278519936
BRCA1	SLC35A3	BLCA	0.795254455658149	0.446219420200933	1	0.354857982115988
BRCA1	PIGX	BLCA	0.674898003006227	0.443562143664848	1	0.299359204968567
BRCA1	STT3B	BLCA	0.639038007300837	0.465791825428936	1	0.297658679939127
BRCA1	GNPNAT1	BLCA	0.757730298475413	0.477416113499646	1	0.361752654179058
BRCA1	SLC35B1	BLCA	0.857579987116169	0.525205594359993	1	0.450405806844583
BRCA1	DPM1	BLCA	0.852963281082242	0.405372500374212	1	0.3457678579797
BRCA1	RPN1	BLCA	0.920871805883616	0.498031125555946	1	0.458622821976954
BRCA1	ALG6	BLCA	0.684614558728795	0.433416919722979	1	0.296723533241741
BRD1	OGT	BLCA	0.505046167060339	0.427537713912243	2	0.215926283685118
BRD1	RTF1	BLCA	0.961616920764441	0.485719176407297	2	0.467075778773025
BRD1	ALG13	BLCA	0.567962207429676	0.456306845043579	2	0.259165042976222
BRD2	STT3B	BLCA	0.901975520721495	0.42639655220963	3	0.384599252213131
BRD2	NEU3	BLCA	0.65036504187245	0.402014965520614	3	0.261456479884166
BRD2	ALG10B	BLCA	0.885548636461241	0.41081154381394	3	0.363793602466972
BRD2	PIGG	BLCA	0.846950826712476	0.431539931026408	3	0.365493101342261
BRD2	FPGT	BLCA	0.738350869658578	0.426076434121624	3	0.314593905674727
BRD3	STT3B	BLCA	0.68042731372128	0.412463264226359	3	0.280651270886252
BRD3	UGCG	BLCA	0.711509555507838	0.41283599431494	3	0.293736754812659
BRD3	SLC35A5	BLCA	0.699430964140004	0.431029372316603	3	0.301475289452062
BRD3	ALG2	BLCA	0.787416791926133	0.523904373613377	3	0.412531101146716
BRD4	SLC35E1	BLCA	0.777753918831866	0.522573512303057	3	0.406433597071435
BRD4	STT3B	BLCA	0.975950182520936	0.430085320362623	3	0.419741846907477
BRD4	UGCG	BLCA	0.738887695941593	0.429988988530584	3	0.317713573015619
BRD4	MAN2A2	BLCA	0.795791281941164	0.443621424792257	3	0.353030062331996
BTAF1	PIGL	BLCA	0.986687422835364	0.408292836913172	3	0.402857407015997
CASP8AP2	ALG10B	BLCA	0.973643244403886	0.441068631243229	3	0.429443493128439
CBX3	GNPNAT1	BLCA	0.674092763581705	0.426295033278943	1	0.287362397084158
CBX6	ST3GAL2	BLCA	0.940576520478823	0.452251274914746	4	0.425376930541423
CBX6	UXS1	BLCA	0.926405067368082	0.417726687326139	4	0.386984119913818
CBX8	B4GALNT4	BLCA	0.884743397036719	0.428155428475739	9	0.378807688249337
CDK12	PIGO	BLCA	0.998872725320736	0.410380273612043	1	0.409917662320731
CDK12	GANAB	BLCA	0.999141124053894	0.51625340310722	1	0.515810005477196
CDK12	SLC35E1	BLCA	0.98888829244726	0.450969320534538	1	0.4459582813295
CDK8	STT3B	BLCA	0.863377710972729	0.634581497470919	2	0.547883520712089
CDK8	NEU3	BLCA	0.642258964998926	0.556327445235353	2	0.357306289177355
CDK8	MAN1A2	BLCA	0.904230191110157	0.600937234624328	2	0.543385590509565
CDK8	FUT11	BLCA	0.969078806098347	0.515830284060342	2	0.499880195826567
CDK8	SLC35A3	BLCA	0.764709040154606	0.550889142809718	2	0.421269907629613
CDK8	COG5	BLCA	0.883723427098991	0.533755414960482	2	0.471692164541521
CDK8	GANAB	BLCA	0.999033712690573	0.464160112397017	2	0.463711600370866
CDK8	SLC35F5	BLCA	0.799226970152459	0.440084564528248	2	0.351727453118776
CDK8	PIGO	BLCA	0.998818982177367	0.427251682472497	2	0.426747090620747
CDK8	PIGK	BLCA	0.6920227614344	0.519673183144597	2	0.359625671243129
CDK8	C1GALT1	BLCA	0.826658793214516	0.440061593091377	2	0.363780785484975
CDK9	DPM2	BLCA	0.829933433540906	0.624278437527325	5	0.518109547142605
CDK9	MAN1B1	BLCA	0.986633025552931	0.414541808756119	5	0.409000638991234
CEBPA	NAGK	BLCA	0.791979815331759	0.451924487699907	10	0.357915072312472
CEBPZ	PIGO	BLCA	0.946588652101562	0.435177569207011	1	0.411934148660499
CENPA	KHK	BLCA	0.843944599527593	0.493753992213424	1	0.416701015223708
CENPA	SLC35B1	BLCA	0.861391453725574	0.451056760197465	1	0.388536438379242
CENPA	GANAB	BLCA	0.790959845394031	0.428286138145775	1	0.338757137612189
CENPA	SLC35A2	BLCA	0.933540906162766	0.401969763660965	1	0.37525521741809
CHD1	MAN2A1	BLCA	0.681447283659008	0.505787320063253	2	0.344667395366273
CHD1	OGT	BLCA	0.813560231908954	0.436423954910774	2	0.355057173967832
CHD1	RTF1	BLCA	0.991035001073653	0.400249869952027	2	0.396661630297637
CHD1	NEU3	BLCA	0.786772600386515	0.415258369383669	2	0.326713907112253
CHD1	ALG13	BLCA	0.960757998711617	0.444085299614228	2	0.426658503714615
CHD2	MAN1A2	BLCA	0.945136353875886	0.425780028484582	3	0.402420183675089
CHD2	OGT	BLCA	0.676293751342066	0.51160724474658	3	0.345996782763443
CHD4	SLC35E3	BLCA	0.947769606527457	0.401244310864304	1	0.380287162629242
CHD8	NEU3	BLCA	0.869765943740606	0.575906519590189	2	0.500903877517729
CHD8	STT3B	BLCA	0.868531243289671	0.528858052822448	2	0.459329742141635
CHD8	FUT11	BLCA	0.996564311788705	0.455576205148269	2	0.454010987350895
CHD8	COG5	BLCA	0.76739317156968	0.467940766297493	2	0.35909454875578
CHD8	ALG10	BLCA	0.834979600601245	0.45500488328287	2	0.379919795715147
CHD8	PIGO	BLCA	0.994417006656646	0.428821891334729	2	0.426427781569923
CHD8	MGAT2	BLCA	0.991035001073653	0.461440590677153	2	0.457303776277159
CHD8	SLC35A3	BLCA	0.919100279149667	0.441491009276014	2	0.405774509867653
CHD8	UGCG	BLCA	0.807386729654284	0.463780713181603	2	0.374450393292426
CHD8	ALG10B	BLCA	0.856130556152029	0.477233824032865	2	0.408574459183816
CHD8	SLC35E3	BLCA	0.771097272922482	0.437813356334411	2	0.337596685118503
CIITA	FUT7	BLCA	0.87969722997638	0.655099453921141	4	0.576289174973467
CIITA	LAMP3	BLCA	0.923878033068499	0.527433082722367	4	0.487283839040795
CIITA	HK3	BLCA	0.85978097487653	0.550901740049292	4	0.473654835120757
CIITA	GCNT1	BLCA	0.85978097487653	0.519124832716068	4	0.446333654755237
CPSF3L	B3GALT6	BLCA	0.751610478849044	0.5824096592669	6	0.437745202887903
CPSF3L	RFNG	BLCA	0.785967360961993	0.430924148315453	6	0.338692315626291
CPSF3L	DPM3	BLCA	0.546972299763796	0.402962722545057	6	0.22040944706955
CREB3	PIGO	BLCA	0.948682162220194	0.447231645451433	1	0.424280684420161
CREB3L2	FUT11	BLCA	0.997208653175157	0.460117139507759	2	0.458832792991338
CREM	PAPSS2	BLCA	0.923076923076923	0.464659555895434	4	0.428916513134247
CSNK2A1	GANAB	BLCA	0.989693488646734	0.41792305606068	1	0.413615727338599
CSNK2A1	SLC35E3	BLCA	0.973160126684202	0.432695171996781	1	0.42108168839603
CTNNB1	STT3B	BLCA	0.553414215159974	0.587481159716695	2	0.325120424925886
CTNNB1	FUT11	BLCA	0.828645050461671	0.451407259863268	2	0.374056391628162
CTNNB1	UGCG	BLCA	0.824887266480567	0.507309363009466	2	0.418473033712876
CTNNB1	NEU3	BLCA	0.896714623147949	0.463106390357332	2	0.415274272306682
CTNNB1	MAN2A1	BLCA	0.623631092978312	0.513805833559343	2	0.320425293561246
CTNNB1	SLC35E1	BLCA	0.523351943311145	0.418332836853891	2	0.218935303118348
CTNNB1	COG6	BLCA	0.601943311144514	0.416721131202473	2	0.250842497539904
DCP1A	STT3B	BLCA	0.95560684953567	0.572810562711282	3	0.547381697213282
DEK	ALG10	BLCA	0.945192978689141	0.517181152751163	3	0.488835994290755
DEK	STT3B	BLCA	0.988512534220839	0.535416768556104	3	0.529266186749727
DEK	SLC35B3	BLCA	0.954747973589565	0.42984004469797	3	0.410388911643035
DEK	B3GNT5	BLCA	0.977239787428203	0.4864905720777	3	0.475417943243036
DEK	PIGK	BLCA	0.947447528047668	0.499198963765893	3	0.472964824223953
DEK	COG5	BLCA	0.980245853239573	0.424205373537794	3	0.415825558332367
DEK	GALNT3	BLCA	0.941059638198508	0.447782218922239	3	0.421389772930687
DR1	FUT11	BLCA	0.966825916581674	0.450038606834225	2	0.435108988549639
E2F1	PIGX	BLCA	0.887642258964999	0.517765071856136	1	0.459590157995556
E2F1	GALK1	BLCA	0.722246081168134	0.402568503047791	1	0.290753523727989
E2F1	SLC35B1	BLCA	0.785806313077088	0.425065690899309	1	0.334019303381151
E2F1	DPM1	BLCA	0.826873523727722	0.4075985067084	1	0.337032413508132
E2F1	RPN1	BLCA	0.843890916899291	0.613635252115225	1	0.517841215549245
E2F1	KHK	BLCA	0.944975305990981	0.471697707747006	1	0.445742685713471
E2F1	PMM1	BLCA	0.90036504187245	0.411531068497861	1	0.370528187719891
E2F1	GUSB	BLCA	0.743558084603822	0.409106470386854	1	0.304194423519879
E2F4	COG4	BLCA	0.785269486794073	0.473012266747289	8	0.371442099955945
E2F7	ALG10	BLCA	0.802125832080739	0.417185006024444	1	0.334634870088965
E2F7	SLC35A3	BLCA	0.785430534678978	0.482094876480361	1	0.378652036599966
E2F7	ALG10B	BLCA	0.805937298690144	0.428226857018367	1	0.345123996371953
EGR2	GFPT2	BLCA	0.743504401975521	0.737438699609189	4	0.548288919346536
EGR2	SULF1	BLCA	0.992699162550999	0.693080113997608	4	0.688020048746176
EGR2	CHSY3	BLCA	0.900901868155465	0.55242526502369	4	0.49768095327612
EGR2	CSGALNACT2	BLCA	0.681554648915611	0.553919149434384	4	0.377526171420385
EGR2	PAPSS2	BLCA	0.899774532961134	0.643655956048972	4	0.579145237241616
EGR2	CHST11	BLCA	0.822149452437191	0.592102864612279	4	0.486797045927477
EGR2	HS3ST3B1	BLCA	0.693794288168349	0.638433306017874	4	0.442941381091637
EGR2	CHST15	BLCA	0.98223105003221	0.611621916825614	4	0.600754037586336
EGR2	TPST1	BLCA	0.971977668026627	0.5266179672205	4	0.511860903719904
EGR2	ST3GAL2	BLCA	0.720206141292678	0.430700362059486	4	0.310193045812222
EGR2	ST6GALNAC5	BLCA	0.748872664805669	0.608785798165889	4	0.455903042968335
EGR2	SULF2	BLCA	0.832295469186171	0.59712471711787	4	0.496984196596277
EGR2	ST3GAL6	BLCA	0.778720206141293	0.592320722755505	4	0.461252115325926
EHF	ALG10	BLCA	0.944170066566459	0.510672825975804	1	0.482161996095257
EHF	UGGT1	BLCA	0.964354734807816	0.41155922703338	1	0.396889089243485
EHF	COG5	BLCA	0.944170066566459	0.588164374710078	1	0.555327196822034
EHF	PIGO	BLCA	0.944170066566459	0.464062298536793	1	0.438153731300468
ELF1	COG3	BLCA	0.843300407987975	0.576903183544744	2	0.486502690052844
ELF1	COG6	BLCA	0.611069357955766	0.742692489525766	2	0.453836622733079
ELF1	SLC35A5	BLCA	0.739263474339704	0.469839985416843	2	0.347335540002971
ELF1	MAN1A2	BLCA	0.618692291174576	0.544411197612156	2	0.33682301119176
ELF1	FUT11	BLCA	0.976379643547348	0.416044585335924	2	0.406217463930094
ELF1	PIGN	BLCA	0.666791926132703	0.433456193469887	2	0.289025090137936
ELF1	UGGT1	BLCA	0.836053253167275	0.446447652541456	2	0.373254012276178
ELF1	GALNT7	BLCA	0.740873953188748	0.46940130507402	2	0.347767200522147
ELF1	SLC35F5	BLCA	0.691539617779687	0.480908512918099	2	0.33256728921038
ELF1	MGAT2	BLCA	0.936332402834443	0.442190526579434	2	0.414037318262749
ELK3	FUT11	BLCA	0.939234526813033	0.574353354052087	2	0.53945250071659
ELK3	CHSY1	BLCA	0.903215416823233	0.580394100935011	2	0.524220899797762
EP400	STT3B	BLCA	0.864182950397251	0.43389190975634	3	0.374961990726732
EP400	B3GALNT2	BLCA	0.837610049388018	0.419713346108416	3	0.351556116562681
ERCC3	NEU3	BLCA	0.915669118041763	0.405671870067625	2	0.371461203479175
ERCC6	MAN1A2	BLCA	0.663624651062916	0.519893264330101	2	0.345013986131024
ERCC6	NDST2	BLCA	0.853714837878463	0.416743361625251	2	0.355779991406827
ERCC6	COG5	BLCA	0.864397680910457	0.410598872769362	2	0.354920713406284
ERCC6	MAN2A1	BLCA	0.701524586643762	0.464386862709355	2	0.325778801904974
ERCC6	COG6	BLCA	0.782209576980889	0.411734106359235	2	0.322062361163862
ERCC6	SLC35F5	BLCA	0.735290959845394	0.487727324598259	2	0.35862149264668
ERCC6	B3GALNT2	BLCA	0.721655572256818	0.416772261174863	2	0.300766024638914
ERCC6	FUT11	BLCA	0.621322739961348	0.508905507364939	2	0.316194564217404
ERCC6	GALNT7	BLCA	0.652727077517715	0.408629998325308	2	0.266723864592947
ETS1	ST3GAL2	BLCA	0.924468541979815	0.424808559009175	4	0.392722149167758
EZH2	RPN1	BLCA	0.954906592226755	0.511856966495789	1	0.488775591584018
EZH2	UAP1	BLCA	0.587019540476702	0.402868613755296	1	0.23649174851912
FOSL2	UGCG	BLCA	0.897627227829075	0.401019783594244	2	0.359966276652317
FOSL2	MGAT5	BLCA	0.660242645479923	0.479124150983103	2	0.316338196958406
FOSL2	NEU3	BLCA	0.825853553789994	0.435634033888056	2	0.359769915038322
FOXA1	GALNT4	BLCA	0.754455658149023	0.474864060964711	1	0.358263877646449
FOXM1	ALG10	BLCA	0.830201846682414	0.425982325331863	1	0.353651313144582
FOXM1	SLC35B1	BLCA	0.906968005153532	0.44729611367749	1	0.405683263935001
FOXM1	GANAB	BLCA	0.994631737169852	0.482081538226694	1	0.479493597823931
FOXM1	PIGW	BLCA	0.955980244792785	0.406786355262904	1	0.388879719482596
FOXM1	RPN2	BLCA	0.684292462958986	0.433007138929768	1	0.296303521577075
FOXM1	GNPNAT1	BLCA	0.672858063130771	0.430378761943295	1	0.289583820173785
FOXM1	PIGX	BLCA	0.826766158471119	0.472174920822644	1	0.390378245414942
FOXM1	DPM1	BLCA	0.947927850547563	0.463558408953821	1	0.439419926202844
FOXM1	B4GALT3	BLCA	0.967092548851192	0.456305363015394	1	0.441289516573026
FOXM1	RPN1	BLCA	0.731425810607687	0.57040448995259	1	0.417208566437837
FOXM1	GNB1	BLCA	0.855701095125617	0.441195344653065	1	0.377531339583952
FOXM1	SLC35A2	BLCA	0.568767446854198	0.451974876658204	1	0.257068596639128
FOXP3	FUT7	BLCA	0.919798153317586	0.642942746134224	4	0.591377550583197
