TF	gene	ctype	RP	cor	clst	BP
ADNP	FUT7	CESC	0.806251814456805	0.559400397736504	4	0.451017585682915
AHR	UGCG	CESC	0.999087444307263	0.449419579265812	10	0.449009458870326
ARID2	RTF1	CESC	0.965859681142305	0.592014035388221	1	0.571802487451836
ARID2	COG6	CESC	0.989210370927049	0.443303656329464	1	0.438520574310986
ASH2L	COG7	CESC	0.67683057762508	0.407409133329891	1	0.275746959041403
ATF1	STT3B	CESC	0.667060339274211	0.409604366789128	10	0.273230827878554
ATF1	SLC35E3	CESC	0.618638608546274	0.52153608407127	10	0.322642357356523
ATF1	GANAB	CESC	0.933594588791067	0.529305673979493	10	0.494156913043663
ATF1	CSGALNACT2	CESC	0.525069787416792	0.412048972723941	10	0.216354466513467
ATF1	CHSY1	CESC	0.869443847970797	0.450885587152532	10	0.39201969988847
ATF1	B4GALT1	CESC	0.694277431823062	0.404715154919502	10	0.280984598377385
BACH1	UGCG	CESC	0.585355378999356	0.517456703018792	10	0.302896064511322
BACH1	MAN1A2	CESC	0.938801803736311	0.417710231702295	10	0.392147118961227
BACH1	FUT11	CESC	0.897734593085677	0.457930989316027	10	0.411100490354945
BACH1	ACER2	CESC	0.800407987975091	0.442602138809788	10	0.354262287398214
BACH1	NEU3	CESC	0.758267124758428	0.403307209039397	10	0.30581459779265
BATF	FUT7	CESC	0.864021902512347	0.658146860236803	4	0.56865330231433
BATF	FUCA1	CESC	0.933540906162766	0.465973881381826	4	0.435005679473371
BATF	ST3GAL5	CESC	0.980405840669959	0.554309672755301	4	0.543448440709151
BATF	ST8SIA4	CESC	0.910296328108224	0.586454792422603	4	0.533847644143766
BATF	MGAT4A	CESC	0.802394245222246	0.479156617249774	4	0.384472512241377
BCL6	COG5	CESC	0.621483787846253	0.472873186539428	1	0.293883019141451
BCL6	PIGN	CESC	0.724930212583208	0.453021626135243	1	0.328409063739012
BRCA1	PIGW	CESC	0.996188533390595	0.455267237872374	1	0.453532001996867
BRCA1	ALG10	CESC	0.823706248657934	0.473530623065946	1	0.390050133150305
BRCA1	UGGT1	CESC	0.738136139145373	0.407385203647891	1	0.300705741365606
BRCA1	PIGO	CESC	0.972138715911531	0.421091873605939	1	0.409359713288058
BRCA1	PIGN	CESC	0.820700021473051	0.405809623006752	1	0.333047966315612
BRCA1	SLC35A3	CESC	0.839059480352158	0.43915122677404	1	0.368474000133039
BRCA1	ALG10B	CESC	0.811573974661799	0.486958953038629	1	0.395203213014709
BRCA1	STT3B	CESC	0.700987760360747	0.423117080377283	1	0.29659989454405
BRCA1	MAN1A2	CESC	0.715535752630449	0.428489923714693	1	0.306599860059757
BRD1	ALG12	CESC	0.96956194975306	0.516631758718276	2	0.500906495287244
BRD1	MAN2A2	CESC	0.959093837234271	0.428151129795855	2	0.410637109992095
BRD1	NDST2	CESC	0.701846682413571	0.440536629416128	2	0.309189171837366
BRD1	RTF1	CESC	0.961616920764441	0.454316347877122	2	0.436878287498545
BRD1	ACER2	CESC	0.928172643332618	0.408290753193038	2	0.378964307639448
BRD2	STT3B	CESC	0.953403478634314	0.430939567477295	10	0.41085928271402
BRD2	NEU3	CESC	0.759501825209362	0.428890566066273	10	0.325743167742411
BRD2	ALG10B	CESC	0.895587287953618	0.417083022142513	10	0.373534252652112
BRD2	MAN1A2	CESC	0.619712261112304	0.491282668738893	10	0.304453893489466
BRD3	RTF1	CESC	0.782048529095985	0.489727239408912	10	0.382990467237977
BRD3	STT3B	CESC	0.811359244148594	0.424076786571166	10	0.344078621013346
BRD3	UGCG	CESC	0.628301481640541	0.44550896544428	10	0.279913943072786
BRD3	FUT10	CESC	0.721548207000215	0.411865092009627	10	0.297180518665525
BRD3	SLC35A3	CESC	0.762830148164054	0.426780840637134	10	0.325561291896804
BRD3	PIGO	CESC	0.978687996564312	0.490752437364057	10	0.480293519732882
BRD3	B4GALT5	CESC	0.596628730942667	0.463953712438271	10	0.276808114668185
BRD4	SLC35E1	CESC	0.792194545844965	0.640584992562907	10	0.507467937258472
BRD4	STT3B	CESC	0.956033927421087	0.508857130982263	10	0.486484681429199
BRD4	UGCG	CESC	0.689392312647627	0.435296029058191	10	0.300089736158755
BRD4	FUT11	CESC	0.843998282155894	0.455546837314687	10	0.384480748135146
BRD4	MAN1A2	CESC	0.943364827141937	0.482539518610366	10	0.455210809563021
BRD4	NEU3	CESC	0.555400472407129	0.619437016270016	10	0.344035611462829
BRD4	POFUT1	CESC	0.767178441056474	0.423504993117068	10	0.324903900399185
BRD4	PIGO	CESC	0.993772815117028	0.437021485076065	10	0.434300071490665
BRD4	SLC35D1	CESC	0.757515567962207	0.402780629048367	10	0.305112596977749
CASP8AP2	ALG10B	CESC	0.973643244403886	0.535640742424681	1	0.521522990289273
CASP8AP2	SLC35A5	CESC	0.980943689945783	0.470606164034192	1	0.461638147058931
CBFB	COG6	CESC	0.735398325101997	0.419434428263221	1	0.308451376034886
CBX7	MAN1C1	CESC	0.610317801159545	0.510302987557825	1	0.311446997291438
CBX7	FAM20B	CESC	0.580309211939017	0.436325005384178	1	0.25320342002378
CBX7	COG7	CESC	0.667543482928924	0.453425911815343	1	0.302681512423437
CBX7	OGT	CESC	0.549495383293966	0.41757421035198	1	0.229455100771036
CBX7	GAL3ST4	CESC	0.725789134636032	0.415923062294	1	0.301872439457531
CDK12	PIGO	CESC	0.998872725320736	0.484705784559813	10	0.484159388001986
CDK12	GANAB	CESC	0.999141124053894	0.403829756685512	10	0.403482917021173
CDK12	ACER2	CESC	0.93676525846798	0.542540047582283	10	0.508232667902648
CDK12	SLC35E1	CESC	0.98888829244726	0.528048735946035	10	0.522181212818609
CDK12	COG8	CESC	0.99361211015084	0.423711544056434	10	0.421004921385184
CDK12	NEU3	CESC	0.896559128240915	0.688099482016715	10	0.616921871739931
CDK8	STT3B	CESC	0.858653639682199	0.621945029742076	10	0.534035363470287
