key	nodeType
ADNP	TF
AHR	TF
ARID2	TF
ASH2L	TF
ATF1	TF
BACH1	TF
BATF	TF
BCL6	TF
BRCA1	TF
BRD1	TF
BRD2	TF
BRD3	TF
BRD4	TF
CASP8AP2	TF
CBFB	TF
CBX7	TF
CDK12	TF
CDK8	TF
CEBPA	TF
CHD1	TF
CHD2	TF
CHD8	TF
CLOCK	TF
CPSF3L	TF
CREB1	TF
CREBBP	TF
DEK	TF
DNMT3A	TF
E2F1	TF
E2F3	TF
E2F7	TF
EED	TF
EHF	TF
ELF1	TF
ELK3	TF
EP400	TF
ERCC3	TF
ERCC6	TF
FLI1	TF
FOSL1	TF
FOSL2	TF
FOXA1	TF
FOXK1	TF
FOXO1	TF
FOXP3	TF
GABPA	TF
GAPDH	TF
GATA6	TF
GLYR1	TF
GRHL1	TF
GRHL2	TF
GTF3C2	TF
HCFC1	TF
HDAC1	TF
HDAC3	TF
HECTD1	TF
HIF1A	TF
HINFP	TF
HOXA6	TF
HSF1	TF
IKZF1	TF
INO80	TF
INTS3	TF
IRF1	TF
IRF2	TF
IRF4	TF
IRF8	TF
JARID2	TF
KAT2B	TF
KDM2B	TF
KDM3A	TF
KDM5A	TF
KDM5B	TF
KDM5C	TF
KDM6B	TF
KLF11	TF
KLF4	TF
KLF5	TF
LDB1	TF
LEF1	TF
LIN9	TF
LYL1	TF
MAZ	TF
MBD2	TF
MBD3	TF
MECOM	TF
MED1	TF
MED12	TF
MEF2A	TF
MEF2D	TF
MEIS1	TF
MRE11A	TF
MZF1	TF
NCOR2	TF
NFAT5	TF
NFYA	TF
NFYB	TF
NIPBL	TF
NPAT	TF
NR2C2	TF
NRF1	TF
PBX1	TF
PHF20	TF
PHF6	TF
PHF8	TF
PIAS1	TF
PML	TF
POLR2B	TF
POLR3A	TF
RB1	TF
RBBP5	TF
RBL2	TF
RCOR1	TF
RFX7	TF
RLF	TF
RNF2	TF
RUNX1	TF
RXRA	TF
RYBP	TF
SETDB1	TF
SIN3A	TF
SIRT6	TF
SMAD1	TF
SMAD3	TF
SMAD4	TF
SMARCA4	TF
SMARCC1	TF
SMC1A	TF
SMC3	TF
SOX2	TF
SP2	TF
SRCAP	TF
SSRP1	TF
STAT1	TF
STAT2	TF
STAT3	TF
STAT4	TF
STAT5A	TF
STAT6	TF
SVIL	TF
TAF1	TF
TAF3	TF
TBX21	TF
TCF7L1	TF
TDRD3	TF
TERF2	TF
TET2	TF
TFAP2C	TF
TFCP2	TF
THAP11	TF
TP63	TF
TTF2	TF
UBTF	TF
USF1	TF
VDR	TF
WDR5	TF
XRN2	TF
YY1	TF
ZBTB33	TF
FUT7	Glycogene
UGCG	Glycogene
RTF1	Glycogene
COG6	Glycogene
COG7	Glycogene
STT3B	Glycogene
SLC35E3	Glycogene
GANAB	Glycogene
CSGALNACT2	Glycogene
CHSY1	Glycogene
B4GALT1	Glycogene
UGCG	Glycogene
MAN1A2	Glycogene
FUT11	Glycogene
ACER2	Glycogene
NEU3	Glycogene
FUT7	Glycogene
FUCA1	Glycogene
ST3GAL5	Glycogene
ST8SIA4	Glycogene
MGAT4A	Glycogene
COG5	Glycogene
PIGN	Glycogene
PIGW	Glycogene
ALG10	Glycogene
UGGT1	Glycogene
PIGO	Glycogene
PIGN	Glycogene
SLC35A3	Glycogene
ALG10B	Glycogene
STT3B	Glycogene
MAN1A2	Glycogene
ALG12	Glycogene
MAN2A2	Glycogene
NDST2	Glycogene
RTF1	Glycogene
ACER2	Glycogene
STT3B	Glycogene
NEU3	Glycogene
ALG10B	Glycogene
MAN1A2	Glycogene
RTF1	Glycogene
STT3B	Glycogene
UGCG	Glycogene
FUT10	Glycogene
SLC35A3	Glycogene
PIGO	Glycogene
B4GALT5	Glycogene
SLC35E1	Glycogene
STT3B	Glycogene
UGCG	Glycogene
FUT11	Glycogene
MAN1A2	Glycogene
NEU3	Glycogene
POFUT1	Glycogene
PIGO	Glycogene
SLC35D1	Glycogene
ALG10B	Glycogene
SLC35A5	Glycogene
COG6	Glycogene
MAN1C1	Glycogene
FAM20B	Glycogene
COG7	Glycogene
OGT	Glycogene
GAL3ST4	Glycogene
