TF	gene	ctype	RP	cor	clst	BP
AFF4	MAN1A2	GBM.	0.79638179085248	0.820045504728076	1	0.653069307635871
AFF4	STT3B	GBM.	0.96703886622289	0.611879614073825	1	0.591711368258851
AFF4	NEU3	GBM.	0.830470259823921	0.665837853405654	1	0.552958535118395
AFF4	FUT11	GBM.	0.968273566673824	0.510668650698411	1	0.49446695580026
AFF4	ACER2	GBM.	0.831758642903156	0.529923486775788	1	0.440768440203138
AFF4	UGGT1	GBM.	0.721762937513421	0.689097873565977	1	0.497365305459232
AFF4	SLC35E1	GBM.	0.9710113807172	0.438677482839725	1	0.425960828301747
AFF4	GFPT1	GBM.	0.756334550139575	0.59411011376182	1	0.449346005625418
ASCL1	POMT1	GBM.	0.765675327464033	0.435176114817837	3	0.333203614217673
ATF2	MAN1A2	GBM.	0.870571183165128	0.78204732875726	1	0.680827868287336
ATF2	MAN2A1	GBM.	0.906699592012025	0.424558344933519	1	0.384946878136522
ATF2	FUT11	GBM.	0.941271204638179	0.588997455959295	1	0.554406344899628
ATF2	SLC35F5	GBM.	0.912550998496886	0.451918014688235	1	0.412398235542479
ATF2	ACER2	GBM.	0.759340777324458	0.564553160850573	1	0.428688236001254
ATF2	NEU3	GBM.	0.720689284947391	0.738391974271588	1	0.532151183948683
ATF2	UGGT1	GBM.	0.661316298045952	0.519502328037249	1	0.343555356403847
ATF2	FUT10	GBM.	0.88479707966502	0.45637478999664	1	0.403799081421764
ATF2	STT3B	GBM.	0.529257032424307	0.689087121393942	1	0.364704204950766
ATF2	COG5	GBM.	0.844803521580417	0.565127634042145	1	0.477421815381213
ATF2	GANAB	GBM.	0.975520721494524	0.40566601065617	1	0.395735599401112
ATF2	SLC35A3	GBM.	0.649613485076229	0.676517064273028	1	0.439474607835941
ATF2	SLC35E1	GBM.	0.808621430105218	0.44956098497576	1	0.36352464659061
ATF2	STT3A	GBM.	0.74130341421516	0.492916046656746	1	0.365400348308085
ATF2	COG8	GBM.	0.820431608331544	0.443211827389238	1	0.363624992376515
ATF2	EXTL2	GBM.	0.905840669959201	0.422785772572361	1	0.382976547476166
ATF3	TPST1	GBM.	0.914054112089328	0.412940623049969	5	0.377450074547553
ATF4	PMM1	GBM.	0.794288168348722	0.555588921422743	6	0.441297706751713
ATF7	NDST1	GBM.	0.828054541550354	0.454956271300341	1	0.376728606657062
ATF7	UGGT1	GBM.	0.838307923555937	0.517470935534969	1	0.433799985468868
ATF7	MAN2A1	GBM.	0.967951470904015	0.42509441751068	1	0.411470766702548
ATF7	MAN2A2	GBM.	0.877442559587717	0.407997695963135	1	0.357994542651784
ATF7	SLC35E1	GBM.	0.803789993558085	0.431634042144674	1	0.346943123954918
BACH1	CSGALNACT2	GBM.	0.823759931286236	0.515080113281812	4	0.424302358723932
BACH1	UGCG	GBM.	0.585355378999356	0.491817789084625	4	0.287888188328256
BACH1	MAN1A2	GBM.	0.938801803736311	0.565408726539625	4	0.530806732323651
BACH1	FUT11	GBM.	0.897734593085677	0.527128690059041	4	0.473221660073939
BACH1	MAN1A1	GBM.	0.855593729869014	0.495369845917535	4	0.423835334133223
BACH1	ACER2	GBM.	0.800407987975091	0.461328469255508	4	0.36925099187243
BACH1	CHSY1	GBM.	0.689070216877818	0.576557960927375	4	0.397288919178859
BACH1	B3GNT2	GBM.	0.632273996134851	0.426241827869246	4	0.269501623826712
BACH1	B4GALT5	GBM.	0.716340992054971	0.408052992847886	4	0.292305085707655
BACH1	UGDH	GBM.	0.684829289242001	0.457896990351846	4	0.313581270448706
BACH1	GCNT1	GBM.	0.603016963710543	0.462978159650554	4	0.279183684096772
BACH1	GFPT1	GBM.	0.690304917328752	0.427938367013872	4	0.295407959063312
BACH1	NDST2	GBM.	0.882488726648057	0.422676714827437	4	0.373007435851849
BACH1	GALNT2	GBM.	0.647412497315869	0.469534680554889	4	0.303982620114449
BACH1	B4GALT1	GBM.	0.617135494953833	0.465347477559641	4	0.287182445889287
BACH1	STT3A	GBM.	0.855271634099205	0.410376998031969	4	0.350983805703528
BACH1	HAS3	GBM.	0.578537685205068	0.403921086737388	4	0.233683570526564
BACH2	DSEL	GBM.	0.576121966931501	0.504919310708971	1	0.29089510642735
BACH2	UGGT1	GBM.	0.741893923126476	0.457459223347573	1	0.339386217879722
BACH2	GNE	GBM.	0.9347756066137	0.405092305476888	1	0.3786704055867
BACH2	XYLT1	GBM.	0.851245436976594	0.446841453463255	1	0.380371748312585
BATF3	RPN1	GBM.	0.955875248268828	0.408318725099602	2	0.390301762727393
BCAT1	ST3GAL2	GBM.	0.995168822803156	0.442083617337877	3	0.439947833046696
BCL6	CSGALNACT2	GBM.	0.581919690788061	0.443507512120194	4	0.258085754315166
BMI1	ALG13	GBM.	0.905572256817694	0.449643162290597	1	0.407184373238141
BRCA1	UGGT1	GBM.	0.733465750483144	0.489770268324293	1	0.359229717420808
BRCA1	GANAB	GBM.	0.997262185956624	0.483450295204723	1	0.482126698197237
