TF	gene	ctype	RP	cor	clst	BP
AEBP2	FAM20B	KICH	0.969778302646412	0.488141025641026	10	0.473388575298233
AFF4	MAN1A2	KICH	0.790852480137427	0.80970695970696	1	0.640358757268785
AFF4	STT3B	KICH	0.964623147949324	0.689606227106227	1	0.665210129636665
AFF4	MAN2A1	KICH	0.757783981103715	0.846565934065934	1	0.641514103783269
AFF4	COG5	KICH	0.977775391883187	0.614194139194139	1	0.600543915142906
AFF4	UGGT1	KICH	0.775177152673395	0.588965201465201	1	0.456552367895507
AFF4	SLC35A3	KICH	0.834335409061628	0.640521978021978	1	0.53441016654593
AFF4	ALG10	KICH	0.735022546703887	0.595192307692308	1	0.437479765778564
AFF4	SLC35A5	KICH	0.826873523727722	0.680173992673993	1	0.562417866070298
AFF4	HS2ST1	KICH	0.707805454155035	0.643864468864469	1	0.455730782798906
AFF4	PIGK	KICH	0.757783981103715	0.620283882783883	1	0.470041190110441
ATF1	SLC35A5	KICH	0.847595018252094	0.551007326007326	1	0.467031064544217
ATF1	SLC35A3	KICH	0.703296113377711	0.564194139194139	1	0.396795545285721
ATF2	MAN1A2	KICH	0.816190680695727	0.848855311355311	1	0.692827794387275
ATF2	MAN2A1	KICH	0.899398754563023	0.628800366300366	1	0.565542266319322
ATF2	UGGT1	KICH	0.674468541979815	0.807142857142857	1	0.544392466026565
ATF2	COG5	KICH	0.804004724071291	0.527380952380952	1	0.424016777099502
ATF2	SLC35A3	KICH	0.542355593729869	0.728983516483516	1	0.395368287901705
ATF2	COG6	KICH	0.598829718703028	0.656730769230769	1	0.393269901802085
ATF2	GNS	KICH	0.502093622503758	0.655952380952381	1	0.329349507142346
ATF2	SLC35E3	KICH	0.622879536182091	0.794368131868132	1	0.494795653535856
ATF2	PIGK	KICH	0.545254455658149	0.781959706959707	1	0.426367014364921
ATF2	FPGT	KICH	0.619980674253811	0.707554945054945	1	0.438670391906783
ATF7IP	ALG10	KICH	0.916474314241237	0.821978021978022	2	0.753321744013676
ATRX	SLC35A3	KICH	0.945622416662193	0.661721611721612	1	0.625738789633792
ATRX	PIGK	KICH	0.976273551988835	0.612637362637363	1	0.59810165410305
BARX2	DPAGT1	KICH	0.990874443072629	0.500915750915751	8	0.496344615714953
BARX2	SLC35B1	KICH	0.96736271404799	0.481959706959707	8	0.466229850186316
BCOR	PIGO	KICH	0.964839765956305	0.435668498168498	2	0.420350291807429
BCOR	COG8	KICH	0.98115840893231	0.525686813186813	2	0.51578203722307
BCOR	GCNT1	KICH	0.93069944709861	0.420467032967033	2	0.391328435105611
BCOR	FUT10	KICH	0.943367867303666	0.411034798534799	2	0.387757021281365
