TF	gene	ctype	RP	cor	clst	BP
ADNP	FUT7	LUAD	0.826272467624892	0.534109509120018	1	0.441319982082517
AFF4	MAN1A2	LUAD	0.79783122181662	0.547186817376844	2	0.436562727069715
AFF4	STT3B	LUAD	0.968166201417221	0.426430364685858	2	0.412855466346867
AFF4	MAN2A1	LUAD	0.64746617994417	0.583556175220105	2	0.377832887552592
ATF2	MAN1A2	LUAD	0.870571183165128	0.581076279225746	2	0.505868263914748
ATF2	MAN2A1	LUAD	0.906699592012025	0.455552403637441	2	0.413049178518165
ATF2	FUT11	LUAD	0.941271204638179	0.473873061666066	2	0.4460430676
ATF2	SLC35F5	LUAD	0.912550998496886	0.492016625283386	2	0.448990262679422
ATF2	ACER2	LUAD	0.759340777324458	0.427302744159445	2	0.324468397902907
ATF2	NEU3	LUAD	0.720689284947391	0.502236879279494	2	0.361956737402148
ATF2	UGGT1	LUAD	0.661316298045952	0.520722687608674	2	0.344362400077907
ATF2	STT3B	LUAD	0.529257032424307	0.568607776075487	2	0.300939664179097
ATF2	COG5	LUAD	0.844803521580417	0.42299333197048	2	0.357346256453696
ATF2	COG6	LUAD	0.68370195404767	0.42050252549034	2	0.287498398359726
ATF2	ALG10	LUAD	0.547294395533605	0.459838042452126	2	0.251666783487193
ATF7IP	ALG10	LUAD	0.916474314241237	0.50022418177099	7	0.458442613955452
BACH1	CSGALNACT2	LUAD	0.823759931286236	0.509266447844433	2	0.419513294082716
BACH1	MAN1A2	LUAD	0.938801803736311	0.451752683405266	2	0.424106234023582
BACH1	B3GNT2	LUAD	0.632273996134851	0.437794956369542	2	0.276806366551453
BACH1	B3GALNT1	LUAD	0.656270130985613	0.438271227785677	2	0.287624316066132
BRCA1	ALG10	LUAD	0.794341850977024	0.472910527125765	7	0.3756526234636
BRCA1	GANAB	LUAD	0.997637964354735	0.424723045931997	7	0.42371983495814
BRCA1	GPI	LUAD	0.770882542409276	0.417327688975356	7	0.32171062989511
BRD1	ALG12	LUAD	0.96956194975306	0.57979940784774	3	0.562151444338524
BRD1	MAN2A2	LUAD	0.959093837234271	0.414490273589044	3	0.397535066992799
BRD1	SGSH	LUAD	0.715965213656861	0.431647988680658	3	0.309044944440302
CAMTA2	SGSH	LUAD	0.982607762091363	0.427440675669157	3	0.42000652574609
CBX3	DPM1	LUAD	0.946263689070217	0.40586363960024	7	0.384054024867588
CBX3	GNPNAT1	LUAD	0.560983465750483	0.436184453821082	7	0.244692266611032
CBX4	MOGS	LUAD	0.915508078801868	0.405570434650784	3	0.371303009445978
CBX7	ST6GALNAC6	LUAD	0.715482070002147	0.528870293848094	1	0.378397212605078
CBX7	MFNG	LUAD	0.798207000214731	0.549162189539256	1	0.438345103943483
CBX7	ST8SIA1	LUAD	0.702490873953189	0.497228277222811	1	0.349298327020491
CBX7	FUCA1	LUAD	0.993933863001933	0.414513357880012	1	0.411998863063583
CBX7	ST3GAL6	LUAD	0.926293751342066	0.403088586253707	1	0.373378438684116
CBX8	RFNG	LUAD	0.995168563452867	0.51678285376963	3	0.514286050202996
CBX8	GALK1	LUAD	0.959147519862573	0.460696066023369	3	0.441875489136759
CBX8	B3GAT3	LUAD	0.994255958771741	0.420726822108549	3	0.418310149896523
CBX8	SLC35B1	LUAD	0.919422374919476	0.403457820061972	3	0.370948147101213
CDK12	GANAB	LUAD	0.999141124053894	0.416646300426543	2	0.416288452941073
CDK8	ALG10	LUAD	0.601352802233197	0.416854403586908	7	0.250676563720235
CDK9	DPM2	LUAD	0.863162980459523	0.563523145159994	3	0.486412317534225
CDK9	PIGQ	LUAD	0.941969078806098	0.458490425187373	3	0.431883803455166
CDK9	MAN1B1	LUAD	0.986096199269916	0.402276271875524	3	0.396683102752926
CHD1	MAN2A1	LUAD	0.635172858063131	0.533205891202933	2	0.338677909851466
CHD1	SLC35D1	LUAD	0.854466394674683	0.416197822037344	2	0.355627052467705
CHD2	OGT	LUAD	0.599527592870947	0.502201391488902	3	0.301083591375782
CHD2	NDST2	LUAD	0.885441271204638	0.415404687144691	3	0.36781645424976
CHD2	MAN2A2	LUAD	0.554971011380717	0.479100103132802	3	0.265886668788217
CHD8	NEU3	LUAD	0.814097058191969	0.436451932993539	2	0.355314234692238
CLOCK	FUT11	LUAD	0.920392935745343	0.492150996529317	2	0.452972300525614
