key	nodeType
ADNP	TF
AFF4	TF
ATF2	TF
ATF7IP	TF
BACH1	TF
BRCA1	TF
BRD1	TF
BRD2	TF
BRD3	TF
CAMTA2	TF
CBX3	TF
CBX4	TF
CBX7	TF
CBX8	TF
CDK12	TF
CDK8	TF
CDK9	TF
CHD1	TF
CHD2	TF
CHD7	TF
CHD8	TF
CLOCK	TF
CPSF3L	TF
CREB1	TF
CREBBP	TF
DCP1A	TF
DEK	TF
DNMT3A	TF
E2F1	TF
E2F3	TF
E2F4	TF
E2F8	TF
EBF1	TF
EGR2	TF
ELF1	TF
ELK3	TF
ELL	TF
EP400	TF
ERCC6	TF
ERG	TF
ESRRA	TF
ETS1	TF
ETV1	TF
EZH1	TF
EZH2	TF
FANCD2	TF
FLI1	TF
FOSL1	TF
FOXK1	TF
FOXM1	TF
FOXO1	TF
FOXP3	TF
GABPA	TF
GAPDH	TF
GATA3	TF
GATA6	TF
GLYR1	TF
GMEB2	TF
GTF2B	TF
GTF2I	TF
GTF3C2	TF
H2AFX	TF
HCFC1	TF
HDAC6	TF
HECTD1	TF
HES4	TF
HIF1A	TF
HNF1B	TF
HOXB4	TF
HSF1	TF
IKZF1	TF
INO80	TF
IRF1	TF
IRF3	TF
IRF4	TF
IRF5	TF
IRF8	TF
JARID2	TF
JMJD1C	TF
JMJD6	TF
KAT2B	TF
KDM1A	TF
KDM2B	TF
KDM4C	TF
KDM5A	TF
KDM5B	TF
KDM5C	TF
KDM6B	TF
KLF11	TF
KLF4	TF
LEF1	TF
LIN9	TF
LMNB1	TF
LMO2	TF
LYL1	TF
MAF	TF
MAFB	TF
MAFK	TF
MECP2	TF
MED1	TF
MED12	TF
MEF2A	TF
MEF2C	TF
MEIS1	TF
MEIS3	TF
MITF	TF
MLLT1	TF
MRE11A	TF
MXD3	TF
MYBL2	TF
MZF1	TF
NCAPG	TF
NFATC1	TF
NFIC	TF
NFYC	TF
NIPBL	TF
NKX2-1	TF
NOTCH1	TF
NPAT	TF
NR0B2	TF
NR2C2	TF
NR2F1	TF
NR2F2	TF
NRF1	TF
PHF20	TF
PHF6	TF
PHF8	TF
PIAS1	TF
PML	TF
POLR2B	TF
POLR3A	TF
RAC3	TF
RARA	TF
RBBP5	TF
RELA	TF
REST	TF
RFX2	TF
RFX7	TF
RING1	TF
RNF2	TF
RUNX1	TF
RUNX2	TF
RXRA	TF
SETDB1	TF
SFMBT1	TF
SIN3A	TF
SIRT6	TF
SIX5	TF
SMAD1	TF
SMARCA4	TF
SMARCC1	TF
SMC1A	TF
SMC3	TF
SNAPC1	TF
SOX2	TF
SP2	TF
SPDEF	TF
SPIB	TF
SRCAP	TF
SREBF2	TF
SSRP1	TF
STAT1	TF
STAT3	TF
STAT4	TF
STAT5A	TF
STAT6	TF
SUMO1	TF
TAF1	TF
TBX21	TF
TCF21	TF
TCF7	TF
TCF7L1	TF
TEAD1	TF
TET2	TF
TFCP2	TF
THAP11	TF
TP63	TF
TRIM28	TF
TTF2	TF
USF1	TF
VDR	TF
WDR5	TF
XBP1	TF
XRN2	TF
YY1	TF
ZBTB17	TF
ZBTB33	TF
FUT7	Glycogene
MAN1A2	Glycogene
STT3B	Glycogene
MAN2A1	Glycogene
FAM20B	Glycogene
MAN1A2	Glycogene
MAN2A1	Glycogene
FUT11	Glycogene
SLC35F5	Glycogene
ACER2	Glycogene
NEU3	Glycogene
UGGT1	Glycogene
STT3B	Glycogene
COG5	Glycogene
COG6	Glycogene
ALG10	Glycogene
