TF	gene	ctype	RP	cor	clst	BP
AFF4	MAN1A2	PRAD	0.800139574833584	0.853322324150891	5	0.6827769616421
AFF4	STT3B	PRAD	0.970045093407773	0.802125031573037	5	0.77809745117698
AFF4	NEU3	PRAD	0.849151814472837	0.723889978033768	5	0.614692488326076
AFF4	FUT11	PRAD	0.965857848400258	0.722353065145635	5	0.697690377286894
AFF4	ACER2	PRAD	0.846038222031351	0.748571588880348	5	0.633320176119513
AFF4	COG5	PRAD	0.941861713549495	0.631380588232074	5	0.594673202734149
AFF4	UGCG	PRAD	0.771043590294181	0.76996647588602	5	0.593677715973315
AFF4	GALNT10	PRAD	0.941271204638179	0.648001299675238	5	0.609944963952417
AFF4	SLC35D1	PRAD	0.79783122181662	0.707542866995991	5	0.564499790063046
AFF4	SLC35E1	PRAD	0.975628086751127	0.60428271142596	5	0.589555185605293
AFF4	PIGO	PRAD	0.979117457590724	0.600473615106887	5	0.587934199373766
ALKBH3	B3GAT3	PRAD	0.960438026732514	0.447474391627652	2	0.429771421708194
ALKBH3	DPM3	PRAD	0.995007783563262	0.48811680811648	2	0.485680023363953
AR	MAN2A1	PRAD	0.71993772815117	0.800951746233327	5	0.576635380541934
AR	ACER2	PRAD	0.940251234700451	0.818919639093793	5	0.769990201778387
AR	FUT11	PRAD	0.943794288168349	0.764165932243285	5	0.721215442064054
AR	UGCG	PRAD	0.934721923985398	0.747668189471067	5	0.698861848565075
AR	COG5	PRAD	0.865793429246296	0.6773360724002	5	0.586433120875587
AR	PIGO	PRAD	0.976487008803951	0.652158872394882	5	0.636824666569836
AR	FAM20B	PRAD	0.852050676401117	0.658382084187988	5	0.560974900162752
ARID2	RTF1	PRAD	0.965859681142305	0.718810238031375	5	0.694269827306808
ARNT2	ALG10B	PRAD	0.95829083686725	0.541426170704757	5	0.518843738226492
ARNT2	PIGO	PRAD	0.999892640506737	0.480660977133692	5	0.480609373614756
ARNT2	GANAB	PRAD	0.937302055934296	0.511000124337162	5	0.478961467123903
ASCL2	ST6GALNAC4	PRAD	0.920553974985238	0.471490766547477	1	0.434032699314117
ASCL2	B3GNT9	PRAD	0.997584411401578	0.461853951326886	1	0.460738302187925
ATF1	FUT11	PRAD	0.876046811251879	0.607215680401883	5	0.53194936055821
ATF1	SLC35F5	PRAD	0.789403049173288	0.637312018242373	5	0.503096050475311
ATF1	GALNT4	PRAD	0.887749624221602	0.629855209766176	5	0.559153725783941
ATF1	RTF1	PRAD	0.745705389735882	0.603406388584128	5	0.449963396168248
ATF2	MAN1A2	PRAD	0.718273566673824	0.875461279140056	5	0.628820695452756
ATF2	MAN2A1	PRAD	0.867779686493451	0.855046622525671	5	0.741992090032611
ATF2	FUT11	PRAD	0.953027700236204	0.805633157671251	5	0.767790715489463
ATF2	SLC35F5	PRAD	0.942559587717415	0.623322719058228	5	0.587518805090421
ATF2	RTF1	PRAD	0.833422804380502	0.687112374988368	5	0.572655122487353
ATF2	PIGO	PRAD	0.990820270560447	0.631892110533391	5	0.626091511923706
ATF3	HAS3	PRAD	0.841797294395534	0.472620214094517	1	0.397850417501402
ATF4	RFNG	PRAD	0.814150740820271	0.629112119276092	2	0.512192097967641
ATF4	DPM2	PRAD	0.646983036289457	0.577715711290674	2	0.373772265002964
ATF4	B4GALT7	PRAD	0.961724286021044	0.488651692510289	2	0.469948200092432
ATF4	IDUA	PRAD	0.790154605969508	0.493910704804028	2	0.390265818338549
ATF4	PIGQ	PRAD	0.882435044019755	0.479254461866418	2	0.422910932153757
ATF4	B3GALT6	PRAD	0.857794717629375	0.457701318677709	2	0.392613773413738
ATRX	FKTN	PRAD	0.936389500241559	0.750126194399197	5	0.702410292291567
AUTS2	GAL3ST4	PRAD	0.962799935584304	0.473556457282365	1	0.455940126566992
BACH1	CSGALNACT2	PRAD	0.823759931286236	0.524484352676494	5	0.432049194321495
BACH1	UGCG	PRAD	0.585355378999356	0.696320949404159	5	0.407595213243663
BACH1	MAN1A2	PRAD	0.938801803736311	0.738132839008399	5	0.692960440658089
BACH1	FUT11	PRAD	0.897734593085677	0.603264652039716	5	0.541571546921847
BACH1	MAN1A1	PRAD	0.855593729869014	0.511520639577848	5	0.437653851921395
BACH1	ACER2	PRAD	0.800407987975091	0.69089331949724	5	0.552996531764218
BACH1	NEU3	PRAD	0.758267124758428	0.59603882525624	5	0.45195664627144
BACH1	SLC35E1	PRAD	0.773888769594159	0.536698230580529	5	0.415344733307328
BACH1	PIGO	PRAD	0.993719132488727	0.487466970497685	5	0.484405255039867
BCOR	MAN2A2	PRAD	0.996940254441999	0.610221863634195	5	0.608354739997545
BCOR	PIGO	PRAD	0.964839765956305	0.607893278833514	5	0.586519608876139
BMI1	ALG10B	PRAD	0.89929138930642	0.634224018811665	5	0.570352199008643
BMI1	FAM20B	PRAD	0.902673394889414	0.566869346666865	5	0.511697877614523
BMI1	MAN1A2	PRAD	0.700987760360747	0.60665538117942	5	0.425257996963757
BMI1	ALG10	PRAD	0.855271634099205	0.544833517232427	5	0.465980652595395
BMI1	STT3B	PRAD	0.850279149667168	0.58885473744136	5	0.500690905429123
BMI1	GALNT4	PRAD	0.913570968434615	0.512673886302659	5	0.468363978800658
BMI1	UGCG	PRAD	0.952812969722998	0.530360554309143	5	0.50533441477523
BMI1	GALNT1	PRAD	0.993504401975521	0.501274749155641	5	0.498018669885304
BMI1	SLC35A3	PRAD	0.890057977238566	0.507640283989205	5	0.451829284332243
BMI1	FKTN	PRAD	0.913893064204423	0.592135889569833	5	0.541148882544386
BMI1	NEU3	PRAD	0.87427528451793	0.483194835550419	5	0.422445302328437
BMI1	GLCE	PRAD	0.925112733519433	0.528237047625825	5	0.488678819075362
BRD1	MAN2A2	PRAD	0.959093837234271	0.601965270050149	5	0.577341180734162
BRD1	NDST2	PRAD	0.701846682413571	0.54473244441386	5	0.382318658914903
BRD1	OGT	PRAD	0.505046167060339	0.498356638079546	5	0.251693109891151
BRD1	POFUT2	PRAD	0.547187030277002	0.514743924096464	5	0.281661199179475
BRD2	STT3B	PRAD	0.91158471118746	0.451057784718415	5	0.411177380411392
BRD2	FUT11	PRAD	0.886890702168778	0.464548366764911	5	0.412003627191491
BRD2	RTF1	PRAD	0.964408417436118	0.473277089665861	5	0.456432409053425
BRD2	NDST2	PRAD	0.915449860425166	0.528867139877743	5	0.484151349384537
BRD2	MAN2A2	PRAD	0.82209576980889	0.572222980322667	5	0.4704220915107
BRD2	FKTN	PRAD	0.776841314150741	0.50130172797375	5	0.389431893145165
BRD2	UGDH	PRAD	0.920442344857204	0.529305545672011	5	0.487195237604268
BRD2	POFUT1	PRAD	0.707214945243719	0.499408225489744	5	0.353188960843992
BRD2	COG1	PRAD	0.82934292462959	0.472742107522711	5	0.392065322048441
BRD2	NDST1	PRAD	0.615847111874597	0.517905724279607	5	0.318950744520917
BRD2	UGCG	PRAD	0.521150955550784	0.513011903523746	5	0.267356643730327
BRD2	SLC35E1	PRAD	0.549602748550569	0.468977096156418	5	0.257751101054832
BRD3	RTF1	PRAD	0.836482714193687	0.629047115964344	5	0.526187038917565
BRD3	STT3B	PRAD	0.812271848829719	0.497966324961037	5	0.404484027431042
BRD3	FUT11	PRAD	0.992484432037793	0.542737575863264	5	0.53865859472622
BRD3	NDST2	PRAD	0.945190036504187	0.497473961530551	5	0.470207431858944
BRD3	GANAB	PRAD	0.914161477345931	0.53120334912702	5	0.485605638409063
BRD3	NDST1	PRAD	0.735290959845394	0.640817211860358	5	0.471187102794252
BRD3	ALG10B	PRAD	0.644782048529096	0.625963222005957	5	0.403609848588874
BRD3	MAN2A2	PRAD	0.895211509555508	0.562246682582866	5	0.503329701457584
BRD4	STT3B	PRAD	0.917275069787417	0.453984399987175	5	0.416428572180635
BRD4	UGCG	PRAD	0.682359888340133	0.563210491084869	5	0.384312247808663
BRD4	FUT11	PRAD	0.87030277002362	0.489983331782377	5	0.426433850915605
BRD4	MAN2A2	PRAD	0.953725574404123	0.535746445247466	5	0.510955086228607
BRD4	NDST2	PRAD	0.673609619926992	0.559015969114336	5	0.376558534488227
BRD4	COG1	PRAD	0.636675971655572	0.447747112288969	5	0.285069827772556
C17orf49	B3GAT3	PRAD	0.988029416501154	0.637113391581514	2	0.629486772529354
CASP8AP2	ALG10B	PRAD	0.973643244403886	0.676541663506105	5	0.658710220230486
CBFA2T3	GALNS	PRAD	0.910837940844919	0.505077100770187	6	0.460043386433439
CBX7	MFNG	PRAD	0.925112733519433	0.492510054497213	1	0.455627322801722
CBX7	GCNT4	PRAD	0.952866652351299	0.63658457718379	1	0.606580214999585
CBX7	CHST15	PRAD	0.930105217951471	0.558744225946429	1	0.519690920053029
CBX7	CHST3	PRAD	0.841689929138931	0.735434663949496	1	0.619007950185965
CBX7	SLC35F4	PRAD	0.835892205282371	0.628284321405108	1	0.525177966963654
CBX7	ST6GALNAC2	PRAD	0.86412926776895	0.62448515422109	1	0.53963589904965
CBX7	GAL3ST3	PRAD	0.887266480566889	0.598862797611789	1	0.531350886779453
CBX7	UST	PRAD	0.878140433755637	0.595181368037217	1	0.522652824691475
CBX7	HS3ST3B1	PRAD	0.943257461885334	0.542551107292638	1	0.511765380407931
CBX7	B4GALNT1	PRAD	0.937513420657075	0.527868728109035	1	0.494884016947401
CDK12	PIGO	PRAD	0.998872725320736	0.698942391230398	5	0.6981544911705
CDK12	GANAB	PRAD	0.999141124053894	0.661033632811248	5	0.660465886924459
CDK12	SLC35E1	PRAD	0.98888829244726	0.678032243206616	5	0.670498147208776
CDK8	STT3B	PRAD	0.816244363324028	0.687430060346533	5	0.561110911937354
CDK8	MAN1A2	PRAD	0.876959415933004	0.672672255843651	5	0.589906268598984
CDK8	FUT11	PRAD	0.971548207000215	0.634550208362495	5	0.616496117186195
CDK8	SLC35D1	PRAD	0.901653424951686	0.518440804172098	5	0.467453926716479
CDK8	RTF1	PRAD	0.906699592012025	0.538438950844593	5	0.488202377054175
CDK8	SLC35E3	PRAD	0.806474124973159	0.572278795196363	5	0.461528040596681
CDK8	POFUT1	PRAD	0.795898647197767	0.590216874507832	5	0.469752811974078
CDK8	PIGO	PRAD	0.997906377496242	0.496395493051586	5	0.495356228276569
CDK8	FAM20B	PRAD	0.863968219884045	0.524435087008643	5	0.453095248567592
CDK8	MAN2A2	PRAD	0.931125187889199	0.509484911802725	5	0.474394234229024
CDK9	PIGQ	PRAD	0.927152673394889	0.51755480414551	2	0.479852320291878
CDK9	DPM3	PRAD	0.832349151814473	0.492163924080824	2	0.409652224762357
CDK9	B4GALT7	PRAD	0.933218810392957	0.476947870667456	2	0.445096724483737
CDK9	NAGK	PRAD	0.621698518359459	0.463574001334083	2	0.288203269779365
CEBPA	DPM3	PRAD	0.92248228473266	0.491460519823175	2	0.453363623182383
CEBPA	DPM2	PRAD	0.887964354734808	0.561327643279029	2	0.498438938559073
CEBPA	B3GAT3	PRAD	0.988619282800086	0.505516972804569	2	0.499763827097324
CEBPA	NANS	PRAD	0.830040798797509	0.500550915285729	2	0.415477681562591
CEBPA	ALG3	PRAD	0.786396821988405	0.469898872441802	2	0.369526979944168
CEBPD	MGAT1	PRAD	0.943528906543561	0.412580320633478	1	0.389281458788697
CEBPD	B3GNT8	PRAD	0.990659724086102	0.437991532561087	1	0.433900570799015
CEBPZ	RTF1	PRAD	0.959525471039777	0.515563259072507	5	0.49469607901235
CHD1	MAN2A1	PRAD	0.636837019540477	0.661426096415258	5	0.421220623887385
CHD1	RTF1	PRAD	0.987975091260468	0.57519807926455	5	0.56828137485424
CHD1	SLC35D1	PRAD	0.839649989263474	0.581814536656394	5	0.488520569456874
CHD1	MAN2A2	PRAD	0.944116383938158	0.505037610036433	5	0.476814282140367
CHD1	B3GNT5	PRAD	0.891077947176294	0.55459633041154	5	0.494188559614621
CHD2	MAN1A2	PRAD	0.941056474124973	0.569729785631785	5	0.536147903270624
CHD2	NDST2	PRAD	0.849796006012454	0.648579096029735	5	0.551159925389237
CHD8	NEU3	PRAD	0.81629804595233	0.778782782196482	5	0.635718863328307
CHD8	STT3B	PRAD	0.787470474554434	0.766195013063222	5	0.603355950538136
CHD8	FUT11	PRAD	0.995007515567962	0.746339091681844	5	0.742613005385601
CHD8	RTF1	PRAD	0.860639896929354	0.68552482794161	5	0.58999001726218
CHD8	PIGO	PRAD	0.995436976594374	0.664134730653646	5	0.661104268333184
CHD8	NDST2	PRAD	0.896070431608332	0.68099131125658	5	0.610216178199208
CHD8	GANAB	PRAD	0.999087395318875	0.597082494969819	5	0.596537594689892
CLOCK	FUT11	PRAD	0.920392935745343	0.833237962559656	5	0.76690633453475
CLOCK	PIGO	PRAD	0.973965322883676	0.680940383849932	5	0.663212320820933
CPSF3L	B3GALT6	PRAD	0.729976379643547	0.606814028359821	2	0.442959907539019
CPSF3L	RFNG	PRAD	0.76411853124329	0.800526732098772	2	0.611697310752304
CPSF3L	PIGQ	PRAD	0.669798153317586	0.677362953468968	2	0.453696455359261
CPSF3L	B3GAT3	PRAD	0.979224822847327	0.597398811837211	2	0.584987745690497
CPSF3L	B4GALT7	PRAD	0.957805454155035	0.593292264273554	2	0.5682585666292
CPSF3L	GALT	PRAD	0.933594588791067	0.538684594938461	2	0.502913022899655
CPSF3L	PMM1	PRAD	0.950075155679622	0.516462162012104	2	0.490677868976284
CREB1	FUT11	PRAD	0.951044071071985	0.720654572596872	5	0.685374258559171
CREB3	GMPPA	PRAD	0.993290031671051	0.66848897504733	4	0.664003435196511
CREB3	B3GALT4	PRAD	0.956304686241881	0.493745410668441	4	0.472171050032652
CREB3	NAGLU	PRAD	0.935476944548822	0.494278633323454	4	0.462386265657192
CREB3L2	FUT11	PRAD	0.997208653175157	0.563564636947218	5	0.561991532587282
CREB3L4	GMPPA	PRAD	0.987116860808417	0.442486829253797	4	0.436786209842078
CREBBP	FUT11	PRAD	0.991518144728366	0.662532912203106	5	0.656913403929105
CREBBP	NDST2	PRAD	0.79783122181662	0.656921220287133	5	0.524112259818948
CSNK2A1	GANAB	PRAD	0.989693488646734	0.624485251970431	5	0.618048987631051
CSNK2A1	FUT11	PRAD	0.974609479843255	0.657339880714524	5	0.64064967922341
CSNK2A1	SLC35E3	PRAD	0.973160126684202	0.620682411609181	5	0.604023374312247
CSNK2A1	UGDH	PRAD	0.961833700144935	0.609882575671675	5	0.58660561441221
CTBP1	TSTA3	PRAD	0.984271834236942	0.456347783553243	2	0.449170269967913
CTNNB1	FUT11	PRAD	0.778076014601675	0.660915062860646	5	0.514242158100827
CTNNB1	UGCG	PRAD	0.855862143010522	0.681855904177494	5	0.583574655373727
CTNNB1	B4GALT5	PRAD	0.714998926347434	0.644365415188371	5	0.460720580035104
CTNNB1	NEU3	PRAD	0.86885333905948	0.59605290116134	5	0.51788255343012
CTNNB1	SLC35A3	PRAD	0.835999570538974	0.57548419158558	5	0.481104537017513
CTNNB1	MAN2A1	PRAD	0.696210006441915	0.723986456633309	5	0.504046615636535
CTNNB1	EXT2	PRAD	0.909115310285592	0.56200621920407	5	0.510928458354141
CTNNB1	GNS	PRAD	0.632488726648057	0.676688092018884	5	0.427997589658927
CTNNB1	ARSB	PRAD	0.863485076229332	0.533343668696986	5	0.460534298421249
CTNNB1	RTF1	PRAD	0.864880824565171	0.580206755496054	5	0.50180969711171
DCP1A	STT3B	PRAD	0.95560684953567	0.703013064785917	5	0.671804100022486
DDIT3	DPM3	PRAD	0.937409415427559	0.451838997451479	2	0.423558130468365
DLX1	UGDH	PRAD	0.909066509206077	0.421180796399071	2	0.382881356327139
DNMT3A	UGDH	PRAD	0.723212368477561	0.47772507567754	2	0.345496683461876
DNMT3A	MGAT5	PRAD	0.723212368477561	0.450517133113489	2	0.325819562878727
DR1	FUT11	PRAD	0.966825916581674	0.663867972702128	5	0.641844761196953
DYRK1A	PIGN	PRAD	0.98802877388877	0.473279142402022	5	0.467613410774598
DYRK1A	GLCE	PRAD	0.989639252737814	0.560279477095765	5	0.554474563037386
DYRK1A	ACER2	PRAD	0.970904015460597	0.484407807122564	5	0.47031348505576
EBF1	ST6GALNAC3	PRAD	0.7862357741035	0.72382595221543	1	0.569097857856302
EBF1	ST3GAL2	PRAD	0.930105217951471	0.553210831252576	1	0.514544280775292
EBF1	SULF2	PRAD	0.992860210435903	0.676997370933725	1	0.672163752169811
EBF1	CHST1	PRAD	0.64998926347434	0.494062705029243	1	0.321135453752098
EBF1	HAS2	PRAD	0.797562808675113	0.485212381948121	1	0.386987350150485
EBF1	CHST3	PRAD	0.993504401975521	0.656806853558193	1	0.652540500257756
EBF1	HYAL1	PRAD	0.654015460596951	0.590689785819464	1	0.386320252342631
EBF1	EXTL1	PRAD	0.816190680695727	0.523104797436206	1	0.426953260694657
EBF1	SULF1	PRAD	0.778398110371484	0.55786819635262	1	0.434243549877227
EBF1	B3GALT2	PRAD	0.6195512132274	0.53924744882156	1	0.334091411147178
EBF1	MFNG	PRAD	0.620141722138716	0.597671630247869	1	0.370641114055367
