key	nodeType
AFF4	TF
ALKBH3	TF
AR	TF
ARID2	TF
ARNT2	TF
ASCL2	TF
ATF1	TF
ATF2	TF
ATF3	TF
ATF4	TF
ATRX	TF
AUTS2	TF
BACH1	TF
BCOR	TF
BMI1	TF
BRD1	TF
BRD2	TF
BRD3	TF
BRD4	TF
C17orf49	TF
CASP8AP2	TF
CBFA2T3	TF
CBX7	TF
CDK12	TF
CDK8	TF
CDK9	TF
CEBPA	TF
CEBPD	TF
CEBPZ	TF
CHD1	TF
CHD2	TF
CHD8	TF
CLOCK	TF
CPSF3L	TF
CREB1	TF
CREB3	TF
CREB3L2	TF
CREB3L4	TF
CREBBP	TF
CSNK2A1	TF
CTBP1	TF
CTNNB1	TF
DCP1A	TF
DDIT3	TF
DLX1	TF
DNMT3A	TF
DR1	TF
DYRK1A	TF
EBF1	TF
EGLN2	TF
EHF	TF
ELK4	TF
ELL2	TF
EP400	TF
ERCC3	TF
ERCC6	TF
ERG	TF
ESR1	TF
ESRRA	TF
ETS2	TF
EZH1	TF
FOXA1	TF
FOXO1	TF
GABPA	TF
GATA3	TF
GATA6	TF
GATAD1	TF
GLI1	TF
GLI3	TF
GLYR1	TF
GMEB1	TF
GRHL1	TF
GTF2F1	TF
GTF2I	TF
HBP1	TF
HCFC1	TF
HDAC1	TF
HDAC2	TF
HECTD1	TF
HES1	TF
HEYL	TF
HIF1A	TF
HIRA	TF
HOXA13	TF
HSF1	TF
IKZF1	TF
INO80	TF
IRF1	TF
IRF2	TF
IRF3	TF
ISL1	TF
JMJD1C	TF
JUN	TF
KAT2B	TF
KDM1A	TF
KDM4A	TF
KDM4C	TF
KDM5A	TF
KDM5B	TF
KDM6B	TF
KLF11	TF
KLF5	TF
LDB1	TF
LEF1	TF
LEO1	TF
MAZ	TF
MBD3	TF
MECOM	TF
MECP2	TF
MED1	TF
MED12	TF
MEF2A	TF
MEF2B	TF
MEF2D	TF
MEIS1	TF
MLLT3	TF
MRE11A	TF
MYH11	TF
MZF1	TF
NCOR1	TF
NCOR2	TF
NFAT5	TF
NFIC	TF
NFYA	TF
NIPBL	TF
NPAT	TF
NR1H2	TF
NR1H3	TF
NR2C2	TF
NR2F1	TF
NR2F2	TF
NR5A2	TF
PBX1	TF
PCGF1	TF
PHF20	TF
PHF6	TF
PHF8	TF
PIAS1	TF
POLR2B	TF
POLR3A	TF
PPARA	TF
PRDM4	TF
PRKDC	TF
