key	nodeType
ADNP	TF
AFF4	TF
ATF2	TF
ATF7IP	TF
ATRX	TF
BATF	TF
BATF3	TF
BCAT1	TF
BMI1	TF
BRCA1	TF
BRD1	TF
BRD4	TF
BTAF1	TF
CASP8AP2	TF
CBX8	TF
CDK12	TF
CDK8	TF
CDK9	TF
CHD1	TF
CHD2	TF
CHD8	TF
CIITA	TF
CLOCK	TF
CPSF3L	TF
CREB3L4	TF
CREBBP	TF
CTNNB1	TF
DCP1A	TF
DEK	TF
DICER1	TF
E2F4	TF
EBF1	TF
EGR2	TF
ELF1	TF
ELK4	TF
ESRRA	TF
ETS1	TF
EZH1	TF
FLI1	TF
FOXO1	TF
FOXP3	TF
GABPA	TF
GPS2	TF
GREB1	TF
GTF2B	TF
GTF2I	TF
H2AFX	TF
HCFC1	TF
HSF1	TF
IKZF1	TF
INO80	TF
IRF1	TF
IRF2	TF
IRF3	TF
IRF4	TF
IRF5	TF
IRF8	TF
JARID2	TF
JMJD6	TF
KAT2B	TF
KAT5	TF
KDM4A	TF
KDM5A	TF
KDM5B	TF
LIN9	TF
LYL1	TF
MAFB	TF
MAZ	TF
MED1	TF
MEF2B	TF
MEF2D	TF
MITF	TF
MXI1	TF
NFIC	TF
NFYA	TF
NFYC	TF
NIPBL	TF
NPAT	TF
NR1H3	TF
NR2C2	TF
PHF8	TF
PIAS1	TF
PML	TF
POLR2B	TF
POLR3A	TF
POLR3G	TF
POU2F2	TF
PPARA	TF
PRDM1	TF
RB1	TF
RBBP5	TF
RBL2	TF
RCOR1	TF
RELA	TF
REST	TF
RFX7	TF
RING1	TF
RNF2	TF
RUNX1	TF
SETDB1	TF
SFMBT1	TF
SMAD4	TF
SMC3	TF
SND1	TF
SSRP1	TF
STAT1	TF
STAT2	TF
STAT4	TF
SUPT5H	TF
TAF1	TF
TAF3	TF
TBX21	TF
TCF12	TF
TCF7	TF
TEAD1	TF
TERF2	TF
TFAP2A	TF
THAP11	TF
TTF2	TF
VDR	TF
VEZF1	TF
WDR5	TF
YAP1	TF
ZBTB17	TF
ZBTB33	TF
FUT7	Glycogene
MAN1A2	Glycogene
STT3B	Glycogene
NEU3	Glycogene
FUT11	Glycogene
MAN2A1	Glycogene
UGCG	Glycogene
MAN1A2	Glycogene
MAN2A1	Glycogene
FUT11	Glycogene
SLC35F5	Glycogene
ACER2	Glycogene
UGGT1	Glycogene
SLC35A3	Glycogene
COG6	Glycogene
COG3	Glycogene
EXTL2	Glycogene
GALNT4	Glycogene
ALG10	Glycogene
ALG10B	Glycogene
SLC35A3	Glycogene
COG3	Glycogene
FUT7	Glycogene
NAGK	Glycogene
FUCA1	Glycogene
LAMP3	Glycogene
GM2A	Glycogene
CHST12	Glycogene
HK3	Glycogene
ST8SIA4	Glycogene
GCNT1	Glycogene
ALG10B	Glycogene
ALG10	Glycogene
ALG12	Glycogene
SLC35E1	Glycogene
ALG10	Glycogene
ALG10B	Glycogene
GALK1	Glycogene
ACER2	Glycogene
STT3B	Glycogene
NEU3	Glycogene
COG3	Glycogene
DPM2	Glycogene
MAN1B1	Glycogene
ST6GALNAC6	Glycogene
POMT1	Glycogene
CSGALNACT2	Glycogene
MAN1A2	Glycogene
OGT	Glycogene
COG3	Glycogene
ALG10B	Glycogene
NEU3	Glycogene
MGAT2	Glycogene
POMT2	Glycogene
FUT7	Glycogene
LAMP3	Glycogene
MAN1A1	Glycogene
FUT11	Glycogene
FAM20B	Glycogene
RFNG	Glycogene
B4GALT3	Glycogene
