key	nodeType
ADNP	TF
AFF4	TF
AHR	TF
ARID3A	TF
ASCL2	TF
ATF2	TF
BACH1	TF
BATF3	TF
BCL6	TF
BCOR	TF
BRCA1	TF
BRD1	TF
C17orf49	TF
CBFA2T3	TF
CBFB	TF
CBX3	TF
CBX6	TF
CBX7	TF
CBX8	TF
CDK12	TF
CDK8	TF
CDX2	TF
CEBPA	TF
CEBPB	TF
CHD1	TF
CHD2	TF
CHD8	TF
CIITA	TF
CPSF3L	TF
CREBBP	TF
CSNK2A1	TF
CTBP1	TF
CTNNB1	TF
DEK	TF
E2F1	TF
E2F3	TF
E2F6	TF
E2F7	TF
E2F8	TF
EBF1	TF
EED	TF
EGR2	TF
EHF	TF
EHMT2	TF
ELF1	TF
ELK3	TF
ELK4	TF
EP400	TF
ERCC6	TF
ERG	TF
ESRRA	TF
ETS1	TF
ETV1	TF
EZH2	TF
FANCD2	TF
FLI1	TF
FOSL2	TF
FOXA2	TF
FOXD2	TF
FOXK1	TF
FOXM1	TF
FOXO1	TF
FOXP3	TF
GABPA	TF
GAPDH	TF
GATA3	TF
GATA6	TF
GLI1	TF
GLI2	TF
GLYR1	TF
GMEB2	TF
GPS2	TF
GRHL1	TF
GTF2B	TF
GTF2I	TF
GTF3C2	TF
H2AFX	TF
HCFC1	TF
HDAC1	TF
HDAC2	TF
HECTD1	TF
HEYL	TF
HIF1A	TF
HMGN1	TF
HNF1B	TF
HNF4A	TF
HNF4G	TF
HOXA13	TF
HOXA4	TF
HSF1	TF
IKZF1	TF
IRF1	TF
IRF4	TF
ISL1	TF
JMJD1C	TF
KDM1A	TF
KDM3A	TF
KDM4A	TF
KLF4	TF
KLF5	TF
LDB1	TF
LEF1	TF
LMO2	TF
LYL1	TF
MAF	TF
MAFB	TF
MAZ	TF
MECOM	TF
MECP2	TF
MED12	TF
MEF2A	TF
MEF2B	TF
MEF2C	TF
MEF2D	TF
MEIS1	TF
MEIS3	TF
MRE11A	TF
MXD3	TF
MYB	TF
MYBL2	TF
MYH11	TF
NCOR1	TF
NFIC	TF
NIPBL	TF
NR2C2	TF
NR2F1	TF
NR2F2	TF
NR2F6	TF
NR4A1	TF
PAX5	TF
PBX1	TF
PBX3	TF
PCGF1	TF
PDX1	TF
PHF20	TF
PHF6	TF
PHF8	TF
PML	TF
POLR2B	TF
POLR3A	TF
POU2F1	TF
PPARA	TF
PPARG	TF
PRDM1	TF
RARA	TF
RB1	TF
RBBP5	TF
RBL2	TF
RCOR1	TF
RFX7	TF
RUNX1	TF
RUNX3	TF
SETDB1	TF
SFMBT1	TF
SIN3A	TF
SIRT6	TF
SIX5	TF
SMARCB1	TF
SMARCC1	TF
SMC1A	TF
SMC3	TF
SNAI2	TF
SPIB	TF
SRC	TF
SRCAP	TF
STAT1	TF
STAT2	TF
STAT3	TF
STAT4	TF
STAT5A	TF
STAT5B	TF
SUMO2	TF
TAF1	TF
TBL1XR1	TF
TCF12	TF
TCF21	TF
TCF7L1	TF
TDRD3	TF
TEAD1	TF
TET2	TF
THAP11	TF
TRIM28	TF
TTF1	TF
TTF2	TF
UBE2I	TF
VDR	TF
WDR5	TF
XBP1	TF
XRN2	TF
YY1	TF
ZBTB33	TF
FUT7	Glycogene
MAN1A2	Glycogene
MAN2A1	Glycogene
UGCG	Glycogene
UGCG	Glycogene
GALNT5	Glycogene
POFUT1	Glycogene
KHK	Glycogene
MAN1A2	Glycogene
MAN2A1	Glycogene
NEU3	Glycogene
UGGT1	Glycogene
