TF	gene	ctype	RP	cor	clst	BP
ADNP	FUT7	TGCT	0.704283713638324	0.858347158218126	2	0.604519924180764
AEBP2	DPM1	TGCT	0.97240861023136	0.444086021505376	3	0.431833070995217
AEBP2	UGP2	TGCT	0.990767083579365	0.438433179723502	3	0.434385162819082
ARID2	COG6	TGCT	0.989210370927049	0.564909370199693	1	0.558814207635404
ARID3A	UGDH	TGCT	0.864075585140649	0.606924731182796	3	0.524428842233105
ARID3A	DSEL	TGCT	0.608170496027486	0.593511520737327	3	0.360956195964848
ARID3A	HAS2	TGCT	0.584872235344642	0.567354838709677	3	0.331830092749728
ARID3A	GCNT2	TGCT	0.985774103500107	0.534574500768049	3	0.526969699248641
ASCL2	GM2A	TGCT	0.939878683772613	0.687490015360983	2	0.646157210744294
ASCL2	CTSA	TGCT	0.980299532986204	0.660110599078341	2	0.647106111995741
ASCL2	B3GAT3	TGCT	0.97375060389715	0.475674347158218	2	0.463188182803697
ATF2	MAN1A2	TGCT	0.870571183165128	0.746537634408602	1	0.649914151664392
ATF2	MAN2A1	TGCT	0.906699592012025	0.535453149001536	1	0.485495151741247
ATF2	FUT11	TGCT	0.941271204638179	0.673308755760369	1	0.633766143627996
ATF2	ACER2	TGCT	0.759340777324458	0.695066052227342	1	0.527791996390152
ATF2	NEU3	TGCT	0.720689284947391	0.711256528417819	1	0.512594958879602
ATF2	UGGT1	TGCT	0.661316298045952	0.631852534562212	1	0.417854379067634
ATF2	STT3B	TGCT	0.529257032424307	0.849013824884792	1	0.449346537445735
ATF2	COG5	TGCT	0.844803521580417	0.630900153609831	1	0.532986671535211
ATF2	COG6	TGCT	0.68370195404767	0.61458064516129	1	0.420189988016652
ATF2	FAM20B	TGCT	0.670066566459094	0.665124423963134	1	0.44567763903306
ATF2	SLC35A5	TGCT	0.629858277861284	0.60994777265745	1	0.384180653671347
ATF2	SLC35E1	TGCT	0.808621430105218	0.657695852534562	1	0.531826960850768
ATF2	GNE	TGCT	0.715159974232338	0.668301075268817	1	0.477942179768691
ATF2	COG8	TGCT	0.820431608331544	0.624559139784946	1	0.512408059551929
ATF2	B3GALNT2	TGCT	0.537094696156324	0.666777265745008	1	0.35812253294926
ATF2	SLC35A2	TGCT	0.965965213656861	0.549259600614439	1	0.530565667460609
ATF4	RFNG	TGCT	0.806474124973159	0.578500768049155	3	0.466545900708743
ATF4	DPM2	TGCT	0.676186386085463	0.535182795698925	3	0.361883320518771
ATF5	MAN2B1	TGCT	0.990767083579365	0.616884792626728	2	0.611189146895245
ATF5	MGAT1	TGCT	0.95190294701809	0.574660522273425	2	0.547021044687028
ATF5	ST8SIA1	TGCT	0.927424982554082	0.523975422427035	2	0.485947897003161
ATF7IP	ALG10	TGCT	0.916474314241237	0.612872503840246	3	0.561681907674299
ATF7IP	FUT10	TGCT	0.961511621665146	0.529572964669739	3	0.50919056004962
ATRX	SLC35A3	TGCT	0.945622416662193	0.536878648233487	3	0.507684484796881
ATRX	COG3	TGCT	0.982017284878415	0.466193548387097	3	0.457810122614931
ATRX	FUT10	TGCT	0.973482205163992	0.511379416282642	3	0.497818761838301
AUTS2	POFUT2	TGCT	0.914380804122605	0.45384331797235	8	0.414985618033229
BACH2	COG6	TGCT	0.732392097917114	0.58857757296467	1	0.431069563450558
BATF	FUT7	TGCT	0.823491518144728	0.903164362519201	2	0.743748192025152
BATF	NAGK	TGCT	0.84818552716341	0.612651305683564	2	0.519641970678565
BATF	FUCA1	TGCT	0.922697015245866	0.649751152073733	2	0.599523448670996
BATF	LAMP3	TGCT	0.874865793429246	0.72094623655914	2	0.630731201267141
BATF	MGAT1	TGCT	0.846467683057763	0.650427035330261	2	0.550565465594136
