key	nodeType
ARID2	TF
ARID3A	TF
ASCL2	TF
ASH2L	TF
ATF1	TF
ATF2	TF
ATRX	TF
AUTS2	TF
BACH2	TF
BATF	TF
BCAT1	TF
BCL6	TF
BCLAF1	TF
BCOR	TF
BMI1	TF
BRCA1	TF
BRD1	TF
BRD2	TF
BRD3	TF
BRD4	TF
BRD7	TF
BTAF1	TF
CAMTA2	TF
CASP8AP2	TF
CBFB	TF
CBX3	TF
CBX6	TF
CBX7	TF
CBX8	TF
CD59	TF
CDK7	TF
CDK8	TF
CDK9	TF
CEBPD	TF
CEBPG	TF
CEBPZ	TF
CHD1	TF
CHD2	TF
CHD3	TF
CHD4	TF
CHD8	TF
CPSF3L	TF
CREB3	TF
CREBBP	TF
CREM	TF
CTBP1	TF
CTNNB1	TF
DAXX	TF
DCP1A	TF
DDIT3	TF
DEK	TF
DLX4	TF
DNMT3A	TF
DR1	TF
DYRK1A	TF
E2F1	TF
E2F2	TF
E2F4	TF
E2F6	TF
E2F7	TF
EGLN2	TF
EGR2	TF
ELF1	TF
ELF2	TF
ELL	TF
EP400	TF
ERCC3	TF
ERCC6	TF
ERG	TF
ETS1	TF
ETS2	TF
ETV7	TF
EZH1	TF
EZH2	TF
FLI1	TF
FOXK1	TF
FOXM1	TF
FOXO1	TF
FOXP1	TF
FOXQ1	TF
FUS	TF
GABPA	TF
GATA3	TF
GATAD1	TF
GLYR1	TF
GMEB1	TF
GPS2	TF
GRHL1	TF
GRHL2	TF
GRHL3	TF
GTF2I	TF
GTF3C1	TF
GTF3C2	TF
H2AFX	TF
HCFC1	TF
HDAC1	TF
HDAC2	TF
HDAC3	TF
HES1	TF
HES4	TF
HEXIM1	TF
HEY1	TF
HEYL	TF
HINFP	TF
HIRA	TF
HIST1H1B	TF
HOXA4	TF
IKZF1	TF
ING5	TF
INO80	TF
INTS3	TF
IRF2	TF
IRF3	TF
IRF8	TF
ISL1	TF
JARID2	TF
JDP2	TF
JMJD1C	TF
KAT2B	TF
KDM1A	TF
KDM2B	TF
KDM3A	TF
KDM4A	TF
KDM4C	TF
KDM5A	TF
KDM5C	TF
KDM6B	TF
KLF10	TF
KLF15	TF
KLF5	TF
L3MBTL2	TF
LARP7	TF
LDB1	TF
LEF1	TF
LIN9	TF
LMNB1	TF
LYL1	TF
MAFB	TF
MAFK	TF
MAZ	TF
MBD3	TF
MBD4	TF
MECP2	TF
MED1	TF
MED12	TF
MEF2A	TF
MEF2C	TF
MEF2D	TF
MEIS1	TF
MLLT1	TF
MLLT3	TF
MNT	TF
MRE11A	TF
MXD1	TF
MYB	TF
MYBL1	TF
MYBL2	TF
MYC	TF
MZF1	TF
NCAPG2	TF
NCOR1	TF
NCOR2	TF
NFATC3	TF
NFIB	TF
NFYA	TF
NFYB	TF
NIPBL	TF
NME2	TF
NPAT	TF
NR1D1	TF
NR1H3	TF
NR2C2	TF
NRF1	TF
PALB2	TF
PBX1	TF
PBX2	TF
PCGF1	TF
PHF20	TF
PHF6	TF
PHF8	TF
PIAS1	TF
POLR2B	TF
POLR3A	TF
POLR3GL	TF
PPARGC1A	TF
PRAME	TF
PRKDC	TF
RAG1	TF
RARA	TF
RB1	TF
RBBP5	TF
RBL1	TF
RBL2	TF
RCOR1	TF
REST	TF
RFX1	TF
RFX5	TF
RFX7	TF
RLF	TF
RNF2	TF
RORA	TF
RUNX2	TF
RUNX3	TF
RXRA	TF
RYBP	TF
SAP30	TF
SATB1	TF
SETDB1	TF
SIN3A	TF
SIRT6	TF
SIX5	TF
SMAD1	TF
SMAD2	TF
SMAD3	TF
SMAD4	TF
SMARCA4	TF
SMC1A	TF
SMC3	TF
SNAI2	TF
SNAPC1	TF
SOX15	TF
SOX4	TF
SP2	TF
SPIB	TF
SRCAP	TF
STAT1	TF
STAT2	TF
STAT5B	TF
STAT6	TF
SUMO1	TF
SUMO2	TF
SVIL	TF
TAF1	TF
TAF3	TF
TAF7	TF
TBL1X	TF
TBL1XR1	TF
TBP	TF
TBX21	TF
TCF12	TF
TCF7	TF
TCF7L1	TF
TCF7L2	TF
TERF1	TF
TERF2	TF
TET2	TF
TFAP2A	TF
TFCP2	TF
TFDP1	TF
TFE3	TF
TGIF1	TF
THAP1	TF
TLE3	TF
TOP1	TF
TOP2B	TF
TP53	TF
TP63	TF
TP73	TF
TRIM28	TF
TRRAP	TF
TTF1	TF
TTF2	TF
UBTF	TF
USF1	TF
USF2	TF
VEZF1	TF
WDR5	TF
WRNIP1	TF
XRN2	TF
YY1	TF
ZBTB17	TF
ZBTB33	TF
RTF1	Glycogene
SLC35E3	Glycogene
B3GNT2	Glycogene
SLC35E3	Glycogene
GCNT3	Glycogene
COG2	Glycogene
SLC35A5	Glycogene
STT3B	Glycogene
SLC35A3	Glycogene
FUT11	Glycogene
MAN2A1	Glycogene
NEU3	Glycogene
RTF1	Glycogene
MGAT2	Glycogene
MAN1A1	Glycogene
GANAB	Glycogene
COG3	Glycogene
GNB1	Glycogene
B3GNT2	Glycogene
GALK2	Glycogene
MAN1A2	Glycogene
MAN2A1	Glycogene
FUT11	Glycogene
ACER2	Glycogene
FUT10	Glycogene
GANAB	Glycogene
RTF1	Glycogene
UGDH	Glycogene
COG3	Glycogene
POFUT2	Glycogene
UGGT2	Glycogene
MANBA	Glycogene
EXT2	Glycogene
GCNT4	Glycogene
CHST11	Glycogene
ST8SIA4	Glycogene
ST3GAL1	Glycogene
ST6GAL1	Glycogene
CSGALNACT2	Glycogene
FUT7	Glycogene
ST3GAL2	Glycogene
SLC35A3	Glycogene
GANAB	Glycogene
MGAT2	Glycogene
ALG10B	Glycogene
FAM20B	Glycogene
MAN1A2	Glycogene
ALG10	Glycogene
GALNT4	Glycogene
UGCG	Glycogene
SLC35B4	Glycogene
GFPT1	Glycogene
GLCE	Glycogene
EXT1	Glycogene
GALNT3	Glycogene
STT3A	Glycogene
FUT11	Glycogene
GALC	Glycogene
ARSB	Glycogene
GANAB	Glycogene
DSE	Glycogene
MANBA	Glycogene
MGAT3	Glycogene
CHST9	Glycogene
PIGX	Glycogene
NDST2	Glycogene
POFUT2	Glycogene
CHSY1	Glycogene
PAPSS1	Glycogene
PIGV	Glycogene
GALNS	Glycogene
SLC35F5	Glycogene
ALG2	Glycogene
STT3B	Glycogene
FUT11	Glycogene
RTF1	Glycogene
GANAB	Glycogene
COG3	Glycogene
ALG10B	Glycogene
POFUT2	Glycogene
ALG10	Glycogene
SLC35A5	Glycogene
STT3A	Glycogene
FKRP	Glycogene
SLC35A3	Glycogene
SLC35B4	Glycogene
UGDH	Glycogene
GFPT1	Glycogene
CTBS	Glycogene
SLC35A1	Glycogene
SLC17A5	Glycogene
FUT4	Glycogene
PIGK	Glycogene
RTF1	Glycogene
STT3B	Glycogene
FUT11	Glycogene
ALG10	Glycogene
SLC35E3	Glycogene
GANAB	Glycogene
UGGT1	Glycogene
SLC35D1	Glycogene
COG3	Glycogene
SLC35A3	Glycogene
MGAT2	Glycogene
SLC35B4	Glycogene
STT3B	Glycogene
UGCG	Glycogene
FUT11	Glycogene
RTF1	Glycogene
GANAB	Glycogene
ACER2	Glycogene
GFPT1	Glycogene
FUT10	Glycogene
SLC35A3	Glycogene
ALG6	Glycogene
ALG10	Glycogene
GALNT10	Glycogene
ALG10	Glycogene
SLC35B4	Glycogene
RTF1	Glycogene
CSGALNACT2	Glycogene
GALNT7	Glycogene
CHST11	Glycogene
ST8SIA4	Glycogene
GNE	Glycogene
MGAT4A	Glycogene
GALK2	Glycogene
B3GNT2	Glycogene
PIGX	Glycogene
UGP2	Glycogene
GALNT7	Glycogene
LCT	Glycogene
GAL3ST4	Glycogene
COG8	Glycogene
MAN1C1	Glycogene
SLC35E1	Glycogene
ASAH1	Glycogene
UGCG	Glycogene
FUT11	Glycogene
NAGA	Glycogene
SLC35F5	Glycogene
GALNT10	Glycogene
UGP2	Glycogene
LCT	Glycogene
SLC17A5	Glycogene
PIGC	Glycogene
STT3B	Glycogene
NEU3	Glycogene
COG3	Glycogene
FUT11	Glycogene
SLC35A3	Glycogene
UGGT1	Glycogene
SLC35D1	Glycogene
HS2ST1	Glycogene
RTF1	Glycogene
GANAB	Glycogene
SLC35E3	Glycogene
GFPT1	Glycogene
ALG10	Glycogene
SLC35B4	Glycogene
PIGN	Glycogene
FUT10	Glycogene
MGAT2	Glycogene
GNB1	Glycogene
TSTA3	Glycogene
GAL3ST4	Glycogene
UGP2	Glycogene
HYAL2	Glycogene
CTSA	Glycogene
GNPNAT1	Glycogene
RTF1	Glycogene
CSGALNACT2	Glycogene
GALNT7	Glycogene
CHST11	Glycogene
NDST3	Glycogene
GAL3ST4	Glycogene
ALG6	Glycogene
AGA	Glycogene
GALK2	Glycogene
ST3GAL5	Glycogene
MAN1A2	Glycogene
UGDH	Glycogene
FUT11	Glycogene
GFPT1	Glycogene
GANAB	Glycogene
FUT10	Glycogene
ALG2	Glycogene
FUT4	Glycogene
PIGX	Glycogene
NEU3	Glycogene
STT3B	Glycogene
FUT11	Glycogene
RTF1	Glycogene
COG5	Glycogene
ALG10	Glycogene
PIGO	Glycogene
UGGT1	Glycogene
MGAT2	Glycogene
ACER2	Glycogene
SLC35A3	Glycogene
OGT	Glycogene
UGCG	Glycogene
SLC35E3	Glycogene
FUT8	Glycogene
SLC35D1	Glycogene
MAN1A1	Glycogene
PIGG	Glycogene
B3GAT3	Glycogene
GMPPA	Glycogene
FUT11	Glycogene
ACER2	Glycogene
STT3B	Glycogene
FUT10	Glycogene
GANAB	Glycogene
PIGN	Glycogene
UGCG	Glycogene
COG3	Glycogene
DPM1	Glycogene
CHST4	Glycogene
TSTA3	Glycogene
FUT11	Glycogene
UGCG	Glycogene
B4GALT5	Glycogene
PAPSS1	Glycogene
EXT2	Glycogene
XYLT1	Glycogene
FUT10	Glycogene
GANAB	Glycogene
GNS	Glycogene
ARSB	Glycogene
SLC17A5	Glycogene
CTBS	Glycogene
ASAH1	Glycogene
CHST15	Glycogene
PIGK	Glycogene
DSE	Glycogene
STT3A	Glycogene
POFUT2	Glycogene
UGGT2	Glycogene
HEXB	Glycogene
EXT1	Glycogene
GCNT1	Glycogene
UGP2	Glycogene
STT3B	Glycogene
SLC35D1	Glycogene
GANAB	Glycogene
NAGLU	Glycogene
GALK2	Glycogene
GAL3ST3	Glycogene
ALG10B	Glycogene
UGP2	Glycogene
GAL3ST4	Glycogene
PIGX	Glycogene
SLC35E3	Glycogene
GALK2	Glycogene
PIGN	Glycogene
PIGX	Glycogene
GALK1	Glycogene
TSTA3	Glycogene
UGP2	Glycogene
LCT	Glycogene
UGP2	Glycogene
PIGF	Glycogene
GNPDA1	Glycogene
FAM20B	Glycogene
ALG10B	Glycogene
UGDH	Glycogene
UGGT2	Glycogene
SLC35F5	Glycogene
CHST14	Glycogene
UXS1	Glycogene
B4GALT4	Glycogene
CHSY1	Glycogene
ASAH1	Glycogene
MANBA	Glycogene
ARSB	Glycogene
GALNT4	Glycogene
GNS	Glycogene
SLC35E1	Glycogene
PIGV	Glycogene
SLC35A5	Glycogene
GALNT11	Glycogene
POMT2	Glycogene
GCNT1	Glycogene
IDS	Glycogene
GANAB	Glycogene
SLC35A3	Glycogene
ALG6	Glycogene
GALK2	Glycogene
B3GALT4	Glycogene
ALG3	Glycogene
B3GNT2	Glycogene
GNE	Glycogene
SLC35A3	Glycogene
PIGN	Glycogene
SLC35B3	Glycogene
UGGT1	Glycogene
GALNT7	Glycogene
MGAT2	Glycogene
CSGALNACT2	Glycogene
B3GNT2	Glycogene
RTF1	Glycogene
GNE	Glycogene
SLC35E3	Glycogene
GALK2	Glycogene
COG3	Glycogene
POMT2	Glycogene
HYAL2	Glycogene
SLC35F5	Glycogene
FKTN	Glycogene
STT3B	Glycogene
ACER2	Glycogene
FUT11	Glycogene
GANAB	Glycogene
FUT10	Glycogene
PIGG	Glycogene
PIGN	Glycogene
ARSB	Glycogene
EXTL2	Glycogene
GFPT1	Glycogene
UGDH	Glycogene
CHSY1	Glycogene
ALG2	Glycogene
GALNT3	Glycogene
GCNT1	Glycogene
CTBS	Glycogene
ASAH1	Glycogene
SLC35E3	Glycogene
NEU3	Glycogene
GALK2	Glycogene
MAN1A2	Glycogene
STT3B	Glycogene
COG5	Glycogene
ACER2	Glycogene
UGGT1	Glycogene
COG6	Glycogene
SLC35F5	Glycogene
UGCG	Glycogene
SLC35E1	Glycogene
SLC35D1	Glycogene
FUT10	Glycogene
PIGO	Glycogene
MAN2A2	Glycogene
GFPT1	Glycogene
GANAB	Glycogene
UGDH	Glycogene
GALNT10	Glycogene
CHSY1	Glycogene
ST6GALNAC3	Glycogene
ARSB	Glycogene
PAPSS1	Glycogene
UGDH	Glycogene
CHST11	Glycogene
MGAT4A	Glycogene
GNE	Glycogene
GCNT4	Glycogene
FUT8	Glycogene
NDST2	Glycogene
CSGALNACT2	Glycogene
GALK2	Glycogene
B3GNT2	Glycogene
ALG6	Glycogene
SLC35A3	Glycogene
STT3A	Glycogene
UGDH	Glycogene
B4GALT3	Glycogene
HYAL3	Glycogene
UGT1A6	Glycogene
SLC35A1	Glycogene
PIGG	Glycogene
GNE	Glycogene
PIGX	Glycogene
GAL3ST4	Glycogene
GALNT6	Glycogene
MGAT4A	Glycogene
ST6GAL1	Glycogene
CHST11	Glycogene
ST3GAL5	Glycogene
CSGALNACT2	Glycogene
GALNT6	Glycogene
GALNT7	Glycogene
UGP2	Glycogene
NDST1	Glycogene
SLC35E1	Glycogene
PIGO	Glycogene
COG1	Glycogene
GANAB	Glycogene
COG6	Glycogene
GALNT10	Glycogene
MGAT4B	Glycogene
PIGV	Glycogene
FUT11	Glycogene
CHST15	Glycogene
FPGT	Glycogene
UGCG	Glycogene
UGDH	Glycogene
ASAH1	Glycogene
FUT10	Glycogene
COG3	Glycogene
PIGX	Glycogene
NDST2	Glycogene
GAL3ST4	Glycogene
CHST2	Glycogene
CHST15	Glycogene
DSE	Glycogene
NDST1	Glycogene
FUT11	Glycogene
B4GALT5	Glycogene
POFUT1	Glycogene
ASAH1	Glycogene
EXT1	Glycogene
GLB1	Glycogene
B4GALT1	Glycogene
GANAB	Glycogene
PIGV	Glycogene
MANBA	Glycogene
SLC35E1	Glycogene
SLC35F5	Glycogene
NAGA	Glycogene
MGAT4B	Glycogene
UGGT2	Glycogene
HYAL3	Glycogene
TSTA3	Glycogene
SLC35A5	Glycogene
ALG10B	Glycogene
COG3	Glycogene
STT3B	Glycogene
EXTL2	Glycogene
PIGK	Glycogene
PIGN	Glycogene
SLC35A3	Glycogene
FUT11	Glycogene
SLC35A1	Glycogene
RTF1	Glycogene
CTBS	Glycogene
SLC35B4	Glycogene
GANAB	Glycogene
CMAS	Glycogene
STT3A	Glycogene
CHST11	Glycogene
UGP2	Glycogene
GAL3ST4	Glycogene
LCT	Glycogene
NDST2	Glycogene
COG5	Glycogene
COG1	Glycogene
POFUT1	Glycogene
FKTN	Glycogene
MAN2A2	Glycogene
FPGT	Glycogene
GALNT4	Glycogene
SLC35E1	Glycogene
SLC35F5	Glycogene
ALG2	Glycogene
UGGT2	Glycogene
B4GALT1	Glycogene
GLCE	Glycogene
ST6GALNAC2	Glycogene
COG5	Glycogene
SLC35D1	Glycogene
FUT11	Glycogene
RTF1	Glycogene
ST3GAL2	Glycogene
GALK1	Glycogene
B3GNT5	Glycogene
GALNT3	Glycogene
ARSD	Glycogene
ARSD	Glycogene
HPSE	Glycogene
