,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
AHR,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0
UGCG,0,0.370226942976001,0,0.470852886878338,0.449419579265812,0.415306082806083,0,0,0,0.311478422801792,0,0,0,0,0.273697345421386,0.373600409602913,0.535198978236953,0.235394400367189,0.473449351583674,0,0,0.317992501595795,0,0.452605890933867,0,0.65755738481096,0,0,0
ANKMY2,0,0.453966722539129,0.338928504704295,0.4061394608154,0.307827650873496,0.356445776445776,0,0.536968013293794,0,0,0.555500145634924,0,0,0.487760136496441,0.474043380091464,0,0,0.272783234231405,0.535500096130589,0,0,0,0.264396404596655,0.284128261458233,0,0,0,0,0
PRKAA1,0.50972972972973,0.419739281601657,0.337322036875672,0,0.313680347307848,0.357485292485292,0,0.535070471622816,0,0.414994470688415,0,0,0,0,0,0,0.495238938276913,0.246161166308335,0.740087695904837,0,0,0,0.367984753669359,0.389219390117137,0,0,0,0,0
DPY19L1,0,0,0,0,0.41785506925124,0,0,0.546111065513808,0,0.41979131991587,0.581188633162648,0,0,0,0.470316702690411,0.256736602571396,0,0,0.494880270902201,0,0,0.328181135619377,0.419764478325179,0.43475958892742,0,0.622597782487704,0,0,0
NRP1,0,0,0.398950330087329,0.338937508514306,0.286554163575749,0.246114996114996,0,0.423472956239674,0,0.327171818422478,0.490371072743069,0,0,0.569849500173546,0.30234805138724,0.237451587211287,0,0.373921554755685,0,0,0,0.271245391234532,0.40428171578109,0,0,0,0,0,0
ARHGAP12,0,0.417059033628701,0,0.300071167857495,0.324012932103935,0.386638639138639,0,0.39411146518408,0,0.39465778319696,0.418936196772327,0,0,0.607686834822551,0,0,0,0,0.589658829439528,0,0,0.306973040752789,0,0.359993361343804,0,0,0,0,0
NR3C1,0.411095305832148,0,0.430242709970316,0.463799518031539,0,0.2576998001998,0,0.424099225281999,0,0,0,0.369610765258586,0,0.452611505117952,0,0,0.471414661288079,0.393550983714614,0,0,0,0,0.38889020366367,0,0,0,0,0,0
ATXN1,0,0,0.454592945653701,0.354533369034701,0.329063354462823,0,0,0.424643121805463,0,0.337501511677632,0.568471741150629,0,0,0.470220397068465,0.341039160604648,0,0.433022673529003,0,0,0,0,0,0.320122653316646,0,0,0,0,0,0
LIMS1,0,0,0.414112062662987,0.45028936897833,0.373872313735763,0.269548507048507,0,0.522357447962574,0,0.400468131757615,0,0,0,0.556997237888667,0.317804534627585,0.300699965866424,0,0,0,0,0,0,0,0.357720167538718,0,0,0,0,0
SUN1,0,0,0,0,0.326398343562223,0,0,0.382355984883899,0,0,0.715956417960884,0.390087655459809,0,0,0.349540725972239,0,0.41906195070752,0.279969130583327,0.472106624327861,0,0,0,0.288855614973262,0.312339711393157,0,0,0,0,0
RASA2,0.47724039829303,0.394044617940544,0.469574843139275,0,0.383736380547436,0,0,0.498785823124494,0,0.408948799114978,0,0,0,0.494432909763404,0.328167084327719,0,0,0,0,0,0,0,0,0.389624588359641,0,0,0,0,0
TIPARP,0,0.353882395135391,0.352034518732611,0,0,0.478249250749251,0,0,0,0,0,0.473930496776078,0,0,0.366535243166016,0.248748663101604,0,0.211519348170439,0.466344990976129,0,0,0,0,0.352577611131978,0,0.529914243447543,0,0,0
ITPRIPL2,0.382617354196302,0,0.342049542903349,0,0.304006458495226,0.271201576201576,0,0.479120499397521,0,0,0,0,0,0,0,0,0,0.244446869747972,0,0,0,0.273628166217072,0.359920127432017,0.403746909967593,0,0.695335607431044,0,0,0
ZKSCAN1,0.44076813655761,0.44678703699587,0,0.328208308084011,0.307089609102347,0,0,0.479905566003285,0,0,0.46239403640747,0,0,0.480904727771786,0,0,0,0,0.465696884748727,0,0,0,0,0.263123793467912,0,0,0,0,0
IFNGR1,0.425149359886202,0,0.43385388198833,0,0,0,0,0,0,0,0,0.443742438499798,0,0.501781608354689,0.370600719862367,0,0,0.365809921006043,0,0,0,0.42678469671502,0,0,0,0.660097927511616,0,0,0
USP53,0.453854907539118,0,0.419858486760805,0,0,0,0,0,0,0.406314635906988,0.568693030580812,0,0,0.480720143730858,0,0,0,0,0.602596146093687,0,0,0.387070615737705,0,0.29641643591513,0,0,0,0,0
ZBTB38,0.533200568990043,0,0.437157409203605,0.455740873837944,0.420998673791834,0,0,0.499190251375948,0,0,0,0,0,0.650539855125465,0,0,0,0.271945497965621,0,0,0,0,0,0.327919152523126,0,0,0,0,0
TMTC2,0.465547652916074,0.457890392159478,0,0,0,0.307248307248307,0,0.469779098910066,0,0,0.478373528992698,0,0,0,0,0,0,0,0.524209403432172,0,0,0,0.423113209693936,0.423353220185009,0,0,0,0,0
MYOF,0,0,0,0.437954781399588,0.428884133739214,0.277258574758575,0,0.44044645310476,0,0,0,0.548029722200333,0,0,0.353943738644481,0.282014336101946,0,0,0,0,0,0.382563607339646,0,0.368045024938636,0,0,0,0,0
MED13,0.336073968705548,0.438695904118704,0,0.314140325164297,0,0,0,0.523662323820943,0,0.480781122793106,0,0,0,0,0,0,0,0,0.422481533623999,0,0,0,0,0.365493837405334,0,0.588599205287379,0,0,0
NCOA3,0.482503556187767,0,0,0,0,0,0,0,0,0.444724858047756,0.504697514371204,0.532670316273507,0,0,0,0.232975765160997,0,0,0.476379784047284,0,0,0.415693263489843,0,0.344286934076397,0,0,0,0,0
SPRED2,0,0.490034101468542,0,0,0.376697275668677,0,0,0.514765794410088,0,0,0,0,0,0.34971866892033,0.323659330991981,0,0.409476599350017,0,0.587013687755444,0,0,0,0,0.333305635869708,0,0,0,0,0
LYSMD3,0.446657183499289,0.330574537866561,0,0.461629250694063,0,0.253149905649906,0,0,0,0.333218944531093,0,0,0,0.456758262729051,0,0.190683809307088,0.392531519113798,0,0.500632601293732,0,0,0,0,0,0,0,0,0,0
SSFA2,0.382190611664296,0,0,0,0.430756946219929,0.265496725496726,0,0,0,0.367030342019402,0,0.329929402821106,0,0.446453472985966,0,0.233076572988964,0,0,0,0,0,0,0.489387416088292,0.409347293437339,0,0,0,0,0
TCP11L2,0.492347083926031,0.381685984904061,0.373068779023368,0.380584797794031,0,0.425984848484848,0,0.413473765096177,0,0,0,0,0,0.492250528950305,0,0,0,0,0,0,0,0,0,0.369722377512426,0,0,0,0,0
LIMA1,0.363385490753912,0,0.354957670931273,0,0.324468855518877,0.241662781662782,0,0,0,0,0,0,0,0,0.262602300160097,0,0,0,0.493652280155546,0,0,0.430072367182131,0,0.29860708327146,0,0.537860633033519,0,0,0
N4BP2,0.345604551920341,0.338887974971508,0,0.392644578794327,0.283571769524416,0,0,0.464343107412575,0,0.388268321844583,0,0,0,0.385030606640504,0,0,0,0,0,0,0,0,0.297582660143361,0.294433792507054,0,0,0,0,0
IL1R1,0,0,0.363564142761848,0.400373220216369,0,0.259373959373959,0,0.423708773595117,0,0,0,0,0,0.552381307009273,0,0.21467721014905,0,0,0,0,0,0.368037763839049,0,0,0,0.600402310143442,0,0,0
MKL2,0.411977240398293,0.433913399165025,0,0,0,0,0,0.509462431589177,0,0.391535623436634,0.469843483436076,0,0,0,0.273201435130845,0,0.400042994979704,0,0,0,0,0,0,0.286394467204165,0,0,0,0,0
SPTLC2,0,0,0.347996759682565,0,0.252162172714369,0,0,0,0,0.414112606788856,0.434418260980306,0,0,0.392324335969552,0.279163958186425,0,0,0,0.521474333132803,0,0,0.271768763217501,0,0.254310540613726,0,0,0,0,0
ANO6,0.357553342816501,0,0.4384256278273,0.339206443157316,0,0,0,0,0,0,0,0.520219625366776,0,0.383665110291624,0.309692645873195,0.225580384571624,0,0,0,0,0,0,0.291155080213904,0.287376398703715,0,0,0,0,0
