,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ALKBH3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NDUFS3,0.381137980085348,0.470755878835304,0.265554608426889,0.343918084151881,0.421249305724358,0.314368686868687,0.48024077185235,0.64392560661264,0.416529304029304,0.211321935595676,0.312410869535065,0.420936258581289,0.446578767437826,0,0.318965984550752,0.526855159858915,0.509326116921053,0.454728162777937,0.498434001699341,0.698723008115273,0.610233300307089,0.6367651698391,0.594932074183639,0.347957958089115,0.288147465437788,0.571384176353497,0.74375374276399,0.276389608515718,0
PTPMT1,0.405803698435277,0.391292491600605,0.192700776357646,0.265508955875928,0.381177164030413,0.3052664002664,0.424937743003888,0.581636221545796,0.334249084249084,0.242430183350393,0.465995821349449,0,0.329874026331864,0,0.303600919696528,0.499624758220503,0.412359792106627,0.539473252832429,0.436194096961653,0.653036650274219,0.444627148823763,0.582618180573117,0.597660029582433,0.406398878416506,0,0.578147723290325,0,0,0.487201125175809
C11orf74,0.357211948790896,0.33309917288007,0.196451490126868,0.294393006290017,0.385034880660157,0.299337884337884,0.477793116689867,0.559215135608361,0.279258241758242,0.201958365385055,0.449722537099078,0.346134769690031,0.376652228994791,0,0.360928746488546,0.346256001820457,0.335449360765816,0.390173724587516,0.355636663586353,0.55673608159796,0.520724326526591,0.396951794924829,0.498711571282285,0.312688240843459,0.34521044546851,0.386991935197239,0,0,0.489849976558837
TSSC4,0.462930298719772,0.44381853454089,0.187332831614916,0,0.433806091489472,0.367370407370407,0,0.553008054069678,0.366071428571429,0,0.469085677467188,0,0.535989748329657,0,0.184176465048546,0.253711912618045,0.472299852046687,0.202994885581273,0.456536569936554,0.64511565782284,0.535682517178469,0.551112444968205,0.43006508135169,0.180435399760659,0.368983102918587,0.546308206843324,0.761702375407546,0.284042211305757,0
ZNF408,0.318293029871977,0.431934150523675,0.313793233457246,0.398363843909864,0.492634066043403,0.276429403929404,0,0.565622647030485,0.393086080586081,0.244967516073653,0.345294731041926,0,0.533764179509197,0,0.171050231876535,0.432874274661509,0.482391026694824,0.457469570588986,0.316058769900582,0.645773379475037,0.552679074837678,0.493832211414331,0.52341404027762,0.241160214358715,0.363809523809524,0.358984917329004,0,0.283968754714011,0
C11orf31,0.461194879089616,0.193223870731574,0.172418819874874,0.268882969977969,0.310111046319048,0.370553613053613,0.469527768444295,0.405359328553943,0.358699633699634,0.303670062382936,0.385531580082186,0.367972150502246,0.392794965135282,0,0.212328619237828,0.292301058140858,0.387827362510907,0.318752609837491,0.358660125651983,0.497354947078704,0.568324443356603,0.469945066904618,0.313209238821254,0.26555880451778,0.314992319508448,0,0.866158759731187,0.282848541689895,0
SDHAF2,0.543129445234708,0.203179395065735,0.164069631439167,0.206743800410566,0.300711719120949,0.320094627594628,0.441323285172563,0.535578385926848,0.334661172161172,0.237989903032373,0.396398719421394,0,0.560668691148021,0,0,0.28370121743088,0.372677954956436,0.308942640517102,0.511374419340234,0.499912978366017,0.501673957464179,0.475650450403866,0.298652178859939,0.30245368227042,0.328233486943164,0.6193671101237,0.793066737640562,0,0
EIF3F,0.424153627311522,0.351684547336721,0.288955033434204,0.222839949830184,0.28856677577762,0.235422077922078,0.312084481351702,0.519576111612681,0.351373626373626,0.285285568891565,0.342072479538608,0.388323884838062,0.405065625560365,0,0.236898229285581,0.261817499146661,0,0.208503152511138,0.418140152196429,0.522769311719588,0.518999930402469,0.353029775254008,0.38642348390033,0.301075505979158,0.299016897081413,0,0.771691396633176,0,0
ARFGAP2,0.41778093883357,0.537478269761734,0.308925638042809,0.426104041300845,0.311113574049141,0,0,0.665707339064319,0.410805860805861,0,0.381027615155615,0,0.482207258100963,0,0.345733655518064,0.479178063488452,0,0.448527534001222,0.486985158677491,0.706753283548864,0.572643400238196,0.549872144207498,0.58375173512345,0,0.428190476190476,0,0,0,0
