,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MYO9A,0,0,0.573458527033081,0,0,0,0,0,0,0.787851472841542,0.745909297812702,0,0,0.6425399703913,0,0,0,0.310129361663946,0,0,0.863932624116248,0,0,0,0,0,0,0,0
ATE1,0,0,0.591124912931213,0,0,0,0,0,0,0.76055327609114,0.751180525521417,0,0,0.60651476255965,0,0,0,0.30371649486315,0,0,0.843513373282837,0,0,0,0,0,0,0,0
C10orf118,0,0,0.655659023570023,0,0,0,0,0,0,0.71677114385062,0.770821065745027,0,0,0.531660595404199,0,0,0,0.340715362927021,0,0,0.819640540483476,0,0,0,0,0,0,0,0
DDI2,0,0,0.619831336675174,0,0,0,0,0,0,0.798808507088171,0.728863269756222,0,0,0.755888978300243,0,0,0,0,0,0,0.918342636301943,0,0,0,0,0,0,0,0
TOR1AIP2,0,0,0.586953256988725,0,0,0,0,0,0,0.684952459556649,0.716845988861135,0,0,0.630020767160281,0,0,0,0.296034082320745,0,0,0.849493775712964,0,0,0,0,0,0,0,0
RALGAPA2,0,0,0.577314555331516,0,0,0,0,0,0,0.646039279930282,0.755685120902205,0,0,0.554832804233578,0,0,0,0.362040539188112,0,0,0.825400420400366,0,0,0,0,0,0,0,0
TGFBRAP1,0,0,0.569462346159169,0,0,0,0,0,0,0.7394728016467,0.721463435546774,0,0,0.520868167478272,0,0,0,0.303222998319351,0,0,0.852724684680176,0,0,0,0,0,0,0,0
CCNT1,0,0,0.63480278695945,0,0,0,0,0,0,0.751164978782487,0.753114685162636,0,0,0.599839218889429,0,0,0,0,0,0,0.901690430713176,0,0,0,0,0,0,0,0
FAM168A,0,0,0.59776998590681,0,0,0,0,0,0,0.782866780785341,0.760235108986621,0,0,0.571327767774294,0,0,0,0,0,0,0.908813940776411,0,0,0,0,0,0,0,0
ANKRD17,0,0,0.513563626720655,0,0,0,0,0,0,0.64902741466346,0.736651077635393,0,0,0.513431755662057,0,0,0,0.309440882219975,0,0,0.889807949914802,0,0,0,0,0,0,0,0
STRN,0,0,0.606739160975996,0,0,0,0,0,0,0.760081487216506,0.804151288837556,0,0,0.588940215723706,0,0,0,0,0,0,0.842468726075849,0,0,0,0,0,0,0,0
TAOK1,0,0,0.607511706236495,0,0,0,0,0,0,0.749558029096522,0.790637502695192,0,0,0.561083163296856,0,0,0,0,0,0,0.892786861080983,0,0,0,0,0,0,0,0
HIPK3,0,0,0.576290371534915,0,0,0,0,0,0,0.755865828688171,0.796834237194529,0,0,0.628922831746953,0,0,0,0,0,0,0.833266798615244,0,0,0,0,0,0,0,0
CLOCK,0,0,0.578134913388278,0,0,0,0,0,0,0.717037427683628,0.763417011420048,0,0,0.614753267750502,0,0,0,0,0,0,0.900362337257122,0,0,0,0,0,0,0,0
NBEAL1,0,0,0.658221010122201,0,0,0,0,0,0,0.723988859091697,0.746914241834672,0,0,0.531644238081544,0,0,0,0,0,0,0.87604582019908,0,0,0,0,0,0,0,0
KLHL11,0,0,0.522706865643726,0,0,0,0,0,0,0.717825993541033,0.751092065086222,0,0,0.629464609870356,0,0,0,0,0,0,0.88484981009258,0,0,0,0,0,0,0,0
DHX33,0,0,0.459998003236526,0,0,0,0,0,0,0.63841190524576,0.676612922546178,0,0,0.498000948998455,0,0,0,0.395989132722962,0,0,0.834410759152662,0,0,0,0,0,0,0,0
RSC1A1,0,0,0.573359089054598,0,0,0,0,0,0,0.699994535103544,0.635465697616505,0,0,0.706813742502615,0,0,0,0,0,0,0.885895337043638,0,0,0,0,0,0,0,0
ARHGEF12,0,0,0.518963839835136,0,0,0,0,0,0,0.688914821173211,0.680549478677408,0,0,0.551230602617684,0,0,0,0.280297409315696,0,0,0.76435615246082,0,0,0,0,0,0,0,0
LMTK2,0,0,0.474257295611354,0,0,0,0,0,0,0.828295239057012,0.779122886875078,0,0,0.492196094251389,0,0,0,0,0,0,0.89872513354515,0,0,0,0,0,0,0,0
NHLRC2,0,0,0.580107749401129,0,0,0,0,0,0,0.718213003793843,0.766465257559461,0,0,0.536141437920754,0,0,0,0,0,0,0.863890885147652,0,0,0,0,0,0,0,0
LCOR,0,0,0.640013644550405,0,0,0,0,0,0,0.65041909314303,0.761730546389452,0,0,0.523968664165476,0,0,0,0,0,0,0.878122407198731,0,0,0,0,0,0,0,0
ZKSCAN1,0,0,0.5894539504849,0,0,0,0,0,0,0.634380453208227,0.71356321375298,0,0,0.65077621481398,0,0,0,0,0,0,0.864124115075216,0,0,0,0,0,0,0,0
SERINC5,0,0,0.550833343338214,0,0,0,0,0,0,0.699279942749495,0.658131292014258,0,0,0.669861885693243,0,0,0,0,0,0,0.842258564992755,0,0,0,0,0,0,0,0
SBF2,0,0,0.374658501841846,0,0,0,0,0,0,0.672281588036573,0.760291219411938,0,0,0.539586316669161,0,0,0,0.304600819963488,0,0,0.767420692049694,0,0,0,0,0,0,0,0
WDR31,0,0,0.475831305502073,0,0,0,0,0,0,0.734797510002007,0.762291650642622,0,0,0.597541488088433,0,0,0,0,0,0,0.834397937801506,0,0,0,0,0,0,0,0
ZNF619,0,0,0.579660604972994,0,0,0,0,0,0,0.635920286485249,0.769198276590352,0,0,0.56890382533501,0,0,0,0,0,0,0.84877072383778,0,0,0,0,0,0,0,0
LONP2,0,0,0.35219219564575,0,0,0,0,0,0,0.739192388043388,0.642914514190894,0,0,0.665517487185176,0,0,0,0.298577487584938,0,0,0.703986941470041,0,0,0,0,0,0,0,0
RC3H2,0,0,0.515877155235512,0,0,0,0,0,0,0.737039156502583,0.711918989154927,0,0,0.549188198053986,0,0,0,0,0,0,0.887656780167988,0,0,0,0,0,0,0,0
KLHDC10,0,0,0.417018659417657,0,0,0,0,0,0,0.679253902413988,0.733292017566976,0,0,0.698825251674294,0,0,0,0,0,0,0.868269957873944,0,0,0,0,0,0,0,0
MAN2A1,0,0,0.551816138524834,0,0,0,0,0,0,0.687099041793783,0.685819445477689,0,0,0.669085777278493,0,0,0,0,0,0,0.800951746233327,0,0,0,0,0,0,0,0
DPP8,0,0,0.556534671754622,0,0,0,0,0,0,0.713317453965001,0.753929936361951,0,0,0.511462094638946,0,0,0,0,0,0,0.856562323806813,0,0,0,0,0,0,0,0
ERN1,0,0,0.491812595744071,0,0,0,0,0,0,0.626643468908479,0.675165399663842,0,0,0.691961027559185,0,0,0,0,0,0,0.902019775082676,0,0,0,0,0,0,0,0
PAFAH1B2,0,0,0.559027066465895,0,0,0,0,0,0,0.681197161412262,0.786173256384295,0,0,0.506624316723969,0,0,0,0,0,0,0.852635048534503,0,0,0,0,0,0,0,0
FAM63B,0,0,0.558698169191161,0,0,0,0,0,0,0.738831039946939,0.73383736046472,0,0,0.471160843289836,0,0,0,0,0,0,0.878619951344288,0,0,0,0,0,0,0,0
LNPEP,0,0,0.59983214970334,0,0,0,0,0,0,0.665347818841384,0.712620054244281,0,0,0.535023288580242,0,0,0,0,0,0,0.849435028359039,0,0,0,0,0,0,0,0
PDPK1,0,0,0.451050354457111,0,0,0,0,0,0,0.736814119131418,0.794123284061235,0,0,0.524097128992181,0,0,0,0,0,0,0.848813342550444,0,0,0,0,0,0,0,0
ETV3,0,0,0.590652514078973,0,0,0,0,0,0,0.680278622447135,0.717772126105974,0,0,0.539843698264813,0,0,0,0,0,0,0.822608503723468,0,0,0,0,0,0,0,0
LATS1,0,0,0.603970989638525,0,0,0,0,0,0,0.662686331151115,0.758618624374117,0,0,0.440064509031851,0,0,0,0,0,0,0.881107281074711,0,0,0,0,0,0,0,0
SERF2,0,0,-0.461856657236804,0,0,0,0,0,0,-0.63937210625421,-0.613020897035478,0,0,-0.607112935220642,0,0,0,-0.285724577163189,0,0,-0.738270470080491,0,0,0,0,0,0,0,0
LEPROT,0,0,0.512519664855467,0,0,0,0,0,0,0.668248889254601,0.706073417654483,0,0,0.674508296231794,0,0,0,0,0,0,0.77565020906629,0,0,0,0,0,0,0,0
TRIP11,0,0,0.59364226718591,0,0,0,0,0,0,0.678657542990865,0.72650833019157,0,0,0.505492070828975,0,0,0,0,0,0,0.829257707144539,0,0,0,0,0,0,0,0
TTC37,0,0,0.541646061879026,0,0,0,0,0,0,0.710477162343165,0.67706054504028,0,0,0.612759403209316,0,0,0,0,0,0,0.791023150171922,0,0,0,0,0,0,0,0
EYA3,0,0,0.543558468415014,0,0,0,0,0,0,0.73135057331543,0.757576483553341,0,0,0.490044906842718,0,0,0,0,0,0,0.801449681376248,0,0,0,0,0,0,0,0
