,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SNX27,0,0,0,0,0,0,0,0,0,0,0,0.5245583620342,0,0,0,0,0,0.705047813948352,0,0,0,0,0,0,0,0.441117989797315,0,0,0
USP32,0,0,0,0,0,0,0,0,0,0,0,0.458937287640627,0,0,0,0,0,0.382539195013959,0,0,0,0,0,0,0,0.603800841930566,0,0,0
ANAPC11,0,0,0,0,0,0,0,0,0,0,0,-0.400971580347748,0,0,0,0,0,-0.426563486777398,0,0,0,0,0,0,0,-0.591819933154566,0,0,0
TNKS2,0,0,0,0,0,0,0,0,0,0,0,0.42060019190566,0,0,0,0,0,0.368365404856972,0,0,0,0,0,0,0,0.622388487661181,0,0,0
ZNF318,0,0,0,0,0,0,0,0,0,0,0,0.43736180706528,0,0,0,0,0,0.368978824511939,0,0,0,0,0,0,0,0.57242300795615,0,0,0
CRK,0,0,0,0,0,0,0,0,0,0,0,0.507780522966101,0,0,0,0,0,0.349255355127705,0,0,0,0,0,0,0,0.515601350168016,0,0,0
APRT,0,0,0,0,0,0,0,0,0,0,0,-0.464791800900195,0,0,0,0,0,-0.36095389775994,0,0,0,0,0,0,0,-0.545472040402649,0,0,0
GADD45GIP1,0,0,0,0,0,0,0,0,0,0,0,-0.46291678062031,0,0,0,0,0,-0.293315537548875,0,0,0,0,0,0,0,-0.604565647398713,0,0,0
SPOPL,0,0,0,0,0,0,0,0,0,0,0,0.455467688927414,0,0,0,0,0,0.266722371958353,0,0,0,0,0,0,0,0.636808836753534,0,0,0
MRPL12,0,0,0,0,0,0,0,0,0,0,0,-0.414270549897789,0,0,0,0,0,-0.467003457926831,0,0,0,0,0,0,0,-0.468296207518813,0,0,0
TGOLN2,0,0,0,0,0,0,0,0,0,0,0,0.460596761707868,0,0,0,0,0,0.393069565757552,0,0,0,0,0,0,0,0.493805407191234,0,0,0
NDUFA11,0,0,0,0,0,0,0,0,0,0,0,-0.410381447265344,0,0,0,0,0,-0.315686374318854,0,0,0,0,0,0,0,-0.610961524189344,0,0,0
RPL18,0,0,0,0,0,0,0,0,0,0,0,-0.474667525761249,0,0,0,0,0,-0.381055685735879,0,0,0,0,0,0,0,-0.459538052340833,0,0,0
WDR47,0,0,0,0,0,0,0,0,0,0,0,0.401391084266981,0,0,0,0,0,0.394882216524197,0,0,0,0,0,0,0,0.509425357251444,0,0,0
PPP1R14B,0,0,0,0,0,0,0,0,0,0,0,-0.474206303220214,0,0,0,0,0,-0.318543391460094,0,0,0,0,0,0,0,-0.512520305649634,0,0,0
C19orf53,0,0,0,0,0,0,0,0,0,0,0,-0.433702156852747,0,0,0,0,0,-0.308258906232206,0,0,0,0,0,0,0,-0.557721726828724,0,0,0
C16orf13,0,0,0,0,0,0,0,0,0,0,0,-0.457713541401097,0,0,0,0,0,-0.273020060807057,0,0,0,0,0,0,0,-0.557107562071616,0,0,0
MIF,0,0,0,0,0,0,0,0,0,0,0,-0.509632366233875,0,0,0,0,0,-0.318109856471879,0,0,0,0,0,0,0,-0.453026616814045,0,0,0
PPP1R15B,0,0,0,0,0,0,0,0,0,0,0,0.468826918708948,0,0,0,0,0,0.312836690605275,0,0,0,0,0,0,0,0.49052096088148,0,0,0
TIMM13,0,0,0,0,0,0,0,0,0,0,0,-0.469480510450515,0,0,0,0,0,-0.28311387691575,0,0,0,0,0,0,0,-0.507675402047719,0,0,0
RPS15,0,0,0,0,0,0,0,0,0,0,0,-0.443260356647862,0,0,0,0,0,-0.354695895696227,0,0,0,0,0,0,0,-0.453007740685828,0,0,0
CAPN7,0,0,0,0,0,0,0,0,0,0,0,0.402380742684176,0,0,0,0,0,0.341358547670731,0,0,0,0,0,0,0,0.506968882380359,0,0,0
EXOC8,0,0,0,0,0,0,0,0,0,0,0,0.446609434898091,0,0,0,0,0,0.280045484506624,0,0,0,0,0,0,0,0.521069166001091,0,0,0
