,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
HES6,0,0,0,0,0,0,0.753431190899054,0,0,0,0,0,0.543797316663192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REPIN1,0,0,0,0,0,0,0.561749147986368,0,0,0,0,0,0.632605180942273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF3,0,0,0,0,0,0,0.51259405750492,0,0,0,0,0,0.651582579741288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOX2,0,0,0,0,0,0,0.583234291748668,0,0,0,0,0,0.527819464469769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX3A,0,0,0,0,0,0,0.503642874285989,0,0,0,0,0,0.599298186276582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF775,0,0,0,0,0,0,0.614387942207075,0,0,0,0,0,0.484650922752381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP4,0,0,0,0,0,0,0.464908942543081,0,0,0,0,0,0.632287804856714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOX8,0,0,0,0,0,0,0.577541784668555,0,0,0,0,0,0.514619564187382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLCCI1,0,0,0,0,0,0,0.635608889742236,0,0,0,0,0,0.446287341257287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHD,0,0,0,0,0,0,0.518050016800269,0,0,0,0,0,0.559016061241776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOX3,0,0,0,0,0,0,0.539337781404502,0,0,0,0,0,0.528994645280835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCM7,0,0,0,0,0,0,0.469682138914223,0,0,0,0,0,0.59619090382936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILF3,0,0,0,0,0,0,0.455047664762636,0,0,0,0,0,0.597059496717629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP21,0,0,0,0,0,0,0.505371669946719,0,0,0,0,0,0.546006411667544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBK1,0,0,0,0,0,0,0.579355829693275,0,0,0,0,0,0.442448067388113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14orf93,0,0,0,0,0,0,0.581983199731196,0,0,0,0,0,0.438340255737772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAF4,0,0,0,0,0,0,0.416786060576969,0,0,0,0,0,0.598749447835588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
