,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SP1,0,0,0,0,0,0.622997557997558,0.737438103009648,0,0,0,0,0,0,0,0.628468098888049,0,0,0.718226846211983,0,0,0,0,0,0,0,0,0,0,0
MED13L,0,0,0,0,0,0.691633921633922,0.651063601017616,0,0,0,0,0,0,0,0.597269047985465,0,0,0.594748316762663,0,0,0,0,0,0,0,0,0,0,0
WNK1,0,0,0,0,0,0.656727161727162,0.615665914654634,0,0,0,0,0,0,0,0.523962642496687,0,0,0.507271309215271,0,0,0,0,0,0,0,0,0,0,0
MGA,0,0,0,0,0,0.523365245865246,0.650992175874814,0,0,0,0,0,0,0,0.500758336185373,0,0,0.580038323630202,0,0,0,0,0,0,0,0,0,0,0
ZNF740,0,0,0,0,0,0.511824286824287,0.513448087169395,0,0,0,0,0,0,0,0.561500685637896,0,0,0.584217514640973,0,0,0,0,0,0,0,0,0,0,0
ERC1,0,0,0,0,0,0.610276667776668,0.551243507896126,0,0,0,0,0,0,0,0.458342272275192,0,0,0.537937115426426,0,0,0,0,0,0,0,0,0,0,0
PIKFYVE,0,0,0,0,0,0.537116494616495,0.607595641530264,0,0,0,0,0,0,0,0.437469938740494,0,0,0.567742322332617,0,0,0,0,0,0,0,0,0,0,0
AKAP13,0,0,0,0,0,0.50796953046953,0.578978735659771,0,0,0,0,0,0,0,0.49555472355126,0,0,0.564875383495129,0,0,0,0,0,0,0,0,0,0,0
PSMB3,0,0,0,0,0,-0.509905927405927,-0.594402726443623,0,0,0,0,0,0,0,-0.52741667260044,0,0,-0.498536765492513,0,0,0,0,0,0,0,0,0,0,0
ROCK2,0,0,0,0,0,0.438151015651016,0.572846157538521,0,0,0,0,0,0,0,0.501678032713082,0,0,0.609811608557161,0,0,0,0,0,0,0,0,0,0,0
ATXN1L,0,0,0,0,0,0.516550394050394,0.660493255892094,0,0,0,0,0,0,0,0.45103121317711,0,0,0.481577135580411,0,0,0,0,0,0,0,0,0,0,0
YIF1A,0,0,0,0,0,-0.467903762903763,-0.497652378438055,0,0,0,0,0,0,0,-0.511281442297312,0,0,-0.624911136111868,0,0,0,0,0,0,0,0,0,0,0
RBMS2,0,0,0,0,0,0.459405871905872,0.490044448711179,0,0,0,0,0,0,0,0.491999513047792,0,0,0.638570723576366,0,0,0,0,0,0,0,0,0,0,0
BAZ2B,0,0,0,0,0,0.578510656010656,0.467620793932703,0,0,0,0,0,0,0,0.518455029274556,0,0,0.514769523309947,0,0,0,0,0,0,0,0,0,0,0
ZFHX3,0,0,0,0,0,0.551575369075369,0.597171410742572,0,0,0,0,0,0,0,0.458045621909174,0,0,0.46052329614279,0,0,0,0,0,0,0,0,0,0,0
MTR,0,0,0,0,0,0.489428626928627,0.580288964623434,0,0,0,0,0,0,0,0.480854279551912,0,0,0.512846439750284,0,0,0,0,0,0,0,0,0,0,0
ARID1A,0,0,0,0,0,0.435445387945388,0.617953823261172,0,0,0,0,0,0,0,0.503224909902357,0,0,0.504755080771235,0,0,0,0,0,0,0,0,0,0,0
SMARCC2,0,0,0,0,0,0.581696081696082,0.434557096913551,0,0,0,0,0,0,0,0.465346000215913,0,0,0.578471127001163,0,0,0,0,0,0,0,0,0,0,0
KDM3B,0,0,0,0,0,0.484314851814852,0.60445447127154,0,0,0,0,0,0,0,0.511549955094738,0,0,0.454341648002374,0,0,0,0,0,0,0,0,0,0,0
CCNT1,0,0,0,0,0,0.483276168276168,0.585808668938703,0,0,0,0,0,0,0,0.435646853990137,0,0,0.543833191266146,0,0,0,0,0,0,0,0,0,0,0
AFF1,0,0,0,0,0,0.471988011988012,0.672630922094754,0,0,0,0,0,0,0,0.508287949540726,0,0,0.373665316165635,0,0,0,0,0,0,0,0,0,0,0
