,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
BDP1,0,0.637083902061649,0.757364592370636,0.776356769402049,0,0.441890054390054,0.651467575481208,0,0.768086080586081,0.773243783836125,0.813665473426985,0.701899587912725,0.567042600122169,0,0.650075684317153,0.604684264421436,0,0.508212144846412,0.788311140604941,0.712158743650457,0.80839809553004,0.599419888624485,0.694534531801115,0.555986801303273,0.748049155145929,0.795334244666665,0.913592055359638,0.780603524604679,0
BPTF,0,0.746092262182642,0.653025486326699,0.671121116889096,0,0.590702630702631,0.639208563337013,0,0.85224358974359,0.848901846719421,0.844743083602012,0.717177874297157,0,0,0.615424900255191,0.614426669700762,0,0.486801555721972,0.735919969734369,0.628443931758849,0.888807778657956,0.556214797731402,0.61236204346342,0.50790032843878,0.753849462365591,0.859954321611289,0.910481402621598,0.750955919486329,0
DPP8,0.459374110953058,0.740559850967246,0.776856226500379,0.72511356323135,0,0.426499611499611,0.607017328277252,0,0.81996336996337,0.852235121871347,0.758589623480133,0.595139317019807,0,0,0.502699943265474,0.361048811013767,0,0.304344149995341,0.835207362982901,0.638653795559873,0.903302441934937,0.609157123047269,0.544945955171237,0.38454426935474,0.641536098310292,0.85243766319794,0.959819349258101,0.741682024778483,0
MYO9A,0,0.667229096362954,0.757156511923816,0.687073991084053,0,0.61769092019092,0.650840877454039,0,0.831868131868132,0.803532608808582,0.825796673471369,0.60936304935313,0,0,0.638657803523972,0.507978837182842,0,0,0.807921780710622,0.658235686964969,0.878833826902339,0.622412619064506,0.620603936739106,0.440953739048401,0.663619047619048,0.883944959788322,0.950703639630049,0.727079903719396,0
GCC2,0.453371266002845,0.625467024131865,0.717678834075485,0.654925144567051,0,0,0.634762540200643,0,0.657188644688645,0.771495952028599,0.785334121821407,0.740725718603261,0,0,0.577851713865045,0.472265104107407,0,0.433701500160473,0.739883030780394,0.725305081658673,0.789754265976739,0.563451865324999,0.69484332688588,0.406236624418026,0.635551459293395,0.820151473102254,0.894770111118504,0.667086855861115,0
ROCK1,0.455419630156472,0.602508184500653,0.687386457773192,0.700291717752505,0,0,0.507770940335045,0,0.749542124542124,0.826982832744662,0.843868013148753,0.53862680838637,0,0,0.576308167245114,0.479253840027307,0,0.424201691692348,0.778229832732776,0.539738530346265,0.847025800352054,0.542952314104246,0.687835021049039,0.599148876232737,0.600657450076805,0.736583538653431,0.860935524652339,0.766735969463045,0
PIK3C2A,0.533598862019915,0.668061996203044,0.791876058279375,0.739468096600384,0,0.51250999000999,0.60800192003072,0,0.675412087912088,0.84078003396963,0.846899867478524,0,0,0,0.625373540578968,0.456386619638184,0,0.342880449599509,0.820942824006599,0,0.899227369659074,0.636960124155853,0.668706792581636,0.410865667665377,0.745087557603687,0.776520453712143,0.870500365959146,0.79878665451135,0
FAM63B,0.58628733997155,0.591035063304834,0.74734989678123,0.625900167702476,0,0.430136252636253,0.617723419574713,0,0.801648351648352,0.830828935442326,0.843276016638948,0,0,0,0.533665969161225,0.34769575605871,0,0.383879486763594,0.676421337269519,0.691445571003582,0.840732013534765,0.588851128621285,0.584519740584822,0.426150845991911,0.629806451612903,0.875866621462176,0.94202874442744,0.660370824615829,0
LATS1,0,0.667466220872588,0.766155870137075,0.734347768899411,0,0.494552114552115,0.553896222339557,0,0.763827838827839,0.82902001315731,0.806546384408111,0.548715761758857,0,0,0.533891873640496,0.449563317783593,0,0.329485296908917,0.806886051141473,0.592963390200959,0.908909637381225,0.536502750148574,0.524268062350666,0,0.699035330261137,0.865344054728618,0.9382693459312,0.799334955499734,0
UBR3,0,0.655696694039727,0.741154874914774,0.677117537357253,0,0.596149406149406,0.632357125714011,0,0,0.790419662489657,0.778453974950793,0,0.640969214373915,0,0.648525361711315,0.378025941517806,0,0.401264886858152,0.834035189997457,0.657260235160788,0.811988331074672,0.625992371626251,0.621742405279327,0.41923037447262,0.748184331797235,0.728858045806931,0.941221970856345,0.729808291412793,0
FAM179B,0.530896159317212,0.638321395596301,0.67283363274254,0.683577840724926,0,0.483936896436896,0.473820189123026,0,0.870238095238095,0.756819172602209,0.733614810126104,0.558443153742392,0,0,0.554727685759634,0.399402434861759,0,0.325047279039511,0.775640508809903,0.668273531256957,0.85747833288108,0.550804990131748,0.561320059164865,0.520822232510198,0.567121351766513,0.709255785164984,0.92423813959678,0,0
TTBK2,0,0.758272310822807,0.781692396059299,0.739536211051452,0,0.622603785103785,0.643479479671675,0,0.874679487179487,0.830983220066601,0.829151320360267,0,0,0,0.592295589177717,0.455227443395153,0,0.385958729194634,0.772120888866837,0.681033331309575,0.824629666846786,0.625461313272371,0.655181476846058,0,0,0.853075860489023,0.899444407478874,0.771652314210571,0
SECISBP2L,0.46076813655761,0.636794906565533,0.664589295452118,0.556731117030022,0,0.531763514263514,0.628322757164115,0,0,0.85501629702772,0.813234242742526,0.672525042761587,0,0,0.467619400910968,0.390213221071794,0,0.344501999868861,0.818524054354096,0.709181794264667,0.74573548950133,0.62624672062732,0.601441574695642,0.351929468645452,0,0.801701761225634,0.946328764388848,0.7090358166471,0
DMXL1,0.529018492176387,0.57295506045934,0.772421768681692,0.757536041939712,0,0.441816794316794,0.639383670138722,0,0.728205128205128,0.699430487140455,0.745324236299284,0.600567373256509,0.557237034888044,0,0.630926518452503,0.449039026055296,0,0,0.840141032876661,0.626748021775646,0,0.551713379421279,0,0,0.626771121351766,0.778254387226552,0.906730321378668,0.694436319037719,0
CEP350,0,0.561173677400997,0.749709068613048,0.691075127890754,0,0.496614496614497,0.668737099793597,0,0.659844322344322,0.831710591551145,0.80174358418266,0,0,0,0.590691058684632,0.530092160655365,0,0.499101870800534,0.763394712197421,0.668813874891223,0.871069792247461,0.482960189140625,0.665009898737058,0.368626562486352,0.558482334869432,0.850046380028209,0,0.756905903417699,0
MATR3,0,0.640468854436674,0.691447070076077,0.644875914260348,0,0,0,0,0.834844322344322,0.725163188457474,0.73305874950667,0.691958967417756,0,0,0.555775436936244,0.438277164637615,0,0.349148804737567,0.766185600258002,0.606599477870196,0.781839208590056,0.539059516618109,0.723066560473319,0.392125876783047,0.601665130568356,0.722593196969728,0.845814758134274,0.741540358494402,0
HECTD1,0,0.626498515748772,0.708375053684081,0.630739816889565,0,0.401681651681652,0.544446599145586,0,0.728479853479853,0.757410545047578,0.680801029910009,0.606148397773153,0,0,0.561268923950469,0.340767777904198,0,0.415802328751523,0.68119995782658,0.612563495436424,0.877935217210766,0.487161140224211,0.477297531004665,0,0.556639016897081,0.791888844834359,0.864645019628718,0.661037180840947,0
AKAP11,0,0.617275854352198,0.732344156086243,0.707120778665615,0,0,0.653627994047905,0,0.788827838827839,0.82044864514204,0.82134566669903,0.705978742044491,0,0,0.626241900399898,0.484875184890204,0,0,0.814976525530424,0.704340962904499,0.813760135629166,0.529562655976555,0.659206280577995,0,0,0.825904916982788,0.941047308536829,0.750370890202071,0
DDX46,0,0.477662130178392,0.632571087833792,0.59825627005266,0,0.404974192474192,0.556136514184227,0,0.819871794871795,0.799308846441397,0.790277513337259,0.584271616040347,0,0,0.604407032324898,0.538789395835704,0,0.441540502952352,0.76909122482774,0.595153097363042,0.83984132153981,0.478422435258921,0.54231516668563,0.485964155624077,0.598199692780338,0.791315839244631,0,0.635209318493353,0
TNPO1,0.551351351351351,0.638892717461701,0.728188823895782,0.753115648942817,0,0.361864801864802,0.533934814957039,0,0.703754578754579,0.717992330028214,0.638713167288505,0.544900825565171,0,0,0.390898472761685,0,0,0.328986623827946,0.800231333610355,0.48071357739866,0.810289447528545,0.463487816578035,0.428805552395039,0,0.685677419354839,0.81715790332439,0.896891010712622,0.704266385083065,0
HIPK3,0.5724893314367,0.629242490933692,0.750656351740417,0.697563616548523,0,0.532847707847708,0,0,0.823260073260073,0.782467926460364,0.811898940710825,0,0,0,0.520605658292773,0,0,0,0.837136176731436,0.679667294031935,0.857408051104919,0.610023586677283,0.6478916827853,0,0.667188940092166,0.847381715274692,0.94575487391044,0.744176925448118,0
RNF111,0.502162162162162,0.733704729596547,0.735370095265417,0.676587888780845,0,0.450538905538906,0,0,0.723717948717949,0.793680418673406,0.748440571494139,0,0,0,0.480495726534991,0.373594493116396,0,0.375394279581322,0.765618119685684,0.578479347540121,0.856002317832373,0.537595612339979,0.514232108317215,0,0.612516129032258,0.825854181633288,0.862881761926941,0.738641446570168,0
MAP3K2,0.475163584637269,0.68577593808679,0.771611268064864,0.684277775429004,0,0.601275113775114,0.554043680698891,0,0.622069597069597,0.77040245326059,0.815367699813007,0,0,0,0.511901961820191,0,0,0,0.797307103120213,0.62744824236537,0.872768187046883,0.454718366129098,0.590732961656616,0,0.693646697388633,0.792025029193544,0.835127087630581,0.712632566192915,0
PHC3,0.511778093883357,0.62187162375454,0.753902250845307,0.616543825777327,0,0.463962426462426,0.567519224307589,0,0.628708791208791,0.661409249264525,0.730725438449385,0.580903996180429,0,0,0.54889275796408,0.366323586301058,0,0.350785021862242,0.683708656094369,0,0.829259368883335,0.582969657352066,0.58205233814996,0.539931080266595,0.514488479262673,0.792326771008993,0.925419189566838,0,0
