,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
FYN,0,0,0,0.494179737594949,0,0,0.653922142754284,0,0,0,0,0.437602847991248,0.439322561692983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767183445339011,0,0
ETS1,0,0,0,0,0,0,0.418815917054673,0,0,0,0,0.68290602648669,0.454047966504213,0,0,0,0,0,0,0,0,0,0.29675935828877,0,0,0,0.752445272473219,0,0
TRIB2,0,0,0,0,0,0,0.406854125666011,0,0,0,0,0.408603770436331,0.507745463504666,0,0,0,0,0,0,0,0,0,0,0,0.550205837173579,0,0.629649344600439,0,0
PRDM2,0,0,0,0.532451838385547,0,0,0.447054960879374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402569134539092,0.440522698828081,0,0.557413210445468,0,0,0,0
ZEB1,0,0,0,0,0,0,0.507478327653242,0,0,0,0,0,0.5127390707893,0,0,0,0,0,0,0,0,0,0,0,0.647293394777266,0,0.630988422383392,0,0
ZBTB2,0,0,0,0,0,0,0.621161810588969,0,0,0,0,0,0.429026863983135,0,0,0,0,0,0,0,0,0,0.396704061895551,0,0,0,0.726279193559119,0,0
AKAP13,0,0,0,0.553429914927399,0,0,0,0,0,0,0,0,0,0,0,0,0.677107702424158,0,0,0,0,0,0.300105586528615,0,0.59458064516129,0,0,0,0
CHD1,0,0,0,0,0,0,0.494426726827629,0,0,0,0,0,0.525737349056838,0,0,0,0,0,0,0,0,0,0.311708726817613,0,0,0,0.72474881895003,0,0
ASXL1,0,0,0,0,0,0,0.617966879470071,0,0,0,0,0,0.512306815348931,0,0,0,0,0,0,0,0,0,0.283003299579019,0,0.56284485407066,0,0,0,0
TCF3,0,0,0,0,0,0,0.539231027696443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450335737187606,0.297566958698373,0,0,0,0.676808170869652,0,0
IL7R,0,0,0,0.423244408743077,0,0,0,0,0,0,0,0.539118161043151,0,0,0,0,0,0,0,0,0,0,0.28252321823262,0,0,0,0.665712954953756,0,0
REV3L,0,0,0,0,0,0,0.68221033936543,0,0,0,0,0,0.611094750684101,0,0,0,0,0,0,0,0,0,0,0,0.570642089093702,0,0,0,0
FOXO1,0,0,0,0,0,0,0,0,0,0,0,0.515317687305023,0,0,0,0,0.66170538322437,0,0,0,0,0,0,0,0.673247311827957,0,0,0,0
CD28,0,0,0,0.430193257139099,0,0,0,0,0,0,0,0.510121401189444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854838977975913,0,0
TOPBP1,0,0,0,0,0,0,0.590905198483176,0,0,0,0,0,0.516515510899689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663517200079846,0,0
CTCF,0,0,0,0,0,0,0.636472135554169,0,0,0,0,0,0.484527442024559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645136070264156,0,0
KIAA0430,0,0,0,0.431155080163663,0,0,0.447893630298085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303090226419388,0,0.583035330261137,0,0,0,0
ARID1B,0,0,0,0,0,0,0.695871741947871,0,0,0,0,0,0.645841527720476,0,0,0,0,0,0,0,0,0,0.407624758220503,0,0,0,0,0,0
RICTOR,0,0,0,0.399155380806757,0,0,0,0,0,0,0,0,0.46525701339919,0,0,0,0,0,0,0,0,0,0.263371031971783,0,0.620552995391705,0,0,0,0
JARID2,0,0,0,0,0,0,0.596210627370038,0,0,0,0,0,0.453915738617395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683229090425178,0,0
ZBTB24,0,0,0,0,0,0,0.654743147890366,0,0,0,0,0,0.517862719171003,0,0,0,0,0,0,0,0,0,0,0,0.54984331797235,0,0,0,0
GIT2,0,0,0,0.462760185459209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576460829493088,0,0.672142191762592,0,0
LEF1,0,0,0,0.495497399906989,0,0,0,0,0,0,0,0.498843467095596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716614545212589,0,0
ATAD5,0,0,0,0,0,0,0.561224595593529,0,0,0,0,0,0.471636024882752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653403420054561,0,0
CBL,0,0,0,0,0,0,0.444777804444871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573701996927803,0,0.664764788076386,0,0
BTAF1,0,0,0,0.431276042033663,0,0,0.475365429846878,0,0,0,0,0,0.436141365752248,0,0,0,0,0,0,0,0,0,0.339619069291159,0,0,0,0,0,0
MEX3A,0,0,0,0,0,0,0.655615609849758,0,0,0,0,0,0.467590172275296,0,0,0,0,0,0,0,0,0.558692604208847,0,0,0,0,0,0,0
SSH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280359767891683,0,0.661542242703533,0,0.722636236609222,0,0
LBR,0,0,0,0,0,0,0.566394854317669,0,0,0,0,0,0.44498824236045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64589294031539,0,0
