,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ARHGAP32,0,0.262428878401166,0,0,0.585461080891141,0.408099678099678,0,0.271268168047075,0,0.344454501516249,0,0,0,0,0.21768049963134,0.45633223347366,0,0.404038822320068,0,0,0,0,0,0.341882614306157,0,0,0,0,0
RAB25,0,0,0,0.402463629231904,0.390546264261776,0,0,0.204777784518249,0.491529304029304,0,0,0,0,0,0.216276262687746,0,0,0,0.432658972084917,0,0,0,0,0.375972060210102,0,0,0,0,0
STAP2,0,0,0,0,0,0,0,0,0.364697802197802,0.349026105581799,0,0,0,0,0.151181203644791,0,0.416861619393265,0,0.47311134402967,0,0,0,0,0,0,0,0,-0.399800616523323,0
PRR15L,0,0,0,0,0,0,0,0,0.525503663003663,0,0.420006424339119,0,0,0,0,0,0.481531127100747,0,0.413783265835189,0,0,0,0,0.306064388033396,0,0,0,0,0
EXPH5,0,0,0,0,0.32259730249511,0,0,0.186195793232488,0,0.348026424332794,0.283960494415938,0,0,0,0,0,0,0,0.355047476106897,0,0.301449485877566,0,0,0.329028898054833,0,0,0,0,0
TMC4,0,0,0.247614510067332,0,0,0,0,0.134831621055486,0,0,0.281682029284364,0,0,0,0.139776874823422,0,0.485931789729258,0,0.476910052778794,0,0,0,0,0.246327945421291,0,0,0,0,0
PGAP2,0,0,0.20357071017589,0.254021101387186,0,0,0,0.177701313083373,0.360805860805861,0,0,0,0,0,0.178361061280179,0,0.417898557139063,0,0.368177053938563,0,0,0,0,0,0,0,0,0,0
FUT2,0,0.230632869046616,0,0,0,0.323759851259851,0,0.22827625542261,0,0,0.251331915439877,0,0,0,0,0,0,0,0.366214129335955,0,0.258623446860721,0,0,0.247874981652932,0,0,0,0,0
SEMA4B,0,0,0.184842269376452,0,0,0.573172383172383,0,0.197528705484642,0,0,0.253456234272427,0,0,0,0.221949830140963,0,0,0,0,0,0.384272404735447,0,0,0,0,0,0,0,0
DPAGT1,0,0,0.208094811721844,0,0.254315844094343,0,0,0.177419105428498,0.500915750915751,0,0,0,0,0,0,0,0,0,0.337737768157828,0,0,0,0,0.26518047386631,0,0,0,0,0
