,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CORO1A,0,0,0,0.74310399902291,0.741816363620334,0.412259962259962,0,0.840516395402364,0,0.879670668300733,0,0,0,0.646316231825853,0.40526425196561,0.774261463192627,0.813148876440015,0,0,0,0,0.907318438311109,0.700553191489362,0,0.920178187403994,0,0,0.76970046762991,0
ABI3,0,0,0,0.719107747666493,0.69748473853044,0.372725885225885,0,0.852290907620261,0,0.430319661118238,0,0.418233818968994,0,0.549773193024638,0.342686643957543,0.717094094891341,0.689070423247638,0,0,0,0,0.72864245762626,0.628253953805894,0,0.874605222734255,0,0.719209528245392,0.717446596401939,0
LST1,0,0,0,0.728518111397662,0.706717817411488,0.387498334998335,0,0.809800069704399,0,0.764585143710154,0,0,0,0.637296615117007,0,0.66584480600751,0.747644760302988,0,0,0,0,0.9100785442293,0.638190920468768,0,0.91484485407066,0,0.69638698516202,0.736217379042572,0
MYO1F,0,0,0,0.695783245724057,0.713503771443829,0.385387112887113,0,0.80194226667761,0,0.742828414303151,0,0.422122921601439,0,0.617757037931489,0.302363785456208,0.737509159176243,0.70846874644343,0,0,0,0,0.904099246421208,0.649687336443281,0,0.907950844854071,0,0,0.748505617461681,0
GMFG,0,0.40885230255309,0,0.73744932519718,0.755250990877753,0.391209901209901,0,0.841314546451558,0,0.545804143929165,0,0,0,0.579960928824766,0.314748105595127,0.707867106610536,0.789779840412752,0,0,0,0,0.859131880306435,0.672042780748663,0,0.954341013824885,0,0,0.753962392848476,0
ARHGAP9,0,0,0,0.718392545930279,0.708215311721892,0.400897158397158,0,0.837026714864998,0,0.800339072929147,0,0.457486406682396,0,0.603824134496337,0,0.748730230970531,0.793522932763439,0,0,0,0,0.865308927475247,0.662021390374332,0,0.915434715821812,0,0,0.791307199401853,0
PSMB10,0,0.373422195743319,0.445035736379198,0.754571888931167,0.643496857025188,0,0,0,0,0.78679651925576,0,0.459009136378175,0,0,0.476646966540411,0.617137330754352,0.631608897431682,0,0.59775860678868,0,0,0.842548884445545,0.716286266924565,0.4568584524943,0.934764976958525,0,0,0.554215555745027,0
GNGT2,0,0,0,0.692543111749978,0.702914257430481,0.373937173937174,0,0.829716376846245,0,0.566984357928692,0,0.427443036567605,0,0.567249897268608,0,0.663309363977699,0.743067059522756,0,0,0,0,0.780913972389857,0.655118443508932,0,0.913462365591398,0,0.685907245991084,0.64954384768251,0
NCF4,0,0,0,0.756440338787187,0.670021020336451,0,0,0.820057083858198,0,0.717073375481607,0,0.53016951666659,0,0.667291521767751,0.327497525042436,0.755722152690864,0.800680332325902,0,0,0,0,0.884938521261026,0.652176811923996,0,0.908995391705069,0,0,0.750565025480255,0
PSTPIP1,0,0,0,0.714461872348821,0.729651268965847,0.366515984015984,0,0.639827499455806,0,0.871272805553166,0,0.456028572620532,0,0.613809758750786,0.383197966744839,0.474017749459552,0,0,0,0,0,0.840803379487661,0.703460234383889,0,0.947649769585253,0,0.66397464901191,0.765668225433033,0
IL12RB1,0,0,0,0.666640830150744,0.700682499719771,0,0,0.726012944083036,0,0.797927869184924,0,0.54971932638332,0,0.593196455667249,0,0.722918648310388,0.686414850971813,0,0,0,0,0.83920601186007,0.686932301740812,0.367567216393987,0.877228878648233,0,0,0.68828346917361,0
C1orf162,0,0,0,0.638320485538598,0.722042889546885,0.429701132201132,0,0.793184313417621,0,0.729909544535166,0,0,0,0.591177999922868,0,0.618915917624303,0.635579610263154,0,0,0,0,0.879136009983897,0.630930708840596,0,0.824442396313364,0,0.645759864262426,0.712037043109837,0
CXCR3,0,0,0,0.744734048300192,0.697137128412971,0,0,0.790594188366026,0,0.867420365237939,0,0,0,0.568410861733521,0,0.714064398680168,0.655003224623478,0,0,0,0,0.769996530651675,0.697537148708613,0,0.937904761904762,0,0.633167542750682,0.770228286184611,0
