,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
BATF3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
PLEKHO1,0,0,0.718285424700849,0.558423408822935,0.453301225577555,0.640614940614941,0,0.757603251127344,0,0.401346671005337,0.619009581643191,0,0.544824233129282,0,0.427146207400295,0.516852656730004,0.611021889502902,0.332020505989253,0.757316778198823,0.562692004128468,0,0.426475145595587,0.53475571737399,0.602265441426962,0,0.538586397143793,0.618554128684543,0,0
LST1,0,0,0.69275486589985,0.569597701959347,0.394696174903305,0.685383782883783,0,0.681095834032161,0,0.35618802900925,0.52557626667709,0,0.612457995413573,0,0.338413064100827,0.499462509955626,0,0.494044825360891,0.625186834450722,0.566156679416348,0,0.43392254024776,0.517783138013426,0.668466710633206,0,0.759414906321919,0.71228957349125,0.382539630487109,0
C1orf162,0,0,0.582536070752828,0.467494139808434,0.396658408827282,0.627599345099345,0,0.661602987059485,0,0.333016140769083,0.551376975055448,0,0.555732669326775,0,0.323617871146014,0.422811013767209,0.381504571377989,0.425170566899841,0.625375994641495,0.670629186651286,0,0.413644496261454,0.497852087837069,0.622170927926905,0,0.726097619232215,0.739636702375408,0.356625194299244,0
HCST,0,0,0.686213380295188,0.571187822075659,0.464385706171213,0.618977688977689,0,0.662625952636694,0,0.429194578157785,0.517551845402539,0,0.661328955866209,0,0.391889604259454,0.566310615542155,0,0.533219995927791,0.63313466344991,0.509782850666829,0,0.460269323449126,0.499737399021504,0.61776015233969,0,0.74021429285696,0.775350988089693,0,0
ARID5A,0,0,0.480626339205882,0.367156855836939,0.35835076631658,0,0.519473143570297,0.687944648046314,0,0.498662139322029,0.590271587067619,0,0.532570192306291,0,0.388208636051461,0.359130959153487,0.733582872823379,0.349921402910594,0.679618454592251,0.683512435998624,0,0.390240894358169,0.464580953464558,0.568114905530175,0,0.590579449255351,0.626355712289574,0.393479415757751,0
GMFG,0,0,0.740262629160371,0.595360231495183,0.455352880944794,0.681703296703297,0,0.747634986850134,0,0.41609991742396,0.537562462251554,0,0.57447447797684,0,0.349985414403219,0.520736602571396,0.478167402218035,0.535109000617733,0.712501317919362,0.63832189909538,0,0.344536335396891,0.512745022186824,0.666190131986967,0,0,0,0.462867037010317,0
CYTH4,0,0,0.619647689199131,0.494435753979998,0.37373125455766,0.61785298035298,0,0.657277983758637,0,0,0.431639849245788,0,0.570962056282137,0,0.335509496716518,0.471249516441006,0,0.399158036228858,0.610419935623515,0.562291299860361,0,0.328316695251814,0.510906132665832,0.552702850254628,0,0.608789480342953,0.688327566704372,0.375117891271127,0
AIF1,0,0,0.658203001337705,0.511815508486121,0.428280853861432,0.651985791985792,0,0.705037094397122,0,0,0.445525603376208,0,0.646720034055606,0,0.361541341553332,0.531989077255661,0,0.454422747084747,0.621276490179175,0.575933458806387,0,0.356216125377287,0.488759585845944,0.63148470051799,0,0.729475157081614,0,0.383565399321838,0
SPI1,0,0,0.641844137445571,0.564875491480996,0.343272547742864,0.644821012321012,0,0.623038671667303,0,0,0.408880452010455,0,0.606156833645072,0,0.318571024965488,0.475099783820685,0,0.435313991489773,0.599572684028058,0.569236840507559,0,0.35543491058829,0.540520423256343,0.646054367100218,0,0.759191063064868,0,0.311737969843446,0
LAT2,0,0,0.538312983406853,0.532766574124964,0.375440337635218,0.506326451326451,0,0.617570563808667,0,0,0.48368384486287,0,0.631560332800243,0,0.399246487397815,0.47549982933212,0,0.408863612049598,0.642695005550766,0.443253799607391,0,0.403569061518568,0.504465581977472,0.592721936391192,0,0.731212129192273,0,0.369960189150724,0
LY86,0,0,0.534129110978977,0.473077176021834,0.298881728176445,0.557456154956155,0,0.661066822252594,0,0,0.337601928685541,0,0.59314222734741,0,0.243950996988706,0.435458413926499,0,0.448398983328099,0.597433003181613,0.487106631858013,0,0.341260543866643,0.44107634543179,0.547299224325434,0,0.701050470347076,0.63839909508284,0.320243193787671,0
CD3D,0,0,0.631437211748537,0.48426321302912,0.432889206831798,0.541336441336441,0,0.626997607925842,0,0.373895540270469,0.530157777472358,0,0,0,0.371590817735167,0.534554101718057,0.487980374056323,0.497041543920208,0.584365445084626,0,0,0.490133405724992,0.45555139694797,0.54748408032774,0,0.694376700117621,0,0.337184341405547,0
