,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
BCAT1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
CDH11,0,0.549527899921601,0.681607470422941,0.414192233073559,0,0,0,0.554061054392031,0,0.432712683172732,0,0,0,0,0.244928002278569,0.38876117874616,0.361828045372349,0,0.470754594111846,0,0,0,0.451788371828422,0.52300425398101,0,0.666119872806203,0,0,0
FCER1G,0,0.489946661805614,0.553574322464242,0.377772140719758,0,0,0,0,0,0,0,-0.462828707974283,0,0,0.272299539922042,0.309376720901126,0,0,0,0.385572622589197,0,0.33844593459108,0.540735237228354,0.453507241376298,0,0.63363672642634,0,0,0
LRRC25,0,0.448357245858102,0.495354386550239,0.379997604250342,0,0,0,0.323455470665273,0,0,0,0,0,0,0.270689726456894,0.301742177722153,0,0,0,0.395843199158116,0,0.311582068255672,0.647832517920128,0.472597963854264,0,0.599470658117592,0,0,0
WBP1,0,0,-0.498592513442873,-0.418410631491425,0,0,-0.360650506408102,0,-0.359386446886447,-0.569043044682905,0,0,-0.446532115923182,0,-0.214547697198417,-0.278486517237456,-0.372981448930816,0,-0.429542480417269,0,0,0,0,0,0,0,0,0,0
MICAL2,0,0,0.489715636027089,0.463834749644161,0,0,0,0.439587043070419,0,0.575564453155032,0,0,0.498031014510079,0,0,0.393625668449198,0,0,0,0.426373626373626,0,0,0,0,0,0.612350162675394,0,0,0
TNFRSF9,0,0,0.484812047726192,0.403939133794833,0,0,0,0.372715129066139,0,0,0,0,0,0,0.263070137858873,0.34046239617704,0.377002744091352,0,0,0,0,0,0.519991716874446,0.372574597531468,0,0.667948172183296,0,0,0
MMP14,0,0,0.589999290180073,0,0,0,0.397683290932655,0.387737854365387,0,0,0,0,0,0,0,0,0,0,0,0.56687309007751,0,0,0,0.47557018195159,0.716319508448541,0.643893369948725,0,0,0
COL6A1,0,0.46503080395583,0.442906445101748,0,0,0,0.468412614601834,0.379817602858594,0,0,0,0,0,0,0,0.345259984070998,0,0,0,0.381306538765102,0,0,0,0.442971104375399,0.716098310291859,0,0,0,0
FUK,-0.333798008534851,0,0,0,0,0,0,0,-0.365979853479853,-0.495623303648348,0,0,-0.408667122490841,0,0,0,0,0,-0.466903168588245,0,0,-0.304836229639415,-0.330168164751394,0,0,0,-0.563527180783818,0,0
ZNF768,0,0,0,-0.34088933985353,0,0,0,0,-0.469139194139194,-0.495165436753278,0,0,-0.488256647476372,0,-0.215937004003574,-0.256679485720787,0,0,-0.422019486600636,0,0,0,0,0,0,0,-0.575154700911571,0,0
ETV5,0.396728307254623,0,0.498359220697759,0,0,0,0.585108241731868,0.377112988926992,0,0.429540341948753,0,0,0,0,0,0,0,0.523585166115078,0,0,0,0,0,0,0,0,0,0.354657607020351,0
CDK6,0.432432432432432,0,0.38041507826028,0.316654687918375,0,0,0.537026064417031,0,0,0,0,0,0,0,0,0,0.309854702259765,0,0,0,0,0.411166689784009,0,0,0,0,0.7577766318451,0,0
ADAMTS4,0,0.441010091129913,0.333924969295549,0,0,0,0,0.4466505609063,0,0,0,0,0,0,0,0.386983046990556,0,0,0,0.309430716613037,0,0,0,0.401995527642142,0.73831643625192,0,0,0,0
PTPN22,0,0,0.469513065636438,0,0,0,0,0,0,0,0,0,0,0,0.23200562291983,0,0,0,0,0,0,0.358896572542396,0.586435999544886,0,0,0.667534109163688,0.691820813094684,0,0
GCNT1,0,0,0,0,0,0,0,0.360024111060756,0,0.472804659665781,0,0,0.448339278971684,0,0,0,0.417114531038582,0.204802791188844,0,0,0,0.470777291246027,0.530964614859484,0,0,0,0,0,0
CREB3L1,0,0,0,0,0,0,0.48167157874526,0.437402238391422,0,0.469917926813608,0,0,0,0,0,0.314655364660371,0,0,0,0,0,0.440801842213479,0,0,0.741247311827957,0,0,0,0
ST3GAL2,0,0.407467347214009,0,0,0,0,0.442083617337877,0.443283398339227,0,0,0,0,0,0,0.227672092814928,0.32006872226647,0,0.196602724929168,0,0,0,0,0,0,0,0,0.559784416794198,0.262800139042834,0
ALKBH7,0,-0.313466745510566,-0.370416348353502,-0.318513742677697,0,0,0,0,0,-0.374627275360548,0,0,-0.419511558641683,0,0,0,-0.286839742535945,-0.208470367775711,-0.446281606807286,0,0,0,0,0,0,0,0,0,0
ATP8B1,0,-0.302444901897144,0,0,0,0,0,0,0,0.455022239842877,0,0,0.385835142294409,0,-0.219390115329577,0,0,0,0,0.397545180418109,0,0,0.323526225964274,0,0.643778801843318,0,0,0,0
ARID5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218861243887257,0,0,0,0.383312970187114,0.401019974500638,0,0,0,0.278617849250094,-0.683729646697388,0.503250377200289,0,0.252476864452912,0
SOAT1,0.559715504978663,0,0.428757417039006,0,0,0,0,0.430565021952128,0,0.495081177608304,0,0,0,0,0,0,0.339091288458377,0,0,0,0,0.369823098173474,0,0,0,0,0,0,0
NOXA1,0,0,-0.399216291399405,0,0,0,0,0,0,-0.51176486523952,0,0,0,0,-0.292460280089397,-0.28515849357151,0,0,-0.45890262281458,0,0,-0.384341255303159,0,-0.286805452433155,0,0,0,0,0
TMEM200A,0,0.499920711492091,0.590473711071274,0.456080271706197,0,0,0,0.456526821958702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596883376948458,0,0,0,0,0,0
FLYWCH1,0,-0.30505401251721,0,-0.308796863916722,0,0,0,0,-0.422435897435897,-0.362519828431342,0,0,0,0,0,-0.242050745249744,0,0,0,0,0,-0.360158534893853,-0.333622710205939,0,0,0,0,-0.251382885925848,0
CIRBP,0,-0.460482459455414,-0.436512526215419,-0.304614871498565,0,0,0,0,0,0,0,0,-0.499527507628252,0,0,0,-0.311271007473539,0,0,0,0,0,0,0,0,0,-0.569291037327833,0,0
