,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RELB,0,0,0.421666400220908,0.530872287753022,0,0,0,0.404004791285285,0,0.543918027384326,0.4963641705303,0,0,0.581472709355937,0.430054942909448,0.547117988394584,0,0,0.581819534976029,0,0.604796286463437,0.610944553664669,0,0.395149631816633,0,0,0,0,0
SBNO2,0,0,0.381868313448897,0.499761599421262,0,0.461237651237651,0,0.406452771701441,0,0.563424590870423,0.537388456887649,0,0,0.430262473718717,0.62205813106824,0.539641825008534,0,0,0.605836677230695,0,0.503174898594834,0,0,0.439222556581442,0,0,0,0,0
MIDN,0,0,0.469320087293107,0,0,0.550862748362748,0,0.479791671870707,0,0.51550482552435,0.459173676266803,0,0,0.442978292757204,0.525422580341372,0.481300489247924,0,0,0.756346169351088,0,0.647715285103548,0,0,0.484528873786917,0,0,0,0,0
JUNB,0,0,0.425379537766106,0,0,0.419339271839272,0,0.463672232313104,0,0.442890169711009,0.566149147815035,0,0,0.565897167539274,0.377869285489513,0.511315052907043,0,0,0.63986070367591,0,0.507652991403532,0.483007704888078,0,0.373337060298216,0,0,0,0,0
SOCS3,0,0,0.370664174503647,0.438682901393763,0,0.455423742923743,0,0.391110667033031,0,0.53973042060586,0.59697520675746,0,0,0.511954742333712,0.453470108714377,0.475180566617363,0,0,0,0,0.518836102506997,0.583644660470287,0,0.352999406014972,0,0,0,0,0
NFKBIE,0,0,0.363130920914476,0.411229254452102,0,0,0,0,0,0.52988082785493,0.524043632475453,0,0,0.511465089279896,0,0.329446353396291,0,0,0.609151632049318,0,0.565782276245894,0.524177305011619,0,0.436805343244731,0,0,0,0,0
ZC3H12A,0,0,0,0,0,0.541627539127539,0,0.366059905339999,0,0.493924198769297,0.571924738897386,0,0,0.498716023836343,0.423748911822602,0.553736716349983,0,0,0.611806076693604,0,0,0,0,0.438929604039098,0,0,0,0,0
NFKB2,0,0,0.354373617615161,0.502792692493788,0,0,0,0,0,0.529894853729864,0.595791213737849,0,0,0.443942172532884,0,0.434848560700876,0,0,0.587106717357463,0,0.581113478382929,0.418392577201735,0,0,0,0,0,0,0
IER3,0,0,0,0,0,0.368893606393606,0,0,0,0.59484961560791,0.617713367772946,0,0,0.481133463038642,0.41723764875586,0,0,0,0.562981040567109,0,0.512915229425523,0.468351891842979,0,0.337896572356985,0,0,0,0,0
VASP,0,0,0.473926039291166,0.461515335146587,0,0.373088578088578,0,0,0,0.564754555500283,0.643020430499358,0,0,0,0,0.474431675958585,0,0,0.51202562655437,0,0,0,0,0.40438129471266,0,0,0,0,0
IER5L,0,0,0.432058901152415,0,0,0,0,0,0,0,0.429222057323419,0,0,0.452831995276351,0.584828682403798,0.459825463647742,0,0,0.519533115437332,0,0.555280673547699,0.423749977726993,0,0,0,0,0,0,0
TYMP,0,0,0,0.59130624726955,0,0,0,0,0,0.458241022297193,0.439737403209516,0,0,0,0.367130955689646,0.45982660143361,0,0,0.433936578619317,0,0,0.614485874371858,0,0.391283160524454,0,0,0,0,0
JUND,0,0,0.423953389474403,0,0,0.358180430680431,0,0.425842727368968,0,0.492418027592117,0.474264228405997,0,0,0,0,0,0,0,0.619868642201949,0,0.522154301635698,0,0,0.349886334850325,0,0,0,0,0
IER2,0,0,0.366969151057474,0,0,0.389000999000999,0,0.398412975961498,0,0,0.567418882608164,0,0,0,0.377226715300636,0.388497895096143,0,0,0.660686930581311,0,0,0,0,0.489761729020536,0,0,0,0,0
MESDC1,0,0,0.319700830910573,0,0,0.340048562548563,0,0,0,0.440630549311444,0.530421307335083,0,0,0,0.418205236573786,0,0,0,0.489791551671742,0,0.559494354389063,0,0,0.410651549165364,0,0,0,0,0
SERTAD1,0,0,0.358347513934692,0,0,0.388759018759019,0,0,0,0,0.586630713964183,0,0,0,0,0,0,0,0.59047128796383,0,0.619710587661218,0.495788742191783,0,0.460276486927962,0,0,0,0,0
EFHD2,0,0,0,0.580683916064206,0,0,0,0,0,0.514990855129543,0.444898931884465,0,0,0,0,0.430232563431562,0,0,0.527856163831331,0,0,0.539674426291022,0,0.375799040888881,0,0,0,0,0
RHOG,0,0,0.354401926160614,0.484775245799217,0,0.343978798978799,0,0,0,0.577923813109684,0.425323328445212,0,0,0,0,0,0,0,0,0,0.463735971992077,0.62512730551822,0,0,0,0,0,0,0
KLF16,0,0,0,0,0,0,0,0,0,0.617575273234433,0.591740545393334,0,0,0,0.492918405644971,0,0,0,0.553879644502881,0,0.548862745067373,0,0,0.460627309335174,0,0,0,0,0
PIM3,0,0,0,0.512086791903306,0,0.509688644688645,0,0,0,0.516638012323653,0.435169762407024,0,0,0.415414097273662,0,0.343998634656958,0,0,0,0,0,0,0,0.521896428228265,0,0,0,0,0
IRF1,0,0,0,0,0,0,0,0,0,0.417883177552616,0.572743698925328,0,0,0.534959392840852,0,0,0,0,0.443472112826301,0,0.603699147860345,0.515363832620189,0,0,0,0,0,0,0
BHLHE40,0,0,0,0,0,0.403589743589744,0,0.437124788715976,0,0.41107875809293,0.413088103455015,0,0,0,0.399571045637988,0.411092729548299,0,0,0.489624098388107,0,0,0,0,0,0,0,0,0,0
FBXO46,0,0,0.366853031257563,0,0,0,0,0.447019006938323,0,0.404701868080309,0,0,0,0,0.339898498028073,0.443074069860052,0,0,0.59754773969077,0,0,0,0,0.349720259256995,0,0,0,0,0
ZNF787,0,0,0.373420150418636,0,0,0.312141192141192,0,0,0,0.549944893895814,0,0,0,0,0.362119482452493,0.392536807372853,0,0,0.490176074026755,0,0,0,0,0.442863117023786,0,0,0,0,0
ICAM1,0,0,0.333595966706286,0.472827031572223,0,0,0,0,0,0.452690100475134,0,0,0,0.597425132420431,0,0,0,0,0,0,0.483341752809903,0.57453421465728,0,0,0,0,0,0,0
MYPOP,0,0,0.356530838305759,0.399911686091029,0,0,0,0,0,0.534078304693536,0.414249400122812,0,0,0,0.418983671022439,0.384701331209466,0,0,0,0,0,0,0,0.402669547785222,0,0,0,0,0
PVRL2,0,0,0,0.471491753453873,0,0.309262404262404,0,0,0,0.465449179164241,0,0,0,0,0,0.480605302082148,0,0,0,0,0,0.588058034895425,0,0.514708554257912,0,0,0,0,0
CEBPB,0,0,0,0,0,0,0,0,0,0.406090533594152,0.453926405818336,0,0,0,0.388243205064303,0,0,0,0.448430590613933,0,0.542105821872549,0.536790639677256,0,0,0,0,0,0,0
SERTAD3,0,0,0,0,0,0.398169053169053,0,0,0,0.533822410397516,0.511664033469553,0,0,0.414944126091646,0,0,0,0,0.493373191349487,0,0,0,0,0.378495012272779,0,0,0,0,0
NFKBIB,0,0,0.321392477130423,0,0,0,0,0,0,0.48669806800326,0,0,0,0,0.343424537337979,0,0,0,0.537224244754681,0,0,0.533518341951968,0,0.483709742227968,0,0,0,0,0
RAB4B,0,0,0.318128548178132,0,0,0,0,0,0,0.553736035942811,0,0,0,0,0,0.331993173284788,0,0,0.540238403860108,0,0,0.573427377246036,0,0.387638669298836,0,0,0,0,0
ERF,0,0,0.424984018520192,0,0,0.33985125985126,0,0,0,0,0,0,0,0,0.373954718038593,0.331797019001024,0,0,0.627422645885921,0,0.550903946805591,0,0,0,0,0,0,0,0
RND1,0,0,0,0,0,0.427094294594295,0,0,0,0.413252872603082,0,0,0,0,0.330341716414654,0,0,0,0.535075260948034,0,0.502103859065782,0,0,0.389093277487094,0,0,0,0,0
SOCS1,0,0,0,0.52994099879273,0,0.546871739371739,0,0,0,0.50172694883818,0,0,0,0.546762664553082,0,0,0,0,0,0,0.470542160854752,0,0,0,0,0,0,0,0
ITPKC,0,0,0,0,0,0,0,0.390494806070706,0,0,0.569650690536504,0,0,0,0,0,0,0,0.531000564379586,0,0.645902034828481,0,0,0.422575471038862,0,0,0,0,0
PLK3,0,0,0,0,0,0.365277222777223,0,0,0,0.551907373537517,0.433560843245124,0,0,0,0,0,0,0,0.597926060072315,0,0.567297977527035,0,0,0,0,0,0,0,0
PLAUR,0,0,0,0,0,0.432961205461205,0,0,0,0.530749808728624,0.496999037926865,0,0,0.455230789894689,0,0,0,0,0,0,0,0.581158468860939,0,0,0,0,0,0,0
EPN1,0,0,0.321138058290749,0,0,0,0,0,0,0,0,0,0,0,0.322538077595375,0.324547275002845,0,0,0.536842823386402,0,0,0.464855990600267,0,0.47546863671701,0,0,0,0,0
ARID5A,0,0,0,0,0,0,0,0,0,0.563808692052877,0.542082188533551,0,0,0,0.303080661795613,0,0,0,0.439453234019065,0,0.565894883486696,0,0,0,0,0,0,0,0
METRNL,0,0,0,0,0,0,0,0,0,0.480826628965115,0,0,0,0,0,0,0,0,0.527729023375238,0,0.498830917881952,0.505020772417388,0,0.370598832994121,0,0,0,0,0
MAP2K3,0,0,0,0,0,0,0,0,0,0.494227053772503,0,0,0,0,0,0,0,0,0.522910089990635,0,0.508634492536251,0.461178411499649,0,0.349435823411745,0,0,0,0,0
SH3BGRL3,0,0,0,0,0,0.359696692196692,0,0,0,0.533441322180789,0.478680560196399,0,0,0,0,0.305452042325634,0,0,0,0,0,0.602159031712918,0,0,0,0,0,0,0
ADAM8,0,0,0,0.458862394716198,0,0,0,0,0,0.423570721786069,0.440179982069882,0,0,0,0,0,0,0,0.472826053250144,0,0,0.452816338709018,0,0,0,0,0,0,0
ZNF628,0,0,0.325956198002268,0,0,0.316117216117216,0,0,0,0,0,0,0,0,0.371461384919641,0.335479121629309,0,0,0.488771327036263,0,0,0,0,0.395894842812344,0,0,0,0,0
MAFF,0,0,0,0,0,0.404215229215229,0,0,0,0.408314933463327,0,0,0,0,0,0,0,0,0.482922866055979,0,0.516649058752046,0,0,0.393703103571772,0,0,0,0,0
MAP3K11,0,0,0.375087300478992,0.428121638316962,0,0,0,0,0,0.402717050934082,0,0,0,0,0,0,0,0,0.559743610416835,0,0,0,0,0.427466238939213,0,0,0,0,0
FOSL1,0,0,0.391715116615831,0,0,0,0,0,0,0.586126144771133,0.582593915612442,0,0,0,0,0,0,0,0,0,0.632059457405138,0,0,0,0,0,0,0,0
CDC42EP2,0,0,0.350642239593503,0,0,0.478140748140748,0,0,0,0,0,0,0,0,0.311119278024444,0,0,0,0.589420053461011,0,0,0.455821709735383,0,0,0,0,0,0,0
TNFAIP2,0,0,0,0.489489235567957,0,0,0,0,0,0.41903371487869,0,0,0,0,0.376372366840392,0,0,0,0.460096502707161,0,0,0.434645059113433,0,0,0,0,0,0,0
ZNF296,0,0,0.325829631001059,0.538263880080986,0,0,0,0,0,0,0,0,0,0,0,0.408491295938105,0,0,0.473424543689802,0,0,0,0,0.430212109433006,0,0,0,0,0
ZNF579,0,0,0.374772051967244,0,0,0,0,0,0,0.450289701849379,0.413260217456269,0,0,0,0.403000383589711,0,0,0,0.504682489968308,0,0,0,0,0,0,0,0,0,0
ADAT3,0,0,0.363126940025271,0,0,0,0,0,0,0.520028222138275,0,0,0,0,0.399808090297477,0,0,0,0.482209639107164,0,0,0,0,0.373757544920118,0,0,0,0,0
RNF126,0,0,0.37732801452835,0,0,0,0,0,0,0.479121186468501,0,0,0,0,0.433290648450366,0,0,0,0.468779265562302,0,0,0,0,0.358731361535975,0,0,0,0,0
CDC42EP1,0,0,0,0,0,0.326875624375624,0,0,0,0.411062654310598,0.476518732686151,0,0,0,0,0,0,0,0.51076352495364,0,0,0,0,0.375123819673134,0,0,0,0,0
NR1H2,0,0,0.352057456237074,0,0,0,0,0.360554625767075,0,0.417974086001263,0.432334609792971,0,0,0,0,0,0,0,0.53327978962906,0,0,0,0,0,0,0,0,0,0
ZNF593,0,0,0.329906840873748,0,0,0,0,0,0,0.506093151757473,0,0,0,0,0,0,0,0,0.453661955234156,0,0,0.436533810074666,0,0.357439007346197,0,0,0,0,0
GLTSCR1,0,0,0.401395164757209,0,0,0,0,0.386336034676154,0,0.457829077155611,0,0,0,0,0.325719460401827,0,0,0,0.498251043482036,0,0,0,0,0,0,0,0,0,0
SIRT6,0,0,0,0,0,0,0,0,0,0.463373973046216,0,0,0,0,0.421324946423772,0.301724428262601,0,0,0.489955903968643,0,0,0,0,0.392343926066334,0,0,0,0,0
TICAM1,0,0,0.32340895548418,0,0,0.33000777000777,0,0,0,0,0.453229123454284,0,0,0,0,0,0,0,0.564996681944195,0,0,0,0,0.382811121496144,0,0,0,0,0
PDP2,0,0,-0.332370779599228,0,0,0,0,0,0,-0.436312657739145,-0.510441582742703,0,0,0,0,-0.37723335988167,0,0,0,0,0,-0.393144945040701,0,0,0,0,0,0,0
TNFRSF1A,0,0,0,0,0,0.465819735819736,0,0,0,0.503700545284459,0.560601781159254,0,0,0,0,0,0,0,0,0,0,0.498474080683835,0,0,0,0,0,0,0
ALDH16A1,0,0,0,0,0,0.3453441003441,0,0,0,0.441195844018972,0,0,0,0,0,0.329789282057117,0,0,0.522944200844709,0,0,0,0,0.354059843991579,0,0,0,0,0
PSMB10,0,0,0,0.594668517500716,0,0,0,0,0,0.417643698725038,0,0,0,0,0,0,0,0,0.444941980538207,0,0,0.535495136798186,0,0,0,0,0,0,0
STX4,0,0,0,0.508366333610489,0,0,0,0,0,0.425886237894631,0,0,0,0,0,0,0,0,0.517901996415259,0,0,0.529835871524406,0,0,0,0,0,0,0
JOSD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30410946318113,0.330735692342701,0,0,0.466059700196603,0,0,0.482490621754037,0,0.361217691145256,0,0,0,0,0
SEMA4B,0,0,0.325479712946294,0,0,0.403808413808414,0,0,0,0,0,0,0,0.442156973566448,0.471789044034721,0.300384116509273,0,0,0,0,0,0,0,0,0,0,0,0,0
RARA,0,0,0,0,0,0,0,0,0,0.457326846937601,0.412251490708996,0,0,0,0,0,0,0,0.556664330589994,0,0.493314629322769,0,0,0,0,0,0,0,0
SCO2,0,0,0,0.447628207838329,0,0,0,0,0,0.55172794623373,0,0,0,0,0,0,0,0,0.432488417814549,0,0,0.480554355045351,0,0,0,0,0,0,0
TAGLN2,0,0,0,0,0,0,0,0,0,0,0.53826100552404,0,0,0.477321563219369,0,0,0,0,0,0,0,0.516142951126211,0,0.375710598265214,0,0,0,0,0
FLT3LG,0,0,0,0,0,0,0,0,0,0.496227766910322,0.465323757154079,0,0,0,0,0,0,0,0.421988476733297,0,0,0.516569195331298,0,0,0,0,0,0,0
CCDC121,0,0,0,0,0,-0.400261405261405,0,0,0,-0.55394860586959,0,0,0,0,0,0,0,0,0,0,-0.475837731402015,-0.464161422174272,0,0,0,0,0,0,0
TNIP2,0,0,0,0.390070322298792,0,0,0,0,0,0.519971183580209,0,0,0,0,0,0,0,0,0.509737098344693,0,0,0.469140094241895,0,0,0,0,0,0,0
ODF3B,0,0,0,0.439716362030656,0,0,0,0,0,0,0.499297674002212,0,0,0,0,0,0,0,0.500564379585584,0,0,0.433929527857679,0,0,0,0,0,0,0
UPP1,0,0,0,0,0,0,0,0,0,0.504431968688429,0,0,0,0,0,0,0,0,0,0,0.476405948321096,0.481958864639165,0,0.39827722504171,0,0,0,0,0
MIER2,0,0,0,0,0,0,0,0,0,0.435532403511331,0.510895509778975,0,0,0,0.401210374838353,0,0,0,0.512943518627627,0,0,0,0,0,0,0,0,0,0
EFNA1,0,0,0.368750630570744,0,0,0,0,0,0,0,0.431830876873552,0,0,0,0,0,0,0,0.517942309242801,0,0.531331107515673,0,0,0,0,0,0,0,0
LIF,0,0,0,0,0,0.336663614163614,0,0,0,0.539114217167089,0.508160599385433,0,0,0.450560334910986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNA15,0,0,0,0,0,0,0,0,0,0.402006822185568,0.419844681299089,0,0,0,0,0.3433769484583,0,0,0,0,0,0.647037655181715,0,0,0,0,0,0,0
ZFP36,0,0,0.367113979598048,0,0,0.476511266511267,0,0,0,0,0,0,0,0,0,0,0,0,0.487847232989537,0,0.478914489658511,0,0,0,0,0,0,0,0
DDA1,0,0,0,0,0,0,0,0,0,0.483913256508941,0.415205168715853,0,0,0,0.357952021425897,0,0,0,0.54823584864704,0,0,0,0,0,0,0,0,0,0
RAB20,0,0,0.319976354781901,0,0,0,0,0,0,0,0,0,0,0.429216674800954,0,0,0,0,0.48742859978045,0,0,0.549747764750932,0,0,0,0,0,0,0
ELF3,0,0,0,0,0,0.370004717504718,0,0,0,0,0.41538295680506,0,0,0,0,0,0,0,0.610243179379679,0,0,0,0,0.381508394406059,0,0,0,0,0
CBLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358555888102058,0.434534076686768,0,0,0.4943965169717,0,0,0,0,0.488859723447559,0,0,0,0,0
ISG20,0,0,0,0,0,0.405467587967588,0,0,0,0.506275072550137,0.468274282889851,0,0,0,0,0,0,0,0,0,0,0.392711014464702,0,0,0,0,0,0,0
RELT,0,0,0,0,0,0.361510711510712,0,0,0,0.505389987894111,0,0,0,0.421224239023034,0,0,0,0,0,0,0,0.484008330628546,0,0,0,0,0,0,0
TAPBP,0,0,0,0.462897588748432,0,0.336244866244866,0,0,0,0,0,0,0,0,0,0,0,0,0.45219208752225,0,0,0.520191572313552,0,0,0,0,0,0,0
SLC2A6,0,0,0,0,0,0,0,0,0,0.436691771943845,0,0,0,0.503080345922195,0.335517995410705,0,0,0,0,0,0,0.493808453540604,0,0,0,0,0,0,0
TNFRSF6B,0,0,0.332906388231902,0,0,0,0,0,0,0.427488616184322,0.557780498537977,0,0,0,0,0,0,0,0,0,0.445578836407485,0,0,0,0,0,0,0,0
TRABD,0,0,0,0,0,0,0,0,0,0.509571672636495,0.483050238374739,0,0,0,0.318847921609882,0,0,0,0.446672331135767,0,0,0,0,0,0,0,0,0,0
NOC4L,0,0,0,0,0,0,0,0,0,0.537635058786078,0,0,0,0,0.396196260115169,0,0,0,0.47375014729687,0,0,0,0,0.335989924092208,0,0,0,0,0
MUC1,0,0,0,0,0,0,0,0.358440893405797,0,0,0.478550056173471,0,0,0.42329444166292,0,0,0,0,0.461615986206811,0,0,0,0,0,0,0,0,0,0
EGLN2,0,0,0,0,0,0,0,0,0,0.514458910835747,0,0,0,0,0,0,0,0,0.452620023691539,0,0,0.387331253587701,0,0.366978690787118,0,0,0,0,0
CIB1,0,0,0.362700037049651,0,0,0,0,0,0,0.401668850547342,0,0,0,0,0,0,0,0,0.457773863643411,0,0,0.496941697828495,0,0,0,0,0,0,0
STXBP2,0,0,0,0.430843867585507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471737606906518,0,0,0.462333463419338,0,0.352342856019776,0,0,0,0,0
