,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ATAD5,0,0.797202227191956,0.741565032880249,0,0.668657028462467,0.803775668775669,0.727027696443143,0.860598042329364,0,0,0,0.807489419693971,0,0,0.835911347134906,0.821603822960519,0.815526245905993,0.604316714348326,0,0,0,0.765168790958312,0.661400841961543,0.822946493304566,0.646586789554531,0,0.854040521658128,0.690467039633766,0
BRIP1,0,0.799076251832157,0.67506050846276,0,0.65073873447247,0.734103951603952,0.754122401958431,0.769975484510993,0,0,0,0.851808502255123,0,0,0.836178366918488,0.680318124928889,0.814615763982852,0.481095717623348,0,0,0,0.645505272326374,0.648491978609626,0.72744702177654,0.639207373271889,0,0.865776166078914,0.720416341468214,0
XRCC2,0,0.762810281125926,0.602432386492527,0,0.572552906637716,0.734086469086469,0.746618153890462,0.768880257121208,0,0,0,0.825141032118704,0,0,0.815332218549663,0.725120491523495,0.811049709783887,0.394070794322374,0,0,0,0.728446804548515,0.525697804073273,0.684589910116089,0.669726574500768,0,0.830693991616209,0.654874697483456,0
CLSPN,0,0.811786866562628,0.675544723605177,0,0.508580050453845,0.596111388611389,0.715800892814285,0.803071097297111,0,0,0,0.840868952538115,0,0,0.869304554151612,0.511742405279326,0.762288344566825,0.421008631012979,0,0,0,0.796327941111219,0.565597451359654,0.662536032180013,0.573327188940092,0,0.831567303213787,0.758160409625869,0
CDC6,0,0.816925799294851,0.679776745835811,0,0.582467351727282,0.719539627039627,0.63817942687083,0.808297142952302,0,0,0,0.827762352188605,0,0,0.869984219992144,0.708927978154511,0.773264709973571,0.45984603252936,0,0,0,0.776075052520623,0.678515644555695,0.699825735274849,0,0,0.88994610419855,0.752527365859737,0
NCAPG2,0,0.777851385177643,0.694969925329893,0,0.444483767489134,0.699787712287712,0.770355109681755,0.762645222453381,0,0,0,0.763534216222981,0,0,0.8383167072843,0.583498463989077,0.833938213685049,0.376820846950502,0,0,0,0.705268203684636,0.496770508590283,0.668735095780086,0.558771121351766,0,0.917576019695256,0.696417023565137,0
CASC5,0,0.714880748602077,0.661209608251065,0,0.521994526400107,0.51975801975802,0.641646234339749,0.742329839786938,0,0,0,0.744176775706783,0,0,0.794068485693482,0.561419274092616,0.749364559491142,0.552842522837156,0,0,0,0.701355840890725,0.544298555011947,0.694452791292878,0.612,0,0.800718610686007,0.724547552120738,0
TIMELESS,0,0.75956686244259,0.676878342551514,0,0.620246022320096,0.654220501720502,0.719054960879374,0.780528980257954,0,0,0,0.770841928141992,0,0,0.739513185609184,0.713780862441689,0.846912581089796,0.548522271188429,0,0,0,0.671427208844637,0.507591079758789,0.670794280273583,0,0,0.923240069199548,0.666619881813591,0
KIF14,0,0.765242289377859,0.638311361563104,0,0.496398582859043,0.598694361194361,0.724043968703499,0.784398109654773,0,0,0,0.735364875701684,0,0,0.816023483959289,0.702857890545,0.902654307717599,0.571989671082828,0,0,0,0.707115028986353,0.582752759130732,0.728980900760825,0,0,0.893946703040788,0.60538856569446,0
CENPF,0,0.744779185210544,0.637070019207264,0,0.499753776166792,0.559274614274614,0.74085268564297,0.788302626523594,0,0,0,0.661687471897873,0,0,0.805474652070351,0.646456024576175,0.854904589081804,0.580719901024609,0,0,0,0.69327257373588,0.558843554443054,0.736956132458661,0,0,0.905906913300952,0.578395891677762,0
BUB1B,0,0.745446838907982,0.649873359278621,0,0.498590037947438,0.606064491064491,0.629212115393846,0.779364464792736,0,0,0,0.758059805962055,0,0,0.808768125762298,0.62050381158266,0.868814729574223,0.544860302516832,0,0,0,0.735896295483663,0.464392081010354,0.698349726155432,0,0,0.898338212788609,0.67483390284054,0
NCAPH,0,0.756395322126236,0.602805852876024,0,0.5203081135476,0.675079642579643,0.598060768972304,0.796171135004098,0,0,0,0.688308588010068,0,0,0.815616580263276,0.638338605074525,0.855258665385248,0.58964942764754,0,0,0,0.692257274014581,0.481511662305154,0.672709226858605,0,0,0.899893539157629,0.693182310078638,0
KIF11,0,0.76924598852021,0.646864670619332,0,0.479879545537555,0.542619047619048,0.64918811500984,0.782476183339221,0,0,0,0.797898772081898,0,0,0.813134272477323,0.646783934463534,0.826022079186636,0.508976546835583,0,0,0,0.696032679654071,0.497215837979292,0.698490797599602,0,0,0.896841107192761,0.693969344990195,0
KIF15,0,0.742724353131748,0.647872825544587,0,0.469682982091782,0.552620157620158,0.682025248403974,0.736625914572858,0,0,0,0.836873235649953,0,0,0.812209522671989,0.640095118898623,0.839654016869207,0.525901235121769,0,0,0,0.682491390391128,0.50022937763113,0.69876551567509,0,0,0.90396899327966,0.673120790183051,0
CENPI,0,0.782780610921658,0.670382746075986,0,0.419333671707433,0.647109557109557,0.677476311620986,0.765373626282127,0,0,0,0.798223250251471,0,0,0.803275557525823,0.519900785072249,0.860645683430493,0.393912909938606,0,0,0,0.736247772262613,0.631226533166458,0.71838263554651,0,0,0.900459112382727,0.608281317943424,0
POLQ,0,0.747912933808175,0.68894669252349,0,0.53713571782119,0.736272893772894,0.717967455479288,0.771960751427691,0,0,0,0.856402186055783,0,0,0.844456209903965,0.616351575833428,0.880676285739577,0.501900220520483,0,0,0,0.766993255908286,0.584994424849243,0.758834653785344,0,0,0.908144254441413,0,0
BUB1,0,0.733325330381133,0.625098116281142,0,0.487409838625781,0.585958208458208,0.60623472375558,0.797487608437325,0,0,0,0.696891035595255,0,0,0.80093795723549,0.625049266128115,0.886923203378899,0.527273880228734,0,0,0,0.742878315315199,0.538944134713847,0.695121897956866,0,0,0.90865160689334,0.634306851794768,0
SPAG5,0,0.778047012898091,0.625350070760832,0,0.500941444068147,0.731764624264624,0.677839581433303,0.802041886871902,0,0,0,0.740897228492892,0,0,0.850848376404869,0.801143929912391,0.904854639031854,0.602216765768595,0,0,0,0.718363683434718,0.553950620093299,0.7155445008342,0,0,0.869044846629849,0,0
GSG2,0,0.724448722565806,0.623516776499189,0,0.438168850355104,0.484678654678655,0.582220515528248,0.747257024859253,0,0,0,0.59774441318123,0,0,0.753026224213928,0.620942996927978,0.814286978843941,0.474680262553965,0,0,0,0.711000140101579,0.482734554556833,0.612555904473231,0.596307219662058,0,0.850713620334021,0.742542516281785,0
WDHD1,0,0.752456832224035,0.688415443912325,0,0.539203746128744,0.531639471639472,0.651322421158739,0.769733422307549,0,0,0,0.798209344044203,0,0,0.804581944639047,0.389773125497781,0.82230427800048,0.370516256052235,0,0,0,0.696920804874836,0.675683467971328,0.728748001851836,0,0,0.841098875507353,0.7583724118029,0
