,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CHERP,0,0.634910507728036,0.606862189409023,0.557938386955848,0.702327350493014,0.707631535131535,0.77088503816061,0.752676660802457,0,0,0,0.57623614594101,0.643714801796666,0,0.70596516454161,0.774031858004324,0.682014188343302,0.782463790122477,0.65115449736106,0,0.666223243072895,0.681627023044089,0.615278416202071,0.533736275015068,0.682746543778802,0,0,0.725067717795515,0.708532583216127
WIZ,0,0.651878248420528,0.613939957659347,0.602282068988195,0.766652854622144,0.679073149073149,0.764459847357558,0.700040621249374,0,0,0,0.545677255470934,0.569021790630918,0,0.755976878957922,0.788997610649676,0.607936367430038,0.858712025786057,0.647361990585404,0,0.585564396874836,0.670344828068111,0.596477870064854,0.520635192739407,0,0,0,0.79305966380492,0
HCFC1,0,0.537454557310771,0,0.499330599360194,0.602171555668627,0.653138250638251,0.661221331541305,0.666729709894099,0,0,0,0.654402936990975,0.697001619682274,0,0.633775992796782,0.510119467516214,0.635377280946901,0.539973651425791,0.548666885803063,0,0.642879625205567,0.627624677303439,0.541625440892024,0.493572514216333,0.708460829493087,0,0,0.599874074414151,0.762189404594468
UPF1,0,0.570422274290812,0.513926561651231,0.546422347177008,0.704845004930774,0.66534188034188,0.614668266692267,0.721985611870207,0,0,0,0.458086691296105,0.599268300150014,0,0.617992080135795,0.639946979178519,0.627537019942083,0.553986537552326,0.513929632409033,0,0.515466780472966,0.579192854190592,0.60307998634657,0.474603100077742,0,0,0,0.5711866518879,0.638091889357712
AKAP8,0,0.586091758293059,0.488512628159883,0.566529028500026,0.726265848691361,0.551510711510712,0.740482503720059,0.563652843546931,0,0,0,0,0.491529688586561,0,0.556993391691033,0.708139264990329,0.647289419441318,0.801361601827663,0.491075360179609,0,0.588667449704054,0.701925331099162,0.590172715894869,0.585110629711481,0,0,0,0.67323622197008,0
PRR12,0,0.500245275664652,0.44644284380402,0,0.460606075872205,0.554895104895105,0.63693601497624,0.488260280506677,0,0,0,0.630565380033468,0.621621810749384,0,0.502915052106183,0,0.534389660971939,0.433687696061345,0.459742990219488,0,0.637415339295782,0.434761053438096,0.506799635908522,0.40443053869201,0.739987711213518,0,0.919023221771242,0,0.709118612283169
GATAD2A,0,0.551498997407933,0.435380753095773,0.496427514480193,0.614218261370062,0.500188977688978,0.752450439207027,0.692302065082022,0,0,0,0.502709392715929,0,0,0.600246921520302,0.638998293321197,0.674249800832079,0.550088173683175,0.559693994629091,0,0.508769679874818,0.416631000741036,0.486042325634316,0.437128759357448,0.562543778801843,0,0,0.600341048461675,0
DNMT1,0,0.5116554106626,0.487645636829586,0.588588715549355,0.699867631074833,0.53219141969142,0.724996303940863,0.588871621388545,0,0,0,0.423731406242033,0.628629888750716,0,0.634920100789919,0.607422004778701,0.694912682254454,0.539569881526319,0,0,0.568420921956144,0.725670627127509,0.516766412561156,0.369261711550388,0,0,0,0.610714168595995,0
SAMD4B,0,0.541706496174144,0.430274767713009,0,0.507927651755116,0.61282523032523,0.679847933566937,0.575333385671107,0,0,0,0.546372565834303,0,0,0.46560704794412,0,0.707305352874973,0.377991607107731,0.463938625270561,0,0.776254593241532,0.438763556399969,0,0,0.810064516129032,0,0.856410938851554,0.766266371965816,0.732231598687295
EPS15L1,0,0.532821737203798,0.318993222588787,0.615848588621599,0.626248594131182,0.589039294039294,0.625602457639322,0.607679616697177,0,0,0,0.408084605365015,0,0,0.557371928124017,0.755433610194561,0.593823897621366,0,0.522184459094884,0,0.574525075051944,0.583784412668677,0.547023552167482,0.466220923122614,0.62621198156682,0,0,0.685246374720439,0
