,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NKTR,0.603271692745377,0.679722593964292,0.546640013665613,0.523406709038553,0.699775690717676,0.57529748029748,0,0.633570161759406,0,0.809774746526466,0.831642244971812,0.615247692728444,0.759372507970849,0,0.734676394991743,0.739086130390261,0.602878134523704,0.660085274822358,0.732239098481137,0,0.771825766100685,0.739721313153582,0.560684947092957,0.67583190660459,0.830924731182796,0.790806552097469,0.896899327965933,0.726124968026707,0
SF3B1,0.339601706970128,0.600427416928615,0.596668290616707,0.61369711147752,0.537730181500341,0.547328504828505,0,0.604240489691243,0.416575091575092,0.776744434428931,0.818294898742748,0.627758643866667,0.827353969825217,0,0.62945900069138,0.470057344407783,0.571137723036457,0.472646314823187,0.682716340339496,0,0.769075392893701,0.743737791335294,0.594227102059393,0.70374505376438,0,0.813225038990715,0.913434027546743,0.711404791730887,0
SENP7,0.388079658605974,0.620796412306169,0.564165530849469,0.560509120290121,0.570843823560157,0.318568653568654,0,0.45790794023502,0.416849816849817,0.681258667471232,0.790609132255425,0.491037449416171,0.781179466918974,0,0.619858806829275,0.379202639663215,0,0.40665883859212,0.622405249350343,0,0.707131537769172,0.657486927055292,0.55749618841734,0.414009093211974,0,0.692279147918681,0.86096047641227,0.582415016626113,0
ZKSCAN1,0.466258890469417,0.656208734777718,0.564787012949264,0.686950680439879,0.773234776629013,0.531305361305361,0,0.614279826286171,0,0.560427105553955,0.648200872800818,0,0.582213526898243,0,0.456510918525086,0.408114916372739,0.545720102682128,0.560115126186721,0.537983986504506,0,0.696473731624101,0.756252600701067,0.409541472294914,0,0,0.58362925884586,0.886145119435758,0.781288244977734,0
NUFIP2,0.418662873399715,0.391159109063936,0.402852254457595,0.48649454849514,0.51981818479508,0.496997724497725,0,0.565971466397365,0.477564102564102,0.573388364632852,0.628526918503705,0.448748673116057,0.653105897480381,0,0.445410590291735,0.417968141995677,0.3990819307275,0.438164969337645,0.539531378884761,0,0.675223709141753,0.602483955574174,0.368465809534646,0.588313999703008,0,0.569771878767744,0.844808370483732,0.613636691567577,0
CRAMP1L,0.519032716927454,0.609201764799163,0,0.4445137332826,0.620971469521772,0.478949383949384,0,0.60274469990829,0,0.684651578565471,0.789561947800913,0,0.710524144345618,0,0.536217644667299,0.540315621799977,0.478723807837732,0.47189830520173,0.685417299784792,0,0.706687364763787,0.693715588204775,0.362265331664581,0.489492797931535,0.756718894009217,0.679162540774739,0,0.678089603924681,0
SON,0.396557610241821,0,0.583312091392791,0.672961381455019,0.636261276862642,0.530042735042735,0,0.554929385637801,0.465155677655678,0,0,0,0.714067035310823,0,0.496144464019515,0,0.614942020005311,0.54657761872388,0.547200119077891,0,0.73746149653459,0.770605151475661,0.535763568096484,0.576439212620435,0.747403993855607,0.529648688551067,0.905399560849025,0.614935299171646,0
ERCC6,0.483357041251778,0.51296626459242,0.534991447407083,0,0.680042519266543,0.424604562104562,0,0.583172454153894,0.491529304029304,0.551325767256917,0.629152959541231,0.390769059615911,0,0,0.528981810497495,0.470078962339288,0,0.443096052372752,0.51812836844684,0,0.677730686489712,0,0.614363181249289,0.640086455394345,0.84278955453149,0.525961213884212,0.83135105462772,0.608235008624591,0
REV3L,0.522105263157895,0,0.614277490725476,0.669467579870066,0.489853185103647,0.544968364968365,0,0.602467547606558,0.47239010989011,0.526470150652442,0.627952574711977,0.363846642346255,0.596995059313027,0,0.522654188133526,0.368354989191034,0.579155022192997,0.433061766441545,0,0,0.601721580943101,0.641167364088367,0,0.596857884714494,0.784430107526882,0.572532397421134,0.837131545678355,0,0
CREBZF,0.435163584637269,0.529466425392478,0,0,0,0.497569097569098,0,0,0.508104395604396,0.815231850829521,0.829093949026516,0.482902318164752,0.672521528945078,0,0.640466417524767,0.531327340994425,0.587880473956423,0.463911771100428,0.699532991397863,0,0.724371491287406,0.660798355396129,0,0.500455424917672,0,0.710347377847971,0.919147980570896,0.622440988778194,0
