,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NEURL4,0.416187766714082,0.741931468052659,0.701607584162633,0,0,0,0.588942159074545,0,0.649175824175824,0.765200204299855,0.745722683364457,0,0.567042016978236,0,0.641739384097335,0,0,0.67832566630661,0.791157846426733,0.6829478072572,0.469071522019799,0.407888103209794,0.423282284674024,0.549969973183323,0,0.388924666569309,0.565440149045179,0,0
MINK1,0,0.616557811696463,0.678279741928852,0,0,0,0.648788748619978,0,0,0.648034486613497,0.679588666450631,0.640990400081583,0,0,0.617043786650619,0,0,0.744280789180347,0.673400976190624,0.493264930281505,0.498549106531924,0.540512939481359,0.606792126521789,0.519214105397402,0,0,0.581550668707166,0,0
PELP1,0,0.449972656579983,0.632286317346798,0,0,0,0,0,0.63003663003663,0,0.584171312063489,0,0,0,0.49858071807075,0,0,0.538389199672843,0.647110810659952,0.692892558638415,0,0.416838532755644,0.442379792922972,0.360186188101082,0,0.371603839238738,0,0,0.842123769338959
KDM6B,0.435106685633001,0.484803282988836,0.581004165610889,0,0,0,0,0,0,0.639562754257944,0.649464933505994,0,0,0,0.579853730582207,0,0,0.549558872757265,0.591057374456552,0.545186489385384,0.369610785584084,0.260026783508821,0.321849584708158,0.501424472183157,0,0.322285580534863,0,0,0
TECPR1,0,0.306412291348957,0.426989523100005,0,0,0,0.393530648490376,0,0,0.486843313730355,0.446686900044006,0.662480125712114,0.480931922319397,0,0.481950496254832,0,0,0.442996835410275,0.558624154205868,0,0.411198535949471,0.33181399401651,0.171193992490613,0.364330980686752,0,0.29768685479322,0.560491383325571,0,0
WDR81,0,0.491593195119385,0.439448863793139,0,0,0,0.581238227811645,0,0,0,0.405673961862563,0.56845794067612,0,0,0.599880788586943,0,0,0.64766848765741,0.605836677230695,0.391334264262441,0.253701865292024,0.251156012716053,0.345154169985209,0.510958914579712,0,0,0,0,0
SYNGAP1,0,0.410609246966659,0.468365769155186,0,0,0,0.439208179330869,0,0,0.711044119376611,0,0,0.651104984860126,0,0.425977751796785,0,0,0.393263685901528,0.573080954359677,0.307366482504604,0,0,0,0.408697731501297,0,0.516714028867401,0,0,0
CYB5D1,0,0.404873797889888,0.511853192388793,0,0,0,0,0,0,0,0.577925402135222,0,0,0,0.337692857192077,0,0,0.463336744096159,0.490244295734903,0.521832311335074,0.355530481763492,0.286410601042761,0.32293821822733,0.340375149588141,0,0,0.584536562645552,0,0
RPAIN,0,0.488928508442373,0.631331346258796,0,0,0,0,0,0.527197802197802,0.539153905198384,0.493092113143836,0,0,0,0.323149639035192,0,0,0.294701555376869,0.575133807577571,0.681019164997066,0,0.3566835964809,0.251548299010126,0,0,0,0,0,0
SLC25A35,0,0.256487207873719,0.502221357238889,0,0,0,0,0,0.533379120879121,0.493910276789733,0.566524898528394,0,0,0,0.430862778246099,0,0,0,0.598651690968066,0.521059235423876,0,0.313609173893311,0.31574627375128,0,0.600098310291859,0,0,0,0
