,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MED23,0,0.699576584547485,0.660075725359086,0.662817025794238,0.880199195710793,0.544921467421467,0.809157394518312,0.758795422347991,0,0.804982988172136,0,0.673809049232609,0.810468016742062,0,0.689131777995732,0.559207645921038,0,0.496047282490536,0,0.756632869892539,0.745360914026718,0.712087412205049,0.570580953464558,0.633756911627257,0.886887864823348,0.78489252300908,0.87438452325504,0.758472102891698,0
RIF1,0,0.677973800705742,0.663445663916483,0.654300370636565,0.624589889331518,0.640059662559663,0.803318965103442,0.74573982416887,0,0.571110250857448,0,0.795650601907005,0.733438639408575,0,0.613480766536277,0.508598475366936,0,0.439259375571576,0,0.53448282840548,0.773175977747558,0.79178878970753,0.59396836955285,0.619895331976485,0.617253456221198,0.79410029835332,0.905249850289441,0.810161932433053,0
RBL1,0,0.658027183360973,0.590333663810326,0.563156188785073,0.690910373265255,0.571521256521257,0.669872221955551,0.725728357438447,0,0.566616880005419,0,0.648230898665468,0.784248407652598,0,0.641776594596209,0.534571623620435,0,0.543203379243466,0,0.673974460162306,0.728322421900232,0.722765178922993,0.545779269541472,0.549830321188669,0.801026113671275,0.805405533817827,0.916295162685475,0.778924516793358,0
PIKFYVE,0,0.619366255107439,0.657162114656771,0.493803933726988,0.617438692784445,0.596731324231324,0.691067057072913,0.624920452531423,0,0.759548815655121,0,0.596235589692719,0.769211166623174,0,0.646691136780741,0.493696438730231,0,0.447982703463794,0,0.632009794993221,0.635853207077678,0.6187860495163,0.463376720901126,0.624744717464033,0.830642089093702,0.783469999570913,0.92954454720873,0.79070905286907,0
ANKRD26,0,0.541146289520134,0.457490990868598,0.56982083550595,0.645802922695792,0.471983016983017,0.621771612345797,0.600985734388177,0,0.737483620894938,0,0.56365566376645,0.694302246416216,0,0.461308661088154,0.441464102855843,0,0.489129703315399,0,0.697482443891284,0.694793713700782,0.703999253723261,0.578486289680282,0.551244092906247,0.752344086021505,0.736827270904115,0.911188369152971,0.71663332699333,0
PHC3,0,0.563536030328225,0.594789626855879,0.486821028105432,0.558168648841992,0.433999611499612,0.614893294292709,0.593196922063107,0,0.6681433315588,0,0.537998711358127,0.67424778077287,0,0.492864542299379,0.392173626123564,0,0.343647008479168,0,0.553160099568939,0.783646789403346,0.693429096198076,0.511292524746843,0.455831207798674,0.629456221198157,0.740788955862824,0.878667908709828,0.627805943425307,0
TOPBP1,0,0.566958033407879,0.612355016120495,0.653845882833749,0.539705009993791,0.618603896103896,0.69833782940527,0.640738652516436,0,0.618857757680257,0,0.737555103346297,0.781810866012476,0,0.587469019962744,0.526985777676641,0,0.453720894919746,0,0.582043187015563,0.689913186855294,0.678973827557666,0.524391398338833,0.544201439540186,0,0.810204213925279,0,0.783922188481744,0
RANBP2,0,0.523779883245819,0.544718908149512,0.581680970701391,0.589220559878991,0.466495448995449,0.652245571929151,0.661307100213752,0,0.507604517703148,0,0.653227862476881,0.590486298304363,0,0.561788263073633,0.458408920241211,0,0.455495153035694,0,0,0.612561005363702,0.620177981412259,0.469186938218227,0.640872612049161,0.776780337941628,0.687325959795873,0.856685408210793,0.680466449357583,0
ZNF451,0,0.516792120352545,0.537237090176408,0.553735255570118,0.523262799546092,0.480966533466533,0.603482167714683,0.581995448992676,0,0.724609841717482,0,0.658616517792992,0.558298356846183,0,0.366806971685567,0.415158721128684,0,0.469476548561095,0,0.512308501811264,0.662316201914167,0.589081020987636,0.469004664922062,0.666347254129506,0.687662058371736,0.611621820362241,0.770851354048839,0.62148867653521,0
ARID4A,0,0.554337081382614,0.571849173586358,0.458274026785421,0.653257648367177,0.429824064824065,0.636681802908846,0.609730305831023,0,0.683449820822045,0,0,0.678171610512336,0,0.404534283043267,0.337909659802025,0,0,0,0.728294173598041,0.833952412492835,0.71045510652786,0.604415746956423,0.489610721429757,0.661284178187404,0.783071022675479,0.935083837913368,0.715746600992976,0
RBM27,0,0.587443367997972,0.598087488149483,0.611482217430723,0.547309611041911,0.413984348984349,0.719972735563769,0.610207293268767,0,0.51005156534998,0,0.673435899337601,0.742120340497743,0,0.423695278171449,0.311952440550688,0,0.316477090371986,0,0.691077246878352,0.678731541991944,0.714303882071505,0.582053475935829,0.431772848769665,0,0.712080943047683,0.905740568234746,0.695721809393262,0
RFX7,0,0.553324856132114,0.606326517587632,0,0.520745145108332,0,0.683940671050737,0.556209876851597,0,0.673445216179252,0,0.684287376408583,0.708844398246486,0,0.492293866469436,0.397756286266925,0,0.355911519175619,0,0.74622872523425,0.769469518236508,0.698039521222944,0.449876436454659,0.463581511342494,0.79636866359447,0.747807929041964,0.840674695588529,0.667359694630454,0
RBBP5,0,0.700710336109172,0.576797355678549,0.64313194943559,0.673887553164826,0.476280108780109,0.524260164162627,0.66103202952802,0,0,0,0.760419225795088,0.595650620975396,0,0.457612418200068,0.327958357037206,0,0.430220278911823,0,0.535205310343432,0.712385076099817,0.74000431135532,0,0.39272215476804,0.811514592933948,0.723897583468858,0.779434759465034,0.752608692800598,0
C2CD3,0,0.488086716433173,0.444648305289127,0.550787543980796,0.546846130885285,0.432852702852703,0.685171026736428,0.525600308317067,0,0.664168710288592,0,0.541612007546435,0.72720701755409,0,0.474135372713679,0.445214700193424,0,0.31560354972409,0,0.470119199400968,0.637738694115724,0.599172527233336,0,0.471564604606878,0.643920122887865,0.58328525291894,0.854805708962672,0.577527529825344,0
HMGXB4,0,0.548197779625373,0.420865104093934,0.531428947232439,0.63548671084002,0,0,0.635493872317243,0,0.593738870208501,0,0.51708145792677,0.75481057298265,0,0.380348607247778,0.292662191375583,0,0.31146792790119,0,0.593121243397487,0.665374876542582,0.64813401117808,0.380625099556264,0.39262060953346,0.739563748079877,0.703889163794886,0.866508084370218,0.801320906926563,0
RBAK,0,0.580698657727073,0.537787569220607,0.441339364985414,0.48084806793007,0.402553835053835,0.622529640474248,0.497531203423842,0,0.648292978293764,0,0.632412587898819,0.622039924949376,0,0.522708051479117,0.461308453749004,0,0.319523913876226,0,0.690684637645964,0.70295412193331,0.591829247968964,0.484960291273182,0.58068544125226,0,0,0.734821012708763,0.763532737373009,0
AQR,0,0.588709761082236,0.514664985004264,0,0.494851969727693,0,0.64734411750588,0.477385026400838,0,0.55992955062759,0,0.733457407604841,0.709933419541445,0,0.34441452036356,0.308827852998066,0,0,0,0.565776212737539,0.729460321978509,0.693406037085342,0.335013994766185,0.435993964063906,0.759797235023041,0.744825408705008,0.890661387983233,0.653867292796663,0
GAPVD1,0,0,0.509245773148713,0.417446459692686,0.5013444702913,0.479240204240204,0.70358488935823,0.542224093694131,0,0.664508240357367,0,0.585449008255652,0.654201770716553,0,0.458256711097227,0.325711912618045,0,0.318112444740466,0,0.548724019994738,0.704560143605512,0.568353673683508,0,0.569443182711542,0.644411674347158,0.576410659100992,0.812753676225963,0.574610253753173,0
KDM3B,0,0.544257807694987,0.510756741762245,0.556468054322449,0.557103148264531,0.348090798090798,0.712818701099218,0.561023167791334,0,0.495999508782691,0,0,0.636786468728178,0,0,0.391205825463648,0,0.372217179891569,0,0.654973387570073,0.746322767541901,0.676567993462392,0,0.423120102899171,0.827723502304147,0.701390240654982,0.750548938718478,0.674477113680634,0
SNRNP200,0,0.537144813420061,0.483395079241811,0.498676465752524,0.547278124618227,0.534760517260517,0.68674161186579,0.610642053639081,0,0,0,0,0.698131023694596,0,0.492955271602188,0.431690749800888,0,0.482068906611818,0,0.475567158440087,0.735252556927261,0.670690714759125,0,0.447744713096496,0.726586789554531,0.618613262017786,0.806856743628984,0.625783263702606,0
PALB2,0,0.554463053778357,0.520573109030236,0.571287644978086,0.595556887781126,0.50481684981685,0.606015840253444,0.577581828324965,0,0.505248794086442,0,0.767325975404555,0.692630226974197,0,0.467088232524273,0.334709295710547,0,0.339148166297982,0,0.614979863598648,0.713672434920444,0.632262354006992,0.358630105814086,0.395933386326115,0,0.638342959544866,0,0.703723330994091,0
CKAP5,0,0.499605039488641,0.423946101708981,0.497846174081747,0.490137822373749,0.558015595515596,0.626855085681371,0.639097446987188,0,0,0,0.686090547950921,0.56701942015083,0,0.511658715410889,0.515882352941177,0,0.365046381773067,0,0,0.672444108881818,0.610893544112257,0,0.477715625300268,0.727102918586789,0.680783585834543,0.746149111717347,0.637339559653967,0
GTF3C3,0,0.540012537958447,0.558637908217545,0.502608313721069,0,0.385274725274725,0.503980031680507,0.554743229692646,0,0,0,0.625248573454905,0.805686236491106,0,0.384067130496301,0,0,0.31520150533701,0,0.5184222775383,0.79551629637913,0.675726685228088,0.334539310501764,0.437558852560687,0.621572964669739,0.753508703920839,0.781397631246257,0.666858615736763,0
PPIP5K2,0,0.57215031915477,0.544911633737973,0.548522151289242,0.501768907282558,0,0.517509336149378,0.573823619323582,0,0,0,0.603624421154123,0.6375796902631,0,0.44045883760833,0,0,0,0,0.614864509339648,0.70293408331841,0.591439339335457,0.482942541813631,0.401318777788454,0.637167434715822,0.673848956720997,0.882119568833589,0.629899456290049,0
TTBK2,0,0.642265813611243,0.547403228058824,0.500436871996505,0.552890264775634,0.476000943500944,0.612298180770892,0.541052738633484,0,0.687003042472011,0,0,0.547125027517104,0,0.511002363555762,0,0,0,0,0,0.685488269688086,0.753699328036492,0.443508248947548,0,0.806746543778802,0.745890390651142,0.806449198216781,0.674666002059408,0
KPNA5,0,0.580637894571479,0.612112266130658,0.649155380806757,0.604511626676809,0.414796314796315,0.648932366917871,0,0,0.667435804089904,0,0,0.729726636702788,0,0.462391096124825,0.461793378086244,0,0.493080263934375,0,0.667039038309757,0.802510652723179,0.70342487218788,0.690618727955399,0.493163385190556,0,0.668952949454885,0,0,0
CEP290,0,0,0.461556005318805,0.419590890514241,0,0.327678432678433,0.565567705083281,0.545736374633784,0,0.503372132020262,0,0.568165910323505,0.618492514618689,0,0.443194613206052,0.525005120036409,0,0.412374598386991,0,0.582561269301601,0.616136676256529,0,0.561513482762544,0.577848616801041,0.663139784946236,0.571336479600246,0.763781688735112,0.578941569216441,0
