,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
UBE2C,0,0,0.475004691762276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368543797660747,-0.618132104454685,0,0,0,0
AURKB,0,0,0.429710366088048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434837658650781,-0.580325652841782,0,0,0,0
KIF14,0,0,0.414318184259564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341333278011198,0.604503840245776,0,0,0,0
CHD7,0,0,0.349469646562334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342462177129829,0.657775729646697,0,0,0,0
CCNE2,0,0,0.416149940929081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373678820066212,0.554783410138249,0,0,0,0
CENPW,0,0,0.45740880341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340767245219731,-0.54073732718894,0,0,0,0
PLA2G10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.419393834837738,-0.628301075268817,0,0,0,0
FANCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406683641827028,0.640485407066052,0,0,0,0
CCDC138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401564670119933,0.628583717357911,0,0,0,0
YEATS2,0,0,0.337778659611436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652479262672811,0,0,0,0
INTS7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35348354748823,0.629763440860215,0,0,0,0
CASC5,0,0,0.320428998315752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659115207373272,0,0,0,0
MYBL2,0,0,0.593571559010996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353801285802884,0,0,0,0,0
TYRO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358691507761113,0.586777265745008,0,0,0,0
RBM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336532918126152,0.605056835637481,0,0,0,0
BTF3,0,0,-0.333123357224987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.598033794162826,0,0,0,0
PATZ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338793336885597,0.590678955453149,0,0,0,0
