,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CCDC94,0.544722617354196,0.561222584331109,0.584974986746167,0.550153374953612,0.509507010767097,0.480315795315795,0.663642874285989,0,0.557554945054945,0.629913367884777,0.661186968763515,0.601063361315713,0.840577779008859,0.489936579157696,0.518124613826227,0.472083741039936,0.704750945257274,0.353446193347114,0,0.840333515471637,0.730053367230198,0.539666739920111,0.558960063716009,0.433700133646631,0.566635944700461,0.828376584835121,0.790945838046444,0.569604711715671,0.862001875293015
ZNF688,0,0.577816853920928,0.694134907490664,0.53941360503953,0.573837552724016,0.522352647352647,0.461313109009744,0,0.704166666666667,0.686764810388872,0.691134804981597,0.508339088958008,0.694918337981476,0.572207335220843,0.539686375215051,0.428438957788144,0.621745343264331,0.521832045525919,0,0.735294355736345,0.690098128608417,0.522315805729072,0.392888383206281,0.64795424568269,0,0.714825716247779,0.827333821278861,0.612721107620466,0
C19orf43,0.514793741109531,0.479264202646606,0.484552401666244,0.522549406464766,0.449414541438023,0.422243867243867,0.421419478711659,0,0.570879120879121,0.57853544515218,0.647421000934333,0.589041445133059,0.703493177944913,0.36592509451953,0.361943766207814,0.376150415291842,0.600576638551322,0.1939217100518,0,0.741685386436768,0.650232232884286,0.404766737858766,0.398463533962908,0.478484966937745,0.552749615975422,0.604507361597926,0.884756138132943,0.531192161132281,0.75450070323488
WDR83,0.343556187766714,0.486316433765937,0.508987921055386,0.421842190560746,0.566938247566414,0.472209457209457,0.569732635722171,0,0.563919413919414,0.584271092941889,0.640260932391351,0.418314938511387,0.676614761997093,0.399257674267681,0.466935026334467,0.418543178973717,0.513625614891438,0,0,0.680403942282396,0.650483253191907,0.462393556864645,0.355084082375697,0.355778469789747,0.452811059907834,0.788931277818119,0.8587979905516,0.580150979530534,0.721870604781997
NDUFB10,0.449075391180654,0.384515917723723,0.675991509963913,0.494051729402425,0.545325966349829,0.397261627261627,0.402360485767772,0,0.737179487179487,0.614134674165419,0.699011069515143,0,0.563369084915962,0.59244907648136,0.435953725758623,0.423150984184777,0.675008535768029,0.354946957749104,0,0.700880335134479,0.585535560819249,0.52714564170541,0.308700420980771,0.494787890566994,0,0.742393795075964,0.839526914631712,0.526795259426383,0.71207219878106
UBXN1,0.426856330014225,0.355401474025233,0.51569664613244,0.416696026343851,0.449704216535914,0.443296148296148,0.52973532376518,0,0.544276556776557,0.65612772813657,0.683608442538511,0.495714570460435,0.791706964342206,0.447883068403813,0.308388670551565,0.260484696780066,0.494328456353773,0.269786881964599,0,0.665806569121486,0.746418073149351,0.420675429362426,0.396490840823757,0.449276189935448,0,0.69264663390753,0.846347062346131,0.512376779846659,0.71375996249414
GADD45GIP1,0.577297297297297,0.484746224903705,0.512487670301492,0.496233740610775,0.408334834186196,0.361895326895327,0.417160850573609,0,0.631181318681319,0.585584953789417,0.753043517732786,0.589259309046915,0.583534639478553,0.469430462484092,0,0.392675162134486,0.57027782344238,0.230739830692724,0,0.661040616841722,0.650428415811621,0.345051322247956,0.353199908977131,0.461587512338292,0,0.72781709639477,0.839676625191297,0.648074715847604,0.777965307079231
BCL7C,0.502901849217639,0.437908947152357,0.658376938814154,0.602300859181593,0.590517800534765,0.535944610944611,0.376638218211491,0,0.668223443223443,0.603222231780596,0.611496458738663,0.540550500391692,0.607521536234377,0.583510315029636,0.469409294815107,0.401618159062465,0.501081197283729,0.435869175101546,0,0.740944690668448,0.719672387218765,0.46889063656777,0.397806576402321,0.654104829622383,0,0,0.764180916894005,0.61983065632153,0
SNRPA,0.4374679943101,0.36775566097716,0.499848010071439,0.422375362298417,0.547484675557593,0.336671384171384,0.632321797148754,0,0.72779304029304,0.6402000484568,0.644529737894964,0.5665551079817,0.566936322140371,0.342968052864444,0,0.39417339856639,0.504065554698466,0.306859515683182,0,0.709183818023597,0.687967388473867,0.442174907562655,0.367756513824098,0.387098295787074,0,0.773587379623247,0.824322975580544,0.529455437427445,0.782372245663385
PRR14,0.501593172119488,0.423871917196121,0.661492858727089,0.546738257303513,0.572904295126027,0.519077866577867,0.695720443527096,0,0.668956043956044,0.573967581319945,0.512291335415513,0.497357820619197,0.711371598266313,0.37480693812578,0.50764434572688,0.4623024234839,0.663172270767207,0.477508808740755,0,0.693068625665311,0.595380776692804,0.573495157062255,0.457409261576971,0.549776163730226,0,0.635851218541551,0,0.540762505656813,0
