,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PRDM10,0,0.529427892659663,0.596247390569252,0.479759438549021,0.546765525640654,0.344117549117549,0.634335525368406,0,0,0.636574619524766,0,0.584028257413167,0.712968829498919,0,0.50459630054139,0.455429969279782,0,0.529066256224786,0.613362772034061,0.652516544229252,0.679473068492572,0,0.496831493912846,0.608480992479101,0.690279569892473,0.697042561893904,0,0.699129670560303,0
SETD5,0,0.543996229720297,0.540787853780465,0,0,0.561752969252969,0.667598905582489,0,0,0.763661617767272,0.794446076620362,0.602423851926705,0.676979810099178,0,0.511436141500961,0.428189327568552,0,0.446305505419834,0.705424866192423,0,0.692149789526119,0,0,0.548146417309423,0,0.790480593590698,0.867672499833655,0.769668986233448,0
TRIM52,0,0.600183623292148,0,0,0.526961824600469,0.4322224997225,0.59772591561465,0,0,0.705543586808945,0.798379480480507,0.576025235130788,0.708823696636863,0,0.431355472814515,0.439966776652634,0,0,0.650267615155142,0.690617853601279,0,0,0,0.53888985945266,0,0.602347380057859,0.872571362033402,0,0
MGEA5,0,0.477634712656965,0.531316202029495,0.407419542740644,0.446171439798588,0.426499056499057,0,0,0,0.532107825108352,0.723804312054663,0.74143957057632,0.548624436354942,0,0.491642567891933,0.389011036522926,0,0.370041308766638,0.549293285123326,0.565948232246575,0,0,0,0.523744442309204,0.664534562211981,0.680796108534238,0,0,0
MLLT10,0,0,0.522711373105576,0,0.488484155401874,0.479595127095127,0.596381126098018,0,0,0.675318761384335,0.602450071178281,0,0,0,0.378294220198869,0.40230788485607,0,0,0.607774793939432,0.618968692449356,0.72495006963663,0,0.351240186596883,0.462684528437033,0,0.640631943307529,0.872405016967197,0.604147673983905,0
BAZ2A,0,0.424517340470781,0.392474097364967,0.346951525998581,0.544896491530782,0,0.496451207219315,0,0,0.565868417760789,0.54563921122612,0,0.679579611538669,0,0.33318694141184,0,0,0,0.585906635491413,0.579703721692672,0.710937017362629,0,0,0,0.721695852534562,0.604779085765576,0.886311464501963,0.601154317870284,0
MIB1,0,0,0.545135743056139,0.426746431037642,0.571254406524994,0,0.558459751356022,0,0,0,0,0.561928976364083,0.56753623146149,0,0,0,0,0.349253629615314,0.49588499060401,0.555070527998705,0.642684028774278,0,0.442467402434862,0.496492431058429,0.663059907834101,0.482669872723332,0.896633175860004,0.614893323976363,0
TLK1,0,0,0.688359816777995,0.602341962729651,0.553019988841211,0.60048396048396,0,0,0,0,0,0.576938409408013,0,0,0.377052606917018,0,0,0.492161428586219,0.603272161201694,0.658361160018619,0,0,0.543267948572079,0.548490470034329,0.718500768049155,0,0.838112981568967,0.751916102078428,0
THUMPD1,0,0.485768824351501,0.403020252194597,0.389635799076462,0.550725258283133,0,0.511580281284501,0,0,0,0.565740613482389,0,0.675182414711555,0,0.386469274923569,0.328766867675504,0,0.348813192577536,0.509603755915132,0.612138506061158,0,0,0.460961884173399,0,0.763004608294931,0.626628250216063,0.884764455386253,0,0
MSL1,0,0.432299470471329,0,0.356792889790818,0.529722554229067,0.37549728049728,0.601191187058993,0,0,0.766726115597313,0.723358580923212,0,0.657407604488459,0,0.384994981176541,0.425436340880646,0,0.367440961593545,0.503451398234918,0,0,0,0.361598816702697,0.458481865986496,0,0.443294821734766,0.771375341007386,0,0
PRKAA1,0,0.417292453067872,0,0.335803069378092,0.54656275307213,0,0.579454903278452,0,0,0,0.578309348753403,0.515370994432882,0.68754258773036,0,0.323314904182965,0,0,0,0.62051674842935,0.452888915872341,0.588906055845371,0,0.408699965866424,0,0,0.51782330065584,0.839252445272473,0.664271894327446,0
NFATC2IP,0,0.62427695549914,0,0,0.508957887538051,0,0.627113137810205,0,0,0.749115746506934,0.688438352295295,0,0.71487702223382,0,0.43057451172705,0.442371600864717,0,0,0.58754085550022,0.569002084471698,0.637620319663805,0,0,0,0.638009216589862,0.525684609546828,0,0,0
ZNF655,0,0.439616243621721,0.528008040974934,0,0,0,0.663265780252484,0,0,0.761059038751726,0.766054831864165,0,0.695900935508655,0,0.385865178552971,0.489608374103994,0,0,0.554887465191424,0.664381842834882,0,0,0.514301285698032,0,0.653376344086021,0.617729122587838,0,0,0
STRN3,0,0.42871963138995,0.473758231120317,0.421791691915989,0,0,0,0,0,0,0.533512424361255,0,0.557060633848298,0,0,0,0,0.374386580345033,0.535115573775575,0.591198672414142,0.636497961730742,0,0.401340539310502,0,0.77478955453149,0.460728721677291,0.811331425909908,0.602203697752359,0
LOC646471,0,0.578925411003466,0,0,0.52858400514866,0.42273643023643,0.531431094897518,0,0,0.670664664395098,0.65926345294731,0,0,0,0.483854203752748,0.446690180907953,0,0,0.582483146137101,0.520130330075082,0,0,0.507401979747412,0,0,0.590500721988885,0,0.676767180069113,0
AP2S1,0,-0.439187937476195,-0.438772639201059,-0.361795778783053,-0.493058503034661,-0.379484959484959,0,0,0,0,0,-0.531954146599237,0,0,-0.407280509737896,0,0,-0.373382332133527,0,0,-0.617343391870852,0,0,-0.440522335584071,-0.676393241167435,-0.480687510945852,-0.840990751214319,-0.58639216637918,0
ZNF175,0,0,0.438928146634895,0.375506748028204,0,0.362194194694195,0.557064273028368,0,0,0,0.74637709484175,0,0,0,0,0,0,0,0.535766780989711,0.588353267358792,0.687120390434328,0,0,0,0.656915514592934,0.577630056983808,0.887018431033336,0.597804564674437,0
