,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ASXL2,0,0.740089307018441,0.614711091705154,0.628470901036749,0.782437628543325,0.670694305694306,0,0.801676414577021,0,0.873040585271709,0.823052306264571,0.562058767631912,0,0,0.674833528956429,0.542683581749915,0,0.502045163561319,0.795399996278816,0,0.875639378439311,0,0.627220616679941,0.621528790803714,0.80484178187404,0,0,0.745139731489923,0.863361462728551
ARFGEF2,0,0.605525593885744,0.595619947667104,0.412390723281519,0.668528563853837,0.655985958485959,0,0.737126097160319,0,0.843064173676487,0.797656349493556,0.654708873550857,0,0,0.636144601836177,0.398756627602685,0,0.517829719535216,0.763056704643418,0,0.817222612785145,0,0.637115940380021,0.642394043553079,0.823907834101382,0,0,0.698751893802756,0.75267229254571
GOSR1,0,0.673030495693967,0.537579257081823,0.493983614951357,0.580618468928567,0.686450771450771,0,0.607562748827455,0,0.687301741660423,0.747094551740747,0.599948547033111,0,0,0.691982171117762,0.636314939128456,0,0.581183201101567,0.701731590992254,0,0.821553788334359,0,0.57978154511321,0.599500899712616,0.633235023041474,0,0,0.632919046900722,0.839732770745429
CCNT1,0,0.733589872412193,0.639437216006208,0.611470473559849,0.793119082913829,0.558557276057276,0,0.744541705473936,0,0.809277087704731,0.82322918528582,0.588186213386115,0,0,0.582868929463135,0,0,0,0.72530529214396,0,0.895394639880545,0,0.636378655137103,0.531785514626881,0.792903225806452,0,0,0.745524664094205,0.813595874355368
DHX33,0,0.585079533042559,0.5074118680628,0.405501768626954,0.669597842802141,0.488798146298146,0,0.715997694758967,0,0.837342032284863,0.87434606136337,0,0,0,0.599953027487533,0.636308339970418,0,0.533093170767059,0.678995156258722,0,0.834580256509911,0,0.439512117419502,0.57823558057669,0.705388632872504,0,0,0.727919407625057,0.813291139240506
NUP98,0,0.508199320934685,0.512788259030774,0.415509895385598,0.554378942887406,0.562423132423132,0,0.723238744702287,0,0.794344829563801,0.707438981488603,0.562397152008752,0,0,0.611771839921353,0.52650745249744,0,0.365853921572011,0.716269016801146,0,0.818910352906401,0,0.41440277619752,0.646629680907749,0.696006144393241,0,0,0.634445894629143,0.724542897327707
SPAG9,0,0.591837581567126,0.555612980057851,0.515654579874763,0.651159393092886,0.66270091020091,0,0.640241146292404,0,0.641223313954769,0.73827764951537,0.504742016678178,0,0,0.465237010205324,0.548277619751963,0,0.487265718555125,0.569183014035066,0,0.772995630213461,0,0.581267948572079,0.486243459613386,0.638353302611367,0,0,0.619770316978311,0.694210032817628
NUP155,0,0.645012752852534,0.657030871690465,0.514233571499035,0.614468893302586,0.538872793872794,0,0.574829039851646,0,0.787825395103702,0.748144258012127,0.552099605527254,0,0,0.535433927246584,0,0,0,0.748376633444762,0,0.844658115814983,0,0.544739788371828,0.566149404704711,0.729394777265745,0,0,0.644968551396659,0.79690576652602
RBBP5,0,0.727830710884459,0.550516767863398,0.423637828417349,0.661083913838031,0.405703740703741,0,0.702498414998103,0,0.741138348321279,0.652936844879262,0,0,0,0.563787982846419,0.362526112185687,0,0.393586788096725,0.778527527459238,0,0.86149895877402,0,0.574418250085334,0.593331644552371,0.630039938556067,0,0,0.658788884443599,0.728949835911861
CHD8,0,0.568812791681672,0.566885046874444,0.525118965411952,0.633034548163523,0,0,0.643398065643463,0,0.630380897049247,0.657401091190159,0.609008441067811,0,0,0.606380222390154,0.431277050859028,0,0.504306878927698,0.708082411823442,0,0.843148963739686,0,0.401218568665377,0.590753487478272,0.639434715821812,0,0,0.57754064707387,0.711626816690108
