,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SBNO1,0,0,0.829460096640825,0.715750174983676,0.737413302132386,0.587849372849373,0.856522248355974,0.656550012906019,0.893818681318681,0.879613941428777,0.918349874350475,0.409667595292285,0.861896063341094,0,0.589747014546549,0.345843895778814,0.798555874505241,0.32240293130045,0.807475238620929,0.891067128083703,0.91966920059025,0.820992107843976,0.752824212083286,0.477261073889991,0.803705069124424,0.928104694925857,0,0,0
ANKRD17,0,0,0.826807750222582,0.733111139296401,0.785130347496766,0.712223887223887,0.747716411462583,0.759192416256588,0.881730769230769,0.860604205601457,0.900364276446609,0,0.760795087595508,0,0.610985710709044,0.540320855614973,0.771216125646505,0.495634022272914,0.817466617877809,0.870738469633497,0.914917898373529,0.760743537596311,0.757777221526909,0.561151304583293,0.809708141321044,0.889790114028389,0,0,0
RC3H2,0,0,0.835915013702473,0.741121633619414,0.738234468062061,0.57010101010101,0.80728037248596,0.697520081646927,0.858195970695971,0.897251635001436,0.915664769840079,0,0.843591904212778,0,0.631568858946943,0.351795426100808,0.701918334829727,0.410519241188671,0.795406198252284,0.927266104061684,0.934074129972216,0.806215409147271,0.725272499715554,0.634501685869271,0.727004608294931,0.904544892865542,0,0,0
CCNT1,0,0,0.858786654458606,0.693131479680755,0.779659266517463,0.636209623709624,0.799352181634906,0.682464645239106,0.878617216117216,0.883159890402852,0.923173043249428,0,0.86853588594871,0,0.61315471528226,0.395659802025259,0.839072320084978,0,0.791154745439999,0.939354016149596,0.945416009108871,0.820041094133936,0.718188872454204,0.550244800447236,0.804116743471582,0.922293886031279,0,0,0
N4BP2,0,0,0.824981722663455,0.654296847475303,0.696389010986243,0.521986346986347,0.848548744779916,0.678431365551991,0.805173992673993,0.850062565791743,0.900439930952654,0.35349810643811,0.697561437857996,0,0.599355247713966,0.48092365456821,0.780320944877907,0.355313197754073,0.803971123611533,0.860249327100156,0.90419909663969,0.769044818180643,0.667854363408807,0.485280963653357,0.749880184331797,0.861185045171035,0,0,0
PAFAH1B2,0,0,0.713736848058306,0.729733602033099,0.624364446537942,0.534329559329559,0.712230403686459,0.626808478243544,0.661172161172161,0.881654758179371,0.909730304295032,0,0.818407521390448,0,0.583945966680525,0.300806462623734,0.814868675628169,0,0.806659679109893,0.902005545099468,0.903324631035338,0.740696084737348,0.667996814199568,0.400701317249151,0.677327188940092,0.875745998398936,0,0,0
ZKSCAN1,0,0,0.726406944187302,0.654054923735303,0.7057606301315,0.409772727272727,0.807569145106322,0.573954463757876,0.681822344322344,0.758026229009499,0.798667598057697,0,0.782544898438195,0,0.454059274946539,0.316684264421436,0.813882320211434,0.278938999685957,0.68681894578855,0.906903041709672,0.868366338724144,0.732863672778613,0.619403572647628,0.440162887291341,0.64537019969278,0.89685245626309,0,0,0
HECTD1,0,0,0.763871155677411,0.609401203511887,0.606886962479518,0.485260017760018,0.620001344021504,0.593805348682575,0.739652014652015,0.685254483396896,0.809322904779978,0.460409027909758,0.775562770341883,0,0.450169055105992,0.308349300261691,0.542761036431922,0.260642097670903,0.685870043847952,0.755782891142007,0.882012830969494,0.68859297137281,0.57977608374104,0.584065478114272,0.663944700460829,0.827385173749696,0,0,0
RSC1A1,0,0,0.808310622255108,0.685428674774635,0.708761916037043,0.597604617604618,0.689318293092689,0.712068198498144,0.856547619047619,0.86018737737749,0.752525284366375,0.413892764600359,0.805705917598846,0,0.510233231731827,0.41920901126408,0.664689740639108,0.4361055702991,0.74461823752318,0,0.900547670007609,0.618146683208669,0.595004209807714,0.547630611193124,0,0.900305038231986,0,0,0
GADD45GIP1,0,0,-0.653406156223994,-0.575821953522457,-0.57275567920624,-0.444749694749695,-0.617683482935727,-0.572425070745207,-0.771932234432234,-0.813988015461293,-0.821114290001374,-0.405467920697535,-0.669104305497444,0,-0.470454289658467,0,-0.69802349549185,-0.232709934465039,-0.610150149777659,-0.749045797664582,-0.850560905268377,-0.471064482013717,-0.473200819205826,-0.607678566749068,-0.602783410138249,-0.813108375310466,0,0,0
