,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RAP1B,0,0,0.223843040910693,0.204386805526196,0.294638617720811,0,0.458430758892142,0,0,0.344648993648668,0.230286642314322,0,0.253520950174724,0.324733862527445,0.301075659050765,0.378331095687792,0,0.245089191735486,0,0,0.411058754391878,0.316872387725704,0.283084309932871,0.327157781640622,0.387096774193548,0.325147293651231,0,0.29894078218153,0.872714486638537
RPP38,0.628335704125178,0,0.263840172142917,0.42899655669706,0.290366539755388,0,0,0,0.359432234432234,0,0.312958734249678,0,0.216685351570188,0.241246022067634,0,0.260887928091933,0,0.373534177223927,0,0,0,0,0.498686084878826,0,0.423023041474654,0,0,0,0.875621190811064
SH2B3,0,0.43616978707701,0,0.236218567529606,0.295511421385327,0,0,0,0.352747252747253,0.329123181259603,0.243937867476002,0,0.263314560958222,0.259914809411658,0,0,0.398449651614208,0,0.656032349493609,0,0.274986002294373,0.386649262859561,0.262425076800546,0,0,0,0,0.385635301139233,0
CCNY,0.588620199146515,0.389336214396125,0.274605781388522,0.425663646143078,0,0,0,0,0.420283882783883,0,0.298637966709496,0,0.293184505282555,0,0,0.308408692684037,0,0.404199552056983,0,0,0,0,0.340726817612925,0,0.519428571428571,0,0,0.452625089361256,0
SSTR2,0,0.348284033665752,0,0,0.300626076048529,0,0,0,0.406456043956044,0.395788164821277,0,0,0,0,0.373173642103909,0.344436682216407,0.425207703688716,0.33355017272379,0.547410986175801,0,0.383789425241695,0,0,0.457027039421389,0,0.362761063759141,0,0,0
C1orf54,0,0,0.294776673168786,0.29159561624788,0.346178114920409,0,0.444556616905871,0,0.446336996336996,0.379459656804503,0,0,0.337035471187587,0,0,0.397733985663898,0,0,0.641150714157245,0,0.369518510206204,0,0,0.547420969418506,0,0,0,0,0
ATF3,0,0,0.250828709498928,0,0,0,0,0,0.470238095238095,0.322472111365863,0.321757983756978,0,0,0.321017180412282,0.327280348951789,0,0.379885936847962,0,0,0.526148989132415,0.370111653207234,0,0.209347821140061,0,0,0.444122148622715,0,0.476553574122292,0
BCL6B,0,0.433339113243256,0,0,0,0,0,0,0.528342490842491,0.421009077546257,0,0,0,0.247972966683113,0,0,0.342277975189368,0,0.674948368570879,0,0.39795741022114,0.305043761654023,0,0.400931595635957,0.335250384024578,0.331198980357593,0,0,0
PCGF6,0.661251778093883,0.314847995779184,0.28015151811947,0.277861159260982,0,0,0,0,0.366895604395604,0,0.328780613280644,0,0,0,0.362403614471668,0,0,0.274841770513754,0,0,0,0,0.358495391967232,0,0,0,0,0.32299256907871,0.796390060947023
PPP2R3C,0,0.34365714167152,0.168183322264776,0,0,0,0.402328229251668,0,0,0.279218079290453,0,0,0,0,0.254928553545219,0.309315052907043,0.279606469479887,0.224543084318888,0.470652261549625,0,0,0,0.25932278985095,0,0,0.325810536341703,0,0,0.84817158931083
PLAUR,0,0.340613055779095,0,0,0,0,0,0,0.535531135531136,0.388144686354424,0.232956615923508,0,0.373853721260116,0.290717736691132,0.301604875034741,0,0,0,0,0.542992734705442,0.498910290346822,0.320182418544558,0.252503356468313,0,0,0,0,0,0
NUMA1,0,0,-0.15995010618864,-0.305958370326527,0,0,-0.437927134834157,0,0,0,0,0,0,0,-0.412300711363673,-0.349719877119126,-0.375232362574135,-0.250535771597376,0,-0.440728148462955,-0.248856723707969,-0.354771087645941,-0.238533394015246,0,0,-0.418666354581347,0,0,0
DPM1,0,0,0,0,0,0,0.371887294196707,0,0,0.239147816929709,0.198323874418564,0,0,0,0.257123743284309,0,0,0.342077223581542,0,0,0.304406110194005,0,0.23916577540107,0,0,0.28191451452716,0.432538758400426,0.409794649474326,0.789263947491796
CYTIP,0,0.423571065474523,0.179093254541215,0,0.475800164485077,0,0,0,0,0,0.274309368927938,0,0.294051348739024,0,0,0.372082375696894,0.534086166997559,0.230404649910791,0.594443651970057,0,0,0.370897093818096,0,0,0,0,0,0,0
SAT1,0,0,0.264090230961081,0,0.256455661447897,0,0.438649066385062,0,0,0.293774443983149,0.288652202365716,0,0.46136744336579,0,0,0.284179542610081,0.363826047370351,0,0,0.496950195292737,0,0.505516892721671,0,0,0,0,0,0,0
CTGF,0,0.38711687718877,0.162219781733532,0,0,0,0,0,0,0,0.253594534718483,0,0.281101325631946,0,0.259906835936154,0,0.302469682216518,0,0.494619788016547,0,0.272846269220453,0,0,0.371402350608398,0,0.357063972027235,-0.438127952624925,0,0
PLK3,0,0,0.226347799547695,0,0,0,0,0,0.526327838827839,0.445472593024797,0,0,0.414494188241777,0.279804404749714,0,0,0.406391077277153,0,0,0.373096148786757,0.520675451856104,0,0.242934122198202,0,0,0,0,0,0
DUSP5,0,0,0,0,0,0,0,0,0.571062271062271,0.361611055630984,0.272296328612912,0,0.350334214366625,0,0,0,0.562993968057259,0,0,0.422016473397689,0.434117237431585,0,0,0.398187472156952,0,0,0,0,0
CEBPG,0,0,0.182179707448876,0,0,0,0,0,0,0,0.318990920198366,0,0.279742454481971,0,0,0,0,0.218370063740428,0,0,0.246131472081615,0,0.258566162248265,0,0.402556067588326,0.261180699057612,0,0.298311154252284,0.86924519456165
MED31,0,0,0.179942194961205,0.252311193787962,0,0,0.372511688187011,0,0,0,0,0,0.215531892870628,0,0,0.265853225622938,0,0.324193581784111,0,0,0,0,0,0,0.435379416282642,0,0.416478142258301,0,0.753820909517112
FOSL2,0,0,0,0,0,0,0,0,0.405311355311355,0,0.238270084064765,0,0.323838923982815,0.405479539497394,0,-0.289672090112641,0.364331870660984,0,0,0.500356181571651,0.393116471858747,0,0.260473318921379,0,0,0,0,0,0
TCN2,-0.428022759601707,0,0,0.322935310061679,0,0,0.342810348965583,0,0,-0.270919540516493,0,0,0,0,0,0,0.435526498817638,0.32506065176054,0.4726120851655,0,0,0.318285282451421,0,0,0,0,0,0,0
DLG4,0.336927453769559,0,0,0,0.251511033472587,0,0,0,0.406593406593407,0.306741832888869,0,0,0,0.237492369950037,0,0,0.300699300699301,0,0,0,0,0,0,0.413477127208882,0,-0.353177054952,0,0.304219162988372,0
TBC1D9B,-0.360312944523471,0,-0.162588867032614,0,0,0,-0.401186962991408,0,0,-0.379581941654854,0,0,0,0,-0.308578627851369,-0.241753328023666,0,0,0,-0.374571469046607,-0.298495500793334,0,0,-0.36395133253553,0,0,0,0,0
PLXNB2,0,0,-0.191279683163345,-0.321273552333037,0,0,0,0,0,-0.306437315559745,0,0,0,0,-0.350606737856629,-0.382865627488907,0,0,0,0,0,0,0,-0.442518518356758,0,-0.372096368067189,-0.511943575753543,0,0
PRR12,0,0,-0.21027884549158,0,0,0,-0.408329477271636,0,-0.361446886446886,0,0,0,0,0,-0.295797969960561,-0.355168506087154,0,-0.245030524314195,0,-0.660824074636229,-0.341217436762041,0,0,0,0,0,0,0,0
CST7,0,0.357507436076419,0.198903380870206,0,0.353349462778639,0,0,0,0,0,0,0,0,0,0,0.342948230742974,0.371590434881574,0,0.601002238912422,0,0.325101600665008,0.308137176565373,0,0,0,0,0,0,0
PHLDA1,0,0,0.245490421327624,0,0,0,0,0,-0.44217032967033,0.382955839896404,0.270622472666657,0,0,0,0,0,0.374068969005678,0,0,0,0.465657626286284,0.300406783711462,0,0,0,0.357099790631511,0,0,0
CXCL3,0,0.321678866547725,0.196333217732673,0,0,0,0,0,0.402908034796096,0.277590904058039,0.211592004980053,0,0,0,0.285230992211062,0,0.496958737465066,0,0,0.34394801372336,0.255267405112858,0,0,0,0,0,0,0,0
TNFSF8,0,0.403264761412521,0,0,0.345486329775058,0,0,0,0,0,0,0,0,0.333209341141009,0,0.363055865286153,0.342682633821874,0,0.577056419352638,0,0,0.409152161844226,0,0,0,0,0,0,0
VIM,0,0.426700367987598,0,0,0,0,0,0,0.403617216117216,0,0,0,0.326177768512269,0.285257613094296,0,0,0,0,0.505718219537457,0,0.326243215218243,0,0,0.496933879857793,0,0,0,0,0
