,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SMC3,0,0,0.200693138105472,0.381119143918789,0.497375921450189,0.384062049062049,0,0,0,0.500196466144447,0.50424169597228,0,0,0,0.48363622373157,0,0,0.422365746508426,0,0,0.325597189823746,0,0.526278757537831,0.373403446860178,0.444067588325653,0,0,0.482981025900007,0
PLEKHA1,0,0,0.300215894784888,0.40157814136802,0,0.244643134643135,0,0,0,0.552410954395335,0,0,0,0,0.392262283484281,0,0,0.6214523465243,0.681609288075466,0,0,0,0.35997565138241,0.542986172377949,0,0.486403662963324,0,0.53960294088712,0
RAB11FIP2,0,0,0.192823804790674,0.168563301812784,0.391673478229657,0,0,0,0,0.547440184318698,0.684325268983292,0.289800724049858,0,0,0,0,0,0.41784792369094,0,0,0.329836187744422,0,0.528430083058368,0,0.406500768049155,0.429618560408859,0,0.469486000616511,0
PPRC1,0,0,0.212967062038472,0.420934389342202,0.49462022964938,0.271966921966922,0,0,0,0,0,0,0,0,0.455608793621845,0,0,0.355116920719608,0.39820390848368,0,0,0,0.533513937876892,0.383551964954883,0.499698924731183,0,0,0.409936315758407,0
ZDHHC6,0,0,0.313141273332697,0.38759353993151,0.564797170755913,0.319330391830392,0,0,0,0.608924321365833,0,0.387549772633511,0,0,0,0,0,0.309419313315089,0.660138055929397,0,0.324016485230857,0,0,0.419916842096068,0,0,0,0,0
NOLC1,0,0,0.212428715228039,0.401635686335302,0.582754507911279,0.291196026196026,0,0,0,0,0,0,0,0,0.526172992068651,0,0,0.404896659062909,0,0,0.337678812869444,0,0.524730686084879,0.498125999074082,0.490248847926267,0,0,0,0
HNRNPF,0,0,0.330060621149306,0.29392560022924,0.504339458912106,0.275003607503608,0,0,0,0,0,0,0,0,0.510952749557264,0,0,0,0.651628948331359,0,0.33316709428745,0,0.346513596541131,0.397373472453944,0,0,0,0.466288015425884,0
VPS26A,0,0,0.222041804391742,0.388681022374423,0.379106616808964,0.261582029082029,0,0,0,0.544579113622886,0,0,0,0,0.376136930041965,0,0,0,0.520885145653347,0,0.301665511921119,0,0.512023438388895,0.372718289497821,0,0,0,0,0
VTI1A,0,0,0.304097683017169,0.3519931697647,0.415258069025797,0.325922965922966,0,0,0,0,0,0,0,0,0.396170649185389,0,0,0.413476338048583,0.565316083577795,0,0.331345339819719,0,0,0,0,0,0,0.545768047694316,0
KIF11,0,0,0,0.360330143698004,0.338373260217659,0.425672938172938,0,0,0,0,0,0,0,0,0.400450086250261,0,0,0,0.516816651058367,0,0.267523035609694,0,0.302614859483445,0.4150098051205,0.45858064516129,0,0,0,0
ERLIN1,0,0,0,0.365847414234511,0.487911102490828,0.287598512598513,0,0,0,0,0,0,0,0,0.409461113880205,0,0,0.309804533956358,0.441372744807398,0,0,0,0.385399021504153,0.341718385583634,0,0,0,0.438891330154587,0
DDX21,0,0,0,0.234089403740188,0.487695735352831,0.239816294816295,0,0,0,0,0,0,0,0,0.392301101844217,0,0,0,0,0,0.259711788023125,0,0.463088633519172,0.430484752928434,0.375926267281106,0,0,0.46256009339481,0
RBM12,0,0,0,0,0.364828153396818,0,0,0,0,0,0.477414608128572,0.332147442880254,0,0,0.295822432418154,0,0,0.263129423782392,0,0,0.26539991992374,0,0.363080441460917,0,0.390347158218126,0,0,0.479444615697411,0
NFXL1,0,0,0,0,0,0,0,0,0,0,0.506619138824758,0.268649382796168,0,0,0.327788777589173,0,0,0,0,0,0.334260713914267,0,0,0.293813493068719,0.504491551459293,0.459616595449951,0,0.525496651822314,0
USP37,0,0,0,0,0,0,0,0,0,0.399349490310094,0,0.29916423694323,0,0,0.266576128775889,0,0,0.216525490994551,0.48680530144692,0,0.281392494101805,0,0.308707930367505,0,0.415975422427035,0.380504163889727,0,0,0
TP53BP2,0,0,0.396037035328601,0,0.379952971877586,0,0,0,0,0,0.5732531059327,0,0,0,0,0,0,0.342420600547332,0.450024497795198,0,0,0,0.404487882580498,0,0,0,0,0.449747165034662,0
OBFC1,0,0,0,0.199261780276874,0.371520907615055,0.345937395937396,0,0,0,0.419493659681158,0.454633775449861,0.280947105422957,0,0,0,0,0,0.225917454938244,0.564965672076855,0,0,0,0,0,0,0,0,0,0
CTCF,0,0,0,0,0.29892203079876,0,0,0,0,0.40617157198266,0.477059031950159,0.279795207920976,0,0,0.295351329126863,0,0,0,0,0,0.250789228179024,0,0,0,0.392356374807988,0,0,0.421009896964013,0
CDC73,0,0,0.185618142576073,0,0.324554498591297,0,0,0,0,0,0,0.298865253486982,0,0,0,0,0,0,0.417445531168018,0,0,0,0.352452156104221,0,0.385701996927803,0.400343250881792,0,0.451890523443802,0
RAB3IP,0,0,0.209265298462429,0,0.373185909699456,0,0,0,0,0.516182015545241,0.474744634519386,0,0,0,0.278063721830848,0,0,0.235737777332979,0,0,0.364769651723008,0,0,0.326474480481477,0,0,0,0,0
TFAM,0,0,0.271885886231242,0.272248763370397,0.559926850740498,0,0,0,0,0.409877519826353,0,0,0,0,0.403484234922283,0,0,0,0,0,0.311857249208426,0,0.39494982364319,0,0,0,0,0,0
CASC2,0,0,0.279615530354491,0.275244624830301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29270556891869,0.431787594812669,0,0,0,0,0.348936504747513,0,0.426800216348053,0,0.506114605400371,0
LRP6,0,0,0,0,0,0,0,0,0,0.469156581543112,0,0,0,0,0,0,0,0.321036756864951,0,0,0,0,0.318892934349755,0,0.390390168970814,0.465011669130385,0,0.562356120180231,0
HIF1AN,0,0,0.254462292448759,0.228205724432419,0.359986800891192,0.287990065490066,0,0,0,0,0,0.378587222049682,0,0,0.288927579640804,0,0,0.382560763918846,0,0,0,0,0.337534190465354,0,0,0,0,0,0
SYNCRIP,0,0,0.236022940032011,0.156263945846663,0.354736124877675,0.283764568764569,0,0,0,0,0.567046914620107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398881720430107,0,0,0.494290717579081,0
PLS1,0,0,0,0,0.286294715444595,0,0,0,0,0.392806575496402,0.525318410902319,0.316260334075076,0,0,0,0,0,0,0.608636868251478,0,0,0,0,0.31991356644334,0,0,0,0,0
TJP2,0,0,0.192706421216412,0.184199091494149,0,0,0,0,0,0.513499229304146,0.609772796909261,0,0,0,0,0,0,0,0.589931716272118,0,0.317369530044628,0,0,0,0,0,0,0,0
ZFP62,0,0,0,0,0,0,0,0,0,0,0,0.367513245662422,0,0,0,0,0,0.255151085864948,0.520968872295164,0,0.302862648100026,0,0,0,0,0.444803530812011,0,0.428623148008474,0
FGFR2,0,0,0.272545028806683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531439267140377,0,0,0,0,0,0,0.482980030721966,0.516528950732201,0,0.499296259616583,0
ZNF551,0,0,0,0,0,0,0,0,0,0.384777541311916,0.446836948147663,0.258349518613458,0,0,0,0,0,0,0,0,0,0,0.270872226646945,0,0,0.420609675000953,0,0.498926680435522,0
MEX3A,0,0,0.28871262045086,0.208311607172217,0,0,0,0,0,0,0.448017158441971,0,0,0,0.299578970096081,0,0,0.208036401409398,0,0,0,0,0.320205711685061,0,0,0,0,0.481000321372589,0
ZNF844,0,0,0,0,0,0,0,0,0,0.430805891449286,0.489420347783764,0.382550491120887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43574271303184,0,0.508528179129146,0
TMTC2,0,0,0.179702141023316,0,0,0,0,0,0,0.378629117217665,0.468264826076595,0,0,0,0,0,0,0,0.403072457656026,0,0.275118843648756,0,0,0,0,0,0,0.510338359425727,0
YAP1,0,0,0.277422481661054,0,0.370695963314538,0,0,0,0,0,0,0,0,0,0,0,0,0.314026862776902,0,0,0,0,0.266689270679258,0,0,0.475676865730325,0,0.455122613480596,0
EBI3,0,0,0,0,-0.32424845055309,0,0,0,0,0,0,0,0,0,-0.275157512960509,0,0,0,0,0,0,0,-0.322117647058824,-0.39230964090111,-0.416706605222734,-0.402498076016102,0,0,0
CDKN2AIP,0,0,0.16935578891851,0,0,0,0,0,0,0.416601420374381,0.609405872554941,0,0,0,0,0,0,0,0.405695892432972,0,0,0,0,0,0,0,0,0.523130300188233,0
ANGEL2,0,0,0.20852285209438,0,0,0,0,0,0,0,0.462241466486945,0,0,0,0,0,0,0,0,0,0.316410511260333,0,0.33281351689612,0,0.3882089093702,0,0,0.413603898446262,0
TNFSF12-TNFSF13,0,0,0,-0.187827947594151,-0.384002781260139,0,0,0,0,0,0,0,0,0,-0.281548907865992,0,0,0,0,0,0,0,-0.323596316404114,0,-0.523380220246731,-0.420959560510579,0,0,0
HN1,0,0,0,0,0,0,0,0,0,-0.504027192327368,0,-0.366579212074296,0,0,0.299726778466606,0,0,0,0.430668138601703,0,0,0,0,0,0,-0.514820430931879,0,0,0
FUBP3,0,0,0,0,0.396371252643285,0,0,0,0,0.457517598836704,0,0,0,0,0.302206444766527,0,0,0,0,0,0,0,0,0,0,0.492546599635847,0,0.442899961304117,0
DNAH7,0,0,0.172106014660204,0,0,0,0,0,0,0,0.579309249141637,0.382232863114078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530381082325885,0,0.419257432560946,0
OSCAR,0,0,0,0,0,0,0,0,0,-0.381654030911782,0,0,0,0,-0.321006130544537,0,0,0,0,0,0,0,-0.394010695187166,0,-0.495619047619048,-0.479325667354003,0,0,0
RALGPS1,0,0,0,0,0,0,0,0,0,0,0.685243210323309,0,0,0,0,0,0,0,0.489360514515719,0,0,0,0,0,0,0.427792824456243,0,0.459716273914384,0
ADNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350158229486246,0,0,0.299032340173963,0,0.415989304812834,0,0,0.452430959870456,0,0.537721927448498,0
MED17,0,0,0.232652011518039,0,0,0,0,0,0,0.416044748982553,0.586829937496769,0,0,0,0,0,0,0,0,0,0.304190963894521,0,0,0,0,0,0,0.513515357018712,0
IPMK,0,0,0,0,0.415729105924108,0,0,0,0,0,0,0.315552702207842,0,0,0,0,0,0,0,0,0,0,0.383139833883263,0,0.423944700460829,0,0,0.488084345972798,0
HLA-DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.399986792569844,0,0,-0.198754007502528,0,0,0,0,-0.358306747070201,0,-0.467502304147465,-0.591730616840563,0,0,0
ZNF567,0,0,0.199710385044663,0,0,0,0,0,0,0,0.519355574917505,0.277401022569774,0,0,0,0,0,0.241084277476197,0,0,0,0,0,0,0.38721351766513,0.390591566808879,0,0,0
JMY,0,0,0,0,0,0,0,0,0,0,0.513322758514599,0,0,0,0,0,0,0,0,0,0.275847076239012,0,0,0,0.38647619047619,0.40217819470183,0,0.429966354257531,0
YOD1,0,0,0.21761648787419,0,0.313671531109216,0.218842823842824,0,0,0,0,0,0,0,0,0,0,0,0,0.534358933012485,0,0.314516520029622,0,0,0,0.38900153609831,0,0,0,0
CDK1,0,0,0,0.281574571231274,0,0.260952380952381,0,0,0,0,0,0,0,0,0.300762700379685,0,0,0,0.483062410459008,0,0,0,0.294500398225054,0.355567408565614,0,0,0,0,0
F11R,0,0,0.262615574797222,0,0,0,0,0,0,0,0.494155058953774,0.298005386337615,0,0,0.2685827393818,0,0,0,0.648146540229101,0,0,0,0,0,0,0,0,0,0
ACBD5,0,0,0,0,0.411950735082047,0.196978854478854,0,0,0,0,0,0,0,0,0.300575729107568,0,0,0,0.620507445469148,0,0,0,0,0.433621081227453,0,0,0,0,0
ZFHX3,0,0,0,0,0.404220188339192,0,0,0,0,0,0,0,0,0,0,0,0,0.227749086341189,0,0,0.307422654856461,0,0,0,0,0.533520596802402,0,0.479003876146939,0
TNFSF12,0,0,0,-0.186767476054247,0,0,0,0,0,0,0,0,0,0,-0.357235030239273,0,0,0,0,0,0,0,0,-0.417974161651278,-0.527815668202765,-0.434152422249228,0,0,0
ZNF709,0,0,0,0,0,0,0,0,0,0.403367332054174,0.573170516430267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53793401973688,0,0.408312400390894,0
CD14,0,0,-0.204059622346311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.352452383661395,-0.352401490203615,-0.5441044546851,-0.452306561581573,0,0,0
ZNF180,0,0,0,0,0,0,0,0,0,0,0,0.342449624764174,0,0,0,0,0,0.249500895540931,0,0,0,0,0,0,0.439692780337942,0.448073244533888,0,0.422413442556289,0
STX4,0,0,0,0,-0.378668325791285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262029620396299,0,-0.349291842075321,0,-0.452491551459293,-0.426020125819984,0,0,0
OCLN,0,0,0,0,0,0,0,0,0,0,0.690932429177925,0,0,0,0,0,0,0,0.584030538517356,0,0,0,0,0,0,0,0,0.558693784391786,0
HSPA14,0,0,0,0,0.397916606317688,0.192572427572428,0,0,0,0,0,0,0,0,0,0,0,0,0.473055526268459,0,0,0,0.325713277961088,0,0.44168356374808,0,0,0,0
PRKCI,0,0,0,0,0,0,0,0,0,0,0.604182559366721,0,0,0,0,0,0,0,0.456877678477292,0,0.288307771229006,0,0,0,0.465591397849462,0,0,0,0
