,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CTCF,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1
PDP2,0,0.66922390630025,0.683767008033182,0.633047487516265,0.608947434045388,0.430598568098568,0,0,0.744734432234432,0,0,0,0,0,0.48810711111009,0.489489816816475,0,0.61873380175243,0.707226539484864,0,0.756510497106229,0,0.531117305723063,0.599943767961496,0.623268817204301,0,0,0.682258265506227,0.786310360993905
ZBTB39,0,0.605636004985543,0.498695616366973,0.473801772854747,0.542040043174184,0.403804806304806,0.758559208947343,0,0,0.544722800919432,0,0,0.704066700003061,0,0.557245596183397,0.394653316645807,0,0.507606058619107,0.532895267274047,0,0.628812224297984,0,0.479612242575947,0.380149872031167,0,0,0,0.609772350151832,0.557688701359587
ERCC4,0.431920341394026,0.556526778026264,0.42569430183102,0,0.578683943057432,0.412051282051282,0,0,0.668498168498168,0.687857893575401,0.667292917855598,0.640772536167728,0.651288529413051,0,0,0.360932074183639,0,0,0,0,0.63679687921544,0,0.462769825918762,0,0.503090629800307,0,0,0,0
MDC1,0,0.440102348866471,0.406488217515786,0,0,0.512359307359307,0.722238371813949,0,0,0.499659534872896,0.577349166980843,0.533722552623406,0.665171437027016,0,0.389556483010651,0.328695642280123,0,0.490798273797404,0,0,0,0,0.372361815906247,0.353455704440038,0,0,0.616840774502628,0,0
ZNF689,0.480056899004267,0.554809848373696,0,0,0.626757414737913,0.441394993894994,0.640184706955311,0,0.61735347985348,0.598626108407754,0.629164307717138,0,0.724305293343266,0,0,0,0,0,0,0,0.612234913562213,0,0,0,0,0,0,0.69115094975925,0
PRDX5,-0.438093883357041,0,-0.353719087816099,-0.419898579931134,0,0,-0.490495271924351,0,-0.413598901098901,-0.469512319289588,-0.566091776481284,-0.44979163866111,0,0,-0.35076867243506,-0.299493230174081,0,-0.307186068903161,0,0,-0.610809043925426,0,-0.344177722152691,0,0,0,0,-0.456408103836139,-0.627215189873418
C19orf24,-0.32054054054054,-0.432864123209895,-0.405610252411545,-0.464566392799598,0,-0.338078033078033,0,0,-0.423443223443223,-0.60211803178949,-0.692528739255484,0,0,0,-0.469546652088726,0,0,-0.371258657758421,0,0,-0.596835775633201,0,-0.298742519057913,0,-0.477400921658986,0,0,0,-0.640154711673699
ZBTB11,0.428108108108108,0.489802905071649,0.506857724072985,0.561117452801383,0.537220101436662,0.380356032856033,0,0,0.501556776556777,0.6055617477196,0.591428470555897,0,0,0,0,0,0,0,0.664727516295685,0,0.607766986684976,0,0.387616338605075,0,0,0,0,0,0
FKBP2,-0.344011379800853,-0.513779157052009,-0.371326645018212,-0.443315858453473,0,0,0,0,-0.491620879120879,0,-0.549452828785026,0,-0.53812915763401,0,0,0,0,0,0,0,-0.631418417227031,0,-0.376200477870065,-0.344232012298984,-0.442150537634409,0,0,-0.539038899200504,-0.570721987810595
AURKAIP1,-0.350668563300142,-0.433805211107505,-0.371755064523053,-0.440590106023666,0,-0.370836385836386,0,0,-0.586858974358974,-0.491432891694895,-0.534333275751848,0,0,0,-0.406125146717322,0,0,0,0,0,-0.679565832617157,0,-0.357835021049039,0,0,0,0,-0.480685507407966,-0.508391936240038
CHD4,0,0.549043276705036,0.417672641581167,0,0,0.497785825285825,0.640358277732444,0,0,0,0,0,0.692093005625881,0,0.466932614542874,0.34915303219934,0,0.501701786595529,0,0,0,0,0.410928205711685,0,0.52594777265745,0,0.835817419655333,0,0
DIDO1,0.459544807965861,0.477439084936517,0,0,0.517270303390584,0,0.609852829645274,0,0.482967032967033,0,0,0,0.585575060100272,0,0.386175840279676,0.354728638070315,0,0.416715124806311,0,0,0,0,0.389847991807942,0,0.490254992319508,0,0,0,0.702133145804032
TOP2A,0,0.420838205500992,0.369122011726562,0.368900820661697,0.559714002516395,0.33296842046842,0.628527816445063,0,0,0,0,0.620242338838646,0,0,0,0.345016270337922,0,0,0,0,0,0,0.332968710888611,0.360767507271949,0,0,0.912768647281922,0.567136045543087,0
CCDC107,0,-0.41949548796519,-0.405539101915608,-0.418703053876182,-0.450652587617271,-0.328138528138528,0,0,-0.436492673992674,0,-0.510111855187188,0,0,0,-0.364476836464451,0,0,-0.315585000465888,0,0,-0.646870046552146,0,0,-0.512881722731283,-0.449628264208909,0,0,0,-0.485724331926864
SMARCD1,0,0.405389543698342,0,0.333832447845469,0.417935674495871,0,0.640412806604906,0,0,0,0,0,0.693196313947199,0,0.447137318225565,0.29275935828877,0,0.395264417518782,0,0,0,0,0,0.363450921987055,0.454408602150538,0,0.731020027945971,0.56379639406838,0
RPS19BP1,-0.342674253200569,-0.383771198560654,-0.387670575310104,-0.400010334606369,0,-0.295510878010878,0,0,-0.484844322344322,0,-0.572507909048153,0,0,0,-0.335722653154509,-0.25347183979975,0,-0.293832759888049,0,0,-0.621573885598863,0,-0.320915234952782,0,-0.447428571428571,0,0,0,-0.564627285513361
BRD2,0,0.465411685199429,0,0.351056008868971,0.513622916071048,0.537697302697303,0.662621417942687,0,0,0,0,0,0.580612359444089,0,0.491377845052726,0.311713277961088,0,0.448658241564833,0,0,0,0,0.378160882921834,0.341934032721587,0,0,0,0.552434233395203,0
ATP5D,0,-0.5026758018884,-0.472588144574943,-0.490353584464268,0,-0.392637362637363,0,0,-0.424542124542124,-0.459897945656072,0,0,0,0,-0.408972094422789,0,0,-0.396623258526619,0,0,-0.639145698129703,0,0,0,-0.436835637480799,0,0,-0.456158876114146,-0.529324894514768
SETD1B,0.357667140825036,0.450022304524187,0,0,0.512496961560114,0.404668942168942,0.56245495127922,0,0,0,0,0,0.521058347924081,0,0.375526861615992,0.373743087950848,0,0.459925406099341,0,0,0,0,0.347491182159518,0,0.451969278033794,0,0.693958347195422,0,0
BAD,-0.338122332859175,0,-0.383413740976388,-0.455463718485323,0,-0.395915195915196,0,0,-0.551007326007326,-0.551063119761855,-0.562194938965727,0,0,0,-0.365256304538073,-0.269835021049039,0,0,0,0,-0.604314088964412,0,-0.313054955057458,0,0,0,0,0,-0.600304735114862
KRTCAP2,-0.361422475106686,-0.402852311445259,0,-0.328245888470807,0,-0.329088134088134,0,0,-0.537728937728938,-0.53980969277308,-0.515659221842969,0,0,0,0,0,0,-0.310544347393959,0,0,-0.600673903506543,0,-0.274422118557288,0,-0.467477726574501,0,0,0,-0.687740271917487
RNASEK,0,-0.54019556843932,0,-0.443099771229395,0,-0.340884393384393,-0.573179474871598,0,-0.442078754578755,0,-0.593739085261367,0,0,0,-0.368582509687363,-0.331670724769598,0,0,0,0,0,0,-0.428321993400842,0,-0.542046082949309,0,0,0,-0.60182841068917
POLR2L,-0.382503556187767,-0.391884561860597,-0.334029525560152,-0.340835318047511,0,-0.351743534243534,0,0,-0.434798534798535,-0.517555408439712,-0.653603865440896,0,0,0,-0.334032331789021,0,0,-0.325262968088374,0,0,-0.611573052774478,0,0,0,0,0,0,0,-0.511533052039381
