,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DCP1A,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
WDR82,0,0.718411680753344,0.724205470331528,0.676813371101622,0,0.666661394161394,0.721906590505448,0,0.71978021978022,0.604040303923048,0.742255815624925,0,0.589526880748524,0,0.68397846844343,0,0,0.719218584458655,0.788760783681367,0,0.73351916786377,0.747026160563397,0.710433496415975,0.443129864344302,0,0.630434045979302,0.792950296094218,0.554716634638718,0
ZNF619,0,0.547601263280825,0.684468908307484,0.592796544483434,0,0.543934676434676,0.595567033072529,0,0.7753663003663,0.723003411508365,0.715086391141362,0.419385716470976,0.606361808737537,0,0.581112456099651,0,0,0,0.677395047103988,0,0.775836617059528,0.628022971068849,0.567898737057686,0.253944322638691,0.617714285714286,0.672430300587149,0.676641825803447,0.628093623111168,0
QRICH1,0,0.655198732569496,0.669275813065026,0.604344292713633,0,0.652851592851593,0.804237507800125,0,0.690659340659341,0.637967440853405,0.780506103427275,0,0.696095559796308,0,0.698035308628931,0,0,0.591039327878414,0.69492492511117,0,0.708868250310256,0.655036372256533,0.698414609170554,0.389439732357334,0,0,0.804469691928938,0.712713893133776,0
ACTR8,0,0.611755299362283,0.693777448915608,0.640161924491608,0,0.641594516594517,0.673567897086353,0,0.731227106227106,0.581217711916425,0.588524598432186,0,0.628659774877285,0,0.609105776585408,0,0,0.642431988929112,0.740859841601598,0,0.64200975382024,0.494551935236036,0.631401752190238,0.476797350652073,0,0.625686469536047,0.666536363031473,0.587082133651645,0
SON,0,0.524194110123586,0.607931805893527,0.633142612870343,0,0.482364302364302,0.428396102337637,0,0.515750915750916,0.728851162402177,0.607402289053171,0,0.663983718621389,0,0.528869375070344,0,0,0.512366315927515,0.663688685739802,0,0.830886895410551,0.689738939399604,0.548144271248151,0.333028843214158,0,0.840888511325401,0.829413134606428,0.711706488446983,0
DDX46,0,0.435399873434793,0.48332131694555,0.497196738022426,0,0.56971028971029,0.572731723707579,0,0.592948717948718,0.621750308673144,0.56752858164193,0.451979548604512,0.710329228485998,0,0.523730076878728,0,0,0,0.602441096756988,0,0.77293023590435,0.499579520573096,0.510415519399249,0.335710183349202,0.600227342549923,0.738935135914569,0.767258300618804,0.677719697516249,0
PDE12,0,0.609664898607042,0.607013863393997,0.528141837774865,0,0.551365856365856,0.564967119473912,0,0.76456043956044,0.59045390640357,0.635421565821312,0,0.645889199737002,0,0.648499521087098,0,0,0.553939085961576,0.77319072929006,0,0.641466560732448,0.536877286040258,0.606925019911253,0.267630545680069,0.670150537634409,0,0.721912635571229,0.544354008303218,0
CCNT1,0,0.579161794499008,0.597153916973817,0.628836135420924,0,0.558815073815074,0.525005904094465,0,0.625503663003663,0.689196377625592,0.664870814999734,0,0.63010407661345,0,0.50706321880003,0,0,0,0.701328462716837,0,0.824693419570411,0.616374625333091,0.596182500853339,0,0,0.798406541710995,0.768006853416728,0.672736097231729,0
ZBTB26,0,0.441877818632355,0.565832701972731,0.46979476411261,0,0.423885281385281,0.635130418086689,0,0.64253663003663,0.619335572486345,0.545170153288638,0,0.715972312326059,0,0.419084162338841,0,0,0,0.560704916304368,0,0.785661012323455,0.597205515041005,0.518670610991012,0.261318144495593,0.551072196620584,0.747151039780013,0.73037128218777,0.629813295520789,0
