,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DDIT3,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TRIB3,0.362588904694168,0.307451934120883,0,0.213062002940665,0.268187502912494,0.416909756909757,0.385116305860894,0,0.762957875457875,0.440411745662472,0.360869472019811,0,0.358392388805386,0.627538662244452,0.487409069714559,0.581602912731824,0.459148446490219,0.426105794615711,0.429737842581509,0.595355473256026,0,0.513111027182152,0.256796905222437,0.384301543487566,0,0.536106994682825,0,0.415749880305107,0
C12orf73,0.288136557610242,0.196333906878241,0,0,0.426581846439452,0.318291985791986,0.380956751308021,0,0.439514652014652,0.496515868771005,0.607783083400267,0,0.392057725417932,0.488149784363817,0.370069781170109,0.452892706792582,0.35654219198523,0.345090830972257,0.443757403605827,0.40729362718313,0,0.301426974759705,0.358586869951075,0.355185904211179,0,0.433402809762328,0,0.313277934820392,0.752906704172527
BUD31,0,0.239535769491264,0,0.26534689045787,0.383101614245969,0.292231102231102,0.401564057024912,0,0.519505494505495,0.526383501913961,0,0,0,0.472224224394616,0.37755023991584,0.303891000113779,0.509781357882624,0.229176085088467,0.496595116566091,0,0.555815460192167,0.368565328387969,0.257464102855843,0.34373214769263,0,0.464174950217665,0,0.402559175187413,0
EIF1,0,0.324561208505063,0,0.236732949073878,0.453879316316391,0.326793206793207,0.405341141458263,0,0.501465201465201,0,0.503546304970879,0,0.574684992936669,0.341089232021342,0,0.415867106610536,0,0,0.521353394650178,0.459352801894238,0.500701156022806,0.398953745166758,0.277772670383434,0.347775722608992,0,0.421686443017389,0,0,0
MARS,0.330384068278805,0.209547670177591,0,0.375895470154127,0.39576923222245,0.36784188034188,0.354496423942783,0,0.350824175824176,0,0,0,0,0.478012822473506,0.531894335964866,0.51619956764137,0.290557543722101,0.442722910318219,0.443258144741657,0.356503349321029,0,0.478767623188943,0.289075207645921,0.256399970300749,0,0,0,0.329191780732074,0
YLPM1,0,-0.215932988613577,0,-0.307474504056333,-0.288429494970359,-0.223710178710179,-0.342832621321941,0,-0.303342490842491,-0.365150770882865,-0.524826656613023,0,-0.322030157288497,0,-0.272896400917859,0,-0.39000240266063,-0.180043413891755,0,-0.374328617975027,-0.526969043174711,0,-0.249249061326658,-0.263800652510024,-0.71915821812596,0,-0.359238804977044,-0.373719592578261,0
PSMB3,0,0.194385039814687,0,0.222492331252319,0.392362401179859,0,0.339692987087793,0,0,0,0.476794241179,0,0,0.362163729235958,0.421675574982601,0.32121265217886,0.429987733785202,0.225132346800382,0.383678886621723,0.453220812336835,0.483836462224572,0.300837919243493,0.260309477756286,0.251491295498816,0.78262980030722,0,0,0.300205284939431,0
EIF2S2,0,0,0,0.325772629264787,0.350277647284044,0.330915195915196,0,0,0.357875457875458,0,0,0,0.380432313754762,0.543143859854434,0.362663398880469,0.380109910114916,0.409274270033764,0.282875756205805,0.505839158020082,0,0,0.253169143133852,0,0.331112258802771,0.653069124423963,0,0,0.350342032255314,0.745569620253165
NUPR1,0.320028449502134,0.342520426053463,0,0.39698511346928,0.416292083179575,0,0.305494167906686,0,0.402472527472527,0.486919261245739,0.454376550129306,0,0.309839824940191,0.451178984016458,0,0,0.415976428634656,0.221362102226256,0,0,0.48065276618905,0.431973695841219,0,0,0,0.497626303857047,0,0,0
MYCBP2,0,-0.182815586786829,0,-0.215071379247171,0,0,-0.289574041184659,0,0,-0.400350314408168,-0.474382123344585,0,-0.277574908482849,0,-0.337545508210428,0,-0.405809380492925,-0.256313649838319,-0.379170051910518,0,-0.483260425358212,0,-0.257951075207646,-0.283565176754221,-0.635674347158218,0,-0.437420986093553,-0.345449298555135,0
POP5,0,0.217228281247453,0,0.202757930636001,0.315414619524353,0,0.258450343205491,0,0,0.39427898067837,0.375489074858873,0,0.320984142858601,0.333868112840959,0.29158525912978,0,0,0.252541679751802,0.340844956865275,0.36983992066865,0.398617707019419,0.217604304926719,0.174642393901468,0.288968475118142,0,0.371843704185105,0,0.422822700710299,0
POLR2H,0,0,0,0,0.358082501986793,0.247989787989788,0.400807564921039,0,0,0.485483946710818,0,0,0.309978321624289,0.434883724022921,0.356280075615409,0.424722494026624,0.299864692269756,0.300639043513971,0.484153957789369,0,0.443325420850013,0.300038536668706,0,0.309581393418995,0,0,0,0.373664500134452,0
