,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DDX5,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
BTAF1,0.30398293029872,0.355516331209587,0.241010699324281,0.237476336100189,0.311869248217554,0,0.488658186530984,0,0,0.576973586056743,0.603737458689487,0.265831058123311,0.57906061343826,0,0.458651440988054,0.40671066105359,0,0,0.399890845266964,0.49319814623682,0.398109605945037,0.40719423354479,0.328465126863124,0,0.678113671274961,0.509488431143291,0.626688402421984,0.485759259137803,0
FAM76B,0.279118065433855,0.339111761227475,0,0,0.308605995266961,0,0.524210243363894,0,0,0.520825826892859,0.66115607650688,0,0.623392381516087,0,0.388562595179633,0.410273978837183,0,0,0.405134613834122,0.316428874992411,0.423999594144736,0.436700813951741,0.343284105131414,0,0,0.577353084331727,0.78365992414665,0.536407579146198,0
CREBZF,0,0.305940265371967,0,0.182646551764634,0.415987294598315,0,0.515332021312341,0,0,0.569603871889528,0.619635622680716,0,0.584533565035856,0,0.417769735920305,0.414672431448401,0,0,0,0.40778337684415,0.521496839568308,0.426454881526821,0.290789623392878,0,0,0.57902983698944,0.693833588395768,0.435706462212486,0
SECISBP2,0.306543385490754,0,0.302873464803779,0.324774400240515,0.35641372153155,0,0.497484951759228,0,0,0.56340973383253,0.552299329574986,0.231689001580672,0.423354914518389,0,0.391280454611231,0.360669018090795,0.309348878969132,0,0.40219487841031,0.407647784995851,0.458256046187737,0,0.292091933098191,0,0,0,0.665879300019962,0.455592210977825,0
POLG2,0.355988620199146,0.415914166855625,0.500910128161463,0.617446929447521,0.499830603040581,0,0.417880478087649,0,0,0,0.63115023850083,0,0.512247043095794,0,0.475810878787948,0.548074183638639,0.380897583429229,0,0.550167763382308,0,0,0.473066432255646,0.377474115371487,0,0,0,0,0.520312715204859,0
HNRNPA2B1,0,0.38971561361154,0.249109765753105,0.285378411007295,0,0,0.519076081217299,0,0,0.647420776663604,0.694924465280256,0,0.575096838339381,0,0,0.456072818295597,0,0,0,0.512393499686318,0.474073942293481,0.350324871454181,0.299331209466378,0,0,0.557682777549525,0.726204338279327,0.512182644568475,0
IFT80,0,0.415799309671271,0.229390188856333,0,0.376357222292892,0,0.431721595545529,0,0,0.3696744791829,0.631768083633535,0.2970736704507,0,0,0.320237458109477,0.443936056434179,0,0,0.397158875954329,0.344923400724506,0.439967046742171,0.446698686224521,0.400878825804984,0,0,0.418412217440474,0.600272805908577,0.491163565530494,0
ZNF638,0,0.32055676834862,0.351332344640533,0.270985122864377,0.41411951994539,0,0.530095521528344,0,0,0.519143449168359,0.585621356762693,0,0.595173755024149,0,0.430611607378704,0.484242120832859,0,0,0.400954483716719,0.331186125108777,0.363431854242439,0.509611632134481,0.402998748435544,0,0,0.474041088082644,0,0,0
CEP192,0,0.337858706396878,0.272706181099286,0.229996664740672,0.332617541968254,0,0.44017894686315,0,0,0.397487581386438,0.578466962307664,0,0.513426160128408,0,0.393620696387596,0.37540311753328,0,0,0,0,0.284712159470621,0.327358693931855,0.285603822960519,0,0.581493087557604,0.423480411827395,0.671426907977909,0.461568429406248,0
