,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
WDHD1,0,0.700446535092204,0.561504190570432,0.646171263217727,0.501930117771819,0.297135642135642,0.716767052272836,0.704913684305686,0,0.493811783979085,0,0.642494588167672,0,0,0.6476025643087,0.390314028899761,0.683152290747227,0.51823866597186,0,0,0,0.683139141830663,0.415236090567755,0.577810946794665,0,0,0.731951560316721,0.77729797797614,0
PRIM2,0,0.728094511901427,0.536149043649292,0.645230579160736,0.594359144224193,0.567813575313575,0.726212067393078,0.747109230123243,0,0,0,0.645572495376186,0,0,0.583317407852334,0.485793605643418,0.626651829183475,0.55835294665751,0,0,0,0.654259350033488,0.433841620207077,0.59598426813183,0,0,0.852451926275867,0.700535839602285,0
POLA1,0,0.699606966125282,0.481010231727771,0.517119040572725,0.439137372747619,0.367208624708625,0.723894206307301,0.567075317624864,0,0.552598485537972,0,0.658484408823952,0,0,0.52571923070739,0.439277505973376,0.54756635769294,0.445089881940442,0,0,0,0.68701027772605,0.603112299465241,0.502967413806658,0,0.57776182156663,0.650691995475414,0.586982442562848,0
ECT2,0,0.7206510253412,0.56576582724668,0.571837258134979,0.575317414637157,0.474702242202242,0.698839341429463,0.69786503515552,0,0,0,0.518384006007482,0,0,0.562451620609104,0.485225622937763,0.719900352811745,0.508551208031225,0,0,0,0.7715736342105,0.574694732051428,0.493292118342782,0,0,0.839094417459578,0.693363328108296,0
CTDSPL2,0,0.618617089859815,0.497927157310208,0.446932970682601,0.436618458852912,0.314519924519924,0.570233379734076,0.561876927725103,0,0.719886654307273,0,0.589769203313386,0,0,0.537653809137704,0.396628740471043,0.521744078706104,0.357772915667307,0,0,0,0.648147986397919,0.581818636932529,0.385531878652353,0,0.705705047329359,0.759015902588329,0.609245036761089,0
KIAA1524,0,0.631771572031757,0.511393641909117,0.580733240321876,0.47932034665293,0.444334554334554,0.662467815485048,0.680760991229854,0,0,0,0.671704576532812,0,0,0.552858662121779,0.43486585504608,0.732773555558366,0.407400808920209,0,0,0,0.646492621607996,0.582866082603254,0.501539993536045,0,0,0.857092953622996,0.732350894498714,0
DDX46,0,0.546354136562969,0.465086569596159,0.523919916195738,0.436466064562282,0.378606116106116,0.579196851149618,0.599890209624679,0,0.597710894094462,0,0.624263550440131,0,0,0.421102717055501,0.384724769598362,0.512133436184069,0.389120730650967,0,0,0,0.634979835504675,0.619650927295483,0.3795154872861,0,0.571459496709016,0.757818218111651,0.666213247109286,0
SMC4,0,0.54966128245827,0.557226840966425,0.619085199434415,0.482864458502783,0.489891774891775,0.640130178082849,0.725815785310452,0,0,0,0.617590888652998,0,0,0.510165012483893,0.453669814540903,0.453887884267631,0.443762531533739,0,0,0,0.715161261808624,0.604211628171578,0.583941549252715,0,0,0.791544680284783,0.663120199906868,0
SGOL2,0,0.574229604698622,0.545510431088175,0.482392414398925,0.356374678366182,0.476592296592297,0.701943647098354,0.662709514650413,0,0,0,0.691970555923813,0,0,0.608944990479166,0.475872112868358,0.588512753069715,0.435282069510541,0,0,0,0.589874114713496,0.605711685060872,0.597831954647496,0,0,0.800568900126422,0.655026857566357,0
SGOL1,0,0.533549413042737,0.480223131999335,0.49924721787699,0.470381980697563,0.475282217782218,0.633304084865358,0.70508943217084,0,0,0,0.742454723706839,0,0,0.559144020709251,0.449138240983047,0.676374258652739,0.376078445244315,0,0,0,0.640873884471749,0.485510069404938,0.563043212410793,0,0,0.747929003925744,0.657868053597077,0
TTK,0,0.506369016125949,0.463683253494389,0.552345955645749,0.469677944263992,0.53988677988678,0.680003840061441,0.733854986302967,0,0,0,0.646376737696483,0,0,0.571419925073674,0.463028785982478,0.568532733089695,0.473351186634871,0,0,0,0.609342993471127,0.421650699738309,0.594404202444074,0,0,0.748594384190565,0.645388303349489,0
DDX18,0,0.436646259138556,0.475858013266682,0.428984812826186,0.506848297151234,0.443874181374181,0.657153170450727,0.648580397362652,0,0.717163348871925,0,0.602750647797489,0,0,0.562574966522036,0.412379565365798,0.532543405961127,0.424917779334573,0,0,0,0.467723705711218,0.483996586642394,0.576225749250968,0,0.665395305718694,0,0.611338549625831,0
PLK4,0,0.542377113927953,0.47839876840977,0.498314754529611,0.429910591151307,0.320932400932401,0.738730667690683,0.715763959019523,0,0,0,0.705693664795509,0,0,0.556225638033724,0.360888155649107,0.650551979665904,0.373771866555774,0,0,0,0.621799805674568,0.583940607577654,0.560436884723229,0,0,0.785165346995808,0.536035049288061,0
MCM8,0,0.549379697103079,0.541159529816965,0.446296452881241,0.468117477106221,0.286633921633922,0.711315701051217,0.608116161309776,0,0,0,0.680013535375074,0,0,0.534835228695267,0.366313118671066,0.647517039922103,0.418193888925316,0,0,0,0.620678993043485,0.481961997951986,0.463247831517894,0,0,0.758234080777164,0.689150067881761,0
KIF18A,0,0.558194800748721,0.483684294001937,0.480224495835623,0,0.410935730935731,0.695614457831325,0.679452249513199,0,0,0,0.615273187441768,0,0,0.579082876049991,0.461043122084424,0.638614550006955,0.445473377069321,0,0,0,0.549900094647176,0.509526453521447,0.585759318140128,0,0,0.805384589793067,0.653253834010434,0
CDC7,0,0.541790230766609,0.405264736504101,0.500419256190194,0.35982559040193,0.256562049062049,0.762661930590889,0.648278563042633,0,0,0,0.611984369423032,0,0,0.545131281855747,0.450296962111731,0.518304480329797,0.454235097612236,0,0,0,0.566149082753915,0.471216748207987,0.577937496178405,0,0,0.711582606959878,0.664515875150029,0
CCNA2,0,0.587147703375023,0.449578984106563,0.494386429722328,0.414900383252749,0.282745587745588,0.617744923918783,0.685857976693038,0,0,0,0.683782117544535,0,0,0.504793722910412,0.343974968710889,0.614157993904829,0.365696899944438,0,0,0,0.570599491511626,0.558919103424735,0.511979389593033,0,0,0.730155033601704,0.611107686051774,0
ZNF184,0,0.491554662386569,0.477263604162283,0.667646105497541,0.704096887504046,0.490311355311355,0.733252436038977,0.485146777717907,0,0,0,0,0,0,0.479293735543606,0.531092729548299,0,0.593622851305695,0,0,0,0.658194771940134,0.694931846626465,0.520322477092269,0,0,0.813327566704372,0.637924588938224,0
NUF2,0,0.471054507514624,0.378941959688547,0.403434847353166,0.373729995100712,0.411475191475191,0.623341429462871,0.666972664218686,0,0,0,0.632788055495038,0,0,0.461527559887082,0.477307998634657,0.608593937707862,0.420710548747451,0,0,0,0.601327506132501,0.513520764592104,0.610305203483548,0,0,0.690273803978974,0.575945589653114,0
CENPK,0,0.461116026504592,0.492568417057331,0.501780370824467,0,0.285806415806416,0.590776940431047,0.636231656502433,0,0,0,0.755512652330912,0,0,0.465106428917611,0.415734213221072,0.66094664828842,0.359715411241368,0,0,0,0.671051974191961,0.574347479804301,0.52648550851233,0,0,0.802714751480471,0.576790340458186,0
RSRC1,0,0.61809541593862,0.384629197020947,0.473900421370087,0.432864017692851,0.459229381729382,0.396362309796957,0.541071175803771,0,0.506088268675089,0,0.514636283148922,0,0,0.529280757807888,0.34569575605871,0.450473577055855,0.282896893732594,0,0,0,0.611188421250859,0.528168164751394,0.423177645198767,0,0.671096172676243,0,0.597108958424881,0
SMC6,0,0.571222569510827,0.487072725790665,0.489520944019316,0.376638081192152,0.351017316017316,0.646557672922767,0.675230434891215,0,0,0,0.657603682363684,0,0,0.593787339701994,0.268381158266014,0.612033536084169,0.387440944338421,0,0,0,0.526714506173379,0.486044373648879,0.413830679326701,0,0,0.631296160755872,0.568665516721213,0
PSIP1,0,0.472374253613555,0.43649266389521,0.554170953179536,0.327851756879469,0.419494671994672,0.446327653242452,0.543333297648488,0,0.595188937885945,0,0.518520750378944,0,0,0.440972434370557,0.435901467743771,0,0.330693586960648,0,0,0,0.648696513776597,0.450446694732052,0,0,0.607081973408047,0.723018830261495,0.673047333591306,0
DR1,0,0.547554579392991,0.459424565624959,0.468555785735425,0.490068552241644,0.267369574869575,0.462965871453943,0.487800243370648,0,0.701027358975542,0,0.577297653095754,0,0,0.473762578641633,0,0.419137824201115,0,0,0,0,0.541783286964718,0.506435316873365,0,0,0.484262281315451,0.827974249783752,0.710995533576877,0
PHF6,0,0.486987051519746,0.430179479126976,0.489399982149316,0.455141292177639,0.393405760905761,0.720872077953247,0.581351040153778,0,0.570063401110517,0,0,0,0,0.56470664574916,0.4087946296507,0,0.325284105615162,0,0,0,0.52320183466686,0.644126521788599,0.488754356618129,0,0.671822120943866,0,0.57394652097776,0
UCHL5,0,0.511539812464153,0.41999470057289,0,0,0.36006438006438,0.562021792348678,0.53081951437683,0,0.6198155690952,0,0.615136443070305,0,0,0.418609958172643,0.364151553077711,0.416709872406075,0.31573641417819,0,0,0,0.598690382148893,0.550375924451018,0.518879442876984,0,0,0.636427906048307,0.592121780535315,0
FANCI,0,0.55941450994515,0.431000721825783,0.619879085105484,0.36036841634624,0.360436507936508,0.660785100561609,0.588798170081112,0,0,0,0.660813698541239,0,0,0.526370069896017,0.473565365798157,0.649869118223548,0.454031918528207,0,0,0,0.656626752274205,0.408201843213107,0.515321101318123,0,0,0,0,0
TFAM,0,0.459695502489066,0.524160142958154,0,0.462713147345128,0.358388555888556,0,0.644881365730415,0,0.641246794308362,0,0.692461908580594,0,0,0.576448855088076,0,0,0.351445030351763,0,0,0,0,0.643226533166458,0.477407604755374,0,0.675872938059228,0.70200113114645,0.665239947268661,0
NCAPG,0,0.493614681564014,0.441402511498767,0.525544093537583,0,0.249375346875347,0.672765324245188,0.598341189946865,0,0,0,0.654138719052895,0,0,0.510314543562699,0.427814768460576,0.533605634871458,0.448645731599999,0,0,0,0.611702709340932,0.441846398907726,0.580147579074257,0,0,0.586990152372081,0,0
LRRC40,0,0.48628605218814,0.44435904840319,0.464659169379501,0.424852612050736,0,0.516239043824701,0.542700189010733,0,0,0,0.627431847995884,0,0,0.528637957924573,0,0.519139088759342,0.250022863039179,0,0,0,0.538109201669061,0.640786437592445,0.50869118019584,0,0,0.734305343003527,0.534151412399735,0
ZNF644,0,0.512736550223712,0.415160805807801,0.465983878014065,0.484115099251505,0,0.621980511688187,0.558888024522626,0,0.689634504400384,0,0,0,0,0.491735364444679,0.321003527136193,0,0.332431609316386,0,0,0,0.600987209529423,0.674968938445785,0.383128313868677,0,0.625841622102123,0,0.548664336168845,0
NAA15,0,0.416236507985909,0.415660207305332,0.356100001409265,0,0.271617271617272,0.580722123553977,0.489365023855319,0,0.625542385778469,0,0.637073485034603,0,0,0.557892415719369,0,0,0,0,0,0,0.527710240586903,0.525227215837979,0.444958333697295,0,0.511602649582267,0.712048373145253,0.611501203507552,0
CHEK1,0,0.599001705814441,0.428173469037423,0.582108447601197,0,0.397180874680875,0.752760716171459,0.606367901243379,0,0,0,0.653934761346306,0,0,0.529769892112523,0.403114119922631,0.498602663159625,0.485670050971636,0,0,0,0.608213096947148,0,0.509190498860073,0,0,0,0.629115044828197,0
ARHGAP11B,0,0.600738383629376,0.455686081804856,0.534252173790499,0.388529366294611,0,0.59592876686027,0.605884862688051,0,0,0,0,0,0,0.491808076854842,0.322195244055069,0.664967943448956,0.338006308473301,0,0,0,0.674668533757506,0.571219706451246,0,0,0,0.78877251641272,0.647236952307876,0
PDCD10,0,0.643943469516903,0.349724339219784,0.516320457353307,0.440001360213503,0.401682206682207,0,0.472984192802842,0,0.573558856934829,0,0.504894984958119,0,0,0.375878868341445,0,0.549665524349068,0,0,0,0,0.529765995425212,0.405352144726363,0.412491046549209,0,0,0.759531572293566,0.718383167946692,0
ZWINT,0,0.524335643815274,0.356246257384918,0,0.434324987751781,0.283265345765346,0.645358037728604,0.655469059454521,0,0,0,0.587293898419791,0,0,0.504000358323322,0.402146091705541,0.616636528028933,0.36573831224182,0,0,0,0.577981901391548,0,0.472759890287471,0,0,0.688186173398097,0.535835667110467,0
CDC40,0,0,0.332648999522504,0.350825828999845,0.527668379947934,0.44293623043623,0.51810070561129,0.490595258911398,0,0.658001169446283,0,0.664380640705323,0,0,0.377380495726535,0.295656843782,0,0.274050623082524,0,0,0,0,0.333835021049039,0.395413212672845,0,0.730826319547253,0.724191562978242,0.523004374602383,0
TMX1,0,0.421308749449797,0.425334189329827,0.372608360696553,0.356989293356491,0,0,0.572171708340619,0,0.550685252301594,0,0.645753276070662,0,0,0.445845057320247,0,0.430013024949734,0,0,0,0,0.572400198587874,0.419569461827284,0.445160659847486,0,0.559574349754214,0.751962871781223,0.649257891664645,0
MSL2,0,0.543490117095047,0.476098614840123,0.517595841730201,0.49229779103846,0,0.576276868429895,0.475015850018972,0,0.59881405513187,0,0,0,0,0,0.431655250881784,0,0.38493895137161,0,0,0,0.542744083328646,0.450727500284447,0,0,0.660530236887122,0.852318850222903,0.598244912147228,0
C11orf82,0,0,0.464026599922531,0.395887061542581,0,0.352960372960373,0.629484759756156,0.568075385426071,0,0,0,0.595442935878478,0,0,0.489112368815764,0.344970303788827,0.600121397589752,0.357811739696103,0,0,0,0.493208217848522,0.451240186596883,0.498786807417825,0,0,0.779992015436822,0.560719087564193,0
NRAS,0,0.558137001649497,0.377212168546215,0.423790498738708,0.454322645161859,0,0.609731483703739,0.480351626574742,0,0.628247821210198,0,0.504853266336317,0,0,0.546324199916851,0,0.553130413889907,0.35772115029558,0,0,0,0,0.447481397201047,0,0,0,0.854448067070331,0.614707059047294,0
CDC73,0,0.45068847619344,0.456303379985563,0,0.39368986880237,0.30494116994117,0,0.497169299613533,0,0.665085379137062,0,0.553784574307819,0,0,0.483880618613059,0.306249175105245,0.450852944523831,0.308257180719815,0,0,0,0.483687599333242,0.495505518261463,0.430324791886863,0,0.590413339327041,0,0.517188186605978,0
ANKRD32,0,0.495258991835507,0.473151535180424,0,0.361525857280858,0.271469086469086,0.560909710555369,0.576998381097499,0,0,0,0.588480561439942,0,0,0,0.345953805893731,0.446528155388915,0.277990830627155,0,0,0,0.607422798265256,0.515520992149278,0.454436980809043,0,0,0.718436023687538,0.520365184198962,0
NUPL1,0,0.471653987915542,0.320265527416215,0.539815245423414,0,0.526677211677212,0.495003504056065,0.411983030666367,0,0,0,0.696107652585859,0,0,0,0.317792240300376,0,0,0,0,0,0.572400198587874,0.538446239617704,0.510912837064666,0,0.522559275186142,0.695571894337614,0.565882036584006,0
GFM1,0,0.533304878392177,0.363236277569501,0.464878779764841,0.419282033972592,0.378060550560551,0,0.481174757015938,0,0.497530926534753,0,0.519654106271236,0,0,0.550356945155859,0.345155080213904,0.467064580988632,0,0,0,0,0.536428681483428,0,0.392865846734393,0,0.53289611923378,0,0.638945110873543,0
ALMS1,0,0.538662410281719,0,0.376657647373836,0.473203164259634,0,0.482583209331349,0.502064963072132,0,0.490977310497962,0,0,0,0,0.352059440326534,0.378425987029241,0.396021699819168,0.264595246558466,0,0,0,0.499262981843744,0.370399817954261,0,0,0.624755369982242,0.823125291103866,0.519381390559516,0
NUDCD1,0,0.511840664185751,0.423352949217545,0.330721496451002,0.370672033632538,0,0.463551864829837,0.485073921157902,0,0.522354958946784,0,0.483083098859228,0,0,0.497231837486592,0.286321993400842,0,0,0,0,0,0,0.516953919672318,0.521711899791232,0,0.475140231216917,0.666270210925544,0.534075332358285,0
CCDC138,0,0.514687640329544,0.477961355044134,0.402170032460059,0.422124628302768,0.30538961038961,0.557040464647434,0.651112831913671,0,0,0,0,0,0,0.474552153270504,0.403296393218796,0.546099470150103,0,0,0,0,0.466422612744213,0.566707247695984,0.482135135961426,0,0,0.80891110519662,0,0
LRRCC1,0,0.537117395898635,0.367239746208835,0.406123019396177,0.414827334749802,0,0,0.547854270227063,0,0,0,0.604593220260417,0,0,0.385949706105967,0,0,0.325236654024413,0,0,0,0.584794821063032,0.500244851518944,0.483656567465344,0,0.662097876315873,0.681956550668707,0.560173410025513,0
FAM72B,0,0.45723978178617,0.335054678250422,0.408492932538508,0,0,0.624979599673595,0.626049283150924,0,0,0,0.630062438870631,0,0,0.443831211339555,0.423986346569576,0.496781699313345,0.419377159047379,0,0,0,0.516755065755156,0,0.500891414295822,0,0,0.659042517798922,0.5171488348604,0
SP4,0,0.456191246845132,0.379333203164575,0,0.42544077844515,0,0.571397686362982,0.506974900469018,0,0.623069364289167,0,0,0,0,0.468895008969568,0,0.50851679965604,0,0,0,0,0.51881291687644,0.490204346342018,0,0,0.675012462848557,0.711457848160224,0.665562631582399,0
