,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
VDAC1,0,0,-0.250224079925599,0,0,0,0,-0.258874821129711,0,0,0,0,0,0,0,0,0,0,0,0,0.290620519475246,0,0,0,0,0,0,0,0
STK3,0,0,-0.251692116226853,0,0,0,0,0.21524147340349,0,0,0,0,0,0,0,0,0,0,0,0,0.28090825241859,0,0,0,0,0,0,0,0
VILL,0,0,0.186862327437094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210335762523982,-0.293258149452785,0,0,0,0,0,0,0,0
FGFR2,0,0,0,0,0,0,0,0.342316101121337,0,0,0,0,0,0,0,0,0,0,0,0,-0.329549840234403,0,0,0,0,0,0,0,0
SORL1,0,0,0.272639713062305,0,0,0,0,0.370742649219156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSTP1,0,0,0.242880559315888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.383427930235319,0,0,0,0,0,0,0,0
UGDH,0,0,0,0,0,0,0,0.318512227412385,0,0,0,0,0,0,0,0,0,0,0,0,0.3033754425369,0,0,0,0,0,0,0,0
STIL,0,0,-0.282233810458288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32792748788066,0,0,0,0,0,0,0,0
LEPREL1,0,0,0.256224122272518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.353829799190464,0,0,0,0,0,0,0,0
CMTM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261312329372015,0.348462019111098,0,0,0,0,0,0,0,0
PPFIBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231409206907982,-0.375374916057412,0,0,0,0,0,0,0,0
ZNF385B,0,0,0.300919615176291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301183746850966,0,0,0,0,0,0,0,0
NOSTRIN,0,0,0.323690875837288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.272767507853415,0,0,0,0,0,0,0,0
ZNF217,0,0,-0.27315602061522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321161642214778,0,0,0,0,0,0,0,0
STX3,0,0,0,0,0,0,0,0.295070554887456,0,0,0,0,0,0,0,0,0,0,0,0,0.297894517139135,0,0,0,0,0,0,0,0
SLMO2,0,0,-0.274336377881513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317534345044044,0,0,0,0,0,0,0,0
PLCD1,0,0,0.247973113401701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343826335672893,0,0,0,0,0,0,0,0
TP63,0,0,0,0,0,0,0,0.292409952265571,0,0,0,0,0,0,0,0,0,0,0,0,-0.297351028611883,0,0,0,0,0,0,0,0
TMC5,0,0,0.268662756596233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315855639968006,0,0,0,0,0,0,0,0
VAV2,0,0,0,0,0,0,0,0.281795792280892,0,0,0,0,0,0,0,0,0,0,0,0,0.300359912083397,0,0,0,0,0,0,0,0
CCND2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31795745645433,-0.264004439599616,0,0,0,0,0,0,0,0
PPA1,0,0,0,0,0,0,0,-0.301029924122123,0,0,0,0,0,0,0,0,0,0,0,0,0.279300709149718,0,0,0,0,0,0,0,0
EPCAM,0,0,-0.202826159651529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372036224979611,0,0,0,0,0,0,0,0
RHOBTB2,0,0,0.225402975630057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343243845001329,0,0,0,0,0,0,0,0
SHROOM1,0,0,0.25714509334878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311226017013379,0,0,0,0,0,0,0,0
CHN2,0,0,0.205037046400683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359486038738161,0,0,0,0,0,0,0,0
PRSS12,0,0,0.30578240697226,0,0,0,0,0.258672309630269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC48,0,0,0.249078746378366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312100686258681,0,0,0,0,0,0,0,0,0
SPEF2,0,0,0.225225023536884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333659833768788,0,0,0,0,0,0,0,0,0
INTS8,0,0,-0.240779294174029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31646515844133,0,0,0,0,0,0,0,0
TRIB3,0,0,-0.242002332977053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314764068675951,0,0,0,0,0,0,0,0
