,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KNTC1,0,0,0,0,0.330742210573645,0,0,0,0,0,0,0.549104840672131,0,0,0,0,0,0,0,0,0,0.316941969811079,0,0,0.727889400921659,0,0.722112249650676,0,0
CDCA7,0,0,0,0,0.302313748357983,0,0,0,0,0,0,0.491153862653522,0,0,0,0,0,0,0,0,0,0,0,0,0.712282642089094,0,0.799130015303746,0,0
SFI1,0,0,0,0,0.320107356110192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345502782204726,0,0,0.658470046082949,0,0.665371947568035,0,0
WDR76,0,0,0,0,0.365806751444912,0,0,0,0,0,0,0.44179697052261,0,0,0,0,0,0,0,0,0,0.351054439255566,0,0,0,0,0.8132693459312,0,0
CENPJ,0,0,0,0,0,0,0,0,0,0,0,0.38684511524906,0,0,0,0,0,0,0,0,0,0,0,0,0.70042396313364,0,0.797549737174796,0,0
EIF4ENIF1,0,0,0,0,0.314410832337313,0,0,0,0,0,0,0.356763496927484,0,0,0,0,0,0,0,0,0,0.384961123551976,0,0,0.761413210445468,0,0,0,0
CDC45,0,0,0,0,0.342050874503931,0,0,0,0,0,0,0.412412984307883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813360835717613,0,0
ODF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698150537634408,0,0.783135937188103,0,0
CENPK,0,0,0,0,0.243548746651419,0,0,0,0,0,0,0.482220231570965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750956484130681,0,0
PALB2,0,0,0,0,0.307104722585715,0,0,0,0,0,0,0.471412728201406,0,0,0,0,0,0,0,0,0,0,0,0,0.669345622119816,0,0,0,0
KHDRBS1,0,0,0,0,0.313368001984904,0,0,0,0,0,0,0.325300520680055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801201011378003,0,0
CASP6,0,0,0,0,0.298248221331926,0,0,0,0,0,0,0.428613809646339,0,0,0,0,0,0,0,0,0,0,0,0,-0.710832565284178,0,0,0,0
LETM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644202764976958,0,0.791370017965267,0,0
DUT,0,0,0,0,0.278502455311319,0,0,0,0,0,0,0.387356171327333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741932264289041,0,0
CHEK1,0,0,0,0,0,0,0,0,0,0,0,0.563568538887385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819465699647349,0,0
ACTL6A,0,0,0,0,0.263210129056553,0,0,0,0,0,0,0.385492728756215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702350455785482,0,0
DSCC1,0,0,0,0,0,0,0,0,0,0,0,0.473103501031792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877869452392042,0,0
SBF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62305376344086,0,0.722453257036397,0,0
CDCA4,0,0,0,0,0.267322255989662,0,0,0,0,0,0,0.356856205513112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713620334020893,0,0
YWHAH,0,0,0,0,0.302218029629984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328689541659881,0,0,0,0,0.705560915563245,0,0
MCM10,0,0,0,0,0,0,0,0,0,0,0,0.460280744782149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838778361833788,0,0
KIF15,0,0,0,0,0,0,0,0,0,0,0,0.439806053646253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847419988023155,0,0
SLC25A17,0,0,0,0,0.479518081393665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804153609831029,0,0,0,0
ARHGAP30,0,0,0,0,-0.22422237979428,0,0,0,0,0,0,-0.396160010390012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642416328431699,0,0
TTK,0,0,0,0,0,0,0,0,0,0,0,0.397027994522952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857334153968993,0,0
WHSC1,0,0,0,0,0,0,0,0,0,0,0,0.414173288577491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831326102867789,0,0
LPAR2,0,0,0,0,0.231101533640725,0,0,0,0,0,0,-0.365044691338686,0,0,0,0,0,0,0,0,0,0,0,0,0.648509984639017,0,0,0,0
GINS1,0,0,0,0,0,0,0,0,0,0,0,0.429995167572193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809942444607093,0,0
CDC25A,0,0,0,0,0,0,0,0,0,0,0,0.380518913137284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839976046310467,0,0
SMC2,0,0,0,0,0,0,0,0,0,0,0,0.473449999370576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742672499833655,0,0
CBY1,0,0,0,0,0.523976911635241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690445468509985,0,0,0,0
STIL,0,0,0,0,0,0,0,0,0,0,0,0.426402709879116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78583072726063,0,0
CKAP2L,0,0,0,0,0,0,0,0,0,0,0,0.428837469109166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778486592587664,0,0
BRCA1,0,0,0,0,0,0,0,0,0,0,0,0.456589784216843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740426841439883,0,0
CENPF,0,0,0,0,0,0,0,0,0,0,0,0.374897296276279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82043050103134,0,0
TEX10,0,0,0,0,0,0,0,0,0,0,0,0.423263365398295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763465633109322,0,0
SNRPD1,0,0,0,0,0.229104034922222,0,0,0,0,0,0,0.362642380113606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593743762060017,0,0
DNMT3A,0,0,0,0,0,0,0,0,0,0,0,0.447945867464373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72660356643822,0,0
FNBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325356800526591,0,0,0,0,0.846280524319649,0,0
FANCA,0,0,0,0,0,0,0,0,0,0,0,0.381026492643596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787527446935924,0,0
TFDP2,0,0,0,0,0,0,0,0,0,0,0,0.359434663050885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783826269212855,0,0
H2AFV,0,0,0,0,0.266344917398516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854805708962672,0,0
HS1BP3,0,0,0,0,0,0,0,0,0,0,0,-0.444312849765084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.676275866657795,0,0
CENPI,0,0,0,0,0,0,0,0,0,0,0,0.42137790453809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688710160356644,0,0
KIAA1524,0,0,0,0,0,0,0,0,0,0,0,0.391956834889112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717246656464169,0,0
GMIP,0,0,0,0,0,0,0,0,0,0,0,-0.46652350916686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638873178521525,0,0
ATXN10,0,0,0,0,0.350617700659829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746298003072197,0,0,0,0
LRRC14B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332820944088936,0,0,0,0,0.761921627576104,0,0
HSPB11,0,0,0,0,0,0,0,0,0,0,0,0.465084208374989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62469226162752,0,0
LANCL1,0,0,0,0,0,0,0,0,0,0,0,0.382814609488892,0,0,0,0,0,0,0,0,0,0,0,0,0.689480798771121,0,0,0,0
PHF5A,0,0,0,0,0.31164254596703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743903453323575,0,0
NRF1,0,0,0,0,0.267672385021027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770418856876705,0,0
