,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NUP153,0,0.55111441109387,0.469296201957881,0.713379087454258,0.72822682315839,0.671617271617272,0.638737771804349,0.743328123345859,0,0,0,0.569537989440553,0.459395104798254,0,0.63039787670462,0.730751848902037,0,0.8078805876405,0,0,0,0.692149664821821,0.721700762316532,0.699677675771526,0,0,0,0.758800034104846,0.837740271917487
NFYA,0,0.524789144439949,0.452642752264631,0.491700606453492,0.648171961213764,0.558547286047286,0.673585561368982,0.609850444811602,0,0,0,0,0,0,0.585250860779904,0.447592445101832,0,0.578000493496544,0,0,0,0.664996511435748,0.563724883376948,0.473946659270971,0,0.581413938022581,0,0.750302680509736,0.746155649320206
QTRTD1,0,0.502226747348281,0.432048875209234,0.47169022487164,0.375355954019746,0.523945221445221,0.555897662362598,0.59557829076726,0,0,0,0.544265775433294,0.626490625232346,0,0.528850884668126,0.454432131072932,0,0.366255103202896,0,0,0,0.547877880336481,0.4098509500512,0.471311615027821,0,0.475905773314459,0,0.688203002538188,0.779957805907173
SRPK1,0,0.500512040737991,0,0,0.644126585498865,0.495534188034188,0.717846877550041,0.591082594954401,0,0,0,0.544777987400976,0.602001058406239,0,0.631084663072714,0,0.633682772923279,0.611946498762808,0,0,0,0.609744082280504,0.644515416998521,0.521435107135682,0,0,0,0.645288612260692,0.825808720112518
ATAD5,0,0.553124041313018,0.391075878486411,0.575873626554301,0.409366329426078,0.410980408480409,0.712779532472519,0.577569338628964,0,0,0,0.540826306835828,0.55570876042552,0,0.5691500846424,0,0.62642420870269,0.500832128350514,0,0,0,0.518624251408615,0.393009671179884,0.60839473362392,0,0,0,0.653541985033219,0
PRPF40A,0,0.457267199307596,0.44840342120567,0.40738548551511,0.483388392592882,0.508330558330558,0.605181010896174,0.645085958845857,0,0,0,0.540443886135975,0.60856157343896,0,0.534655492797931,0.353086357947434,0,0.393826202940963,0,0,0,0.447686035506142,0.334678575492092,0.505773774687503,0,0,0,0.657506017537761,0.659493670886076
XRCC2,0,0.514194124943868,0.428015181300015,0.51015375075748,0.499729846484793,0.472472804972805,0.615815677050833,0.569092998276422,0,0,0,0.616960473923544,0.566587602068412,0,0.573853652486098,0,0.623819218755927,0.485816288146765,0,0,0,0.481979827468923,0.401203322334737,0.571204501183603,0,0,0,0.618962294469112,0
TOPBP1,0,0.431890430692211,0.373455767792416,0.52562160308535,0,0.461918914418914,0.713466135458167,0.568623742555249,0,0,0,0.519065410163583,0.657183094074237,0,0.595142651730403,0,0,0.411902670748079,0,0,0,0.568886129559372,0.467924451018318,0.57563165503446,0,0,0,0.746677073017164,0.759915611814346
BEND3,0,0.622074661615915,0.43180296578352,0.511483156940393,0.575044112479581,0,0.672044928718859,0.633947231629144,0,0,0,0,0.601177513386798,0,0.468134950075914,0,0,0.513257974455514,0,0,0,0.603636212449894,0.549661622482649,0.453000497899215,0,0.460247150211072,0,0.586121951059546,0.656446319737459
MSH2,0,0.411095352211408,0.391792901927108,0.61192731013684,0.323303857842575,0.338984626484626,0.58624029184467,0.602456544779129,0,0,0,0.543225127589452,0.467846609819852,0,0.562002797678249,0.349970645124588,0,0.367632493468936,0,0,0,0.526764816964799,0.369186710661054,0.524767210279435,0,0,0,0.629965042532678,0.674378809188936
