,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SH2D3C,0,0,0.665524172527947,0.720406619785134,0,0,0.513022608361734,0.682287113131666,0,0.708967458723408,0,0,0,0,0.65416436015169,0,0.697897039669191,0.350444664543136,0.770142459330559,0,0.693036864795458,0,0.444733416770964,0.742312370611717,0.683846390168971,0.724055774631184,0,0,0
CDH5,0,0,0.824500645894008,0.842999713449551,0,0,0.401190035040561,0.79563110433892,0,0.650386573892257,0,0,0,0,0.662564056036255,0,0.713198194210852,0.39050114056369,0.831408654233777,0,0.765046262808096,0,0.558321765843668,0.725387728094618,0,0.63347015610466,0,0,0
CD93,0,0,0.763306290668522,0.798068837873514,0,0,0.429724763596217,0.788751066084766,0,0.5729590689645,0,0,0,0,0.703244663623981,0,0.657861126215556,0.361957714593348,0.854120281073438,0,0.77575959057884,0,0.585947206735692,0.688593740446013,0,0.682762816937099,0,0,0
PDGFRB,0,0,0.663354777477772,0.754017578225924,0,0,0.480807564921039,0.908727680615873,0,0.832652714765236,0,0,0,0,0.729005698718994,0,0,0.430086551701528,0,0,0.746155127422131,0,0.645239276368188,0.678134908849504,0.68457757296467,0.832892307176667,0,0,0
RHOJ,0,0,0.832546654863014,0.781989129873119,0,0,0,0.833247392329899,0,0.732394513992005,0,0,0,0,0.773395871472181,0,0,0.329422747084747,0.834602670569775,0,0.827885404146605,0,0,0.81934491312969,0.768356374807988,0.787812706083583,0,0,0
ARHGEF15,0,0,0.75547421763416,0.840832969273336,0,0,0.489494551912831,0.715101410384052,0,0.671036921505386,0,0,0,0,0.689455532305374,0,0.76871230035787,0.264835524158899,0,0,0.711235739348645,0,0.55801274320173,0.754772844402128,0,0.67736894027943,0,0,0
MYCT1,0,0,0.812799906817705,0.878912470581604,0,0,0.390223587577401,0,0,0.700545180563919,0,0,0,0,0.737197061748756,0,0.702752943259272,0.341156662720995,0,0,0.805745276165348,0,0.635989077255661,0.838250124474804,0,0.691344733532604,0,0,0
ENG,0,0,0.628875938010183,0.565634145539443,0,0,0.404828109249748,0.764575772606647,0,0.671777591597275,0,0,0,0,0.567750326740337,0,0,0,0.697492542126905,0,0.596442627783804,0,0.499393787689157,0.667508909775421,0.774218125960061,0.587097862504072,0,0,0
AOC3,0,0,0.830895196667511,0.798037129422155,0,0,0,0.831454526206356,0,0.589479575624816,0,0,0,0,0.582850324213699,0,0,0.405905221055392,0.68271944132623,0,0.697859328532407,0,0.571716918875868,0.766694473318717,0,0.640219983319027,0,0,0
SPARCL1,0,0,0.749869315200699,0.79354509881293,0,0,0,0.763488871680863,0,0.54699748614763,0,0,0,0,0.680523519561927,0,0,0.268909027535727,0,0,0.768725450253014,0,0.502838548185232,0.822283064438641,0.765161290322581,0.65282711915846,0,0,0
MMRN2,0,0,0.757737300489523,0.821063337044397,0,0,0.475231795708731,0.541693281614097,0,0.596247943391153,0,0,0,0,0.731200888458084,0,0,0,0,0,0.772043649381716,0,0.563774945955171,0.78873142704903,0.599047619047619,0.650377181873245,0,0,0
ZEB1,0,0,0.733063201565901,0.782384898321566,0,0,0,0.857564830443455,0,0.739092440697562,0,0,0,0,0.703783871315988,0,0,0.401101394559114,0,0,0.81663699648337,0,0.530495847081579,0.828183825263581,0,0.774697295962406,0,0,0
LHFP,0,0,0,0.879393969287429,0,0,0,0.795733698270355,0,0.824451006476006,0,0,0,0,0.715140308847141,0,0,0.456989446766217,0,0,0.740691525757733,0,0.412060985322562,0.833821441986007,0.592854070660522,0.859860033048878,0,0,0
ECM2,0,0,0.729865620767014,0.741155690844948,0,0,0,0,0,0.543798755499701,0,0,0,0,0.642715470609448,0,0,0.393302509930324,0.7049938290364,0,0.777717216630526,0.417825183276274,0.569593582887701,0.802811274359938,0,0.775762554144563,0,0,0
