,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TFPT,0,0.440473596926866,0.432297586001424,0.612549735293151,0.549576633547147,0.394446941946942,0.509414486631786,0,0.576236263736264,0,0,0,0,0.631879844832378,0.327822772365922,0.4843024234839,0.532745735277381,0.255112261836152,0.621580386879105,0.323908687997086,0,0.538891115219049,0.470115371487086,0,0.607188940092166,0.537042698170342,0.812470889613414,0.657786726656217,0.512705110173465
NOSIP,0.23425320056899,0.53089435954893,0.513885320481591,0.624095134749174,0.526140658670794,0.404910922410922,0.467073201171219,0,0,0,0,0,0,0.582085241122877,0.374377355803575,0.404324951644101,0.475081880145171,0.217715231788079,0.622119958570817,0.375190739279137,0.684203745598347,0.617081771456941,0.474174536352259,0,0,0.615154418699043,0.827059351919622,0.634561326416171,0.482794186591655
PRPF31,0,0.468905566646066,0.44166103760508,0.55932181494478,0.611048208233574,0.533635253635254,0.594174626794029,0,0.591391941391941,0,0,0,0,0.57916434495938,0.422922700930952,0.408973034474912,0.473463245615144,0.369560322187674,0.616454455807838,0,0.6113524325119,0.618074012065506,0.480806007509387,0,0,0.461467653037979,0.793798655931865,0.730364462750294,0
GEMIN7,0.338520625889047,0.372745649876769,0.333885371032565,0.450772042071243,0.512620388340955,0.350829170829171,0,0,0.718681318681319,0,0,0,0,0.664440044098032,0.329933549399234,0.440184093753556,0.464080223573894,0.312558451732242,0.62836534585305,0,0.467399421793098,0.587949028180681,0.525619524405507,0,0,0,0.751289174263091,0.665895809694958,0.560454758556024
YIF1B,0.322788051209104,0.619857547450837,0.409496632357299,0.536443580095548,0.517809350964051,0.420773670773671,0.471999231987712,0,0,0,0,0,0,0.463104336528091,0.356633575354706,0.354602798953237,0.448475575057853,0.397936804834195,0.596391071638996,0,0,0.487022086786814,0.470247127090682,0,0,0.511608542617417,0.796942577683146,0.625413357294174,0.652086263478668
MBD3,0,0.334760526475692,0.497415855270876,0.513036871056995,0.245504683290659,0.411298978798979,0.5317966687467,0,0.685210622710623,0,0,0,0,0.479474866382698,0.267622157244218,0.281361019456138,0.430442974746772,0.262698045684666,0.627838178108274,0,0.487030421940895,0.347782778965477,0.35712504266697,0,0,0.445892453213445,0.794829995342338,0.473310990286678,0.693764650726676
CCDC124,0,0.313998793629057,0.451961072379938,0.444350493477454,0.347057215869661,0.357713397713398,0.567803388854222,0,0.598946886446886,0,0,0,0,0.455589319126923,0.292415719368524,0.201725338491296,0.42935545467191,0,0.5329913978628,0.339018072167244,0.623556046735133,0.400224791411109,0.374293548754125,0,0,0.519825643505627,0.774111717346464,0.520483239435696,0.617463666197843
EPN1,0,0.505982206769608,0.442552777849743,0.566162619728764,0.54523528544962,0.564716672216672,0.640796044736716,0,0.648031135531135,0,0,0,0,0,0.426963026086397,0.370979178518603,0.633101076139051,0.353426349954619,0.587466431818605,0.545651953939247,0,0.501520678608725,0.477643190351576,0,0,0,0,0.622065835470352,0.541467416783873
FAM195B,0,0.435306505659124,0.350418509407642,0.374018799588495,0.346826735248296,0.319094794094794,0.375210483367734,0,0,0,0,0,0,0.483214156053306,0.245099813717811,0.364829218341108,0.331149862795432,0,0.560035103169829,0,0.611428970245883,0.383059727643928,0.370615997269314,0,0.492565284178187,0.553347621488142,0.767241666112183,0.526971030556631,0.489052977027661
SSNA1,0.278634423897582,0,0.394607769726833,0.381855484622576,0.302974963255344,0.234555167055167,0.265812509000144,0,0.576785714285714,0,0,0,0,0.441679023247216,0.248505607989691,0,0.380138848493279,0,0.505389514943655,0.312225527695141,0.491427773793949,0.458294624885884,0.348017066788031,0,0.557941628264209,0.486788828057624,0.738098010513008,0.432597674311836,0.518495077355837
