,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
FOS,0,0.554359311805392,0,0,0,0.759650904650905,0,0,0,0.787314022093143,0.787985181804083,0,0.881928952658918,0,0.725292228748096,0.743072249402662,0.938061938061938,0.894585859771059,0.797378425815094,0.874949911966487,0.945999451821696,0,0,0.75812864143395,0,0,0,0,0
FOSB,0,0.613498905522185,0,0,0,0.698448495948496,0,0,0,0.759146013306088,0.708511384111797,0,0.767069424743089,0,0.641114040991269,0.586689270679258,0.912239659075102,0.850209132101778,0.713602168209925,0.759591605447959,0.914504418661209,0,0,0.729089106489287,0,0,0,0,0
ZFP36,0,0.671320235168232,0,0,0,0.780032467532467,0,0,0,0.611519731600857,0.580251147741902,0,0.840763072993584,0,0.599135544984507,0.597829787234043,0.897747821798455,0.762954284274715,0.712609852455051,0.657244045089349,0.870683877849295,0,0,0.735768380779343,0,0,0,0,0
CSRNP1,0,0.540549032161494,0.719275086394774,0,0,0.714486901986902,0,0,0,0.662393553998787,0.718330708542276,0,0.45424725594333,0,0.601622446659209,0.488190692911594,0.837630723706673,0.503096863363576,0.768898963650234,0.660909072511283,0.776581955784454,0,0,0.709506162594666,0,0,0,0,0
EGR3,0,0.724431679241676,0,0,0,0.634448051948052,0,0,0,0.757572621824594,0.765663755701484,0,0.749214723801165,0,0.629667448393402,0.672781203777449,0.829841045030918,0.75288160569281,0.803785064407495,0.830769230769231,0.865665524433034,0,0,0,0,0,0,0,0
NR4A1,0,0.651891586674195,0,0,0,0.645334942834943,0,0,0,0.654018963814074,0.701946464349705,0,0.593185963142388,0,0.417939365262391,0.573379451587211,0.883711225483377,0.749449992925399,0.76010456527267,0.645724809260721,0.74262324823406,0,0,0.677388169215853,0,0,0,0,0
JUNB,0,0,0,0,0,0.780728715728716,0,0,0,0.651579396633873,0.642512284400419,0,0.81554180631749,0,0.595471229623232,0.56190874957333,0.876452661262788,0.723022907902502,0.48241740521834,0.891809847610953,0.860933185588463,0,0,0.678595138057844,0,0,0,0,0
IER2,0,0,0,0,0,0.793394660894661,0,0,0,0.789434526592436,0.693077234424313,0,0.705729972286085,0,0.637005152046233,0.576815564910684,0.829385804069348,0.607096083431975,0.48363299201806,0.775000505939733,0.853101312890948,0,0,0.501768852473336,0,0,0,0,0
JUN,0,0.649304706476908,0,0,0,0.536657509157509,0,0,0,0.503779921347049,0.496210339701341,0,0.697155569680597,0,0.549705531731138,0.516058254636477,0.779587501106488,0.64764562461823,0.632117539801165,0.592068888753972,0.792494571001602,0,0,0.514424336789511,0,0,0,0,0
SOCS3,0,0.616113944254992,0,0,0,0.528287545787546,0,0,0,0,0.590087494436242,0,0.584205255001553,0,0.416551436623859,0.435548299010126,0.770659720026808,0.660042568390684,0.711071763034998,0.4724343796167,0.797537068505084,0,0,0.605084686541872,0,0,0,0,0
EGR2,0,0.71394040171856,0,0,0,0,0,0,0,0.729226016896712,0.817423611014792,0,0.894670064451983,0,0,0,0.736263736263736,0,0.623357252277675,0.866442029425455,0.834382118595756,0,0,0.540836798245997,0,0,0,0,0
BTG2,0,0,0,0,0,0.588247585747586,0,0,0,0.55178986787418,0,0,0.50878870800088,0,0.466835224101378,0.443217885993856,0.520378355821394,0.464407424534716,0.567341027915083,0.886305223321798,0.801289861203756,0,0,0.498214332509325,0,0,0,0,0
MCL1,0,0.433924514376414,0.440365774210283,0,0,0.564751914751915,0,0,0,0.439149520813775,0.418039060421471,0,0.448813520775232,0,0.348606443847749,0,0.470554761694002,0.387437493313639,0.544303797468355,0.728012871106794,0.648046068873404,0,0,0.392976563796613,0,0,0,0,0
ATF3,0,0.594373331792024,0,0,0,0.589352869352869,0,0,0,0.749313563291189,0.598562060021763,0,0,0,0.52039548788247,0,0.738059408945485,0.647637859812471,0,0.576751057414041,0.86489232714593,0,0,0,0,0,0,0,0
KLF6,0,0.505606512624657,0.686666527651488,0,0,0.568484015984016,0,0,0,0.433168887741884,0,0,0,0,0.47707718422183,0,0.646606557998963,0.572304577094168,0.463873504549148,0,0.702177112421908,0,0,0.411651387566496,0,0,0,0,0
GADD45B,0,0.495478332006918,0,0,0,0.369277666777667,0,0,0,0,0,0,0.508241573205703,0,0.343236073052019,0.340246216861987,0.622150001896837,0.519255855526298,0.558469104869169,0.538506061157995,0.659135927105579,0,0,0.393786632716346,0,0,0,0,0
NR4A3,0,0,0,0,0,0,0,0,0,0.514154393506623,0.551100836108383,0,0.608466958335824,0,0.401323499348816,0.383335305495506,0.59056133739678,0,0.566020007566408,0.566231558496752,0.628825127210992,0,0,0.525395262095894,0,0,0,0,0
OSM,0,0.475210202580331,0.357621412381576,0,0,0.339187479187479,0,0,0,0,0,0,0.760648017261353,0,0.359145973111969,0,0.647795242731952,0.41014566775604,0.497367262262852,0.623255013862749,0.604597136955945,0,0,0,0,0,0,0,0
IER3,0,0.464706980797361,0,0,0,0.587797202797203,0,0,0,0.468034095966906,0.513451371174877,0,0.672125282642575,0,0,0,0.633809228745937,0.424749973254558,0,0.516955052314168,0.706102237208717,0,0,0,0,0,0,0,0
