,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZBTB12,0,0,0.757092586004584,0.788752425109336,0.66687111851112,0.61535298035298,0,0,0,0,0.574469252117381,0.718554588816628,0,0,0.762885743095959,0,0,0.72848501737591,0,0,0.596044299219335,0,0.772403231311867,0.70475733964588,0,0,0,0,0
WDR46,0,0,0.67350661364712,0.706170699511925,0.599039286240559,0.629247419247419,0,0,0,0,0,0.725030246000807,0,0,0.590830598055407,0,0,0.655642511793877,0,0,0,0,0.543670269655251,0.676558118814476,0,0.489608461219869,0.662793599041853,0,0
GTF2H4,0,0,0.673656012838262,0.751810904888739,0.701583011437128,0.488885281385281,0,0,0,0,0,0.623146418456318,0,0,0.60957963620995,0,0,0.592971901756226,0,0,0.586325668742341,0,0,0.616123090294459,0,0.523170493425675,0.74377037727061,0,0
SKIV2L,0,0,0.638548045436058,0.634596504084518,0.625130196361933,0.615034687534688,0,0,0,0,0.470022532433717,0.573892950016456,0,0,0.645525782052136,0,0,0.713672787634288,0,0,0,0,0.602901353965184,0.638899358845573,0,0.470964002947254,0,0,0
DAXX,0,0,0.563661685078806,0.701857175739981,0.624586110960676,0.588471528471529,0,0,0,0,0.566737361599538,0.509495621862412,0,0,0.626030007281314,0,0,0.683935738467538,0,0,0,0,0.654965297531005,0.579756029384789,0,0,0,0,0
RBM10,0,0,0.641006255051148,0.435364083484829,0,0.443469585969586,0,0,0,0,0.504304741393985,0.817112515123,0,0,0.528481536012642,0,0,0,0,0,0.525329493478555,0,0.275904881101377,0.533442558153755,0,0.609809527896063,0.694099740501697,0,0
NFKBIL1,0,0.60249040016243,0.646131449804041,0.628292394199467,0,0.461897546897547,0,0,0,0,0.457804960161598,0,0,0,0.567779268239461,0,0,0.572297675044604,0,0,0.466547145289146,0,0.614002048014564,0.502275486761996,0,0.470874502475904,0,0,0
DHX16,0,0,0.616672237805262,0.656633877779187,0.684422910529438,0.60999666999667,0,0,0,0,0.461615425449419,0,0,0,0.727253130160947,0,0,0.710553923987728,0,0,0,0,0.707605643417909,0.63437819376141,0,0,0,0,0
VARS,0,0,0.648673173840798,0.673927902027932,0.574861491222215,0.593353590853591,0,0,0,0,0,0.556201936671132,0,0,0.664643020389975,0,0,0.697295518154116,0,0,0,0,0.706716805097281,0.577449314733449,0,0,0,0,0
ILF3,0,0,0.519537445949951,0.564199044518666,0,0.563256465756466,0,0,0,0,0.423164022751832,0.684801906077476,0,0,0.526762847384125,0,0,0.381504318957514,0,0,0.499069328524587,0,0.4545372624872,0.486207209056525,0,0.540324566277217,0,0,0
TRIM28,0,0,0.493238133211506,0.423390032741912,0,0.432370407370407,0,0,0,0,0,0.839524685835601,0,0,0.422909493500796,0,0,0,0,0,0.463346245369614,0,0.421039708726818,0.482531708318411,0,0.551747846602085,0.806033335551268,0,0
SETD1A,0,0,0.46498300328813,0.523440766264087,0,0.554499111999112,0,0,0,0,0.476427947278897,0.692543028122987,0,0,0.486224765194861,0,0,0.412107143966401,0,0,0.473422638434572,0,0.333122084423711,0.445180968894402,0,0.45900933659341,0,0,0
RXRB,0,0,0.700733115500761,0.622449818439756,0.607878155097085,0,0,0,0,0,0.560702653833981,0.516223908478615,0,0,0.595187327298495,0,0,0.638660450220693,0,0,0.494882626501332,0,0,0.543675697277277,0,0,0,0,0
MCM7,0,0.383139113539661,0.418715571363969,0.515296391813113,0,0.318906093906094,0,0,0,0,0.476670672152459,0,0,0,0.352610821823728,0,0,0.305981229876212,0,0,0.506046187736602,0,0.345641825008533,0.416329019662652,0,0.438282427024428,0.722403353516535,0,0
SNAPC4,0,0,0.500481687593717,0.377726339623351,0,0.497297702297702,0,0,0,0,0.529918204869881,0.754147526317497,0,0,0.463599748254897,0,0,0,0,0,0.541675529273582,0,0.297257936056434,0.529956280954918,0,0.56443776116965,0,0,0
SAFB,0,0,0.562217949260724,0.528254578935254,0,0.558982406482406,0,0,0,0,0.479214554918236,0.520898711821667,0,0,0.502419716051736,0,0,0.411479057456112,0,0,0,0,0.463042211855729,0.528181532306671,0,0.475629353134423,0,0,0
POLD1,0,0,0.507728590977957,0.486386504883102,0,0.405628815628816,0,0,0,0,0.425443745200667,0.66829292034988,0,0,0.317089725538117,0,0,0,0,0,0.563959935282116,0,0.338369780407327,0.503212432630742,0,0,0.778170536961874,0,0
TJAP1,0,0,0.58186464850328,0.51592938645321,0,0.555813075813076,0,0,0,0,0.503356538251549,0.661726872818464,0,0,0.630496071076647,0,0,0.558607891113266,0,0,0,0,0,0.426532131969497,0,0.48674868175566,0,0,0
CUL9,0,0,0.538049465391855,0,0,0.478843933843934,0,0,0,0,0.540624578383742,0.702924011848089,0,0,0.545609850216257,0,0,0.514361439629498,0,0,0.479168540195702,0,0.50500944362271,0,0,0.477519544158999,0,0,0
AARS2,0,0,0.678189761195092,0.521093166476416,0,0.582074592074592,0,0,0,0,0,0.713054683842378,0,0,0.6311170499884,0,0,0.551406465149826,0,0,0,0,0.567999317328479,0.52822793738699,0,0,0,0,0
FBXL19,0,0,0.491927009448609,0.515700380971171,0,0.449213286713287,0,0,0,0,0.449590772167716,0.634206488636311,0,0,0.431390845757888,0,0,0.375424044670065,0,0,0.511511353390456,0,0.375024462396177,0.411541216446397,0,0,0,0,0
TFAP4,0,0,0.418048635513365,0.567730426490415,0,0.516229048729049,0,0,0,0,0,0.65141773783091,0,0,0.361448774695023,0,0,0.317408004306879,0,0,0.445820570527713,0,0.398358174991467,0.452810728417816,0,0.501684303109,0,0,0
FRS3,0,0,0.519648573841177,0,0,0.43299506049506,0,0,0,0,0.525319041356536,0.523865369372042,0,0,0.550698845326063,0,0,0.528557661447567,0,0,0.503123775689504,0,0,0.540009259178379,0,0.475791043286369,0,0,0
RBM14,0,0.391197641796752,0.511484675788169,0.47605894483669,0,0.413709901209901,0,0,0,0,0.422741618426412,0.522660164742202,0,0,0.530658350196733,0,0,0.292853962984308,0,0,0,0,0.374643986801684,0.524755745494886,0,0,0,0,0
KLHDC3,0,0.527620559287796,0.550872288651117,0.581360363026536,0,0,0,0,0,0,0,0.499344090557222,0,0,0,0,0,0.466390038271865,0,0,0,0,0.619453407668677,0.493014888933535,0,0,0.713146250582208,0,0
ABCF1,0,0,0.47592682578007,0.64653297444064,0.639134098159555,0.599029304029304,0,0,0,0,0,0,0,0,0.672650742716964,0,0,0.698272589545465,0,0,0,0,0.718011832973035,0,0,0,0,0,0
DHX30,0,0,0.422133701849934,0.38310385809646,0.381498325551988,0.372689255189255,0,0,0,0,0,0.758282305278333,0,0,0.527568960012495,0,0,0.365149049760326,0,0,0,0,0.287008988508363,0.483008206601969,0,0.442027358784002,0,0,0
ZNF282,0,0,0.470137938864073,0.366523861196841,0,0.393941891441891,0,0,0,0,0.457039588742105,0.570986552697573,0,0,0.42717227771895,0,0,0,0,0,0.487310278304104,0,0.287333940152463,0.442463050637224,0,0.503581215876794,0,0,0
INTS1,0,0,0.443923109440963,0.378710476002574,0.3428745593475,0.436274836274836,0,0,0,0,0,0.641757559182501,0,0,0.398567510640595,0,0,0.330841981026266,0,0,0,0,0.31072772784162,0.434942588726514,0,0,0.663159558187504,0,0
SRRT,0,0.391550364504832,0.592662947378753,0.482810496202032,0,0.500871350871351,0,0,0,0,0.460416931982816,0.548743574173392,0,0,0.524850756039241,0,0,0.35411094699571,0,0,0,0,0,0.512986652807016,0,0,0,0,0
ZBTB17,0,0.400724118971295,0.470518861516239,0,0,0.373099123099123,0,0,0,0,0.436619176652011,0.71106146080072,0,0,0.399586550012518,0,0,0.279704264431323,0,0,0.450407947099621,0,0,0.341300849049187,0,0.44338395389142,0,0,0
CHERP,0,0,0.426786034366658,0.51251074564185,0,0.470383782883783,0,0,0,0,0,0.735309250872615,0,0,0.384676509838961,0,0,0.358837125434398,0,0,0,0,0.432144498805325,0.465846952769455,0,0.495180418033498,0,0,0
RAVER1,0,0,0.388768289711002,0.454150753721633,0,0.459919247419247,0,0,0,0,0,0.651065447246803,0,0,0.351124813660388,0,0,0.312168485931897,0,0,0,0,0,0.420367135157799,0,0.520633818029336,0.677257302548407,0,0
CCHCR1,0,0,0.679369073293225,0,0,0.47740342990343,0,0,0,0,0,0.692749303530786,0,0,0.566299806367589,0,0,0.655076112351563,0,0,0,0,0,0.578518924537696,0,0.551166553931677,0,0,0
ATF6B,0,0,0.659383682524718,0,0,0,0,0,0,0,0.431656871509648,0.567324584783828,0,0,0.664658754458943,0,0,0.62400394797235,0,0,0,0,0.627126408010013,0.550245237200933,0,0,0,0,0
LIG1,0,0,0.438491259841906,0,0,0.347221112221112,0,0,0,0,0.440473773735025,0.50724976938873,0,0,0.366258346521622,0,0,0,0,0,0.472187477762025,0,0,0.443828015129148,0,0.451152631636133,0.656081575620467,0,0
CPSF1,0,0,0.419579108377708,0.388342798893258,0,0.424453324453324,0,0,0,0,0.441651462212466,0.667314850438741,0,0,0.491317320568448,0,0,0,0,0,0,0,0.268402093525998,0.496702727963592,0,0.500653021957633,0,0,0
SAMD1,0,0,0.540085300556082,0.422616111651329,0,0.352500832500833,0,0,0,0,0,0.561759784175663,0,0,0.527946233126072,0,0,0.374398227553672,0,0,0.490433076500198,0,0.346246899533508,0.48207759366183,0,0,0,0,0
DHX37,0,0,0.442419807725158,0.502558989463399,0.406562778261269,0.431968586968587,0,0,0,0,0,0.724552799551293,0,0,0.448381343299009,0,0,0.316397285423907,0,0,0,0,0.336587325065423,0.452617792472113,0,0,0,0,0
PBX2,0,0,0.591384197302137,0,0,0.467022699522699,0,0,0,0,0.508926601259143,0,0,0,0.613189858531196,0,0,0.734065755826192,0,0,0,0,0.676889293434976,0.438190616783571,0,0,0,0,0
ZNF76,0,0,0.653608360120084,0.605513982252662,0,0,0,0,0,0,0.475172082478542,0.684424120780046,0,0,0.59923316512044,0,0,0.507103071757158,0,0,0,0,0,0.45598723805697,0,0,0,0,0
GTPBP3,0,0,0.434424497170515,0.466376123301249,0,0.40004995004995,0,0,0,0,0.41713688043688,0.617563076238464,0,0,0.417780416711649,0,0,0.292771138389545,0,0,0.49952425395748,0,0,0.425131790428106,0,0,0,0,0
MTA1,0,0,0.386907192413647,0.41166025451317,0,0,0,0,0,0,0,0.781598379463313,0,0,0.495924072206743,0,0,0,0,0,0.524976911605662,0,0.33668449197861,0.479030799870721,0,0.504842049163014,0,0,0
MEN1,0,0,0.390812149842355,0,0,0.435018037518038,0,0,0,0,0.471693866563104,0.782240382698824,0,0,0.450695170215063,0,0,0.281117027701376,0,0,0,0,0,0.63274113171618,0,0.454842132033821,0,0,0
UBTF,0,0.37695979702142,0.466084930270197,0,0,0.467039072039072,0,0,0,0,0.49072917073835,0.524892111008617,0,0,0.495760414920032,0,0,0.343164296387812,0,0,0,0,0.359574240527933,0.348602278980792,0,0,0,0,0
ATP13A1,0,0,0.422307512948948,0.307930166246236,0,0.38277195027195,0,0,0,0,0.509734213111178,0.64525960571267,0,0,0.441542880506063,0,0,0.298292346662341,0,0,0,0,0,0.349434513150654,0,0.488716587181286,0,0,0
FUS,0,0,0.466537361487698,0.522172428209717,0,0.46493117993118,0,0,0,0,0,0.4715618061382,0,0,0.399593555692862,0,0,0.365699488213025,0,0,0,0,0,0.458937400092592,0.69257757296467,0,0,0,0
CNTROB,0,0,0.467250677856967,0,0,0,0,0,0,0,0.412825204046507,0.524111045700433,0,0,0.386127489600584,0,0,0.41305013648803,0,0,0,0,0,0.425482722023742,0,0.489658091625279,0.708588395768182,0,0
PELP1,0,0,0.466196963866374,0.45631162596241,0,0,0,0,0,0,0,0.78904978885742,0,0,0.550719058436562,0,0,0.380834820149843,0,0,0,0,0,0.550463504861069,0,0.594242430994861,0,0,0
CXXC1,0,0,0.500988292605045,0.524628071609427,0,0,0,0,0,0,0,0.737580598059621,0,0,0.415406524700191,0,0,0,0,0,0,0,0.307689156900671,0,0,0.532546036114361,0.76339077782953,0,0
CDAN1,0,0,0.424831944340008,0,0,0.343723498723499,0,0,0,0,0.467121182126875,0.784715687592418,0,0,0.408112348143265,0,0,0.376818258681916,0,0,0,0,0,0.465284632384413,0,0.507246959976531,0,0,0
MAP2K7,0,0,0.459444385819357,0,0,0.369791597291597,0,0,0,0,0.49204997232306,0.521964854378833,0,0,0.388014199710126,0,0,0,0,0,0.550477564180262,0,0.38390510865855,0,0,0.591730248525867,0,0,0
PRPF40B,0,0.375885326587141,0.521715055533404,0,0,0.339324841824842,0,0,0,0,0.413542660945505,0,0,0,0.49592349797065,0,0,0.291065469391136,0,0,0.469444435755614,0,0,0.385679064648282,0,0.442004523272793,0,0,0
CDT1,0,0,0.348513896146815,0.589188827351006,0,0.428544511044511,0,0,0,0,0,0.514900501087002,0,0,0.307594731728382,0,0,0,0,0,0,0,0.323575150756628,0.467596260514845,0,0,0.750557255971788,0,0
C16orf59,0,0,0.409102082005054,0.489066456216501,0,0.37523643023643,0,0,0,0,0,0.509312523466725,0,0,0.380956723271033,0,0,0.307646780711532,0,0,0,0,0,0.507536949362776,0,0,0.70979439749817,0,0
ZBTB9,0,0,0,0,0.558064113915362,0.496920579420579,0,0,0,0,0,0,0,0,0.525982690227191,0,0,0.740277169055351,0,0,0,0,0.709006257822278,0.655065032625501,0,0,0,0,0
GTF3C5,0,0,0.423698865320199,0,0,0.33462592962593,0,0,0,0,0.443508780335881,0.548817740612151,0,0,0.365842829284203,0,0,0,0,0,0,0,0,0.392598881037028,0,0.516865406207834,0.651515403553131,0,0
XPO5,0,0,0,0,0,0.589289321789322,0,0,0,0,0,0,0,0,0.591872377176642,0,0,0.595462678892497,0,0,0,0,0.710135168961202,0.498699019924704,-0.667440860215054,0,0,0,0
RAD9A,0,0,0.402142223901638,0.395289298515105,0,0.411483516483516,0,0,0,0,0.419840898573786,0.560552261844612,0,0,0.374644260739938,0,0,0,0,0,0,0,0,0.417811361710677,0,0,0.657611950229556,0,0
PFAS,0,0,0.3609647695518,0.430715859392983,0,0.325900210900211,0,0,0,0,0,0.651967033017972,0,0,0.539424293861876,0,0,0.463014504657158,0,0,0,0,0.356485834565935,0.495971711463038,0,0,0,0,0
KRI1,0,0,0.455401950804213,0.485324858956111,0,0.444122544122544,0,0,0,0,0.459347681630708,0.534234764591088,0,0,0.354160799887909,0,0,0,0,0,0,0,0,0.407666010080275,0,0.479730629363263,0,0,0
VPS52,0,0,0.563835475114914,0,0.63116551405365,0,0,0,0,0,0.523437135518656,0,0,0,0.65700740305172,0,0,0.698904558458634,0,0,0,0,0,0.545175509473188,0,0,0,0,0
SART1,0,0,0.43853410179239,0,0,0.503558663558664,0,0,0,0,0,0.549165395793836,0,0,0.429345301944823,0,0,0,0,0,0,0,0,0.47314838270106,0,0.456265760416078,0.728117306540688,0,0
PRPF6,0,0,0.406803192209758,0,0,0.42294511044511,0,0,0,0,0,0.50898340989473,0,0,0.357704066280627,0,0,0.284283774316783,0,0,0.545003601085722,0,0,0.502053179130161,0,0.54349796570585,0,0,0
HAUS5,0,0,0.453125324500393,0.479336659197565,0,0.488168775668776,0,0,0,0,0,0.669124975084712,0,0,0,0,0,0,0,0,0.520787863598224,0,0,0.502193595443786,0,0.445691813782299,0,0,0
PCIF1,0,0,0.368686199141771,0,0,0.359324009324009,0,0,0,0,0,0.603058902058582,0,0,0.453130046099674,0,0,0.392419047586181,0,0,0.536025030869242,0,0.331738764364547,0.50462008979656,0,0,0,0,0
DNMT3A,0,0,0.328037128847903,0,0,0.390572483072483,0,0,0,0,0,0.511335876624129,0,0,0.571552918152981,0,0,0.355856734157208,0,0,0,0,0.349217430879509,0.375278430481914,0,0,0.62967429636037,0,0
PYGO2,0,0,0.428824797274797,0,0,0.309565157065157,0,0,0,0,0,0.584876536056478,0,0,0.509716763789131,0,0,0.3170434898143,0,0,0,0,0.345735806121288,0.522221918921044,0,0.490387170567825,0,0,0
POLR3E,0,0,0.345728095157153,0.495815658807668,0,0.483277555777556,0,0,0,0,0,0.736062503766265,0,0,0.422240852993263,0,0,0.299237064696362,0,0,0,0,0.355208783706906,0.367032193115015,0,0,0,0,0
GNL1,0,0,0.510821131065406,0,0,0,0,0,0,0,0.515263927048882,0,0,0,0.522646033980995,0,0,0,0,0,0,0,0.689340311753328,0,0,0.511072644733404,0.750199614079446,0,0
VARS2,0,0,0.618778781144402,0,0,0.473330003330003,0,0,0,0,0,0.678931168909429,0,0,0.558357202413629,0,0,0.592960254547588,0,0,0,0,0,0.573097282518497,0,0,0,0,0
TCOF1,0,0,0.485429250436476,0.474380745688825,0,0.413229825729826,0,0,0,0,0,0,0,0,0.35765893132366,0,0,0,0,0,0.487003247624105,0,0.36053180111503,0.466971484351115,0,0.437732993575303,0,0,0
STK19,0,0,0.582390715639608,0,0,0.446323121323121,0,0,0,0,0.477303017732155,0,0,0,0.493928601781051,0,0,0.563259009762949,0,0,0.465541988815911,0,0,0,0,0.449022759822539,0,0,0
SF3A2,0,0,0.365477033744671,0,0,0.341414418914419,0,0,0,0,0.436215685953102,0.651542893696316,0,0,0.323760626238914,0,0,0,0,0,0.467579573828513,0,0,0.356606445611062,0,0.532326060161628,0,0,0
SMARCA4,0,0,0.403094351497351,0.454862432296584,0,0.434869852369852,0,0,0,0,0,0.703480260138784,0,0,0.298656057846247,0,0,0.340728304269953,0,0,0,0,0.435678689270679,0.378269974930338,0,0,0,0,0
UBQLN4,0,0,0.331560868743764,0,0.391154581967347,0.375246142746143,0,0,0,0,0,0.5829412555451,0,0,0.522665213466526,0,0,0.374075125358475,0,0,0,0,0.410009329844123,0.461387042391314,0,0,0,0,0
KIFC1,0,0,0.387622636136406,0.638798461083161,0,0.460737318237318,0,0,0,0,0,0,0,0,0.393164867776397,0,0,0.401983562768964,0,0,0,0,0.496063488451473,0.659793437338947,0,0,0,0,0
BRD2,0,0,0.492610500743205,0,0,0.530918803418803,0,0,0,0,0,0.564367198038298,0,0,0.660566518360625,0,0,0.676472465998778,0,0,0,0,0,0.503344878189394,0,0,0,0,0
ABCC10,0,0,0.444945250135698,0,0,0.495325785325785,0,0,0,0,0.461385309660198,0,0,0,0.619612918933942,0,0,0.465152414509489,0,0,0,0,0.501826373876436,0.433478044391646,0,0,0,0,0
ATXN7L2,0,0,0.406085852825473,0,0,0.460696248196248,0,0,0,0,0,0.768535815436817,0,0,0,0,0,0.353560077164914,0,0,0.474157224731991,0,0,0.484028026484744,0,0.4591926652338,0,0,0
CLK2,0,0,0.457730939491958,0.498216106014271,0,0.328470418470418,0,0,0,0,0.425138605359617,0,0,0,0.465914953337575,0,0,0.386837446379702,0,0,0.459124646831631,0,0,0.38246128178475,0,0,0,0,0
ZNF48,0,0,0.466050366041709,0.517860078824861,0,0.3922113997114,0,0,0,0,0,0.68659812451618,0,0,0.362935931330551,0,0,0.310474464142127,0,0,0,0,0.2690519968142,0.398188782418043,0,0,0,0,0
SMARCC2,0,0,0.406153675382286,0,0,0.399471084471084,0,0,0,0,0.416759868815086,0.529101056408212,0,0,0.427401742462003,0,0,0.316993018576866,0,0,0,0,0,0.389064451743084,0,0.514801462724988,0,0,0
WDR90,0,0,0.475287798279708,0.383136740934906,0,0.436043678543679,0,0,0,0,0,0.661207707747148,0,0,0.373683563755137,0,0,0.309014249281324,0,0,0,0,0.297422915007396,0,0,0.459835650615942,0,0,0
MDC1,0,0,0,0,0,0.578723221223221,0,0,0,0,0.440422706943444,0,0,0,0.612403844166106,0,0,0.611374922783321,0,0,0,0,0.636562293776311,0.495412775919148,0,0,0,0,0
PPP2R5D,0,0,0.475053304948961,0,0,0,0,0,0,0,0,0.549867659260839,0,0,0.594705772910297,0,0,0.580584016923825,0,0,0,0,0.693867106610536,0.478024300975708,0,0,0,0,0
PRR3,0,0,0.361173376571266,0,0,0,0,0,0,0,0.575708725108091,0,0,0,0.546952529050604,0,0,0,0,0,0.527354566575512,0,0.631219251336898,0,0,0,0.711424579146983,0,0
ZNF517,0,0,0.356763983610532,0.323944108569738,0,0.315986235986236,0,0,0,0,0.439997780801156,0.648543788328984,0,0,0.408802350233484,0,0,0,0,0,0,0,0,0.391809667106332,0,0.467895573207242,0,0,0
NOC2L,0,0,0.345486314060985,0.301978372487399,0,0,0,0,0,0,0,0.694670677834896,0,0,0.399456657808118,0,0,0,0,0,0,0,0,0.457288545697539,0,0.459418626300358,0.681482467230022,0,0
TAF6,0,0,0.463602077055271,0.37143984554461,0,0.387424242424242,0,0,0,0,0.418668884184299,0,0,0,0.411492186943709,0,0,0.335955968374809,0,0,0,0,0,0.411180567081,0,0.536318039004158,0,0,0
