,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
UHMK1,0,0,0.841271879356731,0.731880381628828,0,0,0,0.837239337070726,0,0.847795672716286,0,0,0,0,0,0.511068836045056,0,0.443696530684787,0,0,0.616103441480597,0,0.792564341790875,0.578560962081044,0,0,0,0,0
RBBP5,0,0,0.765891825549431,0.686673525087257,0,0,0,0.837215249799867,0,0.765668772418023,0,0,0,0,0,0.571261121856867,0,0.649862045284347,0,0,0.567022715382853,0,0.662047559449312,0.520969418506128,0,0,0,0,0
ASXL2,0,0,0.781691216536572,0.66949693954725,0,0,0,0.847035719341067,0,0.864893941528517,0,0,0,0,0,0.502927067925816,0,0.438656308990955,0,0,0.572831176722207,0,0.696425076800546,0.547401861444257,0,0,0,0,0
CCNT1,0,0,0.777322769864795,0.615701790235676,0,0,0,0.837956899843343,0,0.848266734323331,0,0,0,0,0,0.468441688474229,0,0.400664839924215,0,0,0.602203842033054,0,0.705195130276482,0.54839711393157,0,0,0,0,0
TOR1AIP2,0,0,0.824796137400075,0.686485623153276,0,0,0,0.777210586980027,0,0.797366938082931,0,0,0,0,0,0.416697690294687,0,0.530227526063865,0,0,0.562008858436276,0,0.710099897599272,0.393216123199483,0,0,0,0,0
RAD54L2,0,0,0.746514605124226,0.621848532251018,0,0,0,0.787805120299562,0,0.851142454266297,0,0,0,0,0,0.4455485265673,0,0.488043924643423,0,0,0.590603864148748,0,0.658570940948914,0.411048776652894,0,0,0,0,0
GTF2A1,0,0,0.763751981756153,0.603841655040235,0,0,0,0.806725225498487,0,0.805258103111583,0,0,0,0,0,0.366757310274206,0,0.418539854159693,0,0,0.602970719771407,0,0.695123449766754,0.474130095823761,0,0,0,0,0
BIRC6,0,0,0.728782650400206,0.619940153234027,0,0,0,0.793884331141094,0,0.805928955514912,0,0,0,0,0,0.443474798043008,0,0.408447332185292,0,0,0.635249995894528,0,0.65937330754352,0.439844166280868,0,0,0,0,0
RC3H2,0,0,0.712550837956115,0.593146511835473,0,0,0,0.764966819040958,0,0.853191167065002,0,0,0,0,0,0.465855956309023,0,0.30059374881371,0,0,0.626254221794037,0,0.658249402662419,0.497008455551576,0,0,0,0,0
RAPGEF6,0,0,0.745926992177026,0.588508857227413,0,0,0,0.767916468913147,0,0.812607245995561,0,0,0,0,0,0.393292524746843,0,0.365588624041909,0,0,0.62313924354522,0,0.648842416657185,0.525673801766232,0,0,0,0,0
ETV3,0,0,0.759489607878201,0.539228051879724,0,0,0,0.803670305331435,0,0.820138205776832,0,0,0,0,0,0.43295892593014,0,0.39093942071098,0,0,0.554301420649822,0,0.680686767550347,0.451329915007731,0,0,0,0,0
CEP97,0,0,0.731829926302999,0.619246090465386,0,0,0,0.724295313509212,0,0.787689084378417,0,0,0,0,0,0.422082830811241,0,0.500596595909155,0,0,0.586686266061194,0,0.604401865968825,0.441616949537478,0,0,0,0,0
ZNF81,0,0,0.763553063673375,0.595356708333921,0,0,0,0.692363324067168,0,0.795625028311488,0,0,0,0,0,0.365338946410286,0,0.493421484009677,0,0,0.604149772322235,0,0.637424507907612,0.453382984949468,0,0,0,0,0
DPP8,0,0,0.731963886384158,0.606499293018973,0,0,0,0.743584162113875,0,0.839795625339998,0,0,0,0,0,0.47499055637729,0,0.319025240795254,0,0,0.565531353687613,0,0.568236887017863,0.457978398162141,0,0,0,0,0
EP300,0,0,0.616626299607619,0.637895357412966,0,0,0,0.788788237799054,0,0.774618527370404,0,0,0,0,0,0.370179087495733,0,0.44155603256387,0,0,0.634514334354358,0,0.532593013994766,0.404275600317957,0,0,0,0,0
PIK3CA,0,0,0.712471325486558,0.605077110256157,0,0,0,0.649019023591251,0,0.78584473377227,0,0,0,0,0,0.369742860393674,0,0.415079770437831,0,0,0.522379125119938,0,0.613018318352486,0.477585363510102,0,0,0,0,0
GTF3C4,0,0,0.712588013984927,0.515674544455249,0,0,0,0.714989597867474,0,0.747020384687152,0,0,0,0,0,0.473771532597565,0,0.289267054101715,0,0,0.58662859395002,0,0.609352144726363,0.418399450563849,0,0,0,0,0
ZNF121,0,0,0.654473750669537,0.62238522714995,0,0,0,0.584489819708264,0,0.660843331184777,0,0,0,0,0,0.421905336215724,0,0.397890215999641,0,0,0.605875634686471,0,0.673017635680965,0.429661581397787,0,0,0,0,0
ZBTB37,0,0,0.801935786361474,0.718109518642221,0,0,0,0.753632717293947,0,0.872460537421658,0,0,0,0,0,0,0,0.555792286269408,0,0,0.628134625866352,0,0.697569916941632,0,0,0,0,0,0
MGA,0,0,0.667938529173073,0.630361664247429,0,0,0,0.797467387024752,0,0.735601452374155,0,0,0,0,0,0.48947548071453,0,0.486009114156449,0,0,0.575815659600823,0,0.544614404369098,0,0,0,0,0,0
SETX,0,0,0.724606739750737,0.466517049751735,0,0,0,0.686579107950227,0,0.796247881053931,0,0,0,0,0,0.419757879167141,0,0.276263161345762,0,0,0.527117817671673,0,0.528387757424053,0.486004227775788,0,0,0,0,0
HMBOX1,0,0,0.669345826164047,0.655832945785595,0,0,0,0.629733446097446,0,0.825034275082524,0,0,0,0,0,0.359815678689271,0,0.35348501737591,0,0,0.54468327649535,0,0.474202070770281,0.387401948794997,0,0,0,0,0
LRCH3,0,0,0.686642115743616,0.585109006609451,0,0,0,0.599558935306943,0,0.767448811790213,0,0,0,0,0,0.337784048242121,0,0.374511679993374,0,0,0.533548258067644,0,0.513801342587325,0.458545522837851,0,0,0,0,0
RAB3GAP2,0,0,0.721239960629216,0.595282721947416,0,0,0,0.703285860593582,0,0.749918130448533,0,0,0,0,0,0.464926612811469,0,0.468562026993916,0,0,0.568620037363708,0,0.581377403572648,0,0,0,0,0,0
SLC30A6,0,0,0.70735299724097,0.610802247307131,0,0,0,0.678151239513116,0,0.734072112529491,0,0,0,0,0,0.299499146660599,0,0.313357795347328,0,0,0.567101012604973,0,0.559757879167141,0.377113232763515,0,0,0,0,0
SON,0,0,0.728072746221683,0.528172371839137,0,0,0,0.761735258887608,0,0.81692461809101,0,0,0,0,0,0,0,0.422476179301444,0,0,0.606104172645668,0,0.582603709181932,0.392241725701208,0,0,0,0,0
LATS1,0,0,0.756947525772045,0.628871367033545,0,0,0,0.823975874665306,0,0.846105191152935,0,0,0,0,0,0,0,0.50505963370823,0,0,0.609878763447377,0,0.614704972124246,0,0,0,0,0,0
SPEN,0,0,0.57259631698241,0.582127237794595,0,0,0,0.773339375967208,0,0.646448835478357,0,0,0,0,0,0.304652178859939,0,0.395890347138583,0,0,0.565483456510536,0,0.552078279667767,0.388426682156865,0,0,0,0,0
RIF1,0,0,0.807815749282334,0.690079247640656,0,0,0,0.798338097260236,0,0.824822640214074,0,0,0,0,0,0,0,0.442457612788117,0,0,0.576941536510161,0,0.62989532370008,0,0,0,0,0,0
ZKSCAN1,0,0,0.63945402420507,0.545067104478173,0,0,0,0.66489431932941,0,0.79284021681717,0,0,0,0,0,0.347690977358061,0,0.368423209522068,0,0,0.598843938094169,0,0.450368415064285,0.361514356094024,0,0,0,0,0
HEATR1,0,0,0.683826679245434,0.540019588776618,0,0,0,0.697093052993185,0,0.731186938107866,0,0,0,0,0,0.492455797019001,0,0.454889066808389,0,0,0.470711364963977,0,0.67293093639777,0,0,0,0,0,0
TAF1,0,0,0.596202989963736,0.52345720768331,0,0,0,0.651198178169677,0,0.695129842199556,0,0,0,0,0,0.436761861417681,0,0.432695526436575,0,0,0.473583240601792,0,0.56227443395153,0.36474065565465,0,0,0,0,0
ANKRD17,0,0,0.661977052806601,0.523854150518844,0,0,0,0.739267485277027,0,0.819605949796926,0,0,0,0,0,0.40666014336102,0,0.315854611776967,0,0,0.657293352028221,0,0.597035385140517,0,0,0,0,0,0
ZNF281,0,0,0.671142513095335,0.586585211178286,0,0,0,0.633045594527372,0,0.722581388515904,0,0,0,0,0,0,0,0.498650217932215,0,0,0.533541122365753,0,0.685668449197861,0.37461707619605,0,0,0,0,0
RBM12,0,0,0.589268702228013,0.575200702753233,0,0,0,0.613891158841575,0,0.698752258165864,0,0,0,0,0,0.408975082489476,0,0.386895682422895,0,0,0.479971355533121,0,0.614407782455342,0.337755173347542,0,0,0,0,0
PANK3,0,0,0.614510614967343,0.498110411176407,0,0,0,0.522734815206026,0,0.836472947515799,0,0,0,0,0,0.362952326772102,0,0.293883231125483,0,0,0.606169664704121,0,0.614407554898168,0.353054436980809,0,0,0,0,0
TPR,0,0,0.665783288395624,0.571695157297407,0,0,0,0.693216191879794,0,0.698497298928174,0,0,0,0,0,0.485284332688588,0,0.510905238310516,0,0,0.488516798419745,0,0.586211400614404,0,0,0,0,0,0
BRWD3,0,0,0.753721299421212,0.557944258891285,0,0,0,0.691862844105993,0,0.846306436484397,0,0,0,0,0,0,0,0.52484824118522,0,0,0.603308052747108,0,0.702367732392764,0,0,0,0,0,0
HIPK1,0,0,0.598193287125531,0.597580997477417,0,0,0,0.697004733000037,0,0.80343702506829,0,0,0,0,0,0,0,0.477045508663798,0,0,0.568642910709496,0,0.477518944134714,0.456344065827517,0,0,0,0,0
GON4L,0,0,0.571304760659042,0.447824330481922,0,0,0,0.704173521130781,0,0.568662891524507,0,0,0,0,0,0.47279098873592,0,0.506756243766586,0,0,0.531686328620772,0,0.480941176470588,0.371677396249159,0,0,0,0,0
EYA3,0,0,0.655845303909296,0.593161778867609,0,0,0,0.706835015873809,0,0.763427853185037,0,0,0,0,0,0,0,0.402466706238417,0,0,0.63512477898874,0,0.491031971782911,0.405999576348914,0,0,0,0,0
ZNF791,0,0,0.648305141687008,0.554274299243225,0,0,0,0.663551677009324,0,0.747166253786467,0,0,0,0,0,0.37219592672659,0,0,0,0,0.570594183054018,0,0.636310843099329,0.450017142582612,0,0,0,0,0
KIAA0754,0,0,0.682171808859185,0.566860205658667,0,0,0,0.716536833303001,0,0.787192360615011,0,0,0,0,0,0,0,0.35744420555684,0,0,0.549289420940724,0,0.608739333257481,0.372393126370315,0,0,0,0,0
SP1,0,0,0.63781876338416,0.47787807043504,0,0,0,0.745377325611133,0,0.45353092570359,0,0,0,0,0,0.397476618500398,0,0.429840666185824,0,0,0.569730567626513,0,0.49941404027762,0.389178226081184,0,0,0,0,0
TRIM44,0,0,0.695657692394374,0.578263504277118,0,0,0,0.587666960471896,0,0.843866038141237,0,0,0,0,0,0.351229263852543,0,0,0,0,0.583550858200114,0,0.615517351234498,0.339033333042164,0,0,0,0,0
PPP1R15B,0,0,0.591426870749374,0.594596879888386,0,0,0,0.685463064400441,0,0,0,0,0,0,0,0.518666059847537,0,0.572205791509789,0,0,0.526928086200843,0,0.617911252702242,0.4857295097003,0,0,0,0,0
RNF168,0,0,0.736445082790911,0.556731117030022,0,0,0,0.763610497530014,0,0.828809521137928,0,0,0,0,0,0,0,0.464269814921541,0,0,0.531229252702378,0,0.692569803163045,0,0,0,0,0,0
CDK12,0,0,0.572997101954785,0,0,0,0,0.731844739994267,0,0.852850805833268,0,0,0,0,0,0.480584366822164,0,0.350121993726037,0,0,0.552219457436418,0,0.619586756172488,0.398639293856623,0,0,0,0,0
CSNK1G1,0,0,0.550148230199868,0.509449118505052,0,0,0,0.616134248768575,0,0.782917273935104,0,0,0,0,0,0.321158721128684,0,0.337411438076537,0,0,0.514379905550677,0,0.532329502787576,0.388728151396302,0,0,0,0,0
