,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
FASLG,0,0,0,0,0,0,0,0,0,0,0,0.901172218252098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GZMK,0,0,0,0,0,0,0,0,0,0,0,0.8726886724671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGFBR3,0,0,0,0,0,0,0,0,0,0,0,0.852608109172998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THEMIS,0,0,0,0,0,0,0,0,0,0,0,0.842463530971442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD3,0,0,0,0,0,0,0,0,0,0,0,0.83958031066467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL11B,0,0,0,0,0,0,0,0,0,0,0,0.799073846595992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNE2,0,0,0,0,0,0,0,0,0,0,0,0.785682168997502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF831,0,0,0,0,0,0,0,0,0,0,0,0.781042131172618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCML4,0,0,0,0,0,0,0,0,0,0,0,0.752719822371379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAP2,0,0,0,0,0,0,0,0,0,0,0,0.749398556535686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RORA,0,0,0,0,0,0,0,0,0,0,0,0.748320825472463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDZD4,0,0,0,0,0,0,0,0,0,0,0,0.748114550064664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1324,0,0,0,0,0,0,0,0,0,0,0,0.742903696130838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1671,0,0,0,0,0,0,0,0,0,0,0,0.72674998029954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPHA4,0,0,0,0,0,0,0,0,0,0,0,0.71040323365673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNG,0,0,0,0,0,0,0,0,0,0,0,0.70478032544214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GATA3,0,0,0,0,0,0,0,0,0,0,0,0.694496850244054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSIG1,0,0,0,0,0,0,0,0,0,0,0,0.682739631425302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAKMIP1,0,0,0,0,0,0,0,0,0,0,0,0.678320014228257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RASGRF2,0,0,0,0,0,0,0,0,0,0,0,0.672538948968855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLRF1,0,0,0,0,0,0,0,0,0,0,0,0.668580315300073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF21A,0,0,0,0,0,0,0,0,0,0,0,0.665293814982548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETS1,0,0,0,0,0,0,0,0,0,0,0,0.664204495413269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXCR3,0,0,0,0,0,0,0,0,0,0,0,0.664090928053919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDH1,0,0,0,0,0,0,0,0,0,0,0,0.657183274786841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHLDB2,0,0,0,0,0,0,0,0,0,0,0,0.653672861109437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCR1,0,0,0,0,0,0,0,0,0,0,0,0.639980346074292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIMAP5,0,0,0,0,0,0,0,0,0,0,0,0.639555743031831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
