,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NAA25,0,0.543406382502582,0.576505781872968,0.62447798493966,0.642312967494676,0.640883838383838,0.722753708059329,0.616467604702311,0.734020146520146,0,0.798959498360189,0.46843522720425,0.664537705357781,0,0.66436899492605,0.490712253953806,0.618887441672252,0.668558403417895,0,0.706049015441281,0.731219614617358,0.731746353952489,0.589567186255547,0.469646054803854,0.723145929339478,0.702817736341556,0.755988422383392,0.616375573059795,0
MDN1,0,0.589630841599345,0.570885524581148,0.607805211460139,0.639192033179134,0.670880508380508,0.778482215715451,0.735474780924785,0.436309523809524,0,0.72057890828026,0.697127441118801,0.59204110581584,0,0.624364492915075,0.687311639549437,0.517065213267745,0.646131487495212,0,0.487183534697347,0.821799041430863,0.696856518863577,0.433652065081352,0.661203496650099,0.65984024577573,0.777417944549854,0.764272406680418,0.626399774383325,0
SART3,0,0.586510431255381,0.611961750605506,0.65779299783443,0.656572539052611,0.682791097791098,0.756261316181059,0.66395967374535,0.750503663003663,0,0.767601966512794,0.494284548813105,0.669200670032379,0,0.750252204492364,0.654931846626465,0.616510072206275,0.712219474823049,0,0.685062635338879,0.636665699599853,0.790187229513987,0.680702241438161,0.590343375756676,0.655360983102918,0.658059121506834,0,0.628585107987749,0
SRRM2,0,0.497685071974699,0.527510493013118,0.4728011950563,0.632699532615527,0.591861749361749,0.819449527192435,0.668386378856491,0.711446886446886,0,0.687222206110614,0.484476037287177,0.713932183276307,0,0.539262703825101,0.563669814540903,0.540054881827034,0.599952462133631,0,0.606065205512719,0.781801672843122,0.719092491149319,0.400353168733644,0.552632860474664,0.733149001536098,0.7954584587982,0.760205269811698,0.645244013615704,0
EP300,0,0.591276633899023,0.540343342215561,0.482358357173391,0.536398935506988,0.621584526584527,0.676046272740364,0.672154995937875,0.60746336996337,0,0.618468021470749,0.510652154766816,0.683803177259719,0,0.552850048580374,0.517313460006827,0.585300775174193,0.561790598718289,0,0.604915710440572,0.817161128449672,0.695931359310239,0.453474570485835,0.569106227234214,0.780233486943164,0.709184516271131,0.758067735710959,0.548916187340543,0
ATXN2,0,0.495296042540137,0.58011402614707,0.57843731356605,0.700809704871453,0.680695970695971,0.723551672826765,0.630525054924925,0.615064102564103,0,0.743248781016771,0.569055907588617,0.429096258111168,0,0.641875822593204,0.643923540789623,0.552068184979577,0.752432972471175,0,0.631762896403781,0,0.744072497850436,0.578135624075549,0.534665468505691,0.85252841781874,0.488495598363136,0.774993346197352,0.6747630696985,0
SBNO1,0,0.612358484833664,0.604400778232245,0.666303781056667,0.633713395458146,0.674597347097347,0.641633946143138,0.739125638015304,0,0,0.51372372739664,0.553601475912131,0.532137499507972,0,0.630674428807358,0.415816816475139,0.651892411386082,0.715874541445082,0,0.502216016028171,0.814862454947329,0.746927635263532,0.543866651496189,0.631405429721963,0.830445468509985,0.62456264931708,0.662344467363098,0.65271468729278,0
BIRC6,0,0.589340364075044,0.593333779866937,0.568061603649056,0.64820722600829,0.579767177267177,0.78221782748524,0.769729853822977,0,0,0.607507574907418,0.566124015556411,0.656367713069859,0,0.628835954529689,0.550590055751508,0.632746999835607,0.574864374726075,0,0.592350191245219,0.78069045833493,0.625188796485512,0.408083513482763,0.618082476568164,0.853867895545315,0.709009290554072,0.741308470290771,0.504897324737163,0
USP34,0,0.611727140826764,0.566021362420364,0.545366573185455,0.6672854798468,0.612680375180375,0.774959343349494,0.679738025652646,0,0,0.709018899756519,0.538751964251777,0.635194048433019,0,0.629761278571117,0.492918420753214,0.665144981600678,0.653661192191021,0,0.550426001254731,0.82234174577195,0.561552632948887,0.277130959153487,0.514088254819577,0.815164362519201,0.742706678410995,0.768522523121964,0.597434266188324,0
SETD5,0,0.602485213063782,0.542558380582697,0.413960878817345,0.500874692849937,0.494503829503829,0.702723947583161,0.5839355151048,0.605906593406593,0,0.723788550699237,0.503066318702458,0.733995396078649,0,0.595195940839901,0.490028672203891,0.654775604142693,0.528442914873572,0,0.540479226114585,0.789528953745794,0.587649259715136,0.353693708044146,0.514467793782374,0.681204301075269,0.745729713364612,0.769703573092022,0.61299656983951,0
MLXIP,0,0.459367974260134,0.514755829317164,0.616502722229269,0.624861932032146,0.641116383616384,0.634724907598522,0.715266155421777,0,0,0.6311269116948,0.662781426869574,0.755351730552514,0,0.741052368034803,0.52091204915235,0.686617180288066,0.707761182183049,0,0.645971707850161,0.817957199082564,0.535825650747377,0.603994083513483,0.509114940470471,0.80373579109063,0.703466062286803,0.657487191429902,0,0
PIKFYVE,0,0.576271098523752,0.577888372075389,0.53341835895846,0.519115407818457,0.562778055278055,0.714741035856574,0.58506494047173,0.448580586080586,0,0.68583205456203,0.497524695106406,0.608199295270557,0,0.581442756700761,0.468035726476277,0.600981297183829,0.601376872612322,0,0.577089025155324,0.662650309161616,0.667472221630216,0.350407327340995,0.532818109555297,0.838826420890937,0.712426882626762,0.664415463437355,0.590442772723993,0
ADNP,0,0.58662084235518,0.510838550088538,0.436877868440461,0.535060132771951,0.348918858918859,0.649052944847118,0.663327457228739,0.70746336996337,0,0.697832750583485,0.63467466428098,0.655956305025097,0,0.458869306162013,0.367078621003527,0.568052200963593,0.550152449019736,0,0.515872341286706,0.778628924733789,0.673330633786701,0.405080896575265,0.551588254819577,0.812700460829493,0.747615576691499,0.675252844500632,0.55895875281201,0
