,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ERF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
CIC,0.527027027027027,0.550055501955536,0.730041959414729,0.684840306843858,0.536951837106876,0.432432012432012,0.643551672826765,0.62360903445134,0.583562271062271,0.441193870006944,0.413361090130996,0.705614862954328,0.652112803362408,0.525674070862718,0,0.638202070770281,0,0.67937650335267,0.608109700506701,0.408991560925263,0,0.582605602875262,0.628217089543748,0.332679440256462,0,0.493062240211531,0,0.691094044113307,0.550070323488045
CNOT3,0.402816500711237,0,0.530911857426033,0.440945945311142,0.396439263318442,0.517350427350427,0.708187587001392,0.564113475430389,0.618131868131868,0.547423353268777,0.532969603280379,0.608639926575226,0.684862604000076,0.523572366120051,0,0.47037842757993,0.595847190783899,0.420493996942392,0.559480026544446,0,0,0.535142961258245,0.475753783138013,0.408957272385811,0.410531490015361,0.530427029584326,0,0.342091282932492,0.567510548523207
SCAF1,0.626770981507824,0.230666571816863,0.668378891345526,0.561058733447014,0.351079921359508,0.511243478743479,0.568734219747516,0.433453115465455,0.54029304029304,0.450593803597024,0.405354952028739,0.640540766046604,0.488074998141229,0.486854238451196,0,0.48670519968142,0,0.447424500205336,0.694422565260266,0,0,0.510106354916779,0.499734668335419,0.451344000314463,0.373880184331797,0.479213055135421,0,0,0.563783403656821
CCDC97,0.581507823613087,0.228444270553137,0.40875818794136,0.3590371435148,0.26409678674749,0.431726606726607,0.619082801324821,0.372572687056987,0.436217948717949,0.430903137515496,0.476548364034352,0.457711223699886,0.663223590504667,0.57373241431404,0,0.4622348390033,0,0.581190534529228,0.418617704153462,0,0,0.451035895701537,0.436455797019001,0.475326145823324,0.397689708141321,0.288214077024548,0,0.472893861783552,0.509493670886076
PRR12,0.560426742532006,0.337093979853309,0.55563518036061,0.514143143693307,0.425060422447049,0.487375402375402,0.555462967407478,0.452736908716975,0,0,0.349996028138433,0.587606788083308,0.513500802551838,0.531294575117592,0,0.454977358061213,0,0.388116913817558,0.569344265345233,0,0,0.490311154775909,0.503538741608829,0.431165433565395,0.499950844854071,0.345310405497907,0,0.442173265735779,0.495171120487576
ZBTB45,0.575419630156472,0.217881855677131,0.615577409022464,0.460754332313965,0.268473399639543,0.408960206460206,0.570067489079825,0.320482328269654,0.412362637362637,0.362224765580877,0.365910583939305,0.660111435074236,0.491841379018773,0.46030711699144,0,0.393384457845034,0,0.33390692241061,0.625304671946613,0,0,0.401767655681329,0.499619296848333,0.564324211004446,0.355410138248848,0.334182053166595,0,0,0.555274261603376
FBXO46,0.388221906116643,0,0.631561985077774,0.51075856010748,0.275555326054512,0.401621711621712,0.66195171122738,0,0.398168498168498,0.509418738652028,0.478956068689248,0.55311012325535,0.726380556814984,0.54320237352735,0,0.506449425418136,0.599236206831143,0.54047275588486,0.729324170951197,0,0,0.452503293784626,0.408549778131756,0.493890143342563,0,0.43252170892863,0,0,0
HNRNPUL1,0.580028449502134,0.29259386055004,0,0.437649440756869,0.443449753335357,0.532619047619048,0.668971343541497,0.533895250703884,0,0,0.360402305444981,0,0.597163150551727,0.548548129490758,0,0.477294572761406,0.583859178795888,0.631282590615283,0,0,0,0.541644233527321,0.515061326658323,0.530113512285882,0.379797235023041,0,0,0.612694873123414,0.548898265353962
SUPT5H,0.726884779516358,0,0.500073783359167,0.358229165198683,0.350180669099098,0.423719058719059,0.52696740747852,0.377821927861895,0.511767399267399,0.404571375495737,0.487522680590458,0.499105367332465,0.587487772200654,0.413726775723741,0,0.323589486858573,0.550044891817044,0.389885132640137,0.437822114996992,0.310671280837027,0,0.456349274284303,0.357484583001479,0.392678806963601,0,0.383822218915575,0,0,0
TRIM28,0.552119487908962,0.217414275784697,0.460188959540896,0.508274731417673,0.436117194987865,0.400258075258075,0.635877694043105,0.432231504247091,0.512591575091575,0,0,0.589491079168038,0.519832142018874,0,0,0.394260325406758,0.510590675147637,0.415712602107196,0.461175646090586,0.366551312407666,0,0.379904123004295,0.506995335077938,0.575126221818468,0.313161290322581,0,0,0,0.531504922644163
ARHGEF1,0.445007112375533,0.362584123624863,0.686214601943727,0.588560530259258,0.346025720629779,0.370954878454878,0.467126194019104,0.527331023334321,0,0.474644854457132,0.390681760581228,0,0.690688066105196,0.436179269935542,0,0.461997951985436,0.459806016768042,0.464026086296326,0.661269916087299,0.379555987290794,0,0.390927776413253,0.282413471384685,0.315060577737791,0,0.396892970879751,0,0,0
TCF3,0.480938833570412,0,0.559075005639593,0.324765005143816,0.250638229808071,0.373046953046953,0.631198963183411,0.485187815290481,0,0.354444560807259,0.46971045759628,0.508003022282379,0,0.475262413875188,0,0.306010467629992,0.532164038493152,0.23654186610714,0.51466766725172,0.360524558314614,0,0.334381940661915,0.489880532483787,0.368697971715831,0,0.358507949796497,0,0,0.473417721518987
RBM42,0.54475106685633,0,0.656837724843887,0.35429614284305,0,0.383079698079698,0.569185810972975,0.352488958513988,0.525869963369963,0.394964170642742,0,0.50845497401857,0.684582403340248,0,0,0.329819319604051,0,0.283241133454579,0.562311227432569,0,0,0.27408305962283,0.350536579815679,0.612228885142513,0,0.296958696637416,0,0,0.558860759493671
PRPF31,0.519971550497866,0,0.587527410739091,0.483869793354848,0.22676396391404,0.35719918969919,0.675691451063217,0.318886026171266,0.4378663003663,0,0.267842800023705,0.524315003407021,0.641727593058838,0,0,0.467187620889749,0,0.362860157573791,0.57117384751828,0.307222795620586,0,0.306743847147431,0.417744908408238,0.539527083096759,0,0,0,0,0
PPP1R12C,0.714850640113798,0,0.700798916018614,0.493866176242619,0.284078071217252,0.358830058830059,0.514262180194883,0,0.566254578754579,0.540218105472086,0.406242631566338,0.551007968256764,0,0,0,0.470427352372284,0.387245665726678,0.339185696192484,0.571136635677473,0,0,0,0.34444965297531,0.264129964797652,0,0.38973440643048,0,0,0
LENG8,0.505320056899004,0,0.520179885641059,0.422156926300164,0.321033056966497,0.328202908202908,0.466295204723276,0.375137237969152,0.393452380952381,0.42407212084112,0.410533502967548,0.529851991600651,0.482141071264562,0.497266214604215,0,0.35157833655706,0,0.274686474398573,0.582774638890095,0.269137676319997,0,0.29002040032716,0,0,0,0.446936533300529,0,0,0
SF3A2,0.495647226173542,0,0.568971664704657,0.417519271692104,0,0.300978188478188,0.618207267316277,0,0.432554945054945,0.377640656668607,0.488277334288261,0.625167453912511,0,0,0,0,0.578952692876743,0.2329070742557,0.516072414242212,0,0,0.275709775212083,0.415964045966549,0.389288506389707,0,0.360193265770913,0,0,0.566783872480075
SNRNP70,0.62551920341394,0,0.683956637374484,0.605471704317517,0.269613208176898,0.336363913863914,0.568291844669515,0,0,0.45481652701051,0.371751111806012,0.509389007606695,0,0,0,0.470964614859484,0,0.440638491350006,0.703954998480517,0,0,0.338593373160381,0.335038570940949,0.426646124684446,0,0.436005229332067,0,0,0
RFX1,0.495817923186344,0,0.6390067533995,0.350115324811981,0,0.307090132090132,0.439927038832621,0.37250101999184,0.419688644688645,0,0.388270903655247,0.605659362817583,0,0.546861871825799,0,0.319237683467971,0,0,0.56189879619695,0,0,0.317884892403036,0,0,0.3116866359447,0.545913557645578,0,0.421503105508589,0.480637599624941
