,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NUDT22,0,0.566175522526087,0,0,0,0.455759795759796,0,0.614364577794748,0.832051282051282,0.644545472302118,0.770855110272747,0,0,0,0.623235544754813,0.681189896461486,0,0.623947868819646,0.782772778298054,0,0,0.584909417865711,0.532213448628968,0.597443025480211,0,0,0,0,0
NDUFV1,0,0.359144336206986,0,0,0,0.559575147075147,0,0.417474036301004,0.63731684981685,0.607687135301278,0.697866795111206,0,0,0,0.550029056346342,0.673932415519399,0,0.641070991030787,0.70497832410273,0,0.530681856392924,0.54686537565915,0.669789964728638,0.521653047230545,0,0,0,0,0
FAM195A,0,0.38229435747409,0,0,0,0.504028471528472,0,0,0.70746336996337,0.752950109027801,0.763104306128393,0,0,0,0.547774949984036,0.431465240641711,0,0.448257491312045,0.761093780040809,0,0.634369567580375,0.554133887497384,0.540647627716464,0.602943938295438,0,0,0,0,0
PRDX5,0,0.420668513273785,0,0,0,0.589955322455322,0,0.493182707599564,0.778800366300366,0.610413349806983,0.65130270754868,0,0,0,0.459513369364734,0.526677437706224,0,0.451520866621343,0.6696022674415,0,0,0.52167294561648,0.582363181249289,0.561684799224326,0,0,0,0,0
TRPT1,0,0.539793938801128,0,0,0,0.485457597957598,0,0.543162902510191,0.65224358974359,0.604957076666887,0.712442896609291,0,0,0,0.600694021742875,0.490316759585846,0,0.39391032167002,0.693597702789028,0,0,0.517615939297235,0.52002070770281,0.468952489932827,0,0,0,0,0
PTGES2,0,0.398230606549675,0,0,0,0.37960594960595,0,0.419192856369685,0.594734432234432,0.663873751333497,0.709457065437365,0,0,0,0.520926771116384,0.376689270679258,0,0.405636041122411,0.643349313751636,0,0.537658324607576,0.448286271198225,0.442495619524406,0.568031922327723,0,0,0,0,0
PPP1R14B,0,0.568548249650612,0,0,0,0.398886391386391,0,0.510713185431543,0.739789377289377,0,0.576883891768664,0,0,0,0.544362264879031,0.60053908294459,0,0.415645738502048,0.541655554797537,0,0.674029505443074,0.382091943670081,0.61323882125384,0.443062058332824,0,0,0,0,0
COX8A,0,0,0,0,0,0.487954267954268,0,0.578441238359306,0.737362637362637,0.654654284000903,0.75225103678196,0,0,0,0.535809592499098,0.599900557515076,0,0,0.7381495791961,0,0.457187450392209,0.617252269138976,0.63605597906474,0,0,0,0,0,0
WDR74,0,0.475076732009289,0,0,0,0.521073093573094,0,0.511925280691049,0,0.511157635457744,0.486874573655336,0,0,0,0.555862146586396,0.532396177039481,0,0.369071139424852,0.567846488752721,0,0.563819664977819,0.515387590493916,0.543018090795312,0.440943802901792,0,0,0,0,0
OTUB1,0,0.538138513318246,0,0,0,0.397208347208347,0,0.5779006129467,0.659249084249084,0.456956459943971,0,0,0,0,0.476024035225939,0.530537490044374,0,0.27480467199735,0.791089624718585,0,0,0.51041171347026,0.579276595744681,0.460083223416986,0,0,0,0,0
