,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
IFI35,0,0.561221843317016,0.625996407089521,0.737412919197471,0.69948853453368,0.593249805749806,0,0.795381310418904,0,0.612276193788968,0,0,0,0.544296845182131,0.629515850064659,0.647705996131528,0.660921357123889,0.747637773536852,0.668535528005011,0,0,0.646681985836813,0,0.699402193377067,0,0,0,0.697432298601045,0
FLT3LG,0,0.499899222083405,0.463975985759791,0.5035266844234,0.612033103566404,0.291961649461649,0,0.731751067274261,0,0.451465589645704,0.494985367157622,0,0,0.522290384740698,0.554789243868881,0.552197292069633,0,0.427491381065607,0.395980500995417,0,0,0.616917562623834,0.62424644441916,0,0.739483870967742,0.646604534432728,0,0.405534167153098,0
ZMYND15,0,0.214408722625087,0.339740290158378,0.527508843134768,0.492003078112779,0.371787934287934,0,0.624754220625127,0,0.544408621320909,0.493420579790916,0,0,0,0,0.487340084196154,0.568810935899543,0.526327868060421,0.492641358480268,0,0,0.525755806092427,0.569002844464672,0.359963771280824,0,0.719763987625363,0.562138199481004,0.432985944868204,0
ISG20,0,0.32885390314353,0.455395400240496,0.521779008535445,0.569185118760493,0.344065934065934,0,0.709465286376834,0,0.34564296065233,0.390947812260821,0,0,0.3552466151835,0,0.41760632608943,0.616231869396426,0.607464048949335,0,0,0,0.648070423927812,0.445482307429742,0.29152337505787,0.655594470046083,0,0,0.469869024273468,0
TNFRSF14,0,0.456965606571906,0,0.582410265082653,0.546075343233504,0.355689310689311,0,0.663895738396775,0,0,0,0,0,0.392482588857667,0.401870976040573,0.44609671179884,0.564536729093691,0.459023394496996,0.46650934327303,0,0,0.589223568229993,0,0.474974122343446,0.74426420890937,0,0,0.396362586983754,0
VAV1,0,0,0.401050322862752,0.492461609286114,0.409480940008287,0.202656232656233,0,0.441604426348263,0,0.52101034506977,0.351316199268925,0,0,0.497692300531544,0.337258160469128,0.367523040163841,0,0.380753289689373,0,0,0,0.604599105096798,0.69185459096598,0,0.705542242703533,0.699801883524529,0,0.37170740665438,0
IL32,0,0,0.534156261064608,0.615680651268103,0.549390233918939,0.432361804861805,0,0.471320089497593,0,0.419010338420466,0,0,0,0,0.472287480964074,0.344943452042326,0,0,0.412065319184565,0,0,0.581727959069376,0.768765502332461,0.513946964998559,0,0.692220862117894,0,0.459063034937791,0
ARHGAP30,0,0,0.460772823290856,0.459632792645518,0.36371353399841,0.274126706626707,0,0.500362795931452,0,0.528271072993978,0.344196479795834,0,0,0.495129667629039,0.381289895052612,0.45929844123336,0,0.396208272796607,0,0,0,0.617378744878519,0.70002616907498,0,0,0.746368186891717,0,0.444495018724872,0
SAMD3,0,0,0.475910067701455,0.510704101049014,0.556371403778119,0.261559551559552,0,0.555628858644733,0,0.593612013961875,0.311122221115425,0,0,0.468676026729069,0.442158117056879,0.405273432999968,0,0.540549815170645,0,0,0,0.605637463930831,0.719101512233384,0,0,0.641841641665196,0,0,0
GSDMD,0,0.370747875883103,0.275589229525223,0.509644066761557,0.453419614530607,0.326106393606394,0,0.553291748593125,0,0.318072246346727,0,0,0,0,0.345879052096995,0.413490954602344,0.471111167313699,0.364762534984764,0.486392870211301,0,0,0.519207018075899,0.522313118671066,0.506636035674042,0,0,0,0.411573348374445,0
TMC8,0,0,0.443872389963694,0.490860919686016,0.396139512564972,0,0,0.415151547592284,0,0.529661608624479,0.474865051274841,0,0,0.504807829129436,0.401146864326387,0.354482648765502,0,0.458176599291159,0,0,0,0.634291555927607,0.598156559335533,0,0.745425499231951,0,0,0.39802847754655,0
LPXN,0,0,0.433715983143778,0.433216129502013,0.403917918671827,0,0,0.261285332457865,0,0.572525409690612,0.384518440155394,0,0,0.363311927081325,0.42258884006606,0.354216179315053,0,0.444731838119329,0,0,0,0.539057420335133,0.433022641938787,0,0.764798771121352,0.61992077919184,0,0.297225046074335,0
TMEM150B,0,0,0.463589703621306,0.63129548732824,0.44589869923158,0,0,0.523657955146937,0,0.309119894010099,0,0,0,0,0.324463146675977,0.33994381271725,0.327432061609277,0.506255684081082,0.388255943041076,0,0,0.467395056397811,0.641865738112333,0.303298800674348,0,0.592464703000908,0,0.436701048532399,0
CXCL16,0,0,0.306329318954109,0.433077551825702,0.357741189154061,0.23979464979465,0,0.377941174721331,0,0.330324627316919,0.45135667442966,0,0,0,0,0.359929684833314,0.444479571061849,0.463417843178532,0.391105749849602,0,0,0.419474259217269,0.500234156331778,0.326574060324421,0,0.774045010634166,0,0.394313672764001,0
OSCAR,0,0,0.469451182819072,0.485423507471451,0.405250424122127,0.285536963036963,0,0.324182252023033,0,0.31934725032592,0.365000838504109,0,0,0.390601108302159,0.247700414139071,0.27490840823757,0,0.423459721364259,0,0,0,0.432582316665205,0.579910342473547,0.371895008778749,0,0.696440367364445,0,0.494051983655908,0
FOXP3,0,0,0.54900815829532,0.512692775640393,0.390410242911461,0,0,0.443506131251241,0,0.477990804844184,0,0,0,0,0.465705701705022,0.451293890089885,0,0.541094803101781,0,0,0,0.473104165349211,0.624338149960178,0.30456396694648,0,0.766593543922172,0,0,0
ZBTB32,0,0,0.341359892417031,0.436408113605509,0.454920887211852,0.280764116492128,0,0.492013731528632,0,0.408506628154172,0,0,0,0.395927160170454,0.385572936663247,0.431447036067812,0.367113898759468,0,0,0,0,0.501250270359789,0.665882199675742,0,0,0,0.52056856743629,0.296564714772262,0
STAT2,0,0.268606493358291,0.504341359774863,0.525904630373408,0.556220268944436,0.301026196026196,0,0.704501821711374,0,0,0.320404398552981,0,0,0.363787483659392,0.352247789765275,0.387000568892934,0.496933446300535,0.429853607528756,0,0,0,0,0,0,0.69173579109063,0,0,0,0
GBP3,0,0.245080777946235,0.355742327362631,0.482045970208148,0.322957507182053,0,0,0.415080772648279,0,0,0,0,0,0.375404575503251,0.356791834822136,0,0.397463296197473,0.425453550931949,0,0,0,0.441566985499661,0.551704630788486,0.380951424253806,0,0.514742716530829,0.472170470423847,0,0
CD70,0,0,0.437624574148705,0.508061729326619,0,0.242148684648685,0,0.358324917657218,0,0,0,0,0,0.505736131059685,0.495585787189212,0.307609188053772,0,0.404423973743927,0,0,0,0,0.506325163351824,0.304723272857505,0,0.664912328569365,0,0.397939253259482,0
SERPINB1,0,0.248447204968944,0.199539059368538,0.538395411434772,0,0,0,0,0,0.269291603965811,0.248214238430219,0,0,0,0.34955071768027,0,0.436361107247183,0.338813416894147,0.371181910083789,0,0,0.45633040773752,0.397497098646035,0,0,0.627338545109066,0,0.260160948639413,0
USF1,0,0,0.33157213739839,0.337163009625277,0.419421833693748,0.265244477744478,0,0.335367072165463,0,0.428058690078865,0.287360401674991,0,0,0.271613022483879,0,0.236653771760155,0,0,0.339806126309392,0,0,0.373142911646214,0.415008078279668,0.442322743512024,0,0,0,0.257805090804153,0
ARRB2,0,0,0.335751165357923,0.398174767588795,0.267003613381982,0.221684149184149,0,0,0,0.43880157522004,0.356882479551217,0,0,0,0,0.263066105358971,0,0,0,0,0,0.571126357299554,0.492991011491637,0,0,0.674021604235177,0,0.454805176066268,0
TNFAIP8,0,0,0.349024145040855,0.417433541434725,0,0,0,0.303974221267454,0,0.344072062659713,0,0,0,0.541207589223377,0.450267249478019,0.261276368187507,0,0.408796748444451,0,0,0,0.384910046750604,0.613543747866652,0,0,0,0,0.38573499222803,0
UNC13D,0,0,0.311777660808441,0,0,0,0,0,0,0.489037376151524,0.327133866865722,0,0,0.476345714737865,0,0.221370576857435,0,0,0,0,0,0.566962440548541,0.57696984867448,0,0.722230414746544,0.681328323271283,0,0,0
LOC115110,0,0.410984200097517,0,0.494272514174852,0.421311019114778,0,0,0.480878870170205,0,0,0,0,0,0,0,0.383157128228467,0.413599059168679,0,0.54546976848033,0,0,0,0,0.403461928180222,0.751010752688172,0,0,0,0
C15orf48,0,0,0,0.554603127627691,0,0,0,0,0,0,0.397515884293998,0,0,0.377174066988974,0.31924345543124,0,0,0.350434311468791,0,0,0,0.413349619122852,0.588457617476391,0.277216961766581,0,0.686385376138622,0,0.300457136111129,0
