,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MLLT6,0,0.470691410609247,0.585274606581779,0,0,0,0.758463207411318,0,0,0.776572072010296,0.694021654841447,0,0.468628168476114,0,0.679198067810392,0,0,0,0.650500189160191,0.397567441766337,0,0.740208349564969,0,0,0.771459293394777,0.614794483161481,0.698624326302482,0,0
CALCOCO1,0,0.414501793995118,0.610903634467592,0,0,0,0.628440263044209,0,0,0.76228936772187,0,0,0.53493877717633,0,0.624141804157929,0,0,0,0.538477043395208,0.547321555056362,0.585020226293634,0.706143751207546,0.488570030720219,0,0,0.640944090013166,0.674437753676226,0,0
DCAF8,0.41072546230441,0.334271457174572,0.450856049150712,0,0,0,0.544749963999424,0,0,0.655039839718535,0.536282009736735,0.445728708437823,0.611877184056262,0,0.464205567333776,0,0,0,0.524432674477019,0.457614392973509,0,0.660348353317315,0.392036864262146,0,0.706377880184332,0.498933821031101,0,0,0
CLCN6,0,0.563189235732885,0.532229763444611,0,0,0,0.606453607257716,0,0,0.822253203821521,0.580135774620183,0,0,0,0.69700960811832,0,0,0,0.625202339384392,0,0.532560109979738,0.405382346292671,0.346896802821709,0,0.558144393241167,0.575185552340373,0.651532038059751,0,0
NKTR,0,0.454433561417471,0.442621906306718,0,0,0,0.55498526376422,0,0,0.617577558932571,0.55217891281953,0,0.470750083462475,0,0.704560468209141,0,0,0,0.650149777659251,0,0,0.528171422841588,0.400778928205712,0,0.675834101382488,0.465734210487061,0.6926442211724,0,0
LENG8,0,0.486902575913189,0.508379097762003,0,0,0,0.497543320693131,0,0,0.602603430957579,0.587988081893481,0,0.506634282740252,0,0.650778434448653,0,0,0,0.549730524252817,0,0.469550298291889,0.535899020651532,0.380273978837183,0,0,0.493547863139415,0.674604098742431,0,0
ZNF224,0,0.420692225724749,0.423276090674125,0,0,0,0.554592041472663,0,0,0.710901782719873,0.531262963714838,0,0,0,0.660136760068081,0,0,0,0.607663158417008,0,0.536110366043912,0.417527511093704,0,0,0.69142242703533,0.51819649552249,0.690065872646218,0,0
CASC3,0,0.433602914260223,0,0,0,0,0.378331685306965,0,0,0.595167743230489,0.606155250611856,0,0,0,0.375669042472798,0,0,0,0.538328196031977,0.721984093254812,0,0.701675174664044,0.473351462054841,0,0.590721966205837,0.5138592216516,0.672832523787345,0,0
TUBGCP6,0,0.410586275529788,0.504683947938394,0,0,0,0.50378265252244,0,0,0.632014963426752,0.594054942824107,0,0.550965905032095,0,0.68595131396703,0,0,0,0.638576895168043,0,0.45960225011163,0.554264555802878,0.337964956195244,0,0.688933947772657,0,0,0,0
TSC1,0,0.463578416334322,0.49353130779793,0,0,0,0.58322046752748,0,0,0.782296706890798,0.579811090698405,0.42871678154739,0.552807619358629,0,0.608628356697086,0,0,0,0.618845316579736,0.411420071641066,0,0.491271252378845,0,0,0,0.52239288902181,0,0,0
ZNF337,0,0.444349841645288,0.45857804743914,0,0,0,0.492192579081265,0,0,0.607907393485428,0.568863253219414,0,0.434896499241184,0,0.593157862096054,0,0,0,0.669673590136382,0,0.459763634273578,0.564346279394691,0.32530026169075,0,0.763827956989247,0,0,0,0
