,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DUSP1,0,0,0.849171353689789,0,0,0.759578199578199,0.739318197091153,0,0,0,0.764285146876919,0.784289230569552,0.858704516595547,0,0.719264242777833,0,0,0.879059267899603,0,0.870793111124603,0.859900854798437,0,0,0,0,0.909547803472434,0,0,0
FOSB,0,0,0.873825737733543,0,0,0.660451215451215,0.78508404934479,0,0,0,0.866515189533451,0.745623021262591,0.691247009565018,0,0.695054449066407,0,0,0.890398041198334,0,0.749578046263129,0.891636742335083,0,0,0,0,0.887076095105485,0,0,0
ZFP36,0,0,0,0,0,0.840849428349428,0.833523352373638,0,0,0,0.766891444610184,0.713221558329586,0.923438012528847,0,0.756378729376311,0,0,0.784009849224727,0,0.717242426082205,0.869592506457322,0,0,0,0,0.806312508758984,0,0,0
IER2,0,0,0.655844398204345,0,0,0.680192307692308,0.724523208371334,0,0,0,0.636401922128817,0.59523897817189,0.709636161921576,0,0.528342570877961,0,0,0.619867894771352,0,0.750015178191974,0.864570340816762,0,0,0,0,0.769173496295399,0,0,0
JUN,0,0,0.705175640412386,0,0,0.474479964479965,0.569842461479384,0,0,0,0.575616678792403,0.421946776309385,0.757515340330089,0,0.508319302831443,0,0,0.665280792631372,0,0.692627446218607,0.806419648868727,0,0,0,0,0.864096757007509,0,0,0
ATF3,0,0,0.635928536088024,0,0,0.63528416028416,0.449221523544377,0,0,0,0.732301573991998,0,0.658781345808726,0,0.503199184125358,0,0,0.653263892963015,0,0.596476635703155,0.845320856346786,0,0,0,0,0.691430827093008,0,0,0
EGR3,0,0,0.549966836454751,0,0,0.568180430680431,0.662284260548169,0,0,0,0.714752363060997,0,0.567719921800399,0,0.472749626172303,0,0,0.697280851298793,0,0.756128953919009,0.760136020162952,0,0,0,0,0.57231306601912,0,0,0
CSRNP1,0,0,0.673842187863006,0,0,0.644806582306582,0.391403254452071,0,0,0,0.696913548335033,0,0.543453261742696,0,0.605020775861871,0,0,0.505458227070529,0,0.598692651731326,0.730818646820683,0,0,0,0,0.692123350801886,0,0,0
NR4A1,0,0,0.728677946695262,0,0,0,0.556128834061345,0,0,0,0.736363590512421,0,0.5912846223487,0,0.601885561637354,0,0,0.756441769133344,0,0.654105194989173,0.723440037817265,0,0,0,0,0.730787370268054,0,0,0
JUNB,0,0,0,0,0,0.764192474192474,0,0,0,0,0.7901236825083,0.677869661754685,0.891050490059583,0,0.575539494810054,0,0,0.772616290907585,0,0.883364701596746,0,0,0,0,0,0.654063919910706,0,0,0
SOCS3,0,0,0.655030759214547,0,0,0.488768453768454,0.468764364229828,0,0,0,0.650966675450995,0,0.669190465013551,0,0.36980069413659,0,0,0.702283111720025,0,0.547493574565398,0.778820415692757,0,0,0,0,0.545504360017304,0,0,0
HBEGF,0,0,0.624519455068925,0,0,0.636041181041181,0.408072961167379,0,0,0,0.608514410292039,0.446486596733896,0.437779562846151,0,0.417888947333362,0,0,0.509454945145961,0,0.521953736870864,0.65308201717104,0,0,0,0,0.445347623698031,0,0,0
CYR61,0,0,0.721791071560591,0,0,0.425945998445998,0,0,0,0,0.647130361540275,0,0.679002299044956,0,0.315126412333673,0,0,0.682710193291898,0,0.537154190192864,0.786653461382363,0,0,0,0,0.829545615683135,0,0,0
PPP1R15A,0,0,0.600543149152966,0,0,0.38790515040515,0.45971794748716,0,0,0,0,0.526635022319463,0.562943681416807,0,0.472192042925296,0,0,0.548736666102999,0,0.484953352356667,0.749193958934329,0,0,0,0,0.686493660659515,0,0,0
KLF6,0,0,0.570825242544627,0,0,0.525183705183705,0.567581433302933,0,0,0,0,0,0.61427434297902,0,0.368139199423008,0,0,0.572281714054989,0,0.46143727359197,0.658867605164606,0,0,0,0,0.47666588277022,0,0,0
MCL1,0,0,0.372167939603381,0,0,0.577802752802753,0.5100642250276,0,0,0,0,0.602919839985908,0.579221123805831,0,0.344385693711655,0,0,0.405708512642829,0,0.629374860866574,0.585211619503261,0,0,0,0,0,0,0,0
IER3,0,0,0,0,0,0.625193695193695,0.461385302164835,0,0,0,0.516439093709454,0.46814926236227,0.675613649650041,0,0,0,0,0.482145691913214,0,0.557834982696861,0.710930956903489,0,0,0,0,0,0,0,0
GADD45B,0,0,0.475370280618988,0,0,0,0.578266788268612,0,0,0,0,0.413765291033741,0.65632528934873,0,0.389811328989046,0,0,0.582065800689515,0,0.607093275049076,0.647672275393519,0,0,0,0,0,0,0,0
GPR183,0,0,0.508869020951904,0,0,0.327579642579643,0.451299764796237,0,0,0,0.588279351741756,0.389165210377739,0.571596079523338,0,0,0,0,0.324354485814563,0,0.590795944387105,0.583746747879426,0,0,0,0,0,0,0,0
CXCL2,0,0,0.639059666672889,0,0,0.322881285381285,0,0,0,0,0.555679825086782,0,0.465631991918791,0,0.501821591736513,0,0,0.53882230328296,0,0.654584126818427,0.620939394626601,0,0,0,0,0,0,0,0
KLF4,0,0,0.47291449323807,0,0,0.422669275169275,0,0,0,0,0,0,0.621335487078259,0,0.440081105105878,0,0,0.501786336702684,0,0.581434035577682,0.686088939388371,0,0,0,0,0.550605886884295,0,0,0
KLF2,0,0,0.612993643425646,0,0,0.458801476301476,0,0,0,0,0,0,0.425650752182781,0,0.572741242325335,0,0,0.511500971463476,0,0.422194564183515,0.646526359869282,0,0,0,0,0.499233537115717,0,0,0
OSM,0,0,0.434828336264237,0,0,0,0.609736859789757,0,0,0,0.609088754083767,0,0.794023459662603,0,0,0,0,0.423277679807019,0,0.664430413049198,0.562553873634194,0,0,0,0,0,0,0,0
EGR1,0,0,0,0,0,0.759650904650905,0,0,0,0,0,0,0,0,0.725292228748096,0,0,0.894585859771059,0,0.874949911966487,0,0,0,0,0,0.819852033253661,0,0,0
BTG2,0,0,0,0,0,0.557806637806638,0.520290308644938,0,0,0,0.408626378960986,0.530607562195512,0.54792553835119,0,0.540601363006792,0,0,0,0,0.87454111266266,0,0,0,0,0,0,0,0,0
RHOB,0,0,0.402645690539996,0,0,0.422388722388722,0,0,0,0,0,0,0,0,0.469087033519309,0,0,0.506533221290062,0,0.471900107259223,0.740447934400026,0,0,0,0,0.633961487910346,0,0,0
PTGS2,0,0,0.732236461448669,0,0,0,0,0,0,0,0.674944110233659,0.487033902773619,0,0,0,0,0,0.332866438438894,0,0.678641248254508,0.593556578491548,0,0,0,0,0,0,0,0
TRIB1,0,0,0.426104185978719,0,0,0.457089577089577,0,0,0,0,0.408708338009202,0.524222295358572,0.436120664142625,0,0.318756388376543,0,0,0.369581028336364,0,0,0.479310374489455,0,0,0,0,0,0,0,0
IL1B,0,0,0.380234358528149,0,0,0,0.390274276388422,0,0,0,0.486309056222646,0,0.64511565930982,0,0,0,0,0.346502300108017,0,0.541151114079291,0.611547833444507,0,0,0,0,0,0,0,0
DUSP5,0,0,0,0,0,0.355085192585193,0,0,0,0,0.491295318625257,0,0.515664849687362,0,0,0,0,0.531382325231477,0,0.577040454941008,0.713670675432306,0,0,0,0,0,0,0,0
C8orf4,0,0,0.381474100103145,0,0,0.56963147963148,0,0,0,0,0.424892097760753,0,0.461557694073946,0,0.337794841522323,0,0,0.322816622896169,0,0.506751259789934,0,0,0,0,0,0,0,0,0
GEM,0,0,0.629907788704511,0,0,0.318263680763681,0,0,0,0,0,0,0.515257961008081,0,0,0,0,0.338432078655757,0,0.592633517495396,0.48751867989906,0,0,0,0,0,0,0,0
BHLHE40,0,0,0,0,0,0.559221889221889,0,0,0,0,0.438279793059708,0,0,0,0,0,0,0.499940469822514,0,0.566709165604193,0.561500659612553,0,0,0,0,0,0,0,0
ZFP36L2,0,0,0,0,0,0.451451326451326,0.416566409062545,0,0,0,0,0,0.490248229793698,0,0,0,0,0.28082972988829,0,0,0.529512481026853,0,0,0,0,0.45434656460912,0,0,0
CTGF,0,0,0.523499062595375,0,0,0,0,0,0,0,0,0,0,0,0.297923677132311,0,0,0.629802100983887,0,0,0.472527058972568,0,0,0,0,0.684609546827439,0,0,0
MAFF,0,0,0.403049129438507,0,0,0.379902042402042,0,0,0,0,0,0,0.424264910625903,0,0,0,0,0.362691920115678,0,0.447327626333151,0.564302839970253,0,0,0,0,0,0,0,0
IL6,0,0,0.678871399026796,0,0,0,0,0,0,0,0,0,0.628670710558882,0,0,0,0,0.547413198099175,0,0,0.715811064972335,0,0,0,0,0,0,0,0
IL8,0,0,0,0,0,0,0,0,0,0,0.424105921352097,0,0.659582318040226,0,0,0,0,0.272081382066405,0,0.638012263979115,0.56526400924005,0,0,0,0,0,0,0,0
NR4A2,0,0,0,0,0,0.609465534465534,0,0,0,0,0,0,0,0,0.556567882745584,0,0,0,0,0.751500617246474,0,0,0,0,0,0.575801558670966,0,0,0
RGS2,0,0,0.579669956903188,0,0,0,0,0,0,0,0.607022125160293,0.523700812586045,0,0,0.370535716336558,0,0,0.39612803647043,0,0,0,0,0,0,0,0,0,0,0
THBD,0,0,0.432966880897482,0,0,0,0,0,0,0,0,0,0.537489157167495,0,0,0,0,0.435533562941515,0,0,0.512361674907588,0,0,0,0,0.473607121291002,0,0,0
C5AR1,0,0,0,0,0,0,0,0,0,0,0.513119121802494,0.397787058883517,0.583054128877725,0,0,0,0,0.31493016851354,0,0.532550138627487,0,0,0,0,0,0,0,0,0
SLC2A3,0,0,0.516205483811788,0,0,0,0,0,0,0,0.520715464663672,0.388544066453129,0,0,0,0,0,0.307967294638143,0,0,0.600100408123048,0,0,0,0,0,0,0,0
ITPRIP,0,0,0.51214619847197,0,0,0.413391885891886,0.389272020352326,0,0,0,0,0,0.522507606383677,0,0,0,0,0,0,0,0.484073211128411,0,0,0,0,0,0,0,0
PLK3,0,0,0,0,0,0.368384115884116,0,0,0,0,0.489689551734443,0,0.567776486761904,0,0,0,0,0.407141982061573,0,0,0.453644134531245,0,0,0,0,0,0,0,0
TNFAIP3,0,0,0.453114814110378,0,0,0.307808302808303,0,0,0,0,0,0,0.479612996528836,0,0,0,0,0,0,0.477856029789732,0.508041740532585,0,0,0,0,0,0,0,0
RGS1,0,0,0.495348299370451,0,0,0.424930902430902,0,0,0,0,0.409067066458701,0,0,0,0,0,0,0.3281035928619,0,0.555139335802319,0,0,0,0,0,0,0,0,0
AREG,0,0,0,0,0,0,0.396826286094237,0,0,0,0.448590633138355,0,0.54304609737531,0,0,0,0,0.271564276874137,0,0,0.531221191433601,0,0,0,0,0,0,0,0
ZC3H12A,0,0,0,0,0,0.394341491841492,0,0,0,0,0.468934368455097,0,0.518890947710941,0,0,0,0,0.31081352732694,0,0.482970068605428,0,0,0,0,0,0,0,0,0
NR4A3,0,0,0,0,0,0,0,0,0,0,0.604309280664347,0,0.551878379501324,0,0.417455628777038,0,0,0,0,0.516548276769271,0,0,0,0,0,0,0,0,0
FOSL2,0,0,0,0,0,0.365414307914308,0,0,0,0,0,0.415239349004084,0.533462256737864,0,0,0,0,0.27010739589121,0,0,0.474608924436631,0,0,0,0,0,0,0,0
IL1RN,0,0,0,0,0,0,0,0,0,0,0.432866466150677,0.407477367647672,0.596268192132375,0,0,0,0,0,0,0.605589622164208,0,0,0,0,0,0,0,0,0
SGK1,0,0,0.554545469863931,0,0,0,0,0,0,0,0,0,0,0,0.395893063457682,0,0,0.420114815594491,0,0,0,0,0,0,0,0.579175597530745,0,0,0
SERPINE1,0,0,0.487899318467556,0,0,0,0,0,0,0,0.45635995909613,0,0.511109183496444,0,0,0,0,0.485698953304184,0,0,0,0,0,0,0,0,0,0,0
EGR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386966793075172,0,0,0,0,0.820377228664522,0,0,0,0,0,0.689258783246617,0,0,0
EDN1,0,0,0.500055353316555,0,0,0,0,0,0,0,0,0,0.460358312789658,0,0,0,0,0.429975687530412,0,0,0.502719191167213,0,0,0,0,0,0,0,0
