,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
AKAP13,0,0,0.409602431333347,0,0.445044225830706,0.609234931734932,0,0.671619723252126,0,0.449809497449784,0.496330756456797,0,0,0,0,0.38840277619752,0,0.363174200828936,0.523635720886386,0,0,0,0,0.49209432132843,0,0,0,0,0
REL,0,0.522538684640704,0,0,0.644573692715175,0.562709235209235,0,0.702646804481541,0,0.52743232567292,0.607019383790806,0,0,0,0,0.393001706678803,0,0.371548975218191,0,0,0,0,0,0.431808771761253,0,0,0,0,0
ETV3,0,0.494606899434013,0,0,0.613123793282812,0.589566822066822,0,0.65547589904995,0,0.602115746091352,0.513176493136245,0,0,0,0,0.39065832290363,0,0,0.482730604878472,0,0,0,0,0.410733986425695,0,0,0,0,0
OSMR,0,0,0.449933262182837,0,0.448914537029923,0.387962315462315,0,0.400635844475926,0,0.400429274889279,0.531719412567979,0,0,0,0.418873073150788,0,0,0.37943542960082,0.529636130216635,0.387503288608261,0,0.37351814629889,0,0,0,0,0,0,0
KLF7,0,0.393610383682277,0.389650804402906,0,0.488864511399974,0,0,0.377026750549844,0,0.555870878003148,0.516972457977074,0,0,0,0.379100792216115,0.380695869837297,0,0.487197560815684,0.559725004496431,0,0,0,0,0,0,0,0,0,0
ERN1,0,0.488891457737743,0.362456570921016,0,0.525696070368379,0.485366022866023,0,0.599751038726384,0,0.436630161989505,0.466414442949567,0,0,0,0,0.35020320855615,0,0.337309201467376,0,0,0,0,0,0.442403542945991,0,0,0,0,0
ASXL2,0,0.466489860704171,0,0,0.656155658803037,0.471172438672439,0,0.656404597159724,0,0.407617172159199,0.478197001811925,0,0,0,0,0.38492365456821,0,0,0.444247359509796,0,0,0,0,0.422691319957024,0,0,0,0,0
AHNAK,0,0,0.408947417087451,0,0.50460898269884,0.569140581640582,0,0.57875169651704,0,0,0.537370804169572,0,0,0,0.41414573193281,0.415198088519741,0,0.46941486149312,0,0,0,0,0,0.405066670451865,0,0,0,0,0
LUZP1,0,0.362866449994146,0.421649886902727,0,0,0.493162115662116,0,0,0,0.425005309053401,0.436894054690642,0,0,0,0.437613612611143,0.343475708271703,0,0.427424086082362,0.518636930271212,0,0,0,0,0.403186009032067,0,0,0,0,0
EXOC6B,0,0.446273514229694,0,0,0.599569517615395,0.414410866910867,0,0.573797450436723,0,0.474436128659039,0.469880680234882,0,0,0,0.373788419265851,0,0,0,0.438457817277458,0,0,0,0,0.408986098129821,0,0,0,0,0
KLF6,0,0,0.341409125251201,0,0,0.4252331002331,0,0,0,0.50583164711148,0.522650328655783,0,0,0,0.346057524674925,0,0,0.395706580068951,0.558348166386544,0.576815817699796,0,0.383241405501834,0,0,0,0,0,0,0
ELK3,0,0,0.418757697175654,0,0.516580120983434,0.409314296814297,0,0.425049631672917,0,0.399385334212704,0.616157406765278,0,0,0,0.441213039293827,0,0,0.345818565823121,0.46008719974696,0,0,0,0,0,0,0,0,0,0
TAOK1,0,0.46776069987299,0,0,0.613211955269127,0.481855921855922,0,0.630335627868913,0,0.470476883903573,0.487848625420671,0,0,0,0,0,0,0,0.430004527440632,0,0,0,0,0.392188660127008,0,0,0,0,0
MCL1,0,0,0,0,0,0.451641136641137,0,0,0,0.508864560749077,0.515887446269539,0.469258011134237,0,0,0.415872115324983,0,0,0.33599177275692,0.429768852448849,0.463034019387611,0,0,0,0.366270494667237,0,0,0,0,0
NDUFA12,0,0,-0.39213848102327,0,-0.497338137741768,-0.424594017094017,0,-0.484921665816178,0,-0.472621076547199,-0.423221394085583,0,0,0,0,-0.385832517920128,0,-0.391234914707922,0,0,0,0,0,-0.445410701339087,0,0,0,0,0
SPEN,0,0.312211467637691,0.363452909556093,0,0.449066931320553,0.429938117438117,0,0.569697261663889,0,0.437104132666907,0.509192652938736,0,0,0,0,0.472417339856639,0,0,0,0,0,0,0,0.358360339270272,0,0,0,0,0
BHLHE40,0,0,0,0,0.439400599249615,0.496325063825064,0,0.453794964392471,0,0,0.43861015106944,0,0,0,0.396803342513454,0.329545568324041,0,0.468034882958494,0.433877659871371,0.386090704875235,0,0,0,0,0,0,0,0,0
MEF2D,0,0,0,0,0,0.456563436563437,0,0.503410876503075,0,0,0.455547934064576,0.431713569213511,0,0,0.321851520921718,0.300395266810786,0,0.412337499870586,0.44594980122675,0,0,0,0,0.459403853041116,0,0,0,0,0
JOSD1,0,0.315780191507682,0,0,0,0.467803862803863,0,0,0,0.629678252662734,0.515107574403054,0,0,0,0.336677492931154,0,0,0.376302761855133,0.498483617487084,0.639857932123126,0,0,0,0,0,0,0,0,0
NDUFS3,0,0,-0.383631468234084,0,-0.44447117291966,-0.407022699522699,0,-0.42748631188793,0,0,-0.553249424080073,0,0,0,-0.402710279515161,-0.377963363295028,0,-0.337728500978365,0,-0.435933863558173,0,0,0,0,0,0,0,0,0
TRIM56,0,0.411734106359235,0.341229753545045,0,0.474568415590566,0.399810744810745,0,0.484902039151034,0,0.449198488779508,0.493354382098126,0,0,0,0.326721042996502,0.382513596541131,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPN14,0,0,0.426016100906484,0,0.477271210199586,0,0,0.588460353541661,0,0.461990606196237,0.575604069708062,0,0,0,0.360142732123456,0.380576629878257,0,0,0.445072221981034,0,0,0,0,0,0,0,0,0,0
KLF13,0,0,0.378749992364697,0,0,0.523990453990454,0,0.472445649006236,0,0.460626875571165,0,0.409894730010986,0,0,0.31739958333429,0.4401490499488,0,0.328386576894009,0,0,0,0,0,0.362444969034163,0,0,0,0,0
SERINC5,0,0.418546248912562,0,0,0.53893422234201,0.364829614829615,0,0.596906956522773,0,0.493626122953105,0.460965082633406,0,0,0,0,0,0,0,0.451866483915182,0,0,0,0,0.353687839030057,0,0,0,0,0
LRP1,0,0,0.426431082277397,0,0,0,0,0.605995291979355,0,0,0.499499419351666,0.45293675920475,0,0,0.338900935086055,0.43694003868472,0,0.471761126966653,0.443003863829471,0,0,0,0,0,0,0,0,0,0
SIK2,0,0,0,0,0.498736134953331,0.374959207459207,0,0.591744846216157,0,0.488717793993767,0.473297742091267,0,0,0,0,0.364660598475367,0,0,0.518283417783539,0,0,0,0,0.363523313912352,0,0,0,0,0
ROCK2,0,0.456041561998426,0.335345851860792,0,0.607191751060777,0,0,0.557462414936249,0,0.471231891556506,0.515915186255089,0,0,0,0.299176545441599,0,0,0,0.422986994461638,0,0,0,0,0,0,0,0,0,0
HIPK3,0,0,0.359307561183002,0,0.58970671026067,0.392791375291375,0,0.572516959222927,0,0.49792967696436,0.476204136031845,0,0,0,0,0,0,0.305532165276479,0.445143544675916,0,0,0,0,0,0,0,0,0,0
