,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CTSA,0,0,0,0,0,0.448758463758464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421732208838148,0,0,0,0,0
PLEKHG6,0,0,0,0,0,0.406862304362304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458182252950271,0,0,0,0,0
SRC,0,0,0,0,0,0.381753524253524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457862330867131,0,0,0,0,0
ESRRA,0,0,0,0,0,0.451791264291264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38271765620496,0,0,0,0,0
HNF1A,0,0,0,0,0,0.326611999111999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492209405927621,0,0,0,0,0
SLC39A5,0,0,0,0,0,0.4096891996892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383007492238762,0,0,0,0,0
CYP2S1,0,0,0,0,0,0.380467032967033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391290694525729,0,0,0,0,0
SLC5A6,0,0,0,0,0,0.357798035298035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39478013818887,0,0,0,0,0
ZNF768,0,0,0,0,0,0.346097236097236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37963155458111,0,0,0,0,0
GMEB2,0,0,0,0,0,0.336594516594517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359217686777719,0,0,0,0,0
ACOT11,0,0,0,0,0,0.30284632034632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38213524514985,0,0,0,0,0
NRARP,0,0,0,0,0,0.316668331668332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363971859959295,0,0,0,0,0
TPRN,0,0,0,0,0,0.275679875679876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392817803827709,0,0,0,0,0
CAV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340329730344749,-0.323955612721762,0,0,0,0,0
EPS8L3,0,0,0,0,0,0.271591186591187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391212121576085,0,0,0,0,0
MGAT4B,0,0,0,0,0,0.339621212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318158471711463,0,0,0,0,0
PPFIA3,0,0,0,0,0,0.328916361416361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328775954088451,0,0,0,0,0
NAGPA,0,0,0,0,0,0.284430569430569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366511473519623,0,0,0,0,0
GIPC2,0,0,0,0,0,0.334245754245754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313089617491112,0,0,0,0,0
MOGAT3,0,0,0,0,0,0.293624986124986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345946234680634,0,0,0,0,0
PRRG2,0,0,0,0,0,0.333426295926296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303255016116211,0,0,0,0,0
SAMD13,0,0,0,0,0,0.355699023199023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279109341221982,0,0,0,0,0,0
SNHG11,0,0,0,0,0,0.33706265956266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286012526096033,0,0,0,0,0
FBXL19,0,0,0,0,0,0.261724664224664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353436705654213,0,0,0,0,0
PEX10,0,0,0,0,0,0.257715617715618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348169456066946,0,0,0,0,0
ZNF629,0,0,0,0,0,0.286922799422799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318745468680392,0,0,0,0,0
MAPK13,0,0,0,0,0,0.293921911421911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308806046418183,0,0,0,0,0
CYP2W1,0,0,0,0,0,0.286735645377932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310364828835266,0,0,0,0,0
AGRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319543292752304,0.272626898786698,0,0,0,0,0
DNAJA3,0,0,0,0,0,0.301449938949939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288141372804221,0,0,0,0,0
EPCAM,0,0,0,0,0,0.293230103230103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296029035385785,0,0,0,0,0
PDXK,0,0,0,0,0,0.276416361416361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301749744499087,0,0,0,0,0
ZNF335,0,0,0,0,0,0.25274753024753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317642119653043,0,0,0,0,0
SLC12A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235422004778701,0.320873769446458,0,0,0,0,0
