,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PARP2,0,0,0,0,0,0,0.561581721307541,0,0,0,0,0,0.384704571994221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481789222430185,0.194501041525668,0
RILPL2,0,0,0,0,0,0,-0.389039312629002,0,0,0,0,0,-0.354067501825969,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51837712405416,0,0
CDC25C,0,0,0,0,0,0,0.400462727403638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.387470785418165,0.381104076821787,0
PIP5K1C,0,0,0,0,0,0,0.313198867181875,0,0,0,0,0,0.339452748576035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455381723531317,0,0
TOM1L2,0,0,0,0,0,0,0,0,0,0,0,0,0.445804206508761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64662191949405,0,0
KIF2C,0,0,0,0,0,0,0.41129630874094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.412838619006054,0.267372787116278,0
GTF2H4,0,0,0,0,0,0,0.481278356453703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.410809192319023,0.174408723765974,0
ZNF335,0,0,0,0,0,0,0.336064129026064,0,0,0,0,0,0.465593487448556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212896896434393,0
CDCA3,0,0,0,0,0,0,0.380736331781308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.418718966004951,0.186213058928675,0
LAMA3,0,0,0,0,0,0,-0.366202748487795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40260831234602,-0.159476699353266,0
NASP,0,0,0,0,0,0,0.377394710315365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37271585532475,0.178027494367576,0
NECAP2,0,0,0,0,0,0,0,0,0,0,0,0,-0.520362802997943,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.40072859746377,0,0
TLE1,0,0,0,0,0,0,0.424551432822925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471467425222785,0,0
ROM1,0,0,0,0,0,0,-0.443702587241396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429573071851573,0,0
