,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
FOXH1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
RASSF8,0,-0.370134316214426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18192249688545,0,0,0,0,0,0,0.700043010752688,0,0,0,0
KIFC2,0,0.659750041126282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541508063319403,0,0,0,0,0,0,0,0,0,0,0
RTKN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312201702045422,0,0,0,0,0,0,0.800485407066052,0,0,0,0
TCP11L1,0,-0.366584858710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.723047619047619,0,0,0,0
ARID5B,0,-0.335478569131428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.749646697388633,0,0,0,0
PPP1R16A,0,0.569609381831224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468317004234407,0,0,0,0,0,0,0,0,0,0,0
CALM2,0,-0.341957996357175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.671551459293395,0,0,0,0
ELAVL2,0,-0.274047398942586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.709781874039938,0,0,0,0
CYHR1,0,0.55971313862447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423662037692093,0,0,0,0,0,0,0,0,0,0,0
TPP1,0,-0.269998117824205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.686125960061444,0,0,0,0
