,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CDK19,0,0,0,0,0,0.554586247086247,0.479822205155282,0.542454260949003,0,0.647640723161644,0,0,0,0,0,0.548481055865286,0,0.725876905397058,0,0,0,0.595867387741426,0,0,0,0.65886830889596,0,0,0
PLEKHM3,0,0,0,0,0,0.416223498723499,0.533868765900254,0.454988027734262,0,0.490925362813021,0,0,0,0,0,0.450029127318239,0,0.556357391577429,0,0,0,0.44086682698573,0,0,0,0.480180802001569,0,0,0.621800281293952
CREBBP,0,0,0,0,0,0.521437451437451,0.540136514184227,0.518215329496023,0,0.532660444580755,0,0,0,0,0,0.48364159745136,0,0.462178062525667,0,0,0,0.480696902287709,0,0,0,0.615855597803298,0,0,0
LATS1,0,0,0,0,0,0.403238705738706,0.566009312148994,0.525922364049659,0,0.549903127957122,0,0,0,0,0,0.49473865058596,0,0.482321694177086,0,0,0,0.49059135793368,0,0,0,0.565834594657706,0,0,0
PUM1,0,0,0,0,0,0.400787823287823,0.560564873037969,0.500586718338323,0,0.599277324586174,0,0,0,0,0,0.47059324155194,0,0.419724849794146,0,0,0,0.519399177348684,0,0,0,0.595105024015039,0,0,0
RNF38,0,0,0,0,0,0.518125208125208,0.487793404694475,0.365327473881667,0,0.609265202074416,0,0,0,0,0,0,0,0.390211254482018,0,0,0,0.398564535294243,0,0,0,0.616445269633061,0,0,0.677238631036099
MED23,0,0,0,0,0,0.387988955488956,0.589876062016992,0.448626311864141,0,0.565552783627087,0,0,0,0,0,0.483594948230743,0,0.497881070783969,0,0,0,0.535858492513999,0,0,0,0.522065641413599,0,0,0
REV3L,0,0,0,0,0,0.481872571872572,0.6265018000288,0.526110601610814,0,0.603089557393257,0,0,0,0,0,0.606356126976903,0,0.590921993035832,0,0,0,0,0,0,0,0.594844257209622,0,0,0
ASH1L,0,0,0,0,0,0.51973026973027,0.570383910142562,0.538859310116773,0,0.540221949600772,0,0,0,0,0,0.365241779497099,0,0.393335726043849,0,0,0,0.447573534986439,0,0,0,0.56938837108958,0,0,0
KIDINS220,0,0,0,0,0,0.495453435453436,0.564630730091681,0.407230998711777,0,0.553421648553548,0,0,0,0,0,0.343629992035499,0,0.412403932097636,0,0,0,0.497019959059594,0,0,0,0.639103161079302,0,0,0
MDN1,0,0,0,0,0,0.42452158952159,0.623028080449287,0.511142593074999,0,0.512179134734425,0,0,0,0,0,0.514425076800546,0,0.657718734578233,0,0,0,0,0,0,0,0.577698839753458,0,0,0
SEC63,0,0,0,0,0,0.607877122877123,0.703723131570105,0,0,0.536503430417323,0,0,0,0,0,0,0,0.802063885370761,0,0,0,0.655508035926098,0,0,0,0.469363215195781,0,0,0
